fid,username,organization_name,project_name,project_id,is_badgeholder
861629,0xbeja,InBest,Optimism Governance in Costa Rica,0xe1c04b37660084b206fb3b851acc5f930ce88672787cd869ec84114244bcd33b,False
296507,0xbroze,Grants Council,Grants Council [Season 6],0xb1008ff614a6942ab770dbbf4f2978d58bdc51b6b7386223b12fb5bc46b7bb29,False
239072,0xjade,Token Engineering Commons,Token Engineering Commons,0xd95c5255033f7bfa9edae64d802ada17b638cd8214836565ba5ec7b6a0252fb3,False
189312,1a35e1,Lighthouse,Grant Round Analysis (S5R2),0x17fca417865c62eee4400512da5625a6882739a13aa8cc5b1bb30f62ce1843f0,False
189312,1a35e1,Lighthouse,Lighthouse | Native Governance,0xb6ec40384dd32ac1b251c84c572afc016d1eec222e6c5a4070f75a29965558bc,False
191892,2pac,,Gadgets-gizmo ,0xca0a77290d883bc0beb2d820c941fb77e35379e528e3bf27214084974e90a29f,False
216502,aghostraa-eth,growthepie.xyz 🥧📏,growthepie 🥧📏 RetroPGF 3 tracker - Clarity for Badgeholders and Project Owners,0xa38f3efb4fb8f6fcefb80f0262645ac05d5548cad0308ee49520c48c4e8cbd1f,False
7308,ahmad,Praise,Praise,0x1e08897960cdb18df87f253f4e0f047b2edba189ea7403e5448ed2ba443f0013,False
7308,ahmad,Praise,Superchain Attestation Explorer,0x2217fff9c71c330355d013523284df732b70530b5f1f15c590e6f6292f5a989c,False
7308,ahmad,,Streamlining Retro Funding Success: Hybrid Grants Management for Optimism,0x9f64ca738ed6027a8f98cd859c75a9f236f2509d90ae8fa3dde87a6f2568eb6c,False
1212,alexpoon.eth,CharmVerse,CharmVerse Grants,0xe2247097961708233325f253d676ba2f9d8011147e1bb08e0e50d55894138dc7,True
1212,alexpoon.eth,CharmVerse,Retro Funding Application Review,0xfb52bbc12284743f2bf1ad88e2b1b5b3b08d88fa1a7414eefd256ee2ad4e6c73,True
1212,alexpoon.eth,CharmVerse,SUNNYs Awards webapps,0x223dc0c33e137fd8032a738c7c8d7001cac203ecec3f37cb39e3c4b46f0c0b52,True
296887,alilucky,Lucky,Lucky,0x748cbb8a988a527828014d25e2f67e54eeca7e66e52f4fa73840326b64bb4b3c,False
464570,allendwalker,Bag ,Social,0xdf24f78f325d5ce9cea3e9b1010f46ac104f1536cde34f269d85613e974607aa,False
8436,amanwithwings,DAOstar,DAOstar,0x81f3e812a5677ddc5fb1a1e0c38ce6eb03f3b0a11a65283f42cdf93ceb5f66f8,False
765452,anamarija,,Pairwise,0x98877a3c5f3d5eee496386ae93a23b17f0f51b70b3041b3c8226f98fbeca09ec,False
