applicationId,projectId,applicationCategory,organization_name,name,has_github,has_contracts,has_venture_funding,has_revenue,past_grants,past_retrofunding,team_usernames,num_badgeholders
0x9a9f1e790340c30db4cd8f6f5a0c0de3034e3f9ff7bd6accfc20254c3efb7117,0x223dc0c33e137fd8032a738c7c8d7001cac203ecec3f37cb39e3c4b46f0c0b52,GOVERNANCE_INFRA_AND_TOOLING,CharmVerse,SUNNYs Awards webapps,False,False,True,False,55000.0,110000.0,"['alexpoon.eth', 'ccarella.eth']",2
0xd6ea984e2cc371c037035dff68d67bca54b9c36e3ff5d0290cf1f174cac7cfd4,0x1c28bf96edba24046aee68034bfe1d33b4759eb166e7167a8aeb231ff9b6b92c,GOVERNANCE_ANALYTICS,Chomtana Individual Contribution,Grant Unlocking and Claim Analysis,False,False,False,False,0.0,0.0,['chomtana.eth'],0
0xb1de39ce257f0ad3a4c063dd9096a9e06ca0ae758bbc5e8f53a112e2b878f054,0xb048fd114695d6c903457e968fed1d67681b52400a31e10fe4f9f9d053279792,GOVERNANCE_LEADERSHIP,Code of Conduct S5,Code of Conduct Council S5,False,False,False,False,0.0,0.0,['pgov'],0
0xebbcbd4d172b29cb7935a1372b2d17b1eb70c11e1d5a4bed2dc4974869100ce7,0xdf3c24c2193f7c8b87f17e87daea9b39aaa6f5b2b39b9c26b1538f2d16a32ee6,GOVERNANCE_INFRA_AND_TOOLING,Collective Exponents Ltd,Quantitative Simulations and Analysis of RetroPGF Voting Mechanisms,True,False,False,False,9000.0,0.0,"['mtnkrazy', 'hillclimbing']",0
0xf8e61280e3edad6939317b7371effc1377baed305f70afc425a0e32aaa3cd34c,0x9056aef66264e926d4aefa66cf45438b2586459934515dff43432e7a95d0d972,GOVERNANCE_LEADERSHIP,Collective Feedback Commission,Collective Feedback Commission Citizens House,False,False,False,False,0.0,0.0,"['brichis', 'launamu', 'cerv1', 'rev', 'griff.eth', 'spengrah.eth', 'mattstephenson', 'sarahallen', 'joanbp']",9
0x4b2e48f69b24d7c0548dc0b8ce58e33483e85065362e32024275bfab7d136b1b,0x097a9bbaf94d8435caf85982276509f2a5944f2bc3fdc558fd37734d4785f790,GOVERNANCE_LEADERSHIP,Collective Feedback Commission,Collective Feedback Commission [Token House],False,False,False,False,8250.0,0.0,[],0
0xebf5613bac605b69e6665ee526b00d31c1d440ae2424266fa1be5847f5d0c24b,0x6b68c75e9dcd10c64f2b440e47589eb9ef29e17352055816e4f974401eab2358,GOVERNANCE_INFRA_AND_TOOLING,Curia Lab,Curia OP Governance Analytics Dashboard,False,False,False,False,24500.0,90435.0,['v3naru'],1
0x3be9ee627e19f49c13cfb8d174b1a2e73d6a8c7ca9c6b2e408eae12bc62332bf,0xf718cb944a663318db4e425bfb8aeed45b3718e6cf9f665d17962e9d2cb71ef5,GOVERNANCE_INFRA_AND_TOOLING,Curia Lab,OP Passport,False,False,False,False,38000.0,0.0,['v3naru'],1
0x98d3c3725665e50341f2814df8df074fc73bbcc3e92a89663cc2d9f2ee8c5e09,0x780359b099852c198eef1b09642d27d8a3ec8f69aa52dd95a0482003a0330bc8,GOVERNANCE_LEADERSHIP,DAOplomats,DAOplomats Delegate Platform,False,False,False,False,0.0,1000.0,['jengajojo'],0
0x9d5d111aeaf059e96473230efd6dcf81dfc8c8dec07f67d4bba1e0e68c87cd1e,0x81f3e812a5677ddc5fb1a1e0c38ce6eb03f3b0a11a65283f42cdf93ceb5f66f8,GOVERNANCE_ANALYTICS,DAOstar,DAOstar,True,False,False,False,105000.0,37214.56,"['amanwithwings', 'rashmivabbigeri', 'thelastjosh']",0
