ID,Project Name,GitHub URL,Repo Maintainer,Language,First Activity Time,Last Activity Time,Age Months,Has Packages,Package Count,Release Count,Star Count,Fork Count,Contributor Count,Forks (6 Months),Stars (6 Months),Contributor Count (6 Months),Avg Monthly Active Devs (6 Months)
22faefcd-a56d-4560-9573-e6703d441b78,Filet Finance,https://github.com/filetfinance/filet_1.0,filetfinance,Solidity,2023-05-24,2025-11-03,29.0,False,0.0,0.0,0.0,0.0,1.0,,,,
22b40849-0e03-44bb-8631-f958a061df2e,Beryx Filecoin Explorer,https://github.com/zondax/web-beryx-explorer,zondax,TypeScript,2024-02-22,2025-11-03,20.0,False,0.0,1.0,7.0,1.0,6.0,,,,
6e84f2ca-80a1-4fbc-a168-b7de29124ac9,Metrics for the Filecoin P2P network health,https://github.com/probe-lab/website,probe-lab,HTML,2023-03-22,2025-11-06,31.0,False,0.0,0.0,2.0,6.0,13.0,,,5.0,2.2
2bd98798-00fc-4ee2-846b-543627dfae0c,Beryx Filecoin API,https://github.com/zondax/rfpg-beryx-api,zondax,,2024-11-04,2024-11-21,0.0,False,0.0,0.0,0.0,0.0,1.0,,,,
29f7b20b-11b4-4cb0-93fe-07282a101017,BlockseBlock,https://github.com/sahilbsb/bsb,sahilbsb,,2025-10-13,2025-11-03,0.0,False,0.0,0.0,0.0,0.0,0.0,,,,
d422a481-2cb7-4bf2-836e-4f092bca32c1,Filecoin Ledger App & Installation Hub,https://github.com/zondax/web-hub,zondax,,2024-11-04,2024-11-21,0.0,False,0.0,0.0,0.0,0.0,1.0,,,,
e7158e41-c58e-4b5c-af42-4359da146d46,MetaEra,https://github.com/metaeraworkops/retropgf3,metaeraworkops,,2025-11-03,2025-11-03,0.0,False,0.0,0.0,0.0,0.0,0.0,,,,
a5306256-ea84-45ed-9587-f4f3ed403e6e,Safe on Filecoin,https://github.com/protofire/filecoin-wallet-web,protofire,TypeScript,2024-11-18,2025-11-03,11.0,False,0.0,0.0,0.0,0.0,2.0,,,1.0,0.3
827b4d7d-dd9a-4608-8d90-9085b9aa3f3b,fil-miner-info.safematrix,https://github.com/kissports/minerinfo,kissports,,2025-11-03,2025-11-03,0.0,False,0.0,0.0,0.0,0.0,0.0,,,,
bce86943-228a-4410-93e7-7a2421ede875,FILCAPETOWN,https://github.com/filecoin-south-africa-community/impact,filecoin-south-africa-community,,2024-11-05,2024-12-03,0.0,False,0.0,0.0,0.0,0.0,1.0,,,,
