,project,link,amount,slug,tags,dune_namespace
29,DefiLlama,https://vote.optimism.io/retropgf/3/application/0xda04cebe79ec8547116a948edfbdb87e48dcb0543b29b7276df53df579170f74,248448.21,defi-llama,RetroPGF3,DefiLlama
30,DefiLlama,https://gov.optimism.io/t/review-gf-phase-1-proposal-defillama/3562,300000.0,defi-llama,"Grants Season 2, Cycle 8 (Phase 1)",DefiLlama
31,DefiLlama,https://app.optimism.io/retropgf-discovery/0x3754a10c1cA723961068B2653109E6201982Dd9c,171293.0,defi-llama,RetroPGF2,DefiLlama
32,Dope Wars,https://gov.optimism.io/t/review-gf-phase-1-proposal-cycle-7-dope-wars/3592,300000.0,dopedao,"Grants Season 2, Cycle 7 (Phase 1)",Dope Wars
33,Extra Finance - Growth,https://app.charmverse.io/op-grants/proposals?id=7d410c5a-9eff-45fb-ad66-38097ff47695,104000.0,extra-finance,"Grants Season 4, Cycle 13, Growth Grant",Extra Finance
34,Flipside Crypto,https://vote.optimism.io/retropgf/3/application/0x377e4881a89878f1086735552bb4f83d362683e86c8b2d68126eeb726bc684bb,49689.64,flipside-crypto,RetroPGF3,Flipside Crypto
35,Flipside Crypto,https://app.optimism.io/retropgf-discovery/0x62a43123FE71f9764f26554b3F5017627996816a,40080.0,flipside-crypto,RetroPGF2,Flipside Crypto
36,Galxe,https://vote.optimism.io/retropgf/3/application/0x198fe5e11670cd1195067815e48f7e696fe5e7bf43a1c15f9bbbdcd72442c319,85313.14,galxe,RetroPGF3,Galxe
37,Galxe (Oat),https://gov.optimism.io/t/growth-experiments-grant-optimism-oat-subsidization-on-galxe-cycle-11/5535,200000.0,galxe,"Grants Season 3, Cycle 11",Galxe
38,Gelato,https://vote.optimism.io/retropgf/3/application/0xdb2312b8fbf29ccf68c0b22ee4d2d9dfcf192d32cd86c58d9bc5cfd610783084,76445.53,gelato,RetroPGF3,Gelato
39,Gelato,https://gov.optimism.io/t/gf-phase-0-proposal-gelato/873/4,300000.0,gelato,"Grants Season 1, Cycle 1 (Phase 0)",Gelato
40,Gelato,https://app.optimism.io/retropgf-discovery/0x587e9cbc67Af10a9d95F3e38836943667b331392,17983.0,gelato,RetroPGF2,Gelato
41,Geo Web,https://vote.optimism.io/retropgf/3/application/0xe1afef77d8778b1ca62e10a5157d7536abfd82ab17ef71319a8766f8b24eb1bf,31801.37,geo-web,RetroPGF3,Geo Web
42,Geo Web,https://gov.optimism.io/t/geo-web-growth-experiments-cycle-11/5594,2000.0,geo-web,"Grants Season 3, Cycle 11",Geo Web
43,Gitcoin,https://vote.optimism.io/retropgf/3/application/0x859d7ec1d7414662658b753da4559bfa6d091483fd0084b673a374e1c3cabf05,176398.23,gitcoin,RetroPGF3,"Gitcoin, Allo Protocol (Gitcoin), Gitcoin Passport"
44,Gitcoin,https://app.optimism.io/retropgf-discovery/0x48A63097E1Ac123b1f5A8bbfFafA4afa8192FaB0,151494.0,gitcoin,RetroPGF2,"Gitcoin, Allo Protocol (Gitcoin), Gitcoin Passport"
45,Gitcoin Passport,https://vote.optimism.io/retropgf/3/application/0x60085a98f5c48d97a28d7b45d193f9a734d1704e257df91827459b09565e0e47,99379.28,gitcoin,RetroPGF3,"Gitcoin, Allo Protocol (Gitcoin), Gitcoin Passport"
46,Safe,https://gov.optimism.io/t/review-gf-phase-1-proposal-updated-template-safe/3426,500000.0,safe-global,"Grants Season 2, Cycle 7 (Phase 1)",Gnosis Safe
47,Safe (previously Gnosis Safe),https://app.optimism.io/retropgf-discovery/0x9F87C1aCaF3Afc6a5557c58284D9F8609470b571,119584.0,safe-global,RetroPGF2,Gnosis Safe
48,Hats Protocol,https://vote.optimism.io/retropgf/3/application/0xe481da7dcea63794d734fbbd156f0327a4b6905852d6865a5437b722c80871ab,79503.43,hats-protocol,RetroPGF3,Hats Protocol
49,Hedgey,https://vote.optimism.io/retropgf/3/application/0xf8dfff20523c457d87c6ee83f00574f4c73912597f0487c1eff55afb663c4fa2,55430.78,hedgey-finance,RetroPGF3,Hedgey Finance
50,Holograph,https://vote.optimism.io/retropgf/3/application/0xd36960a852e96960b93022ee1d40f33170e9786cda841db0bb6a8f4130658529,79503.43,holograph,RetroPGF3,Holograph
51,Holonym,https://vote.optimism.io/retropgf/3/application/0xb0f319e13cdddf0cb23344062d1e445a0c0f005e9d44a93692838438a5ee0c3b,64596.53,holonym-foundation,RetroPGF3,Holonym
52,Hop DAO,https://vote.optimism.io/retropgf/3/application/0x67ced2fcb164fe4806d9f1e10cb7a6ba4862530cd9d60a188e3dd3d5c6ce162d,49689.64,hop-protocol,RetroPGF3,Hop Protocol
53,Hop Protocol,https://gov.optimism.io/t/gf-phase-0-proposal-hop-protocol/944,1000000.0,hop-protocol,"Grants Season 1, Cycle 1 (Phase 0), Incentive Program Launched",Hop Protocol
54,Hop Protocol,https://app.optimism.io/retropgf-discovery/0x816a684f40b8B4B060A4Df7A10caD589Ef64E95e,38596.0,hop-protocol,RetroPGF2,Hop Protocol
55,Hundred Finance,https://gov.optimism.io/t/ready-gf-phase-1-hundred-finance/2733/4,300000.0,hundred-finance,"Grants Season 1, Cycle 3 (Phase 1), Incentive Program Launched",Hundred Finance
56,Hypercerts Foundation,https://vote.optimism.io/retropgf/3/application/0xdc7101e51a122ec96eaf07c4191f5cc0a096ef50cbbdfdf5936464369991afb2,94410.32,hypercerts,RetroPGF3,Hypercerts
57,InsureDAO,https://gov.optimism.io/t/review-gf-phase-1-insuredao/3584,100000.0,insuredao,"Grants Season 2, Cycle 8 (Phase 1)",InsureDAO
58,Interest Protocol 2,https://gov.optimism.io/t/review-gf-phase-1-interest-protocol-development-deployment-to-optimism/2951?u=gfxlabs,31764.0,interest-protocol,"Grants Season 2, Cycle 6 (Phase 1)",Interest Protocol
59,Kromatika,https://gov.optimism.io/t/ready-gf-phase-1-proposal-cycle-6-kromatika/3306,300000.0,kromatika-finance,"Grants Season 2, Cycle 6 (Phase 1)",Kromatika Finance
60,Kromatika Finance,https://vote.optimism.io/retropgf/3/application/0x3eca7098f253e56e7f0b2da0877651ec375762f07fdae2583281b3d0c82f50e3,24844.82,kromatika-finance,RetroPGF3,Kromatika Finance
61,Kwenta,https://vote.optimism.io/retropgf/3/application/0xd19033e89a3fcb4a7dc19baad712836f6965cf6b4efc0a40f1f0e46d23f8256c,99876.18,kwenta,RetroPGF3,Kwenta
62,Kwenta,https://gov.optimism.io/t/gf-phase-0-proposal-kwenta-protocol/1122/2,900000.0,kwenta,"Grants Season 1, Cycle 1 (Phase 0), Incentive Program Launched",Kwenta
63,Kwenta Referral Program,https://app.charmverse.io/op-grants/page-5311906072594612,210000.0,kwenta,"Grants Season 4, Cycle 15, Growth Grant",Kwenta
64,KyberSwap,https://gov.optimism.io/t/ready-gf-phase-1-proposal-kyberswap/4068,250000.0,kyber-swap,"Grants Season 3, Cycle 10","Kyberswap, KyberSwap"
65,LI.FI,https://gov.optimism.io/t/review-gf-phase-1-proposal-li-fi/3360,200000.0,lifinance,"Grants Season 2, Cycle 7 (Phase 1)",LiFi
66,LYRA V2,https://app.charmverse.io/op-grants/page-8973550421901375,210000.0,lyra-finance,"Grants Season 4, Cycle 15, Growth Grant",Lyra Finance
67,Lyra Finance,https://vote.optimism.io/retropgf/3/application/0x8e02390fa0a94edad31224af640fa639f7d62111f05f32ea1e2746111e45a905,99379.28,lyra-finance,RetroPGF3,Lyra Finance
68,Lyra V1,https://gov.optimism.io/t/gf-phase-0-proposal-lyra-finance/202/22,3000000.0,lyra-finance,"Grants Season 1, Cycle 1 (Phase 0), Incentive Program Launched",Lyra Finance
69,Mean Finance,https://gov.optimism.io/t/ready-gf-phase-1-proposal-mean-finance/2537,300000.0,mean-finance,"Grants Season 1, Cycle 2 (Phase 1)",Mean Finance
70,Metalswap,https://gov.optimism.io/t/metalswap-growth-experiments-grant-cycle-11/5613,30000.0,metalswap-defi-foundation,"Grants Season 3, Cycle 11",Metalswap
71,Metronome - Growth Experiments Grant,https://app.charmverse.io/op-grants/proposals?id=0a036d87-7394-4279-8fc1-8815f966861a,149000.0,metronome-autonomoussoftware,"Grants Season 4, Cycle 13, Growth Grant",Metronome
72,Mirror,https://vote.optimism.io/retropgf/3/application/0x2d8dc7a3cd967718d8f27253b4a3912653d308620007576ac0697ba65fecd985,138983.92,mirror,RetroPGF3,Mirror
73,MUX Protocol,https://app.optimism.io/retropgf-discovery/0x7b4c5F852AA6b44Bd01F9252C3F93Ae1aa1c63e9,986.0,mux-world,RetroPGF2,Mux
74,Mux,https://gov.optimism.io/t/draft-gf-phase-1-proposal-mux-protocol/5037,250000.0,mux-world,"Grants Season 3, Cycle 10",Mux
75,NFTEarth,https://vote.optimism.io/retropgf/3/application/0x00129cda3549f0230e7b7868745bdd11085164ede251ca9c5b2dd5af720d60e8,0.0,nftearth,RetroPGF3,NFTEarth
76,NFTEarth,https://app.optimism.io/retropgf-discovery/0xD131F1BcDd547e067Af447dD3C36C99d6be9FdEB,594.0,nftearth,RetroPGF2,NFTEarth
77,Nested,https://gov.optimism.io/t/ready-gf-phase-1-proposal-nested/4965,250000.0,nested,"Grants Season 3, Cycle 10",Nested
78,Nested,https://app.optimism.io/retropgf-discovery/0x0BE55326919F08Af4D14A42aAfb3B68F95738355,8664.0,nested,RetroPGF2,Nested
79,Orbiter Finance,https://app.optimism.io/retropgf-discovery/0xd923CA098dBBFb0d24677a3150fa3aA97be461b5,6697.0,orbiter-finance,RetroPGF2,Orbiter Finance
80,Overnight.fi,https://gov.optimism.io/t/review-gf-phase-1-proposal-overnight-fi-v2/3772,400000.0,overnight,"Grants Season 2, Cycle 8 (Phase 1)",Overnight+
81,Pendle,https://app.charmverse.io/op-grants/proposals?id=9ea8a89a-9892-47fb-85a6-19344ff9fd6a,112000.0,pendle-finance,"Grants Season 4, Cycle 13, Growth Grant",Pendle
82,Perpetual Protocol,https://gov.optimism.io/t/gf-phase-0-proposal-perpetual-protocol/201/13,9000000.0,perpetual-protocol,"Grants Season 1, Cycle 1 (Phase 0), Incentive Program Launched",Perpetual Protocol
83,Pickle Finance,https://gov.optimism.io/t/ready-gf-phase-1-proposal-pickle-finance/2723,200000.0,pickle-finance,"Grants Season 1, Cycle 2 (Phase 1), Incentive Program Launched",Pickle Finance
84,Pika Protocol,https://gov.optimism.io/t/gf-phase-0-proposal-pika-protocol/1103,900000.0,pika-protocol,"Grants Season 1, Cycle 1 (Phase 0), Incentive Program Launched",Pika Protocol
85,Optimistic Indexer,https://vote.optimism.io/retropgf/3/application/0x75815ccd858e6b97c6e8435e24ec66b1bc4d67c4775a81d4b49a8c58b62daf3f,99379.28,polynomial-protocol,RetroPGF3,Polynomial Protocol
86,Polynomial Protocol,https://gov.optimism.io/t/gf-phase-0-proposal-polynomial-protocol/1625,900000.0,polynomial-protocol,"Grants Season 1, Cycle 1 (Phase 0), Incentive Program Launched",Polynomial Protocol
87,EIP-5164 / PoolTogether Inc,https://app.optimism.io/retropgf-discovery/0x0a09cd09B0107Bb98a83f211704F036ECa94B92e,54551.0,pool-together,RetroPGF2,"Pooltogether, PoolTogether"
88,PoolTogether,https://gov.optimism.io/t/review-gf-phase-1-pooltogether/3747,550000.0,pool-together,"Grants Season 2, Cycle 8 (Phase 1)","Pooltogether, PoolTogether"
89,Premia,https://gov.optimism.io/t/draft-gf-phase-1-proposal-premia/5034,235000.0,premiafinance,"Grants Season 3, Cycle 10",Premia
90,Iggy Social - Web3 Social for DAOs,https://vote.optimism.io/retropgf/3/application/0x7d3016ec843e04aa195883ac9287fb02b66f67ccbece89883463b9a0ae7f10f1,38223.26,punk-domains,RetroPGF3,Punk Domains
91,Pyth Network,https://vote.optimism.io/retropgf/3/application/0xfeba07d541bf93651d4278ab2fb91f89b147e6c5d743ea29fe797958997644cf,74534.46,pyth-network,RetroPGF3,Pyth
92,Pyth Network ,https://app.charmverse.io/op-grants/proposals?id=2aa53df9-afe5-4977-a630-53b719caa0fc,40000.0,pyth-network,"Grants Season 4, Cycle 13, Builders Grant",Pyth
93,QiDao,https://gov.optimism.io/t/ready-gf-phase-1-proposal-qidao-protocol/2863,750000.0,qidao-mai-finance,"Grants Season 1, Cycle 4 (Phase 1)",QiDao
94,Rabbit Hole,https://gov.optimism.io/t/draft-gf-phase-1-proposal-rabbithole-quests-on-optimism/5377,248500.0,rabbithole,"Grants Season 3, Cycle 11",Rabbithole
95,RabbitHole,https://vote.optimism.io/retropgf/3/application/0x4f382f942845103eace9ad3e46a817e5e95a1676974c58358c7c84d540fdd951,76445.53,rabbithole,RetroPGF3,Rabbithole
96,Rainbow Wallet,https://vote.optimism.io/retropgf/3/application/0xb1af1a67d6a94f233303d850c607aa1e26365237ab1376864a81d636ec0ebe0a,76445.53,rainbow,RetroPGF3,Rainbow
97,Rainbow Wallet,https://gov.optimism.io/t/review-gf-phase-1-proposal-optimism-rainbow/3564,420069.0,rainbow,"Grants Season 2, Cycle 7 (Phase 1)",Rainbow
98,RainbowKit,https://vote.optimism.io/retropgf/3/application/0xe9140c31f3a448f0f52124b3f9782f7947d698a686ceb20f77f60366670f3f8e,99379.28,rainbow,RetroPGF3,Rainbow
99,RedStone Oracles on Optimism,https://app.charmverse.io/op-grants/proposals?id=68dc0853-0009-4348-8df8-e9d4d3e393e8,40000.0,redstone-finance,"Grants Season 4, Cycle 13, Builders Grant",RedStone
100,Revert,https://vote.optimism.io/retropgf/3/application/0x653d55ee03bdd6efb8c8cf7434f6c98fd3741bb5dbbc678d021365adfd9dce23,30479.63,revert-finance,RetroPGF3,Revert Finance
101,Revert Compoundor,https://gov.optimism.io/t/ready-gf-phase-1-revert-finance-compoundor/3242,240000.0,revert-finance,"Grants Season 2, Cycle 6 (Phase 1), Incentive Program Launched",Revert Finance
102,Rigoblock,https://app.optimism.io/retropgf-discovery/0x080f08076e8EAdC66006C3CbFEd28a34918A1fA6,928.0,rigo-block,RetroPGF2,RigoBlock
103,Rocket Pool,https://gov.optimism.io/t/ready-gf-phase-1-rocket-pool/2822,600000.0,rocket-pool,"Grants Season 1, Cycle 4 (Phase 1)",Rocket Pool
104,Rubicon,https://gov.optimism.io/t/gf-phase-0-proposal-rubicon/794/5,900000.0,rubicon,"Grants Season 1, Cycle 1 (Phase 0), Incentive Program Launched",Rubicon
105,Rubicon,https://gov.optimism.io/t/gf-phase-1-proposal-rubicon/5068,200000.0,rubicon,"Grants Season 3, Cycle 10",Rubicon
106,Flexible Voting,https://vote.optimism.io/retropgf/3/application/0x0d545183c325a4ddc39efb4311dc9c8221d6bc0e3a0179feae2c308c5111da6d,44720.68,scope-lift,RetroPGF3,ScopeLift
107,Flexible Voting,https://app.optimism.io/retropgf-discovery/0x8f5906963Ae276E1631EFA8Ff1a9CaE6499EC5E3,19057.0,scope-lift,RetroPGF2,ScopeLift
108,Umbra,https://app.optimism.io/retropgf-discovery/0x5C04E7808455ee0e22c2773328C151d0DD79dC62,34178.0,scope-lift,RetroPGF2,ScopeLift
109,Slingshot,https://gov.optimism.io/t/gf-phase-0-proposal-slingshot/1326,300000.0,slingshot,"Grants Season 1, Cycle 1 (Phase 0), Incentive Program Launched",Slingshot
110,Socket,https://gov.optimism.io/t/review-gf-phase-1-proposal-socket/3647/2,500000.0,socket,"Grants Season 2, Cycle 8 (Phase 1)",Socket
111,Socket ,https://vote.optimism.io/retropgf/3/application/0xef72bca84161d8ba1e471dbe58b8a3fef9cd56e697e885d78c6ec5c77e81b71a,76445.53,socket,RetroPGF3,Socket
112,Sonne Finance,https://gov.optimism.io/t/draft-2-gf-phase-1-proposal-sonne-finance/4779,250000.0,sonne-finance,"Grants Season 3, Cycle 10",Sonne Finance
113,Sonne Finance ,https://vote.optimism.io/retropgf/3/application/0x655147f840bb857c98d0a6841d40c43a0d1359aa79843c46e8e15b9f8cafd6eb,81987.91,sonne-finance,RetroPGF3,Sonne Finance
114,Stargate Finance,https://gov.optimism.io/t/gf-phase-0-proposal-stargate-finance/721/5,1000000.0,stargate-finance,"Grants Season 1, Cycle 1 (Phase 0), Incentive Program Launched",Stargate Finance
115,Superfluid,https://gov.optimism.io/t/ready-gf-phase-1-proposal-superfluid/2314,150000.0,superfluid,"Grants Season 1, Cycle 3 (Phase 1)",Superfluid
116,Sushi,https://vote.optimism.io/retropgf/3/application/0x176d93beb29316e51b21e42cc1d49ef0867b37bda258b06ba410a3043fee7df5,99379.28,sushi,RetroPGF3,Sushi
117,Sushiswap,https://gov.optimism.io/t/ready-gf-phase-1-sushi-part-1/3301,504000.0,sushi,"Grants Season 2, Cycle 7 (Phase 1)",Sushi
118,Synapse,https://gov.optimism.io/t/gf-phase-0-proposal-synapse-protocol/928,1000000.0,synapse,"Grants Season 1, Cycle 1 (Phase 0)",Synapse
119,Synapse Labs,https://vote.optimism.io/retropgf/3/application/0x3d2fe07760753070d5f3fe44fb92923065c688b56f3069906d8eae4cc3867fb6,24357.86,synapse,RetroPGF3,Synapse
120,Synpress,https://gov.optimism.io/t/synpress-builders-grant-cycle-11/5578,50000.0,synthetix,"Grants Season 3, Cycle 11, Builders Grant",Synthetix
121,Synpress,https://app.optimism.io/retropgf-discovery/0xd35E119782059A27FEAd4EddA8B555f393650BC8,91887.0,synthetix,RetroPGF2,Synthetix
122,Synthetix,https://vote.optimism.io/retropgf/3/application/0x6ae2bf87fcbddb4d715add72ea987fcb9537ec19e3f859befeebeed533144e73,99379.28,synthetix,RetroPGF3,Synthetix
123,Synthetix,https://gov.optimism.io/t/gf-phase-0-proposal-synthetix/1381,9000000.0,synthetix,"Grants Season 1, Cycle 1 (Phase 0), Incentive Program Launched",Synthetix
124,Tarot,https://gov.optimism.io/t/review-gf-phase-1-voting-cycle-7-tarot/3567,540000.0,tarot-finance,"Grants Season 2, Cycle 7 (Phase 1)",Tarot Finance
125,Overtime Markets,https://gov.optimism.io/t/review-gf-phase-1-voting-cycle-7-overtime-markets/3579,300000.0,thales,"Grants Season 2, Cycle 7 (Phase 1)",Thales
126,Thales,https://gov.optimism.io/t/gf-phase-0-proposal-thales/1078/2,900000.0,thales,"Grants Season 1, Cycle 1 (Phase 0), Incentive Program Launched",Thales
127,Thales,https://gov.optimism.io/t/draft-gf-phase-1-proposal-thales/4984,250000.0,thales,"Grants Season 3, Cycle 10",Thales
128,Threshold,https://gov.optimism.io/t/draft-gf-phase-1-growth-experiments-grant-btc-holders-bridge-to-ethereum-in-a-trust-minimized-way/5638,200000.0,threshold-network,"Grants Season 3, Cycle 11",Threshold Network
129,Tide protocol Growth Campaigns,https://app.charmverse.io/op-grants/proposals?id=d438c900-8247-45aa-9193-f398c22cf1fb,40000.0,tide-protocol-fiveelementslabs,"Grants Season 4, Cycle 13, Growth Grant",Tide Protocol
130,Umbra,https://vote.optimism.io/retropgf/3/application/0x617e15a1edc68034cac85db6f0a4d3bb55418761ab7ba4fe26423c3806ff20e6,74534.46,umbra,RetroPGF3,Umbra
131,Uniswap V3,https://gov.optimism.io/t/gf-phase-0-proposal-uniswap/2133/5,1000000.0,uniswap,"Grants Season 1, Cycle 1 (Phase 0), Incentive Program Launched",Uniswap
132,Patrick Workman,https://vote.optimism.io/retropgf/3/application/0xba60fee29d573acf227ffb4dd7bc8f44371cf226b37ce28efe413a082f23e53b,60616.89,unlock-protocol,RetroPGF3,Unlock Protocol
133,VMEX Finance,https://vote.optimism.io/retropgf/3/application/0xcd17447eb2b8a5332630662c3bcf6a4da4ad8213c643621536d40655340c7f84,0.0,vmex-finance,RetroPGF3,VMEX Finance
134,Velodrome,https://vote.optimism.io/retropgf/3/application/0xb223887547f0bd1560b4e472a18da5f8733792b7e334bf8009dd36346b91a8f8,99379.28,velodrome,RetroPGF3,Velodrome
135,Velodrome,https://gov.optimism.io/t/ready-gf-phase-1-proposal-velodrome-finance/3736,4000000.0,velodrome,"Grants Season 2, Cycle 8 (Phase 1)",Velodrome
136,Velodrome Finance,https://app.charmverse.io/op-grants/proposals?id=41a63476-0515-4b94-b1fc-c57b3145fcd3,150000.0,velodrome,"Grants Season 4, Cycle 13, Growth Grant",Velodrome
137,Velodrome Finance,https://app.charmverse.io/op-grants/page-04321665122632923,210000.0,velodrome,"Grants Season 4, Cycle 15, Growth Grant",Velodrome
138,Velodrome: Fostering Inclusive Governance through Leading Optimism Builders and Long-term Users,https://gov.optimism.io/t/final-velodrome-fostering-inclusive-governance-through-leading-optimism-builders-and-long-term-users/6186,350000.0,velodrome,"Missions Season 4, Cycle 13, Intent 4, Phoenix, Builders Grant",Velodrome
139,Velodrome: Fostering Inclusive Governance through Leading Optimism Builders and Long-term Users,https://gov.optimism.io/t/final-velodrome-fostering-inclusive-governance-through-leading-optimism-builders-and-long-term-users/6186,650000.0,velodrome,"Missions Season 4, Cycle 13, Intent 4, Phoenix",Velodrome
140,Velodrome: Spread Awareness Through Direct Outreach and Onboarding,https://gov.optimism.io/t/final-velodrome-spread-awareness-through-direct-outreach-and-onboarding/6180,100000.0,velodrome,"Missions Season 4, Cycle 13, Intent 3, Phoenix",Velodrome
141,Vesper,https://gov.optimism.io/t/ready-vesper-finance/5389,75000.0,vesper,"Grants Season 3, Cycle 11",Vesper
142,Via Protocol,https://gov.optimism.io/t/gf-phase-1-proposal-via-protocol/4917,250000.0,via-protocol,"Grants Season 3, Cycle 10",Via Protocol
143,WardenSwap,https://gov.optimism.io/t/ready-gf-phase-1-proposal-wardenswap/2712,300000.0,warden-swap,"Grants Season 1, Cycle 2 (Phase 1)",WardenSwap
144,Wepiggy,https://gov.optimism.io/t/gf-phase-0-proposal-wepiggy/437/5,300000.0,we-piggy,"Grants Season 1, Cycle 1 (Phase 0), Incentive Program Launched",WePiggy
145,Wombat Exchange,https://app.charmverse.io/op-grants/page-836663139821324,150000.0,wombat-exchange,"Grants Season 4, Cycle 14, Growth Grant",Wombat Exchange
146,Yearn,https://vote.optimism.io/retropgf/3/application/0x4b73a8f4d2e3bf2f6cff7ae014b13fdf8a85d0b33064127e53b81b2b7d365652,99379.28,yearn,RetroPGF3,Yearn
147,Yearn,https://gov.optimism.io/t/ready-gf-phase-1-proposal-yearn/3509/6,1000000.0,yearn,"Grants Season 2, Cycle 7 (Phase 1)",Yearn
148,0x,https://gov.optimism.io/t/gf-phase-0-proposal-0x-zeroex/1299/6,300000.0,zeroex,"Grants Season 1, Cycle 1 (Phase 0)","Zeroex (0x), zeroex"
149,ZORA,https://vote.optimism.io/retropgf/3/application/0x0bcd7e1f59a78a15a8c481244aaba93b7f690aaece04ffc6e4a55e282afa309c,99379.28,zora,RetroPGF3,Zora
