date,forecasted_Transaction Count,forecasted_Active Users,forecasted_Unique Users,forecasted_Total Transferred,forecasted_Gas Fees,forecasted_Retained Daily Active Users,forecasted_DAA/MAA,forecasted_TVL-derive,forecasted_TVL_opchain-derive,forecasted_TVL-derive_v1_protocol,forecasted_TVL_opchain-derive_v1_protocol,forecasted_TVL-derive_v2_protocol,forecasted_TVL_opchain-derive_v2_protocol
2024-09-17 00:00:00,76.51634662173964,51.58376501872246,1.7125440587196528,8046237071.778631,0.04131003673500255,2.101730196570829,1.734713576864803,37718362.74003096,63482236.524675295,1263428.3596475634,1416472.927120886,58747881.53432771,64853707.16090693
2024-09-18 00:00:00,98.99514210538884,31.41244538036443,2.424201379986786,39318607736.832344,0.04168155526926564,3.278919825670437,1.9416405975650513,40937831.003685005,60643669.099382326,1494173.8118595227,1354415.8751030911,65023771.66267963,62373118.96112705
2024-09-19 00:00:00,85.44513110169875,61.1828255665962,1.9579027340616453,5062631237624.427,0.04588740652236398,1.6363031826059873,0.8074427571490543,39950362.52858571,62366456.178045705,1096620.3616321736,1358104.5057569721,63989380.71824503,61851207.39514982
2024-09-20 00:00:00,112.6248635257332,64.80873849730082,1.7486998586936993,1526246113.600921,0.052447870461554476,3.5774884642697473,1.8518328990339856,39559496.88311815,59368839.12978908,1112197.8393783586,1367987.2731265023,65980780.365795024,57469530.11579814
2024-09-21 00:00:00,89.27545949749377,81.52366972551548,1.2132990034451603,33554656.802828714,0.0377225237469494,2.5815239964125527,1.5666499851336215,34634732.36428802,56034758.50982276,1282740.3050309112,1435271.6510324306,62364523.54606823,59568274.9406804
2024-09-22 00:00:00,79.82022178702545,49.61437718143897,2.100332375328313,17078499977.899075,0.03080044484273461,2.281687939216653,1.4938456905236288,35302621.18612987,62441364.74453664,1294143.9954379895,1368329.118846713,65394497.50900316,54337197.945030265
2024-09-23 00:00:00,142.16922600890982,64.37280578565661,2.4195133964477957,8105872376.863872,0.048059861208520405,2.836277155993732,2.245439368812107,30974141.460975446,60419942.21011027,1144473.9370236087,1434669.3869384294,63810654.80486673,61400604.654865555
2024-09-24 00:00:00,74.69415905999386,50.10020400674357,1.0613374018228654,19098833813.431385,0.04068148189307414,2.3472995536651413,2.1724227656615422,32077812.26676019,53155957.78853345,1266933.5744893472,1415168.8131034316,60868905.232432656,61025918.395389125
2024-09-25 00:00:00,105.9979423063967,51.65466382286673,2.3895390774771923,58427664026.75288,0.015472691884265274,2.6301258257806954,1.6022532385640682,30687600.72173874,54143734.361799486,1334507.627101564,1350702.6428822617,55278655.38431553,53427277.95156171
2024-09-26 00:00:00,59.091650298747446,60.57079956059539,2.5143238646048336,115696863896.5561,0.014959503972422707,3.1323140711646014,1.470666331997316,29862517.965203553,58422498.52249022,1248840.2008661933,1501975.2364011097,65884533.26818008,54508857.3645304
