transaction_date,address,cnt,total_transferred,total_transferred_in_tokens,net_transferred,net_transferred_in_tokens
2024-06-14,0xcb54808f5ef6fd88b933c55dd4f4c365e61828bb,1,0.0,0.0,0.0,0.0
2024-06-18,0xcb54808f5ef6fd88b933c55dd4f4c365e61828bb,2,2e+16,20.0,2e+16,20.0
2024-07-10,0xcb54808f5ef6fd88b933c55dd4f4c365e61828bb,4,0.0,0.0,4e+16,40.0
2024-07-17,0xcb54808f5ef6fd88b933c55dd4f4c365e61828bb,1,0.0,0.0,2e+16,20.0
2024-07-20,0xcb54808f5ef6fd88b933c55dd4f4c365e61828bb,1,0.0,0.0,2e+16,20.0
2024-09-24,0xcb54808f5ef6fd88b933c55dd4f4c365e61828bb,1,0.0,0.0,2e+16,20.0
2024-09-25,0xcb54808f5ef6fd88b933c55dd4f4c365e61828bb,1,0.0,0.0,2e+16,20.0
2024-09-27,0xcb54808f5ef6fd88b933c55dd4f4c365e61828bb,1,0.0,0.0,2e+16,20.0
2024-10-09,0xcb54808f5ef6fd88b933c55dd4f4c365e61828bb,1,0.0,0.0,2e+16,20.0
2024-10-16,0xcb54808f5ef6fd88b933c55dd4f4c365e61828bb,1,0.0,0.0,2e+16,20.0
2024-10-23,0xcb54808f5ef6fd88b933c55dd4f4c365e61828bb,1,0.0,0.0,2e+16,20.0
2024-10-28,0xcb54808f5ef6fd88b933c55dd4f4c365e61828bb,1,0.0,0.0,2e+16,20.0
2024-12-03,0xcb54808f5ef6fd88b933c55dd4f4c365e61828bb,1,0.0,0.0,2e+16,20.0
2024-12-20,0xcb54808f5ef6fd88b933c55dd4f4c365e61828bb,1,0.0,0.0,2e+16,20.0
