date,token,value,readable_date,protocol
1683244800,OP,3.00845,2023-05-05,extra_finance_leverage_farming_protocol
1683244800,VELO,1.12496,2023-05-05,extra_finance_leverage_farming_protocol
1683244800,WETH,19.71301,2023-05-05,extra_finance_leverage_farming_protocol
1683244800,USDC,5.9374,2023-05-05,extra_finance_leverage_farming_protocol
1683244800,USX,1.99957,2023-05-05,extra_finance_leverage_farming_protocol
1683244800,SNX,3.49036,2023-05-05,extra_finance_leverage_farming_protocol
1683331200,OP,2.94593,2023-05-06,extra_finance_leverage_farming_protocol
1683331200,WETH,20.86203,2023-05-06,extra_finance_leverage_farming_protocol
1683331200,USDC,7.41935,2023-05-06,extra_finance_leverage_farming_protocol
1683331200,VELO,1.082,2023-05-06,extra_finance_leverage_farming_protocol
1683331200,USX,2.49826,2023-05-06,extra_finance_leverage_farming_protocol
1683331200,SNX,3.58603,2023-05-06,extra_finance_leverage_farming_protocol
1683417600,OP,2.80736,2023-05-07,extra_finance_leverage_farming_protocol
1683417600,WETH,48.53735,2023-05-07,extra_finance_leverage_farming_protocol
1683417600,VELO,10.57251,2023-05-07,extra_finance_leverage_farming_protocol
1683417600,USDC,36.16487,2023-05-07,extra_finance_leverage_farming_protocol
1683417600,USX,1.74915,2023-05-07,extra_finance_leverage_farming_protocol
1683417600,SNX,3.38421,2023-05-07,extra_finance_leverage_farming_protocol
1683504000,OP,2.84525,2023-05-08,extra_finance_leverage_farming_protocol
1683504000,WETH,57.93626,2023-05-08,extra_finance_leverage_farming_protocol
1683504000,VELO,10.96432,2023-05-08,extra_finance_leverage_farming_protocol
1683504000,USDC,55.68079,2023-05-08,extra_finance_leverage_farming_protocol
1683504000,USX,1.62939,2023-05-08,extra_finance_leverage_farming_protocol
1683504000,SNX,3.35692,2023-05-08,extra_finance_leverage_farming_protocol
1683590400,OP,2.62078,2023-05-09,extra_finance_leverage_farming_protocol
1683590400,WETH,57.19651,2023-05-09,extra_finance_leverage_farming_protocol
1683590400,USDC,175.33565,2023-05-09,extra_finance_leverage_farming_protocol
1683590400,VELO,110.3545,2023-05-09,extra_finance_leverage_farming_protocol
1683590400,USX,1.62452,2023-05-09,extra_finance_leverage_farming_protocol
1683590400,SNX,3.1035,2023-05-09,extra_finance_leverage_farming_protocol
1683676800,OP,46457.8446,2023-05-10,extra_finance_leverage_farming_protocol
1683676800,WETH,28473.63887,2023-05-10,extra_finance_leverage_farming_protocol
1683676800,USDC,73764.40064,2023-05-10,extra_finance_leverage_farming_protocol
1683676800,VELO,5298.30653,2023-05-10,extra_finance_leverage_farming_protocol
1683676800,USX,1556.77118,2023-05-10,extra_finance_leverage_farming_protocol
1683676800,SNX,5361.35431,2023-05-10,extra_finance_leverage_farming_protocol
1683763200,OP,46995.86844,2023-05-11,extra_finance_leverage_farming_protocol
1683763200,WETH,28374.82626,2023-05-11,extra_finance_leverage_farming_protocol
1683763200,USDC,75462.49476,2023-05-11,extra_finance_leverage_farming_protocol
1683763200,VELO,5505.53789,2023-05-11,extra_finance_leverage_farming_protocol
1683763200,USX,1571.81195,2023-05-11,extra_finance_leverage_farming_protocol
1683763200,SNX,5451.73188,2023-05-11,extra_finance_leverage_farming_protocol
1683849600,OP,43805.06972,2023-05-12,extra_finance_leverage_farming_protocol
1683849600,VELO,5122.04588,2023-05-12,extra_finance_leverage_farming_protocol
1683849600,WETH,27793.73075,2023-05-12,extra_finance_leverage_farming_protocol
1683849600,USDC,74734.79361,2023-05-12,extra_finance_leverage_farming_protocol
1683849600,USX,1572.39375,2023-05-12,extra_finance_leverage_farming_protocol
1683849600,SNX,5086.59472,2023-05-12,extra_finance_leverage_farming_protocol
1683936000,DOLA,60.76347,2023-05-13,extra_finance_leverage_farming_protocol
1683936000,OP,56863.00987,2023-05-13,extra_finance_leverage_farming_protocol
1683936000,USD+,39.10272,2023-05-13,extra_finance_leverage_farming_protocol
1683936000,STG,13.21885,2023-05-13,extra_finance_leverage_farming_protocol
1683936000,WETH,27900.66084,2023-05-13,extra_finance_leverage_farming_protocol
1683936000,USDC,76375.44997,2023-05-13,extra_finance_leverage_farming_protocol
1683936000,VELO,7053.90557,2023-05-13,extra_finance_leverage_farming_protocol
1683936000,USX,2579.33047,2023-05-13,extra_finance_leverage_farming_protocol
1683936000,SNX,5229.76927,2023-05-13,extra_finance_leverage_farming_protocol
1684022400,DOLA,61.11964,2023-05-14,extra_finance_leverage_farming_protocol
1684022400,OP,59985.74197,2023-05-14,extra_finance_leverage_farming_protocol
1684022400,USD+,39.48521,2023-05-14,extra_finance_leverage_farming_protocol
1684022400,STG,13.06759,2023-05-14,extra_finance_leverage_farming_protocol
1684022400,WETH,27797.41413,2023-05-14,extra_finance_leverage_farming_protocol
1684022400,VELO,7198.88473,2023-05-14,extra_finance_leverage_farming_protocol
1684022400,USDC,83042.99117,2023-05-14,extra_finance_leverage_farming_protocol
1684022400,USX,2330.50315,2023-05-14,extra_finance_leverage_farming_protocol
1684022400,SNX,5067.3586,2023-05-14,extra_finance_leverage_farming_protocol
1684108800,DOLA,61.47571,2023-05-15,extra_finance_leverage_farming_protocol
1684108800,OP,60032.43273,2023-05-15,extra_finance_leverage_farming_protocol
1684108800,USD+,39.31758,2023-05-15,extra_finance_leverage_farming_protocol
1684108800,STG,13.22722,2023-05-15,extra_finance_leverage_farming_protocol
1684108800,WETH,27907.72658,2023-05-15,extra_finance_leverage_farming_protocol
1684108800,USDC,81988.70372,2023-05-15,extra_finance_leverage_farming_protocol
