,project_id,name,num_txns,distinct_users,active_days,gas_fees,chains
0,0xa45ebed9267cf10226c68abc98b1871bdfa611ee51050c161e316be1dbf7e696,Based Onchain Cubes,66,44,43,0.0005501603577331356,['BASE']
1,0x55c2b578a1e34fbbc872dd8736b8e7dda4c87d12522db966f1bf3e75af900f13,WorldPot,177,5,45,0.3154009706213986,['WORLDCHAIN']
2,0xae3efd865f9584671ede5e94c83190b0aea5ac5d77eb0179ba849bcaae314546,Base Logos,9314,8067,83,0.17500067304307024,['BASE']
3,0xf87906563da69538c969ba438f127ce5f2196e76c84c9026ab6dafc4280b6be3,PHI,39507,9478,179,11.205385078075501,['BASE' 'OPTIMISM']
4,0xe672c4e1230d7870e73e2ba6a9c5389f321dde735289bf33575e163a6ea2f00f,Got Vision,1679,20,20,0.00021117775578145177,['WORLDCHAIN']
5,0x93b1eafeb62f6cd5099ad82068763c1fd21f9d881c4e1a474ab854876ea84441,Based Year 2024,2819,2571,39,0.029797596888070706,['BASE']
6,0x692340d3ec51f53411126f8247003e2b87b113cfdf4a322b4e38d6bbe5822c5f,MemeWallet,88546,39,86,0.20868164229415048,['WORLDCHAIN']
7,0xffffeb1d3576c1e847701c225975ee1a10259e05366b477e98fea7a47c5e5896,Rainbow (Rainbow Router),426445,46293,181,5.536599871262133,['INK' 'BASE' 'OPTIMISM' 'ZORA']
8,0x59fcf753703c0f32c9d601b7f0071304819e832262efc0c0903f932bb586d10b,youbuidl,1,1,1,2.80359995208e-07,['OPTIMISM']
9,0x512e27ae7e194a31bbde426c25d78b5d43916192674d71a0c4deeea1c622f166,motoDEX,8,8,5,0.00031373630700797997,['BASE']
10,0x5c76f623580566171af2a9553e8b7b230acc71aeb8829446d5eae2579ecda369,WebHash.com,3992,758,169,0.007970466258007786,['BASE']
11,0xed3d54e5394dc3ed01f15a67fa6a70e203df31c928dad79f70e25cb84f6e2cf9,HostIT,2551,2,12,0.0010817185457057629,['LISK']
12,0x800707befd6c94e7cea794200a6fee1155e54ca94bc10ee85d15c3f23845b10c,Ethereum Follow Protocol,79378,27551,156,1.0884384611021425,['OPTIMISM' 'BASE']
13,0xb926ab918147d2264dba94a429eb07986aa533fd6062a78736d3eda4e0b4a69b,Oku Trade,163,37,56,0.009959748302137085,['BASE' 'OPTIMISM']
14,0xff350d81524a79a1062f5f4977b45406b822fb4f150ba5a8516b0edf876add0e,Hermes,1034,142,128,0.03270842407206027,['OPTIMISM' 'BASE']
15,0xa09305aa57a60e362b11911666f6310f46c959ead9116333d2e7ca91aee180bf,Super Account,159121,57944,139,0.24259182531512619,['OPTIMISM']
