project_id,name,num_contract,valid_oso_link,valid_defillama_link,num_txns,distinct_users,active_days,gas_fees,chains,is_eligible,retrolist_url
0x4288aacdda65af69c03b2c9b9d057e2b93ed1b7671e481b03c6a7b33349d2365,Aerodrome Finance,1,True,False,294932380.0,1405718.0,179.0,436765.1259734904,['BASE'],True,https://s7-onchain.retrolist.app/project/0x4288aacdda65af69c03b2c9b9d057e2b93ed1b7671e481b03c6a7b33349d2365
0x780cf3d5aa4e3c94b8a4157f4b06a3f92ebcc20813585e20e3fe0271bf76b7a9,Virtuals Protocol,12,False,False,20926512.0,787209.0,179.0,6638.39935993502,['BASE'],True,https://s7-onchain.retrolist.app/project/0x780cf3d5aa4e3c94b8a4157f4b06a3f92ebcc20813585e20e3fe0271bf76b7a9
0x40ee6048c99aefd288f6133db207849d0951fe6b62afa1cca0db5a4ad7f558de,ORO,1,False,False,19360113.0,1111.0,117.0,6.523465401854146,['WORLDCHAIN'],True,https://s7-onchain.retrolist.app/project/0x40ee6048c99aefd288f6133db207849d0951fe6b62afa1cca0db5a4ad7f558de
0xca3f26e1c876e821d2384a5cb699c6be494f9810301c2e2be49c232656262642,BaseSwap ,18,False,False,12202482.0,842647.0,179.0,869.1114344381214,['BASE'],True,https://s7-onchain.retrolist.app/project/0xca3f26e1c876e821d2384a5cb699c6be494f9810301c2e2be49c232656262642
0x08df6e20a3cfabbaf8f34d4f4d048fe7da40447c24be0f3ad513db6f13c755dd,Velodrome Finance,1,True,False,10997067.0,186863.0,181.0,520.061968259404,['MODE' 'OPTIMISM'],True,https://s7-onchain.retrolist.app/project/0x08df6e20a3cfabbaf8f34d4f4d048fe7da40447c24be0f3ad513db6f13c755dd
0x41b2ae8a2ead458ff7c85549a9a11380353e1ae4b234666312d495326636f77a,Sushiswap,2,False,False,8531827.0,690852.0,181.0,529.5808401838068,['BASE' 'OPTIMISM'],True,https://s7-onchain.retrolist.app/project/0x41b2ae8a2ead458ff7c85549a9a11380353e1ae4b234666312d495326636f77a
0x91a4420e2fcc8311e97dad480f201a8ce221f2cd64c2de77280cbcc6ce193752,Layer3,8,False,False,7159493.0,376616.0,181.0,37.77254554809475,['INK' 'MODE' 'BOB' 'LISK' 'OPTIMISM' 'ZORA' 'BASE' 'SONEIUM'],True,https://s7-onchain.retrolist.app/project/0x91a4420e2fcc8311e97dad480f201a8ce221f2cd64c2de77280cbcc6ce193752
0x517eaa9c56951de89261f2d7830ea49aae92f2a903104a17d9c5c2edd4959806,LI.FI,7,True,False,5179236.0,714145.0,181.0,130.42431635068775,['MODE' 'INK' 'SONEIUM' 'OPTIMISM' 'BASE' 'LISK' 'WORLDCHAIN' 'UNICHAIN'],True,https://s7-onchain.retrolist.app/project/0x517eaa9c56951de89261f2d7830ea49aae92f2a903104a17d9c5c2edd4959806
0x72723e07fe409557489a6643b43d9493a94c10ba68230b0527f01834cb6a550f,Across Protocol,3,False,False,4416286.0,706503.0,181.0,93.22228333042288,['BASE' 'OPTIMISM' 'MODE'],True,https://s7-onchain.retrolist.app/project/0x72723e07fe409557489a6643b43d9493a94c10ba68230b0527f01834cb6a550f
0x70624cd9a8be4ead96e5097025eb645b9848e2643e5025a4006dee2cff1a4138,WAGMI,3,False,False,3635032.0,2692451.0,179.0,116.01850657748318,['BASE'],True,https://s7-onchain.retrolist.app/project/0x70624cd9a8be4ead96e5097025eb645b9848e2643e5025a4006dee2cff1a4138
0x000c2ce4773defb3010a58d3800d0ec9d432189c574ba26d3103f1db44a5af6d,WOOFi,84,False,False,2157614.0,124302.0,181.0,290.0627708148115,['OPTIMISM' 'BASE'],True,https://s7-onchain.retrolist.app/project/0x000c2ce4773defb3010a58d3800d0ec9d432189c574ba26d3103f1db44a5af6d
0xb620f012eb197e5661f65c1a5aee6a4bbb43629f0056879ae4dc66adf8383ae3,ORB,1,False,False,2109926.0,1565.0,117.0,3.116371894804411,['WORLDCHAIN'],True,https://s7-onchain.retrolist.app/project/0xb620f012eb197e5661f65c1a5aee6a4bbb43629f0056879ae4dc66adf8383ae3
0xe8833ceee8beb2b3fb0f7f2dcef576f6f9cf20e35d8e53324d71b0ed47b01982,SOCKET protocol,101,True,False,1956941.0,427223.0,181.0,30.7455094968089,['LYRA' 'INK' 'BASE' 'OPTIMISM' 'MODE' 'UNICHAIN'],True,https://s7-onchain.retrolist.app/project/0xe8833ceee8beb2b3fb0f7f2dcef576f6f9cf20e35d8e53324d71b0ed47b01982
0xd4f0252e6ac2408099cd40d213fb6f42e8fa129b446d6e8da55e673598ef14c0,Moonwell,30,False,False,1956252.0,148959.0,179.0,5036.031695287753,['BASE'],True,https://s7-onchain.retrolist.app/project/0xd4f0252e6ac2408099cd40d213fb6f42e8fa129b446d6e8da55e673598ef14c0
0xfe8e35b3487bd0e0457b9431b12b73403ca1f5c9c19dd1db81a2317c97c1e1a2,Stoke Fire,2,False,False,1719798.0,9073.0,153.0,32.43267033277201,['BASE'],True,https://s7-onchain.retrolist.app/project/0xfe8e35b3487bd0e0457b9431b12b73403ca1f5c9c19dd1db81a2317c97c1e1a2
0x24ff0fb2933e55b169a80d9bd35a00a7011795387717b27445ccdc0f8660d740,OpenOcean,3,False,False,1707852.0,363698.0,181.0,77.53722682405649,['BASE' 'MODE' 'OPTIMISM'],True,https://s7-onchain.retrolist.app/project/0x24ff0fb2933e55b169a80d9bd35a00a7011795387717b27445ccdc0f8660d740
0x62e37e96aa6e1cbfb6bd24b97c4b8f1e12cc3fe35d5388d2f041c42a12b40745,Stargate Finance,41,True,False,1510778.0,188968.0,181.0,77.25319312044827,['SONEIUM' 'OPTIMISM' 'INK' 'BASE'],True,https://s7-onchain.retrolist.app/project/0x62e37e96aa6e1cbfb6bd24b97c4b8f1e12cc3fe35d5388d2f041c42a12b40745
0x8595f830f4d1716621d19bca6394f304837133fb473d8fcd1699e84402df1409,SwapBased,102,False,False,1436226.0,150043.0,179.0,316.54324756022856,['BASE'],True,https://s7-onchain.retrolist.app/project/0x8595f830f4d1716621d19bca6394f304837133fb473d8fcd1699e84402df1409
0xda8c593717693ef30f5c62fc2689709784324cfb9b5fe92c9db3a47f596791e5,Morpho ,398,False,True,1179276.0,87877.0,180.0,238.58986319161093,['OPTIMISM' 'WORLDCHAIN' 'BASE' 'INK'],True,https://s7-onchain.retrolist.app/project/0xda8c593717693ef30f5c62fc2689709784324cfb9b5fe92c9db3a47f596791e5
0x491ffd3c2e4c25ab7fbdbefe0f5fc8dc2beee5ab801287b9c6c93c9c3c810463,SwapMode,20,False,False,1128052.0,17411.0,179.0,4.3614777401533305,['MODE'],True,https://s7-onchain.retrolist.app/project/0x491ffd3c2e4c25ab7fbdbefe0f5fc8dc2beee5ab801287b9c6c93c9c3c810463
0xfd9f98de666c5b0a5ce96d4a4b8d4ceee9f8c2156734d57bf6c23d0cff183e90,Kim Exchange,173,False,False,1019901.0,14690.0,179.0,6.871438161800783,['OPTIMISM' 'MODE' 'BASE'],True,https://s7-onchain.retrolist.app/project/0xfd9f98de666c5b0a5ce96d4a4b8d4ceee9f8c2156734d57bf6c23d0cff183e90
0x512f97f1de28ad530f752d53bf4f56ed16d34a3121f0512cd5a0485c2074b312,Extra Finance,466,False,False,776519.0,62278.0,181.0,114.96976052020835,['BASE' 'OPTIMISM'],True,https://s7-onchain.retrolist.app/project/0x512f97f1de28ad530f752d53bf4f56ed16d34a3121f0512cd5a0485c2074b312
0xfc54b4a9c537be25238cba3f05100b733aeee83a3eb3fdae60d651b3b913390c,Multicaller,7,False,False,758605.0,62511.0,181.0,2.396868385743463,['OPTIMISM' 'ZORA' 'BASE'],True,https://s7-onchain.retrolist.app/project/0xfc54b4a9c537be25238cba3f05100b733aeee83a3eb3fdae60d651b3b913390c
0x70ba3cb2e433f1cd9ace8aea84c46d167ba5db12293cd108eaca068d06be3a71,Gains Network (gTrade),154,False,False,756532.0,5332.0,157.0,5433.6438365646,['BASE'],True,https://s7-onchain.retrolist.app/project/0x70ba3cb2e433f1cd9ace8aea84c46d167ba5db12293cd108eaca068d06be3a71
0xcbfdcf8f724d73504d1518d5ecd7d7256b12d37e68cd84569b383bfb6e2eeea4,Dmail Network,11,False,False,742994.0,104046.0,181.0,1.5972011361549012,['BASE' 'SONEIUM' 'OPTIMISM' 'LISK'],True,https://s7-onchain.retrolist.app/project/0xcbfdcf8f724d73504d1518d5ecd7d7256b12d37e68cd84569b383bfb6e2eeea4
