project_id,project_name,display_name,chain,measurement_period,amount,sample_date
7sXwowBTIQFQFWBqzwTewe4f-RG5DUvutSgm114HFT8=,compound-finance,Compound,OPTIMISM,Jan 2025,49281075.35483871,2025-01-01
7sXwowBTIQFQFWBqzwTewe4f-RG5DUvutSgm114HFT8=,compound-finance,Compound,OPTIMISM,Nov 2024,34336870.13333333,2024-11-01
CWomS6WhNBYvhy0SS94aY_Qqt0GMnGSuKk4bgF388Qk=,kim-protocol,Kim Exchange,BASE,Dec 2024,16536.709677419356,2024-12-01
CWomS6WhNBYvhy0SS94aY_Qqt0GMnGSuKk4bgF388Qk=,kim-protocol,Kim Exchange,BASE,Feb 2025,120094.0,2025-02-01
CWomS6WhNBYvhy0SS94aY_Qqt0GMnGSuKk4bgF388Qk=,kim-protocol,Kim Exchange,BASE,Jan 2025,146483.70967741936,2025-01-01
CWomS6WhNBYvhy0SS94aY_Qqt0GMnGSuKk4bgF388Qk=,kim-protocol,Kim Exchange,BASE,Nov 2024,19233.2,2024-11-01
CWomS6WhNBYvhy0SS94aY_Qqt0GMnGSuKk4bgF388Qk=,kim-protocol,Kim Exchange,MODE,Dec 2024,4291422.161290322,2024-12-01
CWomS6WhNBYvhy0SS94aY_Qqt0GMnGSuKk4bgF388Qk=,kim-protocol,Kim Exchange,MODE,Feb 2025,1384190.1,2025-02-01
CWomS6WhNBYvhy0SS94aY_Qqt0GMnGSuKk4bgF388Qk=,kim-protocol,Kim Exchange,MODE,Jan 2025,2158164.709677419,2025-01-01
CWomS6WhNBYvhy0SS94aY_Qqt0GMnGSuKk4bgF388Qk=,kim-protocol,Kim Exchange,MODE,Nov 2024,5716739.433333334,2024-11-01
H1DdvseIeFYJUwYwfSNvsXvbgxfwasspZw2MT3Apkfg=,velodrome,Velodrome,BOB,Dec 2024,967598.1935483871,2024-12-01
H1DdvseIeFYJUwYwfSNvsXvbgxfwasspZw2MT3Apkfg=,velodrome,Velodrome,BOB,Feb 2025,748789.5,2025-02-01
H1DdvseIeFYJUwYwfSNvsXvbgxfwasspZw2MT3Apkfg=,velodrome,Velodrome,BOB,Jan 2025,970143.9677419355,2025-01-01
H1DdvseIeFYJUwYwfSNvsXvbgxfwasspZw2MT3Apkfg=,velodrome,Velodrome,BOB,Nov 2024,984736.0333333333,2024-11-01
H1DdvseIeFYJUwYwfSNvsXvbgxfwasspZw2MT3Apkfg=,velodrome,Velodrome,FRAX,Dec 2024,908678.84,2024-12-07
H1DdvseIeFYJUwYwfSNvsXvbgxfwasspZw2MT3Apkfg=,velodrome,Velodrome,FRAX,Feb 2025,531859.85,2025-02-01
H1DdvseIeFYJUwYwfSNvsXvbgxfwasspZw2MT3Apkfg=,velodrome,Velodrome,FRAX,Jan 2025,909277.2903225806,2025-01-01
H1DdvseIeFYJUwYwfSNvsXvbgxfwasspZw2MT3Apkfg=,velodrome,Velodrome,INK,Feb 2025,1733439.05,2025-02-01
H1DdvseIeFYJUwYwfSNvsXvbgxfwasspZw2MT3Apkfg=,velodrome,Velodrome,INK,Jan 2025,934401.4666666667,2025-01-17
H1DdvseIeFYJUwYwfSNvsXvbgxfwasspZw2MT3Apkfg=,velodrome,Velodrome,LISK,Dec 2024,1135536.12,2024-12-07
H1DdvseIeFYJUwYwfSNvsXvbgxfwasspZw2MT3Apkfg=,velodrome,Velodrome,LISK,Feb 2025,869194.55,2025-02-01
H1DdvseIeFYJUwYwfSNvsXvbgxfwasspZw2MT3Apkfg=,velodrome,Velodrome,LISK,Jan 2025,1128063.8064516129,2025-01-01
H1DdvseIeFYJUwYwfSNvsXvbgxfwasspZw2MT3Apkfg=,velodrome,Velodrome,MODE,Dec 2024,6998843.129032258,2024-12-01
H1DdvseIeFYJUwYwfSNvsXvbgxfwasspZw2MT3Apkfg=,velodrome,Velodrome,MODE,Feb 2025,2415934.4,2025-02-01
H1DdvseIeFYJUwYwfSNvsXvbgxfwasspZw2MT3Apkfg=,velodrome,Velodrome,MODE,Jan 2025,8658951.129032258,2025-01-01
H1DdvseIeFYJUwYwfSNvsXvbgxfwasspZw2MT3Apkfg=,velodrome,Velodrome,MODE,Nov 2024,2319369.5,2024-11-01
H1DdvseIeFYJUwYwfSNvsXvbgxfwasspZw2MT3Apkfg=,velodrome,Velodrome,OPTIMISM,Dec 2024,80577426.03225806,2024-12-01
H1DdvseIeFYJUwYwfSNvsXvbgxfwasspZw2MT3Apkfg=,velodrome,Velodrome,OPTIMISM,Feb 2025,51585074.85,2025-02-01
H1DdvseIeFYJUwYwfSNvsXvbgxfwasspZw2MT3Apkfg=,velodrome,Velodrome,OPTIMISM,Jan 2025,74678663.58064516,2025-01-01
H1DdvseIeFYJUwYwfSNvsXvbgxfwasspZw2MT3Apkfg=,velodrome,Velodrome,OPTIMISM,Nov 2024,74630990.9,2024-11-01
