,github_url,is_available,is_fork,fork_of,first_commit,last_commit,total_commits,total_developers,project_id,name,round_ids,github_owner,in_oso
20,https://github.com/0xbaratie/mugencraft,False,False,,,,0,0,0xc42d914c33ae90e388d0129dfcb43b0dcfe66272876b636830b9556d492f1a45,Mugen Craft,8,https://github.com/0xbaratie,
41,https://github.com/nerzofc/nerzo,True,False,,2024-07-03T10:03:30Z,2025-02-24T19:34:54Z,9,1,0xe6371e0b190ff5db00617519599cbbafe719db0386e42a0af106b8c7f9161b63,NERZO,8,https://github.com/nerzofc,
103,https://github.com/nerzofc/contacts,True,False,,2025-02-24T18:00:55Z,2025-02-24T19:07:44Z,4,2,0xe6371e0b190ff5db00617519599cbbafe719db0386e42a0af106b8c7f9161b63,NERZO,8,https://github.com/nerzofc,
83,https://github.com/jseiferth/rfsignup,True,False,,2025-01-21T11:44:47Z,2025-01-21T11:45:18Z,2,1,0x60565a1ff56360c729ec5e33b27040acd6d495e35e328fec7ec5a493b9c533e2,New Project,7,https://github.com/jseiferth,
104,https://github.com/onchaingm/onchaingm,True,False,,2025-02-21T07:20:54Z,2025-03-01T12:33:06Z,17,1,0xa1f96576ad998e804140caccd478bae81b8b1059a107166df87b59fbf42c9e4a,OnChainGM,8,https://github.com/onchaingm,
86,https://github.com/zeus199803/opstack-for-cats-dream-,True,False,,2024-05-24T12:23:10Z,2024-05-24T13:58:01Z,6,1,0x1335476de5a24573f3fa1297827fbeb02921948d678b399c7367fb956d08a6cc,Opstack For Cats Dream ☑️,"7, 8",https://github.com/zeus199803,
1,https://github.com/seetadev/zkmedical-billing,False,False,,,,0,0,0x5cfdb8c453a7eede1946071e9d7417d01cc2116f57563b87dc0094a6bdb9a081,"Optimism × Filecoin: Enabling Scalable Storage, On-Chain Compute & Cross-Chain Interoperability",7,https://github.com/seetadev,
60,https://github.com/shaunop/shaun_1,True,False,,2025-02-05T18:52:49Z,2025-02-05T18:55:46Z,5,1,0x18539618cdbab1c37092e7e0bd8e03c7c4037a55b8a356215bc15c8d6a8c68dd,Purrmissionless Proofs,7,https://github.com/shaunop,
48,https://github.com/mx1000m/satoshissecrettest,False,False,,,,0,0,0x7fd813000c03bd11fdf3ded76a3b46db355218c72947acea7f14871a5b0a9258,Satoshi's Secret,8,https://github.com/mx1000m,
24,https://github.com/mali030303/skeleton-era--,True,False,,2024-05-24T15:18:48Z,2024-05-24T15:51:36Z,10,1,0x52b74da84ea50e0a6ddb28c1c78e0baaa284b7a95298cf23bf65dafd7b0c6d19,Skeleton ERA 💀,7,https://github.com/mali030303,
122,https://github.com/samir0x/smellcheckmate,True,False,,2025-02-06T17:41:06Z,2025-02-06T20:29:22Z,6,1,0x2cb7fb23e5d066f65a80a09b2eab34d76bbac06de1af16c31dcf2e54119639c3,Smellcheckmate,"7, 8",https://github.com/samir0x,
68,https://github.com/superswapink/superswap-ui,False,False,,,,0,0,0x8f7edabd00cd8a9bc0065eec465bd3d97ebe3f4632c8d3d52b336a9bc1d8fb3a,SuperSwap,8,https://github.com/superswapink,
45,https://github.com/stvol-official/stvol-contract,False,False,,,,0,0,0x1f60db63651f74e2fc8b3ff900d05142552a763c31caf3a8c8e62b0953f02bf2,SuperVol,8,https://github.com/stvol-official,
