github_url,is_available,is_fork,fork_of,first_commit,last_commit,total_commits,total_developers
https://github.com/web3privacy/hackathonusecases,True,False,,2024-05-28T14:03:19Z,2025-02-05T15:32:41Z,40,8
https://github.com/pinto-org/protocol,True,False,,2024-11-19T16:12:45Z,2025-02-25T11:34:23Z,18,3
https://github.com/the-old-castle-defense/fge,True,False,,2024-03-22T14:53:49Z,2024-07-17T21:37:33Z,11,2
https://github.com/sablier-labs/v2-core,True,False,,2022-04-04T09:42:55Z,2025-03-02T13:08:47Z,1427,17
https://github.com/shaunop/shaun_1,True,False,,2025-02-05T18:52:49Z,2025-02-05T18:55:46Z,5,1
https://github.com/johncpalmer/orb_contracts,True,False,,2025-02-19T23:04:48Z,2025-02-19T23:20:24Z,3,1
https://github.com/dnatokenio/maintenance-page,True,False,,2025-02-04T07:22:00Z,2025-02-12T12:08:57Z,2,1
https://github.com/verifereum/verifereum,True,False,,2023-11-11T18:19:03Z,2025-03-03T11:21:53Z,468,8
https://github.com/layerx-labs/taikai-contracts-v3,True,False,,2022-12-09T09:47:10Z,2025-02-18T15:23:23Z,105,5
https://github.com/must479/openzeppelin-contracts,True,True,OpenZeppelin/openzeppelin-contracts,2016-08-01T20:54:54Z,2024-08-20T00:03:22Z,2975,354
https://github.com/diffuse-fi/datafeed-cli,False,False,,,,0,0
https://github.com/sifaw23/distributler,True,False,,2024-10-05T05:27:36Z,2025-02-05T18:11:43Z,5,0
https://github.com/superswapink/superswap-ui,False,False,,,,0,0
https://github.com/nomicfoundation/edr,True,False,,2018-04-14T22:20:28Z,2025-02-26T21:32:43Z,10556,318
https://github.com/web3privacy/jobs-app,True,False,,2024-02-26T10:48:38Z,2025-02-11T07:26:26Z,187,8
https://github.com/apoorvlathey/evm-rpcs-list,False,False,,,,0,0
https://github.com/recon-fuzz/chimera,True,False,,2023-11-06T15:20:24Z,2025-02-10T12:24:19Z,30,5
https://github.com/qingfengzxr/gdscript-web3,True,False,,2024-05-14T15:21:59Z,2025-02-21T08:29:29Z,89,5
https://github.com/tamastorok/based-year-2024,False,False,,,,0,0
https://github.com/gayatrigt/baselogos,True,False,,2024-10-23T04:36:54Z,2025-02-19T13:18:05Z,52,3
https://github.com/metacraft-labs/codetracer,True,False,,2025-02-24T23:33:54Z,2025-02-27T17:31:52Z,21,4
https://github.com/titanlayer/contracts,True,True,hyperlane-xyz/hyperlane-monorepo,2021-01-14T01:06:58Z,2025-02-21T21:33:35Z,3083,84
https://github.com/ratimon/superfuse-forge,True,False,,2024-12-17T13:27:45Z,2025-02-15T09:02:50Z,20,1
https://github.com/openzeppelin/openzeppelin-community-contracts,True,False,,2024-05-09T08:17:44Z,2025-02-21T14:55:13Z,112,7
https://github.com/farcaster-attestation/op-attest,False,False,,,,0,0
https://github.com/probe-lab/website,True,False,,2023-03-24T14:05:29Z,2025-03-03T19:28:26Z,1394,9
https://github.com/sonusexchange/sonus-contracts,True,False,,2025-02-07T14:32:29Z,2025-02-07T14:38:08Z,4,1
https://github.com/jseiferth/rfsignup,True,False,,2025-01-21T11:44:47Z,2025-01-21T11:45:18Z,2,1
https://github.com/framesjs/frames.js,True,False,,2024-02-01T11:24:54Z,2025-02-07T18:10:15Z,1211,25
https://github.com/wd021/gotvision-contracts,True,False,,2025-01-07T08:51:29Z,2025-02-20T20:07:35Z,9,1
https://github.com/zeus199803/opstack-for-cats-dream-,True,False,,2024-05-24T12:23:10Z,2024-05-24T13:58:01Z,6,1
https://github.com/seetadev/py-libp2p-yamux,True,False,,2025-01-16T16:21:13Z,2025-02-27T21:35:47Z,4,1
https://github.com/the-old-castle-defense/burnfomo,True,False,,2024-06-25T16:35:54Z,2024-07-17T21:36:35Z,16,2
https://github.com/mintswapfinance/contract-mintswap404nft,False,False,,,,0,0
