date,forecasted_Transaction Count,forecasted_Active Users,forecasted_Unique Users,forecasted_Total Transferred,forecasted_Gas Fees,forecasted_Retained Daily Active Users,forecasted_DAA/MAA
2024-10-01,34938.94679644769,8787.60588339478,377.07857205384744,6.077342034268339e+18,0.12709973530284352,0.5387525472548954,0.1991753099187582
2024-10-02,30105.38132288701,13157.319091592535,871.6585204283817,1.1200454524978573e+19,0.08986238963634768,0.7193705587992951,0.11444989019917541
2024-10-03,20491.378101883187,11655.253796005452,861.3588757975832,1.1079519535516316e+19,0.08324677934213699,0.3764295911547942,0.0922072881611342
2024-10-04,29464.337584435587,11786.402256639207,1190.3591185606033,6.407861019656345e+18,0.10507801310638994,0.3378749215462212,0.11612223145052493
2024-10-05,22020.448541167247,15478.199076217108,1273.3503203482112,7.463047765323561e+18,0.14722662129837957,0.2901100681067205,0.11752973326727852
2024-10-06,17148.27620908473,16631.66670189361,809.1894249874057,6.568284117156338e+18,0.08031519984495815,0.22328516760698605,0.13902522613034718
2024-10-07,27510.49444438155,21010.206359236745,818.0411716947444,7.446907279105195e+18,0.11715391009861967,0.35868660990570284,0.18903112607988115
2024-10-08,12246.742811852424,14895.1941330703,1438.5488165325207,9.239111950694439e+18,0.11243420931957177,0.5622162280667367,0.11405005747337572
2024-10-09,24336.622390151468,12456.004719333516,743.7402355026969,1.1618665517793087e+19,0.14846232910415857,0.3140236322207047,0.11505765392695419
2024-10-10,22569.1583795838,18853.922748022404,659.308911428953,1.430890835360466e+19,0.11747976533423275,0.2556295764006454,0.1431778518625042
2024-10-11,25900.960311063067,13591.171025042557,1113.7923795513836,1.0353960536396978e+19,0.12077067747181819,0.3188724146671475,0.15063801077462716
2024-10-12,25848.36257515047,12982.867817771868,698.8436876429405,8.310330453569579e+18,0.1840490015784796,0.17896689370613184,0.09194602362908628
2024-10-13,21134.505532122716,14242.866985329496,2402.3508956172614,8.24386128640989e+18,0.13463338036509678,0.33869853889153595,0.15387368202123522
2024-10-14,37215.85886470721,9483.380651761478,694.9086648976419,1.2214556715266187e+19,0.1646006721449146,0.4390507189722639,0.2227816336162965
2024-10-15,23988.929472727235,15876.886030382508,1575.857572717464,1.6526527719446528e+19,0.1730822694226973,0.26273089349793083,0.19385862800252424
2024-10-16,35713.066269113006,11160.638495912783,1155.1512706174917,1.0874714084187437e+19,0.22523474434447904,0.3239007967765188,0.19420216460897724
2024-10-17,22993.921570869516,20553.18459138638,908.5603489845173,1.0242960659348716e+19,0.09244247003535296,0.3627907708553077,0.12829343735906704
2024-10-18,36968.21853180082,16965.429733433062,883.946982330271,9.010882080749586e+18,0.08101212051611144,0.6164522517729869,0.13686867734475633
2024-10-19,40903.96593027936,15046.100830165426,1164.6134851870747,1.0296706375291056e+19,0.11297881504777109,0.343030324668327,0.14928102533911053
2024-10-20,33029.06271240752,13526.024160027298,670.1229015752664,8.154508926361703e+18,0.08860702480310154,0.4724339970903676,0.1875499233420636
2024-10-21,19625.853706956077,25314.812570030455,1288.9194280744966,1.0543569585251385e+19,0.1261329276232524,0.5021572544598967,0.16185367316963645
2024-10-22,21777.61046842433,22180.462826949934,1665.170440996467,1.3387399652777314e+19,0.0840225466210512,0.4183690611466693,0.13477581249496393
2024-10-23,30802.891406478408,22505.99848640953,475.32184465373035,1.311093859062899e+19,0.07139055477147709,0.48795181924229625,0.18659244376556705
2024-10-24,36345.820107525105,24963.538004719183,1418.9033293849432,1.3317166244841253e+19,0.16167240203983357,0.5800760709327137,0.1289998634911326
2024-10-25,31265.61726654065,34617.41459392252,1976.6233183356558,1.2148899773605497e+19,0.14407819265300076,0.5678596220651392,0.15237408851488274
2024-10-26,35259.60932119023,22101.435470295604,1908.1791498209918,1.3428392161141287e+19,0.13484184318300957,0.5203042292400518,0.1059737288447189
2024-10-27,35614.283671966805,30415.581558328053,2116.0352856264644,1.293329867701682e+19,0.13741437926481845,0.6357673076411267,0.10012937238176264
2024-10-28,38284.41061702951,16069.592582116515,1043.157468410234,1.3829146119472597e+19,0.14767519651809463,0.6226636269893132,0.08704680245550808
2024-10-29,39858.64682854351,23897.482783445794,1424.8033641405445,8.935331048919435e+18,0.1139528796154907,0.6719234187344516,0.13558961897175573
2024-10-30,21362.321827860836,16018.168480555642,988.8258913619719,9.87461051672038e+18,0.1383275043913885,0.4755785753462454,0.10692280915008369
2024-10-31,53880.77582727265,21192.23966735977,594.0698197176472,9.437911626460557e+18,0.10440845019886394,0.5004457516986033,0.15251347070516721
2024-11-01,34530.052845798906,13182.935915285367,1623.7631729387804,8.586403809417168e+18,0.14964742049816449,0.5743065724578131,0.09718965034102557
2024-11-02,34856.32955281429,17923.130079640974,1112.0089176086615,7.19331124183121e+18,0.0815372667329068,0.6903145670265981,0.10030079627456732
2024-11-03,20920.540539770005,16259.382344680125,1037.1808058920126,9.946225072399346e+18,0.11173339834630569,0.697416004394441,0.12681652490608292
2024-11-04,22353.174292355714,26827.85392201932,810.1565297907925,1.0747247098829924e+19,0.11936136692415572,0.5832664111577233,0.16775419715095752
2024-11-05,20220.90721214466,16739.028167922344,1620.3886609788708,1.0315352721006027e+19,0.10577911413423499,0.7302498828891695,0.1311887767594059
2024-11-06,19097.030684338933,26116.08427163055,1598.0351359611564,9.423043257152977e+18,0.08816147254766903,0.5699272622229622,0.10359453481239857
2024-11-07,34916.502009633485,26995.054575019672,1880.5348319927975,1.1286183241895154e+19,0.09627492155896346,0.45106333644953434,0.13837426292227972
2024-11-08,42110.808694232655,24905.629233659416,1104.5037731973323,1.2756904810820567e+19,0.06425754583942,0.5396101013558972,0.1271819394141862
2024-11-09,37625.9905808828,31387.742308057503,1357.0642117084444,1.1420390159581788e+19,0.12947872994360807,0.6209539665130811,0.15527910423864888
2024-11-10,34764.871930421854,19613.228859247105,1685.648074342386,1.6143315922296152e+19,0.0388069722482434,0.47892191903973585,0.11677233395785146
2024-11-11,39795.717885021346,17224.76297716379,871.3363093402713,1.1059965618461622e+19,0.10312524378443476,0.4189716377369075,0.16205313988433767
2024-11-12,48315.225388930914,16740.583379670734,1088.4606720271997,8.25010779436998e+18,0.12725706165747586,0.48456228580806593,0.16775164282426347
2024-11-13,49233.52464618472,10858.72344410263,1484.1227743509353,1.6389605877902447e+19,0.07726930525227917,0.7119224387289762,0.18965550034383635
2024-11-14,24627.801398544016,16734.628626346188,1690.590871087422,5.956315657306775e+18,0.10846057613005956,0.36314066010983254,0.12911580978564854
2024-11-15,29311.80761348951,16121.239701545212,1484.6297700837395,9.95353698379169e+18,0.11960993867438792,0.3448715771656007,0.1563126764144762
2024-11-16,28155.088895690078,22910.8996414174,786.303016829882,1.0053282862498527e+19,0.12902207487960637,0.30846256043595704,0.13370811306991853
2024-11-17,40434.6801623365,13616.56152801857,1634.200180861922,6.833562929775799e+18,0.10780353214984278,0.48638499287867015,0.09040281198718932
2024-11-18,32156.7996401818,17991.343055013145,1945.293673545032,1.0296038391821576e+19,0.1712855351932839,0.4853397589791333,0.14602336956451745
2024-11-19,26665.00593868461,17044.43453863229,1463.5803661739087,1.496650370891412e+19,0.15194684843185133,0.5030626010532888,0.2090282122952098
2024-11-20,35142.156579241,17342.762964159152,1616.6389521822923,9.503120422762162e+18,0.08774738704294095,0.3632208139754879,0.220995327466142
2024-11-21,17436.689783354574,22610.326724744336,1292.7919164729758,8.073631788250019e+18,0.08992875126103385,0.417519463893889,0.1531288741755654
2024-11-22,33045.88914242814,10716.705269249189,1666.3068723048673,1.1346437366914064e+19,0.07066635313793015,0.5897270790225313,0.1279751350076651
2024-11-23,15775.364872198377,18676.147424459774,1588.1299240544065,9.428235671942072e+18,0.10252318240430996,0.47849929093704185,0.13035377400367718
2024-11-24,32391.4025133983,16912.393953847895,1920.387811846368,7.972929397648691e+18,0.09476212959325388,0.5117847253479394,0.1930581805051283
2024-11-25,36754.502095653464,22866.287778908252,1126.442365963578,1.0351157024401373e+19,0.14377507200607675,0.7845462817930858,0.1668574209042853
2024-11-26,49008.83745769163,14035.846220018615,1326.8503015135725,1.2061927778665335e+19,0.10395115493622727,0.35617814095316147,0.10738539683205996
2024-11-27,33969.772784715286,21845.39480346996,1298.0004277127498,1.134705268501233e+19,0.16073143549357213,0.4404995299588806,0.06816892131635435
2024-11-28,41274.79407815497,20792.89867929015,1628.899866667549,1.271064469675979e+19,0.16217389791092388,0.5188322945239521,0.16409266586972204
2024-11-29,43195.92341256077,25068.11215016672,1416.005427193999,4.366320905804744e+18,0.13223051527598464,0.6455615622320254,0.1352019804091658
2024-11-30,52268.68037490031,15109.411013700179,2074.559860408222,6.022496336009979e+18,0.1146992683902257,0.6235086772114186,0.123087927816803
2024-12-01,31771.91645917687,17942.041621121087,1379.1291865056814,8.658241146633865e+18,0.1276010850618404,0.5681961632704443,0.12441523262324168
2024-12-02,44145.70041329098,14004.50304627704,1575.553428980274,7.691260064847626e+18,0.07623312850623132,0.47946368689027735,0.20058784484931386
2024-12-03,40588.13943853194,16528.067828282306,1462.463848494746,1.0024686252809888e+19,0.11629243557064035,0.6308641505748873,0.15639465701975722
2024-12-04,35983.93013562331,15520.317919823732,1784.3436301981853,1.1670146969581636e+19,0.11273158378209812,0.4667257564322379,0.08985049528961682
2024-12-05,32875.39616121475,18423.66890546043,1493.6368015543185,1.1037397390583335e+19,0.13727800820888184,0.5397690636931803,0.13360887020987353
2024-12-06,23038.530368435175,28504.88282206881,1847.7331920268264,7.154133275493844e+18,0.11210697055957086,0.36672808631227927,0.18277927087924584
2024-12-07,26666.285141245044,23514.107225289783,2284.552110127409,1.2055504205467077e+19,0.1420174716262152,0.6854900450796474,0.16467854045725228
2024-12-08,52905.9770501255,23174.901745113995,1743.3916627180447,1.1535154216411306e+19,0.16806932061538737,0.7327933984011566,0.13626178675261358
2024-12-09,36621.90904076468,29870.99855059165,1811.929594482547,1.2087714071425591e+19,0.13473746120218388,0.4786113718248138,0.09577318452433906
2024-12-10,36447.8570535804,15437.619567050484,1158.858553732251,1.4498799788995903e+19,0.10348454776853319,0.44290893624905964,0.12125645871790994
2024-12-11,39523.22167835202,21305.1251403981,1843.877107990051,1.3241285072305465e+19,0.11838638701080309,0.6460793809042791,0.21607025608720604
2024-12-12,37366.8601194056,13402.00464166861,1288.699708524226,1.1566805482611493e+19,0.1126809541979326,0.7517395098400058,0.093101808392275
2024-12-13,24107.55597378129,17572.802278142874,2467.889209743375,1.4057554718956575e+19,0.11682631023007031,0.291653425227908,0.21166415931127697
2024-12-14,39224.49664481045,20624.05618383996,2241.795996758885,8.702338265399271e+18,0.14123559152219853,0.8705113492166341,0.22679482406231938
2024-12-15,33295.36231330215,17494.911212988012,2316.4392235387922,9.264048047665465e+18,0.14727015030021698,0.8070694713118772,0.16482141221656477
