,v,git_user
0,767.7439799246029,"asd-and-rizzo,dzmitry-lahoda"
1,550.9225554846091,guibescos
2,441.1650772719662,evan-gray
3,436.35991956487806,jafaraz
4,356.9140126586334,mina86
5,285.1462067597372,ali-bahjati
6,284.6588282225811,bruce-riley
7,283.89424127579946,kkast
8,266.9309365011749,joncinque
9,256.70600804658676,mohammadpch
10,254.45982912509209,kaiserkarel
11,248.82638733287163,"chybisov,chibis0v"
12,228.20073639419985,blasrodri
13,208.90158378261887,thedzhon
14,207.9198182250173,g-la-d-os
15,194.9541178946328,doctor-cyclone
16,191.47264030076846,"rustninja,web3online,cr4pt0"
17,173.83704730963908,axtezy
18,147.3630038842949,futuretech6
19,144.9209967645929,kev1n-peters
20,139.00399904299823,dhruvja
21,137.9774584974063,gallynaut
22,135.73375891627433,"mohammadranjbarz,mohammadranjbar"
23,134.85459213255643,ciejo
24,129.72907589852608,jayantk
25,123.82217502835309,tbjump
26,115.98667420880832,jnaviask
27,115.95340204370433,cctdaniel
28,114.47815436810995,ramramez
29,112.67960040888102,sejeff
30,111.89908785820222,pseudoelement
31,108.83470415092167,nik-suri
32,105.21927394725495,barnjamin
33,102.65931677885811,acheroncrypto
34,99.32282521464747,0xfirefist
35,97.14199132299237,m30m
36,96.72654729512794,andyjsbell
37,95.02481228959742,keyvankhademi
38,94.39365953301034,b4rtaz
39,93.49483266632014,"ascode94,alireza-sharifpour"
40,92.88092989201758,sunzhic
41,88.80463925080838,ex1st0r
42,85.51413756931504,aminlatifi
43,82.89164492960754,yaserjazouane
44,82.11950118044021,vimukthi-git
45,82.03234500292314,"disenotov,dsenotov"
46,81.36020843073618,ashwinsekar
47,79.41547587116239,af-afk
48,79.04505378965146,kcsongor
49,76.8308975989112,anihamde
50,76.4600864020855,chaichuanfa
51,75.76987232942236,derpy-duck
52,70.43371588101132,panoel
53,70.34023928118481,timolegros
54,69.75167682635582,reisen
55,69.13438190317318,evgenynacu
56,69.0503956156539,divine-comedian
57,68.93764655296432,carlosq96
58,66.21731131888342,ernow
59,64.02433419241642,drozdziak1
60,63.96423994374194,ezynda3
61,62.511829252795046,cprussin
62,62.34593848674808,djb15
63,60.679407500333895,"yakischik,yakischik-aa"
64,60.09991680526688,samkim-crypto
65,59.19974862531799,"karlkempe,a5-pickle"
66,58.659867064754486,bradleysuira
67,57.8232968529906,rotorsoft
68,57.591997451853054,dmitry-saraykin
69,55.313208207465394,eric-notifi
70,54.77633411991285,gddark
71,54.49187592442744,sebastianscatularo
72,52.86100303469513,cong1223
73,52.46390979209047,jeday
74,51.80789599799739,m-picco
75,51.31521381604954,"danielb1986,0xdenyo"
76,50.33586922954476,f4ever
77,50.223285654271464,artursapek
78,50.040355362575006,mzparacha
79,48.892132471938076,itaven
80,48.807491782302485,riateche
81,48.41610997402056,maxklenk
82,47.996606188874615,mateodaza
83,47.86630703442949,alx-khramov
84,47.53945729601886,"yihau,yihau-chen"
85,46.57936409573685,hussein-aitlahcen
86,45.296001245638436,meriem-bm
87,45.17723544477055,xxhong
88,45.12141093914582,"unnuferdev,sanufriev"
89,44.824007941137616,vgorkavenko
90,44.019827761633614,yosephks
91,42.80155096911699,danimhr
92,39.68584438541995,aeryz
93,39.414264863994944,rbennettcw
94,39.35644441660422,joehowarth
95,38.94850718751371,eddort
96,38.78572831942802,jessupjn
97,38.67700685623301,dgusakov
98,37.944020638283654,masvelio
99,37.89857467995844,"mymphe,azat-s"
100,37.16999071949655,mgild
101,36.796959141699745,"johnvsnagendra,johnversus"
102,36.59938392549148,amuhar
103,36.117882129006915,shi-eld
104,35.7561944799595,grstepanov
105,35.157344131228406,ahermida
106,35.05375862225857,vmarkushin
107,34.487476639481045,israellund
108,34.424731735826775,burtonator
109,33.923868898182924,kurtisassad
110,33.74535955459964,aditya520
111,33.17536126264195,solanoepalacio
112,33.14719792051121,jossifelefteriadis
113,32.829616549225435,pantaovay
114,32.751466559063175,"ftocal,ftorres-personal"
115,32.72613634390714,"fl-y,kollegian"
116,32.35832276848377,conorpp
117,32.279897488450224,jake4take
118,32.207725533381286,eli-d
119,30.854497241083024,"burak-terzi,vladislav-terzi"
120,30.755553601844674,steveluscher
121,30.535222116352777,rjonczy
122,30.06659275674582,"haoranyi,2501babe,wen-coding,bw-solana,willhickey,apfitzge"
123,29.88687554733828,infloop
124,29.83895161984762,glo12345
125,29.787442608587394,yuli-ferna
126,29.75138648479091,cromewar
127,28.982753492378876,0xichigo
128,28.683222859218873,diraiks
129,28.537807030626062,"dsterioti,gator-boi"
130,27.913287052870906,kozer4
131,27.906507174533115,debych
132,27.790234418003585,ifelsedeveloper
133,27.676581847719465,jainkrati
134,27.48827455035912,heyitaki
135,27.41985391665681,mohandesjiri
136,27.218830940697583,valentinoconti
137,26.220685416811264,alexanderlukin
138,26.01749757852493,"gabzim,arg20"
139,25.796623341248488,"vuong177,nguyenvuong1122000"
140,25.62829000686197,kkatusic
141,25.627202482137566,madlabman
142,25.523023384501652,juni-notifi
143,25.465878842292035,salisbury88
144,25.424977020920675,myz1237
145,25.298141019848366,"sapientech,dylanjeffers"
146,25.040513732895622,dzariusz
147,24.79910798665924,mhmdksh
148,24.388129278743513,johnsaigle
149,24.289873929113433,sergeywh1te
150,24.133378071076876,madninja
151,24.04404457036145,avsetsin
152,23.385240827704617,psirex
153,23.259151397511417,cowmuon
154,23.220348528962433,julianmerlo95
155,23.199057937712997,rarible-ci
156,22.918188637487976,"krassvs,geleeroyale"
157,22.350743909267564,zuzueeka
158,21.64464659828227,bulbozaur
159,21.40492850404803,"akasuv,suv97"
160,21.355450799172992,mystdeim
161,21.2602916254693,"steviez,alessandrod,gregcusack,lucasste"
162,21.17144228373377,nahyunbak
163,21.117964317728916,walker-16
164,20.928449536456345,elvisyong
165,20.514273968650745,raymondjacobson
166,20.491378262918783,ianrowan
167,20.43877528031096,audius-infra
168,20.41873595855736,y0moo
169,20.36904712733031,nathan-notifi
170,20.044374662739788,raop155
171,19.64412694083835,rafaelekol
172,19.344946581253637,anondev2323
173,19.137420251262014,0xbe37e
174,19.028442451261967,melianessa
175,18.89444362769118,radupopa2010
176,18.78423627250361,emreboga
177,18.687938096790962,koenrijpstra
178,18.628488543401257,abhikumar98
179,17.792952188840992,arwer13
180,17.620278697978144,ivan-feofanov
181,17.619636760301724,blocksecaudit
182,17.609999104288296,kyle-shanks
183,17.29161646579058,xhjkl
184,17.21330061370456,skhomuti
185,17.112335440076624,griffgreen
186,17.04162730557316,scnale
187,17.0,lichtso
188,16.79557075660653,"swimricky,rowdyear"
189,16.661465782954714,rickyrombo
190,16.36643979523846,"kozlovzxc-at-lido,hexnickk4997"
191,16.337692222019346,amendelsohn
192,16.223791452086086,hrithiksampson
193,16.036815082078622,prototypo
194,15.88229678904522,mathiasmoeller
195,15.70995379741923,h3xept
196,15.56921702982048,tamtamchik
197,15.497300789259784,ae2079
198,15.135913487206597,lilchizh
199,15.085270394606276,ltsnakeplissken
200,14.890840825040282,sliptype
201,14.887545118618307,katamarinaki
202,14.825872710733076,kadmil
203,14.695648873425187,dharit-tan
204,14.25084888887096,agodnic
205,14.219704638282751,jynnantonix
206,14.014920410189514,"slamper,hendrikhofstadt"
207,13.983580196574582,noviulian
208,13.974962853968641,swenschaeferjohann
209,13.963453707433848,annasila
210,13.770627968571812,nonergodic
211,13.656854249492383,charles-grey
212,13.54792601009021,"bukata-sa,alexbukata"
213,13.527749258468683,sergeytimoshin
214,13.46089982049464,giulianoconti
215,13.40816169678573,vanya2h
216,13.408161696785728,kv9991
217,13.317147317128288,tonyjin
218,13.279865472023658,dejayjd
219,13.146269604680384,bharathbabu-moralis
220,13.112140164332734,lovelgeorge99
221,13.092677276495909,batmah69
222,12.930424439247371,schottra
223,12.868415896143977,jennykop
224,12.783516705424661,kemartiti
225,12.622926088125634,ealymbaev
226,12.522397152558337,claudijd
227,12.470884419228142,richikchanda1999
228,12.41439815759173,lzach83
229,12.368664712476418,godmodegalactus
230,12.314625451064277,justinschuldt
231,12.216178600027575,"isaacchien,isaacsolo"
232,12.085519717255428,karinamaulitova
233,12.05993331962545,kaleemneslit
234,12.027793557135915,leeduckgo
235,12.027793557135913,albertschr
236,11.947347054523272,alecsavvy
237,11.884231440719624,ottebrut
238,11.627396872210245,alexandrmov
239,11.555761981822133,stereosteve
240,11.534202405241812,exromany
241,11.425746102690528,kolyasapphire
242,11.414593732243475,pengdeng-cyber
243,11.148523355698238,iturricf
244,10.908712114635714,josietyleung
