date,forecasted_Transaction Count,forecasted_Active Users,forecasted_Unique Users,forecasted_Total Transferred,forecasted_Gas Fees,forecasted_Retained Daily Active Users,forecasted_DAA/MAA,forecasted_TVL-frax_swap_protocol,forecasted_TVL_opchain-frax_swap_protocol
2024-09-08 00:00:00,28141.51284272305,4806.159716912879,1389.1781830623731,1.1705609985126135e+20,0.8730966776276646,0.9833051099788686,0.39407112823719187,29899590.368250653,33480080.703311775
2024-09-09 00:00:00,29661.23877291346,4053.8394430030535,1572.9437600093142,1.6211812852092338e+20,0.863428955668127,0.4236365755023229,0.29066357606464005,29638755.633024726,33918124.447615124
2024-09-10 00:00:00,13468.471889821956,2848.336419907491,2641.336531937527,1.9779301464179927e+20,0.7844077020522765,0.9474040657762692,0.19347162984443453,28561418.71618996,38047023.464557655
2024-09-11 00:00:00,10947.941816072793,2508.788144401031,1908.417492818371,2.5167412836209666e+20,0.4660548486524428,0.5891003128947712,0.28592837376766955,30842061.80590208,38852619.70052869
2024-09-12 00:00:00,17176.027962363107,3169.161022527261,1737.1247184625938,1.7889246857206147e+20,0.9040761214238031,1.0903902282074873,0.12604995095804084,29207122.427607745,35446034.457185045
2024-09-13 00:00:00,30741.495959520053,3846.313704619248,1735.847731569845,2.293193972256179e+20,0.7160854839318522,1.0118808081367845,0.25134684518762396,27067592.149381164,39150825.95179106
2024-09-14 00:00:00,22277.954963787677,2981.2701150358243,2262.5929322577654,2.1802449210919584e+20,0.8399519150667075,0.7832204142202953,0.1511934807458549,31332499.00737826,38398294.90393043
2024-09-15 00:00:00,29707.00241041288,4491.952086725427,2487.4553412495543,2.3209505731828397e+20,0.8385182213094355,0.8334977576358266,0.30264130055011745,30749790.661970373,38411164.436374106
2024-09-16 00:00:00,13468.14470597565,3887.325441530557,2267.368781620147,2.1665443382577126e+20,0.9591108242948226,1.0289749764126686,0.18481176189678597,29724307.18311695,37122111.33362223
2024-09-17 00:00:00,23840.361995427193,3819.329184736878,1698.7124043729716,1.665536731641042e+20,0.9026347880175357,1.1539108436022252,0.19277313241122324,29704679.92870572,36387149.05808486
