date,forecasted_Transaction Count,forecasted_Active Users,forecasted_Unique Users,forecasted_Total Transferred,forecasted_Retained Daily Active Users,forecasted_DAA/MAA,forecasted_TVL-frax_swap_protocol,forecasted_TVL_opchain-frax_swap_protocol
2024-09-01 00:00:00,15513.934108040185,16508.927061211023,2191.9061956573755,1.742434236851902e+20,1.2548639832513044,0.134803634354264,32314149.408504874,37873035.17900632
2024-09-02 00:00:00,16704.965608320457,14725.772176042592,1554.1164736489989,1.7884458531448363e+20,1.0236176717029508,0.1961706695706712,29351466.76033255,34789607.22338153
2024-09-03 00:00:00,11666.759240712458,18994.272888293737,1708.8055814062293,1.4784018079212126e+20,0.9331767032398612,0.1988585783758719,32177542.720903877,36266695.30235681
2024-09-04 00:00:00,25300.33512437045,6002.347104175861,2132.0615231624547,2.1463107793725555e+20,1.0332342984195944,0.1082575451872661,29932619.584658075,37147150.73914408
2024-09-05 00:00:00,32171.078042973702,5744.099478386098,1983.5294442691777,1.876030685809205e+20,0.7891759029204123,0.1403529404985107,31631053.19840615,37482684.3055488
2024-09-06 00:00:00,24465.519451061315,9016.761995116616,1084.659329209184,1.617775856736339e+20,1.065225851543148,0.1529025127687829,31057411.39175722,36798119.79777694
2024-09-07 00:00:00,18458.170933257552,6390.514555098947,1231.8526555074675,2.621728277475941e+20,0.6370672452839873,0.1100236672761837,30466683.06808069,36346736.88019265
2024-09-08 00:00:00,18492.552425481215,7772.27773003212,1404.288657272884,2.0631217164545157e+20,1.0667487476490916,0.1742860215472407,31188850.93696372,33796247.08893676
2024-09-09 00:00:00,30055.50341615839,1663.9848155541513,1799.1906086493252,1.5112030861097707e+20,0.8890889073909589,0.2700406824314918,32025792.743351273,34328709.57582336
2024-09-10 00:00:00,33072.044435704716,4086.2799103269294,2177.1310382407064,1.18733766017368e+20,0.7943582017428719,0.1997877461116227,29493098.728758182,37341831.89940738
2024-09-11 00:00:00,20478.399017249427,3349.9356838166495,1249.2992691927773,1.5338195340233238e+20,1.0038647140605206,0.2702276713551091,30518895.066961404,40610172.11108026
2024-09-12 00:00:00,14672.848902180822,3640.2017095927945,1289.2345268406218,1.79124093679714e+20,0.9513813223106158,0.1896801558513357,31559835.81140469,38201221.490442395
2024-09-13 00:00:00,17057.683294891824,11915.839928411726,1451.5118840941648,1.606178902495474e+20,1.0426828570096696,0.1209623491934683,28631982.599002257,34314269.43740044
2024-09-14 00:00:00,17552.87683077979,5111.151544354919,2206.2506749566473,1.2224934612923104e+20,1.0224174608454355,0.1193546256896494,31338797.329095196,38443634.748592824
2024-09-15 00:00:00,13843.056836937763,12224.985379929523,882.1805610130224,2.1764331402971215e+20,0.6727742294501443,0.2517866158021274,28329466.42940449,37805580.32466003
2024-09-16 00:00:00,21071.281073632523,6719.886809627023,988.7582748973496,1.91557546964088e+20,1.0963846104665012,0.196091931645525,29869305.46089809,39323215.222266845
2024-09-17 00:00:00,14671.669629822443,5639.655290394302,1414.8175513517294,7.95591631234968e+19,0.8828111043695845,0.2530438987728387,25963465.1045572,37753121.295403056
2024-09-18 00:00:00,17724.418182812035,6337.964635100439,1537.6143200694332,2.2930472075617753e+20,1.2308000483100174,0.2421607077369021,27937373.343034115,32805734.32082715
2024-09-19 00:00:00,10629.388194885105,5285.926565503257,1339.911405507134,1.535900470479419e+20,1.244291909137855,0.2430467405705021,26458135.80616132,36994317.67054102
2024-09-20 00:00:00,8202.674355338324,5967.501411219077,869.8168990287846,1.8809771379662497e+20,0.9831295590563848,0.201760123000687,25006272.430657912,37930052.35502201
2024-09-21 00:00:00,12278.440046616131,2387.0599298302945,1585.319695054416,1.682666754882331e+20,0.7566588505040631,0.1917772847815106,24773123.24874867,39381856.53743746
2024-09-22 00:00:00,9507.511089992378,2763.5700575281535,1501.280602156736,1.8704753979487447e+20,1.1483693962932435,0.2083743241040658,25924075.41043289,40255821.81970821
2024-09-23 00:00:00,7367.128826051289,3897.8198495784577,1612.697683571064,2.5612473786012556e+20,1.0428574748170114,0.167919347095057,24711470.126541775,41875068.288904965
2024-09-24 00:00:00,4430.172364763356,4845.909256689461,1841.4691855241883,1.719242685162481e+20,1.0095176372384411,0.1404765466944571,24335833.325751744,41649986.3256713
2024-09-25 00:00:00,10336.551896925332,6920.338408410057,709.1844342505232,1.2358004357350592e+20,0.7270765164167641,0.3224462539616103,25305356.98406704,48099223.10005707
2024-09-26 00:00:00,6475.308622261418,5614.828714297885,1691.8299570106897,1.0193671635247596e+20,0.7661852614353647,0.2274601123389595,24233252.259518538,40820337.91697398
2024-09-27 00:00:00,14685.500587445786,5263.773030698628,1840.952410495281,1.2461935460831171e+20,0.8852536492664794,0.1835105829229942,24976220.56254702,43592369.9035431
2024-09-28 00:00:00,14935.944640569413,6733.7379659378585,1929.0195264149695,1.696225907043693e+20,0.8987259927270834,0.1727125960328406,25410029.090712503,43893211.1618939
2024-09-29 00:00:00,10662.532971613937,15800.26702518897,2253.2553312530877,1.9475345950647094e+20,0.705917419575623,0.1980591153883938,24550832.48069667,44644211.7002732
2024-09-30 00:00:00,14985.835165491582,9394.690232387906,1710.5075819556257,1.4492869042583269e+20,0.943405050060684,0.2150595862836926,22943623.62535369,44327522.95230931
2024-10-01 00:00:00,7733.604747064676,6297.344068092028,1726.313786363006,1.888100801102261e+20,0.9841544356417442,0.1980787376710145,21534936.558952343,37857811.28949252
2024-10-02 00:00:00,10176.034718046672,4884.616744843938,1639.7465207980326,1.7681602852057344e+20,0.9419890411058036,0.2904602957402635,23495397.743241392,38984898.07176405
2024-10-03 00:00:00,15295.055903624125,6879.720725465894,1842.2628057827503,2.129967650682339e+20,0.6043240294578425,0.2206728523817157,22456200.805021,33839315.56188147
2024-10-04 00:00:00,12879.334152815043,6231.011655749218,2049.831361502902,1.639897542929706e+20,1.0621902198868816,0.1122105431331243,22271543.508376826,32678546.07181089
2024-10-05 00:00:00,14288.602957395577,5518.142068224261,1399.638417488692,1.7426482839580747e+20,0.932456516580609,0.1259024552873546,20610353.647357732,36164909.255044885
2024-10-06 00:00:00,8871.395669792588,5408.065385107296,1853.2435204256903,1.3251060917261846e+20,0.920941710356448,0.2173336298795011,20594626.628019717,38674507.979986355
2024-10-07 00:00:00,14077.400754077318,5180.228305084183,2344.8171509815793,2.2480091717212324e+20,1.2570346978537053,0.217679539306845,20925124.416938774,38448725.44536744
2024-10-08 00:00:00,8213.618282737805,2611.893968941964,1595.671495168188,2.4394962542234763e+20,0.8649179942789309,0.1332760129679248,19377878.459273767,40806729.16049001
2024-10-09 00:00:00,14432.21079159367,7131.900656004029,1408.34224970069,1.3983854517260993e+20,0.5252890701020856,0.1322776033550141,20261102.098305,38234557.61525366
2024-10-10 00:00:00,11549.696660033544,4703.521441501756,1369.0841649961037,1.515231975472956e+20,0.8408951941492319,0.2658378794851221,19091372.93252689,35292486.132778
2024-10-11 00:00:00,8539.6929902864,2115.1570034349015,1864.4733265205011,2.4569780247239207e+20,0.9550606278738308,0.060817689840356,18957812.363611817,37023608.520164534
