uuid,name,recipient,project_type,category,address,chain,contract_type,transactions_90D,transactions_180D,active_addresses_90D,active_addresses_180D,farcaster_users_90D,farcaster_users_180D,daily_active_addresses_90D,daily_active_addresses_180D,block_explorer
532b548b-1e3c-4582-bdc2-f7900a8d1a79,BLOCKLORDS,0x460464c72E010A805043195c56690347f67BE746,App,Gaming,0x56f60b8e327dc8f580f4ad3ebd675cb818beac75,Base,trace_contract,347432.0,347445.0,7690.0,7692.0,1.0,1.0,230.0,115.0,https://basescan.org/address/0x56f60b8e327dc8f580f4ad3ebd675cb818beac75
6d241ba1-8328-41ad-8f3b-712509f5b150,BLOCKLORDS,0x460464c72E010A805043195c56690347f67BE746,App,Gaming,0x854d05fb618fe81c8aeb0d6b03bc957ce409d5bc,Base,trace_contract,115765.0,115769.0,1595.0,1596.0,1.0,1.0,86.0,43.0,https://basescan.org/address/0x854d05fb618fe81c8aeb0d6b03bc957ce409d5bc
8185bfc1-5b24-4d67-87f6-3c630da1d34f,BLOCKLORDS,0x460464c72E010A805043195c56690347f67BE746,App,Gaming,0x7a7c9b6bc271f7d02bf039e92ade4984db7ec5f7,Base,trace_contract,34565.0,34574.0,619.0,622.0,1.0,1.0,20.0,10.0,https://basescan.org/address/0x7a7c9b6bc271f7d02bf039e92ade4984db7ec5f7
b76bef3b-9a68-474a-b1ca-3f6a7bc30c2e,BLOCKLORDS,0x460464c72E010A805043195c56690347f67BE746,App,Gaming,0xa5eae9b57ce5f22785263223eee03fcad2e4cd76,Base,trace_contract,1218976.0,1218977.0,1218976.0,1218977.0,1.0,1.0,13544.0,6772.0,https://basescan.org/address/0xa5eae9b57ce5f22785263223eee03fcad2e4cd76
e453a6bd-98fc-4e91-880f-b7593003ac65,BLOCKLORDS,0x460464c72E010A805043195c56690347f67BE746,App,Gaming,0x80625310db240631a91f61659ccc550ea9761742,Base,trace_contract,10404476.0,10404482.0,666889.0,666892.0,1.0,1.0,31079.0,15540.0,https://basescan.org/address/0x80625310db240631a91f61659ccc550ea9761742
ff7d4b80-83b7-4c59-93da-5b2524195dc9,BLOCKLORDS,0x460464c72E010A805043195c56690347f67BE746,App,Gaming,0xb676f87a6e701f0de8de5ab91b56b66109766db1,Base,token_contract,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,https://basescan.org/address/0xb676f87a6e701f0de8de5ab91b56b66109766db1
a622ebca-d695-487e-adc9-931372135973,BMX by Morphex,0xB1dD2Fdb023cB54b7cc2a0f5D9e8d47a9F7723ce,App,DEX,0x927f9c03d1ac6e2630d31e614f226b5ed028d443,Base,trace_contract,12148.0,29649.0,130.0,269.0,11.0,42.0,15.0,16.0,https://basescan.org/address/0x927f9c03d1ac6e2630d31e614f226b5ed028d443
094ee083-01d1-41f8-81c6-3fe33232a8c7,BMX,0xB1dD2Fdb023cB54b7cc2a0f5D9e8d47a9F7723ce,App,DEX,0xf9fc0b2859f9b6d33fd1cea5b0a9f1d56c258178,Base,dapp_contract,479.0,1031.0,49.0,72.0,3.0,11.0,2.0,1.0,https://basescan.org/address/0xf9fc0b2859f9b6d33fd1cea5b0a9f1d56c258178
5569f166-7c5c-4cdf-a11b-5a4280086a5a,BMX,0xB1dD2Fdb023cB54b7cc2a0f5D9e8d47a9F7723ce,App,DEX,0xc608188e753b1e9558731724b7f7cdde40c3b174,Base,trace_contract,16219.0,38876.0,397.0,826.0,167.0,222.0,14.0,14.0,https://basescan.org/address/0xc608188e753b1e9558731724b7f7cdde40c3b174
6a1f5979-e9ab-4971-a7ec-80ce58ad15d6,BMX,0xB1dD2Fdb023cB54b7cc2a0f5D9e8d47a9F7723ce,App,DEX,0x1e4eed8fd57dfbaae060f894582ec0183c5d6e38,Base,dapp_contract,88332.0,157710.0,3.0,3.0,2.0,2.0,2.0,2.0,https://basescan.org/address/0x1e4eed8fd57dfbaae060f894582ec0183c5d6e38
78b87055-ab6e-4fea-8808-d78eaadc2d3f,BMX,0xB1dD2Fdb023cB54b7cc2a0f5D9e8d47a9F7723ce,App,DEX,0x4e74d4db6c0726ccded4656d0bce448876bb4c7a,Base,token_contract,55520.0,107154.0,3660.0,5592.0,617.0,1175.0,136.0,132.0,https://basescan.org/address/0x4e74d4db6c0726ccded4656d0bce448876bb4c7a
8e44e5b4-87ae-4d63-96eb-b0849eb394ad,BMX,0xB1dD2Fdb023cB54b7cc2a0f5D9e8d47a9F7723ce,App,DEX,0x548f93779fbc992010c07467cbaf329dd5f059b7,Base,token_contract,33954.0,62965.0,3427.0,5844.0,529.0,1098.0,116.0,109.0,https://basescan.org/address/0x548f93779fbc992010c07467cbaf329dd5f059b7
954f07a8-715d-415f-a211-0602eaeac7d2,BMX,0xB1dD2Fdb023cB54b7cc2a0f5D9e8d47a9F7723ce,App,DEX,0x6d63921d8203044f6abad8f346d3aea9a2719ddd,Base,dapp_contract,9736.0,10320.0,89.0,109.0,22.0,24.0,7.0,4.0,https://basescan.org/address/0x6d63921d8203044f6abad8f346d3aea9a2719ddd
fb221b04-388b-4bb2-be7b-fc95dfc13e51,BMX,0xB1dD2Fdb023cB54b7cc2a0f5D9e8d47a9F7723ce,App,DEX,0x6456039168d3fe3bc5fcd9e46f3b716c1abd4ff4,Base,dapp_contract,877.0,2706.0,178.0,385.0,24.0,50.0,7.0,10.0,https://basescan.org/address/0x6456039168d3fe3bc5fcd9e46f3b716c1abd4ff4
1edae47f-c33a-43a3-8a8a-b9162a565560,Bonadocs ,0x094d9F5eB1198ebe30F94841509a77a165f16ab4,Other Application,Other Category,0x9d190f733c863dd50be3a12c4b5185a734e8589a,Optimism,unknown,,,,,,,,,https://optimistic.etherscan.io/address/0x9d190f733c863dd50be3a12c4b5185a734e8589a
22a0a8ea-0acf-4669-9d8d-d0cfa10e1104,Bond,0x16420FC422F1Ae747Cc6BbC7075C466efBA07b4d,App,Meme Community,0x35706dfbe28425dc831af3517b41b176e009cd0d,Base,trace_contract,460.0,526.0,75.0,108.0,1.0,1.0,2.0,1.0,https://basescan.org/address/0x35706dfbe28425dc831af3517b41b176e009cd0d
0674ed13-3026-4dad-9565-b522a40c8eff,Bored Town,0x9D63038e7f74bc089eb38e61Be8Da937918900D6,App,Art NFTs,0x28e43bb3ee202e1da587c88b0a8398309e8d4c2d,Optimism,dapp_contract,,,,,,,,,https://optimistic.etherscan.io/address/0x28e43bb3ee202e1da587c88b0a8398309e8d4c2d
b6dff2cb-33fa-449a-8434-6ef6ea5624c6,Boregon Trail,0x0c9E725902f2eeEC063c16d253F38684E3192001,App,Gaming,0x70737489dfdf1a29b7584d40500d3561bd4fe196,Base,token_contract,74768.0,183331.0,2648.0,19870.0,995.0,6583.0,75.0,234.0,https://basescan.org/address/0x70737489dfdf1a29b7584d40500d3561bd4fe196
74068a98-86e1-412c-8e44-c3602d55b284,BSX,0x974dD3B4e5E00BC3117Fbba15E521B6B5aFC151C,App,DEX,0x26a54955a5fb9472d3edfeac9b8e4c0ab5779ed3,Base,dapp_contract,45764.0,58333.0,130.0,1032.0,30.0,154.0,3.0,9.0,https://basescan.org/address/0x26a54955a5fb9472d3edfeac9b8e4c0ab5779ed3
9833b9ba-50c0-4119-a480-1815f0b8fd3f,BUILD,0xC925bD0E839E8e22A7DDEbe7f4C21b187deeC358,App,Community & Curation,0x3c281a39944a2319aa653d81cfd93ca10983d234,Base,token_contract,236731.0,388406.0,50356.0,61979.0,35435.0,39608.0,871.0,655.0,https://basescan.org/address/0x3c281a39944a2319aa653d81cfd93ca10983d234
7f2d11e3-2b97-4e36-b732-ac349ed2f1c7,BUZZAR,0x9dE1C45449258a21B51fe69eB6cef1Fd71E459a4,App,Donations,0xc1b6844d5134c8e550043f01ffbf49ca66efc77f,Base,token_contract,209.0,333.0,68.0,77.0,2.0,3.0,2.0,1.0,https://basescan.org/address/0xc1b6844d5134c8e550043f01ffbf49ca66efc77f
7c031575-b308-4dd8-901d-70dd45c9a29f,CantinaVerse,0x0cE9e1336158d6600C11DA0610A3282b82817834,App,Art Marketplace,0xd19fd90fd1e0e0e4399d341deaefe18de5565bfd,Optimism,unknown,,,,,,,,,https://optimistic.etherscan.io/address/0xd19fd90fd1e0e0e4399d341deaefe18de5565bfd
ed6040e7-515a-436e-ab8b-869011a58f00,CantinaVerse,0x0cE9e1336158d6600C11DA0610A3282b82817834,App,Art Marketplace,0xa999dc0749657e77ac3216d8fa6be16874f8e50c,Base,unknown,,,,,,,,,https://basescan.org/address/0xa999dc0749657e77ac3216d8fa6be16874f8e50c
77e31db9-a73e-4aad-a8eb-694bd5c0ae54,Cat Town | Gacha,0xf40eD759BF4C05DF1Af180FE27d470E52D7ca611,App,Gaming,0xb75ff8958891ccf264dab717ccd9722acc939f0d,Base,trace_contract,147.0,147.0,10.0,10.0,4.0,4.0,0.0,0.0,https://basescan.org/address/0xb75ff8958891ccf264dab717ccd9722acc939f0d
2501e7cb-57f8-4e70-ac38-bcf8efdeae08,Cat Town,0xa6BeE3f99eE2b70672A34A983AF0bBF79C028CD9,App,Gaming,0x8f9c456c928a33a3859fa283fb57b23c908fe843,Base,trace_contract,357365.0,382970.0,4229.0,4246.0,157.0,160.0,110.0,57.0,https://basescan.org/address/0x8f9c456c928a33a3859fa283fb57b23c908fe843
3838464c-4733-491d-8c02-6c4cad6d53b1,Cat Town,0xa6BeE3f99eE2b70672A34A983AF0bBF79C028CD9,App,Gaming,0x10a77395a07917c5eb71feeb86696b7612f9730f,Base,dapp_contract,79874.0,89682.0,4285.0,4462.0,324.0,343.0,696.0,394.0,https://basescan.org/address/0x10a77395a07917c5eb71feeb86696b7612f9730f
60263648-dc1a-4778-85a6-66d6ba111304,Cat Town | Supermarket,0xf40eD759BF4C05DF1Af180FE27d470E52D7ca611,App,Gaming,0xa27aaf29f94c40589e7fb523c96b5e03311dff4f,Base,unknown,,,,,,,,,https://basescan.org/address/0xa27aaf29f94c40589e7fb523c96b5e03311dff4f
1e90433c-90da-444b-a9c0-7f2a50caf423,CC: App Type 8.20.24,0x265985d0a57A4339509cd785f854668055924AF5,App,Other Media NFTs,0xe0fe6dd851187c62a79d00a211953fe3b5cec7fe,Base,dapp_contract,24515.0,24515.0,22132.0,22132.0,2978.0,2978.0,256.0,128.0,https://basescan.org/address/0xe0fe6dd851187c62a79d00a211953fe3b5cec7fe
e54a93fb-ec4c-482f-9765-e67d7b84bf87,Chainnode,0xFf0A5E35E2400d7f0610d8Ae2Eda108366C9a5C2,App,Other Category,0x35b107de530d75d730bda32ffe7d72a1be41474b,SwanChain,pending_swanchain,,,,,,,,,https://mainnet-explorer.swanchain.io/address/0x35b107de530d75d730bda32ffe7d72a1be41474b
5f081f0e-9834-449a-b748-fa86bcfd08c7,Charged Particles - Web3 Packs,0x75F2Ef654919CA7fd03E73BfDF60b9460e5cDE8D,App,Other Category,0x2c1ef27186ae0d306c195b40c8907eef7586f388,Mode,dapp_contract,65.0,65.0,23.0,23.0,11.0,11.0,0.0,0.0,https://explorer.mode.network/address/0x2c1ef27186ae0d306c195b40c8907eef7586f388
649e921b-3f19-4a5a-8d8e-6a42508c2741,Checkin: Location-based “Checkin and Earn” social to connect IRL and onchain,0x357843d6d1ECE85ABA4032EfA31a2e813F519261,App,Gaming,0x224b2491f28f4a6bde6b515b2371136fe38f5ba2,Base,dapp_contract,1922.0,1922.0,320.0,320.0,310.0,310.0,4.0,2.0,https://basescan.org/address/0x224b2491f28f4a6bde6b515b2371136fe38f5ba2
9ebf0214-b40d-4310-83ed-acc1f7b2d456,Chibi Clash Kingdoms,0xcFF7542c8D9B260f0E4D96d3a330b1B42018BAeF,Other Application,Gaming,0x0feea4e2ddaca247c0b81f69139b34e276aff966,Base,trace_contract,2184.0,2606.0,306.0,306.0,55.0,55.0,6.0,3.0,https://basescan.org/address/0x0feea4e2ddaca247c0b81f69139b34e276aff966
