,recipient,name,status,transactions_90D,active_addresses_90D,daily_active_addresses_90D,farcaster_users_90D,transactions_180D,active_addresses_180D,daily_active_addresses_180D,farcaster_users_180D,uuid_list
64,0x84EC34a8b64e9A40248599fe0f8afA9d66742Fe0,Air3,metrics_available,1774.0,1104.0,13.0,261.0,1774.0,1104.0,6.0,261.0,['795a96c7-4d7e-4c58-8958-aad52d6a8f12']
65,0x84EEb7dB3f93feb5A8A98F56Dabb970A6797c187,Welcome Onchain,metrics_available,50518.0,273.0,7.0,139.0,60008.0,677.0,7.0,338.0,['d1571cc0-0d88-455b-be2e-91447ddac859']
66,0x89213f11E4A356d450Ab89A876F4c1cb5B8996DA,Privy,metrics_available,59.0,12.0,0.0,0.0,73.0,17.0,0.0,0.0,['97a50e6a-18df-4572-bcb5-235b63f7e256']
67,0x8d17B248525EDB99cc36c4D458871aDC8B025cD0,Dragon Academy,metrics_available,21.0,12.0,0.0,4.0,21.0,12.0,0.0,4.0,['d43a073e-a744-43a7-804c-3e1c402c2c9a']
68,0x8dA48e5846c06B558970ACd42EDc7Da8799481E4,WebHash.com,metrics_available,598.0,271.0,3.0,55.0,1563.0,481.0,3.0,137.0,['d4a2d1b2-ae53-4e4a-a860-8fcbffb48351']
69,0x92caBFc81734bf827B037065076eF8C78AcBd12F,Merkl,metrics_available,40786.0,11756.0,399.0,3434.0,45126.0,12095.0,217.0,3462.0,['76a5ab6c-a252-4c73-90c9-cff05b85a2b1']
70,0x963D564CA6377Ee5581eE6204A13184bb887bfc8,motoDEX,metrics_available,272.0,139.0,1.0,3.0,293.0,155.0,0.0,11.0,"['2625454f-6714-4b8f-bdda-31b886e25702', '8dcfac3e-f424-4589-9f63-ac08d3783d0a']"
71,0x974dD3B4e5E00BC3117Fbba15E521B6B5aFC151C,BSX,metrics_available,45764.0,130.0,3.0,23.0,58333.0,1032.0,9.0,143.0,['74068a98-86e1-412c-8e44-c3602d55b284']
72,0x984195f93DB193EDB0023F321Fd1a4e2278c43f3,Gambit Finance,metrics_available,73842.0,384.0,45.0,59.0,73842.0,384.0,22.0,59.0,['1c8d19aa-789f-4a52-a624-ee7bda2c885a']
73,0x997b0CcEd542b6d2A7e0Bae5649aFd9d0861CB4e,far.quest - Farcaster Super App,metrics_available,24321.0,16445.0,205.0,7985.0,62655.0,43557.0,280.0,24712.0,['2963e6a6-0d53-47b8-b239-f40182f7746c']
74,0x99Fc221482ca78664d0288FfC6531cb6dfEB0c5a,Da Performers,metrics_available,9.0,6.0,0.0,5.0,48.0,9.0,0.0,6.0,['ad7d7772-20a5-4786-b34a-3df2cdbe2ff3']
75,0x9A1d17c82b8FdD83aB3004bEd20C44d3b0131C0b,Lizard,metrics_available,844802.0,1198.0,22.0,76.0,863075.0,1398.0,14.0,78.0,['4d172a4b-7c8e-40b6-84f6-475906c42d67']
76,0x9D63038e7f74bc089eb38e61Be8Da937918900D6,Amazing Hunt,metrics_available,1179.0,3.0,0.0,0.0,1179.0,3.0,0.0,0.0,['657d3052-63b9-499a-8898-ee74a2d4c0e7']
77,0x9F36A6bB398118bdCD5B1bC3343D8FEB6d7d02B9,PoolTogether,metrics_available,37.0,7.0,0.0,0.0,52.0,11.0,0.0,0.0,['e9aa7925-c471-4c63-961a-c35abfe20159']
78,0x9b7816f3eb2d35A24edD9BB4F33f05E9a2332494,Yunan90,metrics_available,13.0,7.0,0.0,0.0,43.0,17.0,0.0,1.0,['49ee3492-1af1-41e2-8ef2-f5f388470d46']
79,0x9d8a155f084741fF4C69c3B1272b5b30A8373d1b,Supa,metrics_available,1.0,1.0,0.0,1.0,1039.0,60.0,0.0,35.0,['6b6c1870-6136-488d-a8bb-d55a65a3f69a']
80,0x9dE1C45449258a21B51fe69eB6cef1Fd71E459a4,BUZZAR,metrics_available,209.0,68.0,2.0,1.0,333.0,77.0,1.0,1.0,['7f2d11e3-2b97-4e36-b732-ac349ed2f1c7']
81,0x9ff6d5452a0847949683F97E868d706254a05007,Definitive Finance,metrics_available,84544.0,170.0,9.0,0.0,192279.0,515.0,14.0,0.0,['6a11ad77-d1d4-47ce-ba2f-d89cf853fd00']
