,name,project_type,category,chain,explorer,contract_type,status,transactions_90D,active_addresses_90D,daily_active_addresses_90D,farcaster_users_90D,transactions_180D,active_addresses_180D,daily_active_addresses_180D,farcaster_users_180D,uuid,recipient,address
80,Idle,App,Lending,Optimism,https://optimistic.etherscan.io/address/0x9ebcb025949ffb5a77ff6ccc142e0de649801697,token_contract,metrics_available,87.0,39.0,1.0,4.0,197.0,54.0,1.0,6.0,320999ba-11c1-420f-bdfa-d86f53e2e0a9,0xF7032A9261BbB04b0E7b4d2bb3E8f96aCF825AE4,0x9ebcb025949ffb5a77ff6ccc142e0de649801697
81,I'm Tired Of Being Hypersurveilled: Art Collection,App,Art NFTs,Base,https://basescan.org/address/0x4b130ef4051a35883e3b399b67d13b9bd4224798,dapp_contract,metrics_available,59.0,49.0,0.0,29.0,4358.0,3676.0,21.0,1722.0,d415ba93-8f6e-409a-bd9b-d310c6112dc8,0xcfBf34d385EA2d5Eb947063b67eA226dcDA3DC38,0x4b130ef4051a35883e3b399b67d13b9bd4224798
82,Ionic,App,Lending,Mode,https://explorer.mode.network/address/0xfb3323e24743caf4add0fdccfb268565c0685556,dapp_contract,metrics_available,4325.0,2491.0,31.0,1076.0,189826.0,38293.0,413.0,10926.0,62fc6280-e66f-4e03-a93f-c04f2b11f383,0x1395348Cb0E7b62E9DbaadA079B10A4E6AC26a8F,0xfb3323e24743caf4add0fdccfb268565c0685556
83,Ironclad Finance,App,Lending,Mode,https://explorer.mode.network/address/0xb702ce183b4e1faa574834715e5d4a6378d0eed3,dapp_contract,metrics_available,33317.0,5656.0,104.0,2336.0,274467.0,30615.0,359.0,10935.0,0faedca5-9e1f-48c5-817e-c21defb36379,0xDB15fcEa49836C09672DeBf8EF53FFe4400cE377,0xb702ce183b4e1faa574834715e5d4a6378d0eed3
84,Kiwi News,App,Community & Curation,Optimism,https://optimistic.etherscan.io/address/0x08b7ecfac2c5754abafb789c84f8fa37c9f088b0,dapp_contract,metrics_available,287.0,178.0,2.0,128.0,444.0,263.0,2.0,198.0,63ccc515-d1aa-4f68-b5a4-2177b10f81cc,0xee324c588ceF1BF1c1360883E4318834af66366d,0x08b7ecfac2c5754abafb789c84f8fa37c9f088b0
85,KRASH WORLD: DA GAME PASS,App,Gaming,Base,https://basescan.org/address/0x1bf81236cacd7fd0c630fe0bb36e49cffda37b4c,trace_contract,metrics_available,48.0,3.0,0.0,1.0,48.0,3.0,0.0,1.0,00df8f90-6f06-4b92-8ed9-13f3fbe8cbcf,0x6A08A2b9C30174506bF4922d0C580995136c762D,0x1bf81236cacd7fd0c630fe0bb36e49cffda37b4c
86,L2Pass,App,Bridges,Optimism,https://optimistic.etherscan.io/address/0x0000049f63ef0d60abe49fdd8bebfa5a68822222,dapp_contract,metrics_available,604.0,310.0,3.0,33.0,55785.0,22749.0,153.0,572.0,25ed3a90-eaff-43c3-b108-e4203e6b748b,0xEAF56cF68C38281252E49b460c5a66925991475B,0x0000049f63ef0d60abe49fdd8bebfa5a68822222
87,L2Pass,App,Bridges,Base,https://basescan.org/address/0x0000049f63ef0d60abe49fdd8bebfa5a68822222,dapp_contract,metrics_available,975.0,716.0,8.0,64.0,74750.0,31635.0,238.0,965.0,670de93f-62ec-4b06-b88b-682b641c4e06,0xEAF56cF68C38281252E49b460c5a66925991475B,0x0000049f63ef0d60abe49fdd8bebfa5a68822222
88,L2Pass,App,Bridges,Base,https://basescan.org/address/0x222228060e7efbb1d78bb5d454581910e3922222,dapp_contract,metrics_available,1667.0,1338.0,17.0,45.0,53554.0,32266.0,253.0,785.0,9eabb839-0400-443c-bc8f-9870d8ede259,0xEAF56cF68C38281252E49b460c5a66925991475B,0x222228060e7efbb1d78bb5d454581910e3922222
89,L2Pass,App,Bridges,Zora,https://zora.thesuperscan.io/address/0x222228060e7efbb1d78bb5d454581910e3922222,dapp_contract,metrics_available,239.0,161.0,2.0,25.0,2783.0,2274.0,13.0,105.0,afdbf54a-2292-4771-b8a5-8d6f2df3fe8d,0xEAF56cF68C38281252E49b460c5a66925991475B,0x222228060e7efbb1d78bb5d454581910e3922222
