date,forecasted_Transaction Count,forecasted_Active Users,forecasted_Unique Users,forecasted_Total Transferred,forecasted_Retained Daily Active Users,forecasted_DAA/MAA,forecasted_TVL,forecasted_TVL_opchain
2024-09-01 00:00:00,38.96145834057756,23.966237621552537,0.8505961523147116,8901223533.19348,0.8812746933679504,0.6493929276572498,54662664.641530216,66036848.975640595
2024-09-02 00:00:00,35.64037227493669,16.04140309529683,0.6786101389820866,6754644516.190833,0.8273980171290463,0.7110363974822906,51204037.31049301,63189207.21885947
2024-09-03 00:00:00,42.42866321379392,18.138151669417198,1.1412406825362393,9345996980.002361,1.0003177487159158,0.5877636464554443,55830955.83506241,60662057.010169886
2024-09-04 00:00:00,38.32821726827278,20.723942302482182,0.7575048939748026,4902577667.400106,1.403198513733715,0.6128126682446001,53212553.887798585,61344050.76291035
2024-09-05 00:00:00,38.424053261323,32.37403280728453,0.3527540883706168,5828248412.756382,0.4709075606046665,0.4960670700874786,55460786.222697295,61312606.4793424
2024-09-06 00:00:00,29.62299581538434,15.256791528984143,0.8219112568812101,10268360959.84644,1.358475321368005,0.2774375111540731,50524512.59935454,60288425.98817445
2024-09-07 00:00:00,19.72128417554259,26.066435378188462,0.8711440579937418,1085738215.357771,0.6206500630564679,0.495297448211924,52383000.04294308,58962561.29483114
2024-09-08 00:00:00,32.56330474181792,23.272738880209253,0.8185784551164496,922394692.3938184,0.8043872315003263,0.5526184834188876,51564134.01593048,61594180.81582056
2024-09-09 00:00:00,43.72743629661689,24.292585082468914,1.1403275199502172,1320907709.287691,1.2572595778920452,0.4490852078349099,50752683.826860674,57477314.13770965
2024-09-10 00:00:00,29.055088593710103,34.33927617615992,0.9925830338817968,38204460320.520744,1.0247989771405932,0.6338695819563425,47574818.517611444,58084350.97878319
2024-09-11 00:00:00,49.10193931788657,22.00556144604433,0.8077203551456646,10161517685.592339,0.8440610872596337,0.49730407128214854,49107722.21635971,53014067.555231065
2024-09-12 00:00:00,41.24636023210642,27.435592237921355,0.8583092290163606,26437388551.051163,0.8065628667866739,0.6320774591664785,47729891.43305253,50380718.13341497
2024-09-13 00:00:00,45.83079493559169,26.52130383381227,0.7577117079738624,38066862461.55282,1.141602738218443,0.5076633169341984,46476770.736982614,57932863.32126616
2024-09-14 00:00:00,45.915306803289944,15.58356027562774,0.8513283502142857,49056601091.62328,0.6653724253404483,0.4195273834808231,43845722.2845437,58398256.932188995
2024-09-15 00:00:00,28.535313154454037,29.430534001683547,0.7872331538279853,23537505114.006744,1.0020636718959877,0.43411459982980866,46221643.118496954,57481322.97050388
2024-09-16 00:00:00,31.73635935038932,23.404517990373897,1.07929024102421,25255153838.92612,0.9744235537337079,0.7852235995695893,43395616.820885316,53690079.23123789
2024-09-17 00:00:00,33.92824923182734,24.479849142699496,0.9253074333942164,27554167121.341732,1.237653962999418,0.4894039655864647,49610350.51987464,58260641.67638661
2024-09-18 00:00:00,31.704717987506573,13.280108625446356,0.9967528341829796,39227435022.95869,1.023899362234574,0.5775766809646775,40969675.01979108,59393802.89718665
2024-09-19 00:00:00,29.011844275735886,18.073022071439592,1.0322799306226365,4082463703.1744685,1.0360617703322692,0.6843144817005634,44413104.470330186,53072139.08255596
2024-09-20 00:00:00,37.37392037881929,26.769507127626134,0.9678172704776231,5127009445.550425,0.7902170157546483,0.5298547318823523,38746067.840425886,57672583.755526155
2024-09-21 00:00:00,41.45325789235373,20.61482091216856,1.0363351186871108,3967834662.0981717,0.616062335127323,0.5930564459513763,41134044.19916648,55227138.21569601
2024-09-22 00:00:00,33.51866094807387,8.39287949845289,1.0026855947518052,2712496916.180293,1.252067014961963,0.49491851153094213,38364797.78644807,54310725.09038307
2024-09-23 00:00:00,47.365352167700415,27.359426419494262,0.8023752494951112,22396584871412.465,0.511439471212288,0.8424272000808493,37631549.07576381,49346856.64716157
2024-09-24 00:00:00,29.487706434986002,16.2212142374196,0.9671312114326159,27744503.28415708,0.984844629313853,0.5377133458015995,38201689.459423564,51662152.65324963
2024-09-25 00:00:00,54.70180909961854,20.91575268371141,0.7639683825276139,90353516.15616441,1.0283302259889953,0.5835695122646554,35960568.73784581,51148440.893323496
2024-09-26 00:00:00,46.39396832988906,27.728403103459158,0.7923659739370055,5318097556.079239,1.2256943909540845,0.5265615598961523,38040880.22619923,51455423.610799186
2024-09-27 00:00:00,36.138652876512005,28.88645546953487,1.013603129760276,7596597783.925567,1.1122419953433291,0.5187215804318959,39508136.26644477,53313440.73538292
2024-09-28 00:00:00,31.43089384264648,14.34650626893587,0.9770105933959451,6945610852.699376,0.802044699388625,0.4332353795830045,40105464.86667514,54174049.167693235
2024-09-29 00:00:00,34.130436349065484,21.53931934397888,0.8699004296366609,5482943173.340512,0.8519418856265139,0.7107421816312858,41008353.17815782,57632567.94857714
2024-09-30 00:00:00,40.06776370103545,24.453554794767786,0.4516551359266656,7602632629.50135,0.5615967481689841,0.5625338248508938,41300248.14369771,50268601.05817202
2024-10-01 00:00:00,51.79282761480453,17.517134708092208,1.2956907206156574,15941354734.373016,1.1381611585678673,0.5750918634678344,41635832.88221103,48781987.64431108
2024-10-02 00:00:00,37.019451694211966,13.371300846724695,1.6407034779584908,14836996801.38681,0.4850144175829486,0.36519514117483903,41310077.805689044,54598668.29713106
2024-10-03 00:00:00,32.06946474903717,17.716261418831103,1.3366358275037358,13193212256.562428,1.0929164165092697,0.4996396719073812,45751608.757239185,47509149.589275606
