date,forecasted_Transaction Count,forecasted_Active Users,forecasted_Unique Users,forecasted_Total Transferred,forecasted_Retained Daily Active Users,forecasted_DAA/MAA
2024-10-01,50311.65420770198,14583.09737121208,1116.8683288455068,6.895386467081564e+18,0.48527849644339066,0.10282403752700536
2024-10-02,52545.79400365522,12450.06533928737,1080.9270914157983,1.2779158572415803e+19,0.5467870955211076,0.12089682933980575
2024-10-03,33556.81409742522,9624.038841804293,679.2996768917999,1.0793716696523575e+19,0.8003212853547631,0.12492601902275906
2024-10-04,30476.224487569783,9784.43913178416,1088.0761727969464,1.3629146097024709e+19,0.516363186311574,0.10684470124394375
2024-10-05,25580.2575406567,17642.812222329063,884.9894403110642,2.132920735204983e+19,0.6521285920694624,0.11178227899745342
2024-10-06,44098.68859371344,15593.756555346768,548.1496352569509,8.734120048510469e+18,0.7142645769306362,0.1340522955334399
2024-10-07,18206.178598579667,27147.37939461867,1090.6190533059698,1.0753515916460517e+19,0.5986942570305426,0.12962261148188509
2024-10-08,23113.65063261382,26396.58852822124,764.2566058019574,9.685368084405817e+18,0.31398631014358386,0.15568702441272567
2024-10-09,30511.8129751663,12428.116092953263,1078.060912144488,1.2533055370541169e+19,0.45232294005290596,0.09839405396514336
2024-10-10,27387.723801578904,16042.22866154957,689.4817294368573,1.342998994180316e+19,0.6798733163826656,0.1483886965582621
2024-10-11,13325.649891071174,25503.464909875787,1135.4425230589293,9.119570142186244e+18,0.48370826821736984,0.2134021716406368
2024-10-12,32377.588607393398,8907.402176807505,1290.7703275918363,1.1095243985522203e+19,0.6735014908671574,0.24137681782804102
2024-10-13,15317.857317382408,21764.248954324652,4057.8569810014646,1.64493963152191e+19,0.4722435402705396,0.14810773001888075
2024-10-14,33060.90179238881,19406.026309677218,4620.6024516971,1.3913707748776546e+19,0.4261899413812363,0.1754269762399388
2024-10-15,16376.344745524031,22127.85674422182,4277.5478411628965,7.207498120794209e+18,0.7475406428680007,0.22795478854191345
2024-10-16,36104.83927412995,13804.704844757904,2563.7811271908545,1.7892087139289573e+19,0.6039571444436459,0.2844053113336161
2024-10-17,35268.86794222166,14767.663236178121,2179.0291229931563,1.6935453358245497e+19,0.47438430606371407,0.16397642213674363
2024-10-18,30196.333827756596,16702.505246841123,2213.718516500926,1.7345202851539194e+19,0.40052101026510906,0.16247099138169196
2024-10-19,7153.110655434029,21600.784600762472,1529.5351303647485,8.171661816875065e+18,0.3868648875148678,0.18572241333493686
2024-10-20,29907.53018795022,7601.516558922554,1374.8689875631596,9.177385510870287e+18,0.34311743409807094,0.18246673016119933
2024-10-21,18599.25404012173,17379.52376713031,1758.0299695926738,9.397783217687325e+18,0.5592758052606436,0.14322527406778132
2024-10-22,32244.76502670916,13811.791330384505,2669.161930628533,1.250278952146041e+19,0.41701776288899706,0.27014046713198936
2024-10-23,24557.37593622262,19501.29552906005,1922.601610009392,8.207914510562565e+18,0.4787820724499165,0.15505851253034292
2024-10-24,37604.90592387868,20837.518829612196,1908.7140360981548,1.3577288263722805e+19,0.5914443318458704,0.23575907510414107
2024-10-25,36518.31676323935,17978.821124506867,2856.0441122841694,1.9927376470558396e+19,0.3515632701671648,0.17923954909740467
2024-10-26,65230.38116297206,19538.07865666283,1484.8876554885599,1.6805358291807304e+19,0.4647464156551673,0.17832306476988388
2024-10-27,42762.46876855732,18884.09233895198,1702.7670102215789,1.8378003215635773e+19,0.4022336909380552,0.17936386306999838
2024-10-28,39061.45226295406,24031.13542920191,2083.626096516153,1.5502480817044603e+19,0.3429866512840452,0.1830308555468893
2024-10-29,16531.82681278568,15503.414808095966,3396.9958058144484,1.0580449877751204e+19,0.15259849608885698,0.16375019125106807
2024-10-30,52834.365279521946,16572.43916828031,1535.6903900481177,1.798569702450363e+19,0.5767595465315378,0.1761587736581287
2024-10-31,23378.95961086176,12234.687064614023,3096.9807188297614,8.712408342827913e+18,0.44683396862514274,0.25590933957081924
2024-11-01,23998.25669789957,10184.217961482098,2002.824415380146,1.1379739326483771e+19,0.41997880017918104,0.20524796285796273
2024-11-02,22859.397328810323,20050.395788346843,2759.4978670413625,8.710117255652168e+18,0.5933772614470917,0.17089722908778113
2024-11-03,42195.50368747758,26022.412003036283,2591.3745677333964,8.14605322221862e+18,0.47004427921691205,0.08733095722510029
2024-11-04,35867.24790219604,22999.74816854461,1558.97489793381,7.442930732511829e+18,0.36302790680199787,0.1649929036099455
2024-11-05,39813.98356808699,16954.872299756127,2641.2524183351807,1.4192966016089661e+19,0.5493323608360811,0.22199706166503858
2024-11-06,40327.896615740305,22808.21344211601,1952.2310777513296,1.0917379180569516e+19,0.5020229088543192,0.1127818081861034
2024-11-07,35968.594370431776,21126.46507299239,2312.7275949687896,1.2275640682745127e+19,0.45851836379985167,0.26902306303401186
2024-11-08,15687.354289914749,20872.568089284243,2598.850414498566,1.665264424808523e+19,0.4028690154480887,0.08233123788345649
2024-11-09,24620.311114222135,14765.075687143953,3722.0784152757346,1.2969691118769314e+19,0.5895598688617845,0.16839975798243342
2024-11-10,33431.74074536696,22126.458486631644,3312.990501774966,1.19563404454322e+19,0.505371181905038,0.11771613172927702
2024-11-11,18446.04952041073,19951.59968141801,4826.085878573924,1.0432336993524333e+19,0.6015423134675602,0.1323819596205008
2024-11-12,22463.447262325717,20379.25041949987,2284.8253289855993,1.066661799247238e+19,0.7812233633332364,0.18654874953319495
2024-11-13,21001.110918497336,14902.609415615798,2786.563958488794,2.002911043246456e+19,0.5330139424776893,0.10760867614081335
2024-11-14,30670.28476708591,27371.528011762177,5308.668941146834,1.77703542084267e+19,0.43782311535869295,0.10320702205246433
2024-11-15,24839.052265935803,26438.536871957258,2032.3471771330417,5.69455861253411e+18,0.49937949327360887,0.1740261587584868
2024-11-16,21576.911898106846,23189.809540481172,1335.5486903403144,1.0252236087111068e+19,0.5020442938778414,0.15126252899159986
2024-11-17,32290.43297782842,22725.684736051942,1625.1928876883198,2.597252885383634e+18,0.37036752539879997,0.16506137193386583
2024-11-18,48268.92529715844,20268.497901987303,1663.1139983365945,5.612972562535287e+18,0.2501861480466104,0.19702840967515622
2024-11-19,27005.61569810422,24181.47144580159,2372.0855221975285,3.491094749566914e+18,0.5432938376000239,0.19144034978267785
2024-11-20,29543.727915387226,9166.946134778038,1486.424149191247,8.343765241783148e+18,0.5116538530980734,0.16814984993083726
2024-11-21,35102.711054469866,30155.48391367565,1931.1221268160775,1.1968637108134742e+19,0.29703528019747444,0.19855239823908769
2024-11-22,32891.3922128347,18321.723545477635,1778.7432960988097,1.2230290609015235e+19,0.38273736784089807,0.18667335589969158
2024-11-23,32581.062315135354,17318.876237160963,1239.7717935614296,9.728981370995081e+18,0.5384481474405293,0.22034470093980016
2024-11-24,28080.83072062035,16767.87907050366,1829.0141550337444,2.63252961953199e+18,0.4811683934327902,0.18130791484804884
2024-11-25,38615.87275439431,20119.339813362585,2141.091840238242,1.2896550898359204e+19,0.38158365457321064,0.14827274737053237
2024-11-26,21393.92481598698,13654.242667448134,1761.022750975204,1.3680013413071479e+19,0.5127007022721661,0.17696775765029632
2024-11-27,22597.481795875345,21433.929958045985,1507.0967794484204,1.263410104034698e+19,0.5268639770735701,0.1927325589575548
2024-11-28,18882.521789632072,16882.53548001846,938.7105924287218,1.3590660106854472e+19,0.6752077458842736,0.1034715029908237
2024-11-29,24687.505093825614,23654.272834002906,1434.9716157444232,1.5528026478972813e+19,0.5658467507030486,0.22572970777415036
2024-11-30,27332.77962863774,21952.516152732846,1468.8398117117047,1.0823657594299286e+19,0.40463009817833107,0.13818522355406818
2024-12-01,23019.594749479686,16277.74726237529,1903.4307845064773,2.031720212178552e+19,0.4433435788956879,0.19286771336790406
2024-12-02,27367.234847393494,18900.561087892675,851.6180856304941,1.047602489270714e+19,0.5904214943864495,0.15235583765728228
2024-12-03,26229.669023481376,17140.758134817264,1621.0548409686319,1.1879820210505929e+19,0.5909892128852997,0.164456457289022
2024-12-04,26411.700937095295,17052.60846702657,2324.209966618257,9.497858398209604e+18,0.7309626257072623,0.11220633115822239
2024-12-05,23141.923411256328,27495.225685927424,3007.41529470581,1.215837265241644e+19,0.577880779650946,0.1850333238168853
2024-12-06,23125.879446721083,25707.561071761615,3636.643468085004,8.885184097654351e+18,0.5497226200429214,0.1254149349823335
2024-12-07,24380.833602288756,22801.654389809926,2388.746139705681,1.099007678730998e+19,0.549142842454353,0.1488571608163809
2024-12-08,29442.698252405513,16064.286676409087,2709.1710753496805,1.2947450388480336e+19,0.5849846023410437,0.07259714578334203
2024-12-09,24556.70601942049,18234.04456649651,1592.4547716990767,1.0009598691447691e+19,0.6657832030131665,0.15456725345721048
2024-12-10,33514.46684917134,21046.046361759294,1601.519528526437,6.238915277193457e+18,0.5610039049042033,0.11604405411569928
2024-12-11,16823.396656090932,28675.920357025152,1357.9565027943231,9.660163763487666e+18,0.6126028391003467,0.1567841859437968
2024-12-12,24026.89388600419,22776.019177670263,2481.6292031372786,9.596846830251364e+18,0.5906094852176209,0.1323267492503501
2024-12-13,29920.521358112783,30153.30563792747,1298.4123637739071,8.557068181536645e+18,0.6165885925627262,0.1442329174543321
2024-12-14,27744.081111608557,18373.647988312398,779.8574967353992,1.049034367930659e+19,0.8914992528257596,0.12307888593827135
2024-12-15,33499.72787478473,25619.55950887332,1489.3422369947089,1.2306990365322404e+19,0.668983034284922,0.12284364853303491
2024-12-16,45950.975492878555,15389.800403808194,1190.7118640660062,1.1877393891978086e+19,0.540959883706827,0.14438296428722486
2024-12-17,22666.85149727722,15314.026430767708,1459.4445369570915,1.3872846578937776e+19,0.5822002250380786,0.20523877503957866
2024-12-18,41267.64961004764,20826.240136762564,1781.3399713750644,1.0245869544013165e+19,0.6551935197372667,0.1628545692134415
2024-12-19,26503.875778036563,24959.024669582792,1477.0178429005903,1.596839525844508e+19,0.3864035672923977,0.17587297155067286
2024-12-20,22221.721192602276,18942.916186581126,1049.3181093316953,1.727207523884798e+19,0.37008925606555154,0.06652591959343308
2024-12-21,21151.235232243114,19708.1500982706,1859.6570293658142,1.041327676582851e+19,0.6238535446358741,0.1887864935366261
2024-12-22,38926.93405013699,16668.797163450443,2792.1151934708078,1.6759077692622455e+19,0.4961029813765367,0.19284523575660592
2024-12-23,25003.35502298533,17611.039363193075,1927.3945001863094,1.5418803684971166e+19,0.3688792012037462,0.17420691899006316
2024-12-24,31381.216328982013,13977.693980744862,1712.7678581315968,1.438520218790699e+19,0.5605604290513113,0.11768668048333068
2024-12-25,34113.23490753783,12074.162707198631,2905.3048344762656,1.1457167669542146e+19,0.6115977439539685,0.19503605837071036
2024-12-26,34312.18473733989,6263.599193892858,1713.8894095894275,1.5014509108394932e+19,0.35950645859643765,0.07967741706762928
