uuid,charmverseId,agoraProjectRefUID,id,recipient,time,name,status,profile_name,profile_url,metadata_name,metadata_website,project_type,category,address_type,address,chain_id,chain,flag_multiple_projects_same_profile,flag_creator_no_address,flag_app_missing_contract,flag_channel_no_channel,flag_charmverse_in_name,flag_creator_address_conflict,count_flags,has_flag
7db6742f-ea50-4735-828e-7d1c72ed8971,7db6742f-ea50-4735-828e-7d1c72ed8971,0x831d22c4d1d0ad94398260d32a1d1967fa3ac623a7bf6fc05cb35ecaffe39242,0x4af9e7e5da0f125c1a9c69585750726b6f7d9dc10ddc67bdcb5e833651238ddb,0xDFc6A4d94BAadEA8279b557aD6b75c8cd7439Cd9,1725292335,Aldirch,pending,aldrichdaren,https://warpcast.com/aldrichdaren,Aldirch,https://charmverse.io,Other Application,Art NFTs,N/A,,,,False,True,False,False,False,False,1,1
792bfd11-054b-4b11-8f38-6d15d6519bf3,792bfd11-054b-4b11-8f38-6d15d6519bf3,0x7fa6b7497124e7806bf1d0018512904d0f4e4903035822d04704c7d59a7429d0,0x021273795994e7caca4eca83dbadc84f7b70e5a77022c7e26607449e41bc20b1,0x7F3ca6E52a13dEa3Cd583F00039B827DF811120b,1724761489,Alexiy,pending,gas01,https://warpcast.com/gas01,Alexiy,https://brokenbartender.com/blogs/news/bartender-quotes,Other Application,Airdrop,N/A,,,,False,False,True,False,False,False,1,1
0af55692-b9b5-4aeb-aa70-6e8126143eae,0af55692-b9b5-4aeb-aa70-6e8126143eae,0x7f25b018cf72e146eb31308615910eb70d00a8e3315fb2c1a22a232727003cb8,0x6d60ca21be0f0029efcf2cc7d35c6a7faa1fc5c03e3ec2de429f8f28b3c86691,0xF1cc2f3047CD31eDAd0b35dE19B45830d2a4E281,1724761533,Alpaca,pending,alpaca,https://warpcast.com/alpaca,Alpaca,https://zora.co/tatyanasd,Other Application,Art NFTs,N/A,,,,False,True,False,False,False,False,1,1
83946135-54e5-4bec-af04-04505c3ab924,83946135-54e5-4bec-af04-04505c3ab924,0x3906272fcc4e3d9c0fd075529314c08dad4ab945dfb074ee0c03214cb55a1d95,0xf126439beb3b5a2f98ad040a251dc820cffc1e80cc23eeb1599ec995e4ca1d67,0x9248c94F853cC4c2C067804C96BB15725Ebaf443,1725281363,Alucard,pending,alucaard,https://warpcast.com/alucaard,Alucard,https://alucard.com,Other Application,Gaming,N/A,,,,False,False,True,False,False,False,1,1
3bf98449-5448-466b-b58e-9c50493fa6a1,3bf98449-5448-466b-b58e-9c50493fa6a1,0x29aadd757d3c834f31dc1e1c076023c8b2be58646c50da7fcfafe43ba321be08,0x2d74f8517f8e37e60c2cecdfb95622e244ec8eaa15e02844a6ea99991294e3e0,0x85983526FCB1ac1fB3889ced77Ba4ed1445Cf4C4,1724767033,ambonseaverse,pending,minangmulu,https://warpcast.com/minangmulu,ambonseaverse,https://ambonseaverse.io,Other Application,Art NFTs,N/A,,,,False,True,False,False,False,False,1,1
1cd2555b-abb4-4c21-bfe6-197890ff8821,1cd2555b-abb4-4c21-bfe6-197890ff8821,0x7b92671220ac2fca9b6215927ffd424da922b372208665993cad869ac8bffddb,0x29aa3bba49915a3b18cee49df7cf47cf9cc1378d920723be65bcb3a4864d1a19,0x0000000000000000000000000000000000000000,1725224503,Amin,pending,kawz,https://warpcast.com/kawz,Amin,www.baavaan.com,Other Application,Art NFTs,N/A,,,,True,True,False,False,False,False,2,1
c2df3308-b0bd-4514-a223-e03835ea13ff,c2df3308-b0bd-4514-a223-e03835ea13ff,0xc8c9df3d53552063133e938ce975e56d1599c0c6f40f66c406813d9783f9899f,0x8558023665aaf1c7144c607e71bed07ead4717b5c47aed21a1c32bace643a912,0xae20f0454cc764619489087FB7eF4c3e890062A0,1725259315,Ancurated: Preserving Culture On-Chain,pending,nygilia,https://warpcast.com/nygilia,Ancurated: Preserving Culture On-Chain,www.ancurated.xyz,Creator,Other Category,mintingWallet,0x1b44c859a41a57ba05e380b0eb803481ea342c74,,All Superchain,False,False,True,False,False,False,1,1
a037ff82-fcac-41eb-aab9-db9c8c201ba9,a037ff82-fcac-41eb-aab9-db9c8c201ba9,0xa604746aade04f26f072ed695548eda9be511e0143cf6856396e622e3f833510,0xac4c98f27875cc38df9a3a8d65582a389efdf172235a3178196c2818e02ddcd9,0xC020F3828f3B5F750E340F780380973fE85A0542,1724724935,Animal Rescue,pending,mhcrypto,https://warpcast.com/mhcrypto,Animal Rescue,www.niktam.com,Other Application,Art NFTs,N/A,,,,False,True,False,False,False,False,1,1
07f664b4-982b-404d-8c21-02e2dccc461c,07f664b4-982b-404d-8c21-02e2dccc461c,0xa72d75f9b8cdb24289bcad7e88887e0fcbb66dabe80d3b9150cf3973ee3ae329,0x142e0d5b89d32253b56bab74d78eccdc7eec99f773847160f5622a019b87f5e4,0xf34E807E14EF6DD029d2b5AaB992CA108c2E70ed,1724762427,Anime ,pending,rendyns,https://warpcast.com/rendyns,Anime ,https://warpcast.rendyns,Other Application,Channels,N/A,,,,False,False,False,True,False,False,1,1
15c0a695-c938-41d4-8bec-d1f403c901f2,15c0a695-c938-41d4-8bec-d1f403c901f2,0xebe3090a311ccf7efcf7b92699783714d42f40b1f13fc6ac13b797015ecaf3af,0xc77a01cf0ab741bb5d33773e6093aa584026e148397f22c33e2fb357bda3417d,0x66525057AC951a0DB5C9fa7fAC6E056D6b8997E2,1724722455,another member test,pending,mattcasey,https://warpcast.com/mattcasey,another member test,http://y.ai,Other Application,Betting & Prediction Markets,N/A,,,,False,False,True,False,False,False,1,1
