uuid,recipient,project_type,category,address,chain,contract_type
89eb0a1c-36f6-4455-af98-c822064425bb,0xE4EE538019673501F4B75de5aF5CC073Ec0A1487,App,DEX,0xdef1c0ded9bec7f1a1670819833240f027b25eff,Base,dapp_contract
9dbc583f-6672-48cd-9ddc-90d35e1a9474,0xA89946F00052Bc385B3121b45420316a7cE20E60,App,Donations,0x0ce9a74dc442b8b7dc4b3edd5833cad8ac52afb9,Base,trace_contract
b4d81636-0080-49bd-8039-0721b3ea716c,0xc687f7c9BDfF8d40cF4f789FA105f7dCF0771d6a,App,DEX,0x940181a94a35a4569e4529a3cdfb74e38fd98631,Base,token_contract
af197310-d16f-4b6d-8b14-6c18a60ef145,0x980F5aC0Fe183479B87f78E7892f8002fB9D5401,Other Application,Frames,0x02e4227ed20379db2999511609b8e2b28f73f0e0,Optimism,dapp_contract
c31e36bc-69ad-40e8-a3b9-29f5c1d6d86a,0xf1a871aF236eC0Da070C3b09302270Ccf4E35794,App,Real World Assets,0xf1a871af236ec0da070c3b09302270ccf4e35794,Base,trace_contract
795a96c7-4d7e-4c58-8958-aad52d6a8f12,0x84EC34a8b64e9A40248599fe0f8afA9d66742Fe0,App,Art Marketplace,0xfd4ccd0ccab4e31cce600bd7f6b9a42623294b1c,Optimism,dapp_contract
62729a7e-c90a-4494-8391-3646724a2fce,0x908f23Be36C2447db79Df2aE3A8A21c079217546,App,Community & Curation,0x30e0b740acfb45b6edb9eed40094134f24d8f159,Base,factory_contract
657d3052-63b9-499a-8898-ee74a2d4c0e7,0x9D63038e7f74bc089eb38e61Be8Da937918900D6,App,Art NFTs,0x0db19369d6d62237d065677cf05c1b0a1236bb0a,Optimism,dapp_contract
3d669a90-f377-4e3b-91f0-8d0818d5f1f3,0x6cfbF06E8b6612B39333eA7c230208D1d178278d,App,Gaming,0x56edafc97279c53a74c1c105abeebc79e0936c73,Optimism,dapp_contract
564c6ffc-f42b-41d2-aee7-bf808411c32f,0x0000000000000000000000000000000000000000,Other Application,Other Category,0x1b6632d1357d26055d6452e3b3bebd1c1d982e86,Base,factory_contract
6abc3227-4e7f-4786-863c-abdd23f488a2,0x01133c3834a96aDd681a9C9Ad3b2f955968ed60F,App,Community & Curation,0x85ba183fb4c16d435b076dde459dafc8eff864d8,Optimism,trace_contract
