uuid,charmverseId,agoraProjectRefUID,id,recipient,time,name,status,profile_name,profile_url,metadata_name,metadata_website,project_type,category,address_type,address,chain_id,chain,flag_multiple_projects_same_profile,flag_creator_no_address,flag_app_missing_contract,flag_channel_no_channel,flag_charmverse_in_name,count_flags,has_flag
2363ce63-f96b-4a0e-bdab-1baad48ed4ee,2363ce63-f96b-4a0e-bdab-1baad48ed4ee,0x37521e45291f708e2664c6a5ec6b97ed074e2cb2df97e731dc4ace657436eb0b,0x27ca7faab002152eedc39678d9fa2f43340e07e44cc928709279da5254227688,0x0ea26051F7657d59418da186137141CeA90D0652,1725302073,Kokonut Network,approved,wasabi,https://warpcast.com/wasabi,Kokonut Network,https://kokonut.network/,Other Application,Real World Assets,N/A,,,,False,False,True,False,False,1,1
0a08cce6-1a54-40c0-930d-027277dd2205,0a08cce6-1a54-40c0-930d-027277dd2205,,0x9ee3e22f8ebdedbb06accc304d00494c1adcfca56c70c79bdbf70244e93414c0,0x0000000000000000000000000000000000000000,1725005731,Lido Finance,approved,kawz,https://warpcast.com/kawz,Lido Finance,https://lido.fi/,Other Application,Staking,contract,0x1f32b1c2345538c0c6f582fcb022739c4a194ebb,10.0,Optimism,True,False,False,False,False,1,1
e694b4c2-9394-4048-ab5d-d23c14c1cef8,e694b4c2-9394-4048-ab5d-d23c14c1cef8,,0x832f864893035ed783f28f5b998d228c08678806e54607639e1823b59c5857f9,0x0000000000000000000000000000000000000000,1725403481,MagicalTux,approved,kawz,https://warpcast.com/kawz,MagicalTux,https://www.magicaltux.site/,Other Application,Meme Community,contract,0x17aabf6838a6303fc6e9c5a227dc1eb6d95c829a,10.0,Optimism,True,False,False,False,False,1,1
b201c61b-5735-4da7-ac47-13a0dac79ce3,b201c61b-5735-4da7-ac47-13a0dac79ce3,0xb85081ec000d76e7927adb481a3769075092f331a854f97b958e020320f691c2,0xc2f9f9271fb05d16f1a4694e6c8fee222abfe9dc2ef45a55baf1615134bf221d,0x0000000000000000000000000000000000000000,1725006657,Malik Naim Music: Over 100 Songs on the Super Chain - A Journey of Expression and Connection,approved,kawz,https://warpcast.com/kawz,Malik Naim Music: Over 100 Songs on the Super Chain - A Journey of Expression and Connection,https://www.sound.xyz/maliknaim,Creator,Other Media NFTs,mintingWallet,0x57ab1bb893577b2e3f91f979855ec6d913d643ef,,All Superchain,True,False,False,False,False,1,1
4c1fd2f8-1c08-4508-b17b-23cf65ba4d81,4c1fd2f8-1c08-4508-b17b-23cf65ba4d81,0x848533e696948480c1c0cfc5111d93264a049d8ae84fb3a2a1fef6d008609127,0x8816277f7e1ba12fa07490874886519350e10aa987f38427170c55726b274c48,0x0000000000000000000000000000000000000000,1724723983,Micro3,approved,kawz,https://warpcast.com/kawz,Micro3,https://micro3.io/,App,Community & Curation,contract,0xfe6af84f2fa6f2c24c7afb05337f7c2527dd2709,8453.0,Base,True,False,False,False,False,1,1
bc85ea23-99c2-4d0a-8b65-a24d86665bbc,bc85ea23-99c2-4d0a-8b65-a24d86665bbc,0x9a6e952fdfb0b7ff3de97b5d2abf546b9879a664578616e6a597fb6914eb25b0,0x2a03b6d63b8e7a15c98a2efb5048a87d132b155042b95dc0ba8eccf78572b7c7,0x6Af6d6B3fBa247129c32544b53106AB3bb772902,1724725385,$MILE,approved,floc,https://warpcast.com/floc,$MILE,https://www.farterminal.io/tokens/38490739-fb98-5662-9e44-3aea0b83fdac,Other Application,Meme Community,N/A,,,,False,False,True,False,False,1,1
4673d610-235f-45c6-ab81-4c113b93a63b,4673d610-235f-45c6-ab81-4c113b93a63b,,0xe1f22df3fbef95845558d185b4167c465bd5e54e523b72d9a27fdc988d88cab5,0x0000000000000000000000000000000000000000,1724934635,Mintify,approved,kawz,https://warpcast.com/kawz,Mintify,https://mintify.xyz,App,Art Marketplace,contract,0x8a6f2c9601a635a6698809c4d62f3be172892d4d,8453.0,Base,True,False,False,False,False,1,1
69df72f9-6dc1-44ad-af22-86d98b1acf18,69df72f9-6dc1-44ad-af22-86d98b1acf18,0x4ff4a91c50f7e832bcda4ccaaef24fa9a4d034bfb237bbe767b454392c29d84f,0x3c0893a5f8c67016684204b2cb181ec7e30b576cbdb6b102359f5af9b944de39,0x8aaeF3C365f90318d15944587D1D3d842e16565A,1724722699,Moxie Explained,approved,0xzara.eth,https://warpcast.com/0xzara.eth,Moxie Explained,https://zora.co/collect/base:0x8210e9a765287293bba72242df1ebea01a2084d9/6,Other Application,Community & Curation,N/A,,,,False,False,True,False,False,1,1
fcf556e8-c64c-454e-8c89-f66aad61f76c,fcf556e8-c64c-454e-8c89-f66aad61f76c,0xa2b9c218487a67d52130566d6e2bdee54378c6e5d2ff922010755cf0a2063cd6,0xcb9ccdd095df21e97ae0867ce2e608000afcda2901eb6f31f376f0a3c3b71845,0x764E427020Ad72624075c61260192C6E486D15a5,1724724853,MoxieScout,approved,zeni.eth,https://warpcast.com/zeni.eth,MoxieScout,https://moxiescout.xyz/,Other Application,Payments,N/A,,,,False,False,True,False,False,1,1
2077cc39-9b53-4adf-a4ca-57628a8b0457,2077cc39-9b53-4adf-a4ca-57628a8b0457,0x31fb02cd64a0cd79bcf3a0d2b8ae7e442a685de5b8b2700b50adeae3b5f03a16,0x8cffa80926695434a5c7a4eca133c848333e737210994685084993f31cbe4372,0xE77FC30F60b70EF1f1c0149F024824F98DBd6658,1724766153,Mr. Miggles,approved,mrmigglesonbase,https://warpcast.com/mrmigglesonbase,Mr. Miggles,https://mrmigglesbase.com/,Other Application,Meme Community,N/A,,,,False,False,True,False,False,1,1
