date,forecasted_Transaction Count,forecasted_Active Users,forecasted_Unique Users,forecasted_Total Transferred,forecasted_Gas Fees,forecasted_Retained Daily Active Users,forecasted_DAA/MAA
2024-09-02,108.04278029894381,29.537060122348066,21.659416481206595,4.405167685414137e+17,0.0005041954405445993,0.17236161265868588,0.05531939481602741
2024-09-03,97.640232996988,46.93783289792716,19.554804859488275,2.5203775664230883e+17,0.00038258416168096446,0.220564351277581,0.07655548068660037
2024-09-04,74.51065934777704,71.46888364539785,7.510748348250009,4.356999722123719e+17,0.0004670383041108775,0.3114732306221028,0.06502953928085674
2024-09-05,75.62154588461351,45.93711310211017,13.009072437278979,2.447967550092991e+17,0.0004686813581263679,0.22866994726375617,0.060693892135504454
2024-09-06,86.15646536129162,76.61721282696983,20.746469823766336,4.1670770181411e+17,0.00034557371175343094,0.3586132817442211,0.09427844637681781
2024-09-07,63.523211970930525,94.92417944332973,20.67130745402176,2.679956244791079e+17,0.0004391463326251325,0.3091303476805864,0.0856213815356363
2024-09-08,54.40086496339458,97.87589421720668,19.76101838490384,2.7922823276158112e+17,0.00039601781678019304,0.3643233841897033,0.06224039015445333
2024-09-09,82.7976931145113,61.284996622043195,20.12305306409981,4.101406596371769e+17,0.0006828550902211122,0.27494521167932895,0.05848044828339034
2024-09-10,94.31126653359698,67.5777832262555,20.89504337188721,2.966038905396943e+17,0.00047657183016684376,0.5027513824172649,0.06662688568496423
2024-09-11,86.54194175898883,79.2370878601983,18.853154285551007,3.270553112629845e+17,0.00041253117624627295,0.4739970064003164,0.07119381076313383
2024-09-12,101.48898739026505,64.26090801665386,15.579881773434792,3.584771369964895e+17,0.00034766326106415874,0.3425987477194098,0.0752459525750451
2024-09-13,108.65604634618613,93.02959288775534,18.107783553556693,3.846920490382223e+17,0.0004200993982620893,0.2522421571487998,0.06259258888621927
2024-09-14,113.97130556392285,60.27246931825876,18.932463632735995,3.8972520413029946e+17,0.0005058106379582754,0.4298307553771815,0.06002896339172985
2024-09-15,74.35131264353348,83.73354273723655,24.97317345500075,3.077301766216244e+17,0.0003885710982891552,0.516537336628171,0.07524961691136854
2024-09-16,100.74428466256929,93.15545187997205,15.127649941745135,4.7742878601350374e+17,0.0004162403060284074,0.29054450450169167,0.07650414055092662
2024-09-17,112.72907429938203,47.316191745091295,10.357149678280093,2.7492295718296432e+17,0.0005640083881692202,0.23049813533904331,0.06209765290552891
2024-09-18,124.3235136226714,79.68137804338936,27.837845335222685,1.9859921523606618e+17,0.0005796182572017383,0.5367796238119457,0.05443160736598845
2024-09-19,107.86686270011789,82.76983474506325,28.72793840587952,4.509151540828361e+17,0.00031021542397680193,0.4942529102488239,0.045446974251332574
2024-09-20,106.79941604995668,103.4933635356947,18.091157452601433,3.657983485496108e+17,0.0005745185399406847,0.39769346005681927,0.06502528648360678
2024-09-21,103.08854452780041,57.29343180202841,13.434951463821179,3.260688729666069e+17,0.0005138787129035455,0.18239510015945762,0.05407985833850437
2024-09-22,91.11375231126785,73.42363571451837,11.433916530302177,3.234875099577548e+17,0.0005764423768654053,0.4550319487507,0.04693755643572532
2024-09-23,140.98452713219856,63.3064891922507,18.92071416490216,3.0028294038424685e+17,0.0005406272171349622,0.32124055401862606,0.0859990443057815
2024-09-24,119.90370051940869,80.73190384959258,21.34128321775872,3.100708562303281e+17,0.000370232216155627,0.3609661443890043,0.10687806695794319
2024-09-25,113.11340193327861,68.67569522830352,23.358688169026475,3.294705192953574e+17,0.00030096994254069626,0.46650423652352596,0.08174589275663728
2024-09-26,114.21383106786074,80.91172091933615,21.511928894891298,3.9831000078652755e+17,0.0005976971840535795,0.4060227967085282,0.08132843325738397
2024-09-27,125.93908465719355,68.99829147041008,15.061677900185881,4.4090075640893306e+17,0.0007210019792727102,0.49770701230174536,0.09844692008135257
2024-09-28,105.28460780110494,30.50266066407393,24.54930518639085,2.7618205473922627e+17,0.0007018615785812863,0.3042044086123037,0.10745740705604606
2024-09-29,57.37434405841881,68.4825980469826,23.735995886504085,3.32522411032058e+17,0.00041356698651879827,0.3254320506252191,0.08698668634775884
2024-09-30,138.19497115348827,55.22623354443654,13.657847058341748,2.4377461368577386e+17,0.00048688273247645954,0.40445151282500874,0.0783018223845634
2024-10-01,82.24073907212744,66.04018768171179,15.472506438083172,2.242962047743954e+17,0.0006021715390254395,0.2996373074270814,0.07357331242672234
2024-10-02,86.7826470649218,59.662929502263914,18.504310674636617,3.186208163494395e+17,0.0005145429362771806,0.2041344401878192,0.07268628153165274
2024-10-03,97.733184457056,40.09091818030674,28.146094418987126,2.7737984596928458e+17,0.0006363208511007912,0.285097274281462,0.0766057383702637
2024-10-04,93.01659434949144,81.48920350696106,33.31143582047381,2.381383937498228e+17,0.0006304861235718791,0.2900347334400157,0.06796678977139131
2024-10-05,171.1444588493226,63.25052160561747,23.012285113424245,2.8582798133638874e+17,0.000547052348320597,0.41210119299144116,0.08372629681621928
2024-10-06,52.338172348994284,56.62563203850954,23.411600710669873,3.377469401595447e+17,0.000404139458439825,0.43526708437328837,0.07173150118147129
2024-10-07,88.27977950910258,75.55183143125643,21.26405198379224,4.231991841031289e+17,0.0005462788400559449,0.3704368482465624,0.06887395961955418
2024-10-08,62.508374867122875,48.48119006435166,19.805775515173714,4.550320429535593e+17,0.00028869068747119296,0.5094378215521148,0.08377834006579112
2024-10-09,143.24174899173272,25.865606976366514,17.52208657888403,3.784232683967658e+17,0.0006565214580722313,0.32959998126543866,0.07586659873284342
2024-10-10,67.07549152259303,60.12711807796065,20.457320132456193,2.6615278781313178e+17,0.0005979941549915735,0.35630546793054807,0.10628888464281486
2024-10-11,124.72148612491752,62.48702490448554,19.875415026069287,4.7903443575795475e+17,0.000426334390336422,0.3593657578349561,0.10533362018540572
2024-10-12,92.88095977885808,84.93331316776954,19.579763473809262,1.7671526810767213e+17,0.0006419743633239715,0.23637833917006187,0.08524309290307855
2024-10-13,97.1872473195974,90.70923417289899,14.495120676900576,3.3230578510052256e+17,0.0004888183286383688,0.4118213486389517,0.050849632474071114
2024-10-14,91.54380453516971,93.6940129973963,14.422387900520452,2.3476548093953398e+17,0.00043364169448432006,0.3761051502904163,0.061409138910103245
2024-10-15,110.93236376824245,66.65251351432428,16.030634170644397,2.2868067027046096e+17,0.0005586998699056812,0.346828825238984,0.08207774466545029
2024-10-16,100.4981949876878,81.02992549534578,20.086263513934227,3.493827690876232e+17,0.0005453638471382041,0.556899775087143,0.07178878100472331
