fid,interaction_id,interactions
403507,781098,87236
538721,503116,8984
284439,8446,5764
405154,244062,3940
460287,272116,3866
284439,284439,3779
460287,247143,3527
460287,408746,3428
460287,292506,3262
460287,403619,3178
460287,218142,3076
483322,478311,2829
460287,263574,2818
418681,500429,2816
324808,197687,2781
460287,250874,2765
324808,239533,2758
507713,433756,2743
460287,480793,2705
243719,781098,2667
473086,502765,2609
507724,433756,2579
424006,509369,2490
500341,433756,2449
510583,388302,2445
507719,433756,2364
460287,236581,2360
507731,433756,2337
460287,281836,2331
500362,333165,2329
460287,483365,2323
460287,429539,2320
500376,433756,2313
507728,433756,2302
460287,12626,2282
498385,433756,2267
529314,478311,2253
460287,477292,2249
460287,411778,2236
498385,333165,2233
500327,333165,2222
508425,478311,2202
460287,422233,2202
545464,388302,2195
500327,433756,2157
500376,333165,2156
500362,433756,2145
413592,502438,2121
460287,265323,2105
460287,436577,2095
500341,333165,2056
510831,388302,2033
460287,508096,1998
460287,270228,1995
506958,388302,1919
460287,531649,1918
460287,486468,1915
433756,333165,1893
284439,382802,1892
507728,333165,1881
507719,333165,1862
460287,427349,1802
460287,354775,1792
507713,333165,1785
460287,449882,1775
518884,388302,1772
460287,250739,1743
478311,483322,1738
460287,315697,1690
324808,213628,1655
453444,484336,1622
379750,491543,1620
507724,333165,1615
507731,333165,1599
460287,535208,1591
460287,285462,1579
493048,484336,1561
529314,483322,1534
460287,417063,1527
368422,2282,1520
508425,483322,1515
460287,426178,1506
460287,375727,1503
481476,456735,1494
429539,502438,1478
460287,266782,1469
324808,258274,1461
460287,535238,1454
460287,242661,1454
460287,509022,1450
460287,477741,1449
456735,404330,1448
460287,488848,1444
460287,473065,1401
460287,440747,1399
460287,234616,1393
460287,4482,1377
416704,488848,1367
460287,516028,1365
416704,429539,1360
460287,396484,1359
460287,218369,1350
357554,449882,1346
460287,466111,1333
460287,465392,1320
424006,816071,1317
404330,456735,1317
687291,419991,1305
460287,503541,1292
470027,396659,1282
473086,418321,1281
453444,449539,1267
460287,403090,1265
470027,489156,1263
470027,498134,1263
456735,481476,1260
260657,382802,1254
460287,420554,1243
460287,423036,1227
460287,462982,1226
460287,247653,1218
593396,234434,1213
324808,258564,1199
529314,508425,1198
460287,407705,1197
483322,508425,1187
478311,508425,1187
390104,419991,1174
460287,430244,1158
368422,20596,1157
460287,294370,1146
429539,812981,1141
460287,243719,1121
460287,245124,1118
493048,449539,1115
600714,388302,1112
368422,576,1107
460287,311387,1105
390104,505633,1100
460287,401724,1096
478311,529314,1085
786858,564721,1079
440220,320215,1075
460287,420657,1070
534280,262301,1069
293760,403507,1067
488848,416704,1064
272115,388302,1058
815837,498568,1052
480738,449539,1050
460287,402888,1044
368422,13121,1034
416704,500474,1031
234434,593396,1026
460287,406815,1025
409059,445359,1023
460287,270005,1020
460287,386444,1012
492032,499008,1011
429389,388302,1010
599457,459311,1008
483322,529314,1008
460287,504991,1005
324808,301447,1003
368422,190218,1002
460287,405979,996
460287,484256,996
460287,439396,995
508425,529314,994
483595,388302,994
429539,416704,969
425675,499008,968
407704,553958,960
460287,420540,960
514120,535243,959
509369,424006,957
460287,368412,957
460287,8152,957
460287,407021,955
460287,503286,954
492358,608640,952
520832,388302,945
460287,353819,945
460287,544047,945
492032,401049,943
460287,380136,943
460287,264222,939
460287,597941,936
484336,449539,935
443434,388302,933
514032,449882,933
424006,816597,908
608640,433756,907
460287,301144,905
460287,285604,899
460287,397392,896
460287,518129,894
460287,301202,894
460287,631749,891
460287,284679,888
460287,262938,886
553423,472896,886
