fid,interaction_id,interactions
460287,455119,885
375831,355110,884
194372,403507,880
425675,379750,880
230147,489156,880
460287,349975,880
460287,318908,878
456735,501701,875
460287,236210,870
230147,498134,869
455837,475326,868
460287,14345,865
460287,326306,862
460287,426167,861
456735,485415,860
460287,454819,859
460287,343622,859
502276,449882,851
460287,500268,848
499956,472896,847
259023,512251,844
460287,306175,844
407021,419871,831
492032,425675,829
516505,12626,829
484256,448920,825
460287,230238,820
449210,388302,817
449539,484336,816
509124,388302,813
501701,456735,811
407704,462883,810
496705,388302,809
492032,379750,806
460287,343855,806
460287,395131,806
610018,320215,805
460287,318089,804
460287,470886,801
460287,274908,799
488848,500474,798
510677,388302,797
480704,388302,796
460287,414258,787
407021,379750,782
473807,388302,782
460287,389456,781
460287,380455,777
510956,403619,777
460287,444033,775
530891,500429,775
449250,388302,774
460287,466688,774
460287,457675,774
460287,421000,770
460287,419350,770
645767,612196,769
702530,562300,766
815837,438835,763
324808,274983,759
460287,500500,757
460287,504228,757
460287,459170,756
786858,12626,756
460287,306729,756
460287,397815,754
368422,269694,746
460287,501169,746
460287,309242,742
492032,419871,740
355110,375831,740
460287,500428,738
425675,492032,735
410948,438835,735
460287,406493,734
472159,388302,733
424006,817606,733
460287,401049,732
492032,407021,730
460287,249647,730
460287,449044,729
460287,401441,729
460287,275486,728
404330,406815,726
430244,430244,724
484493,475598,724
499008,492032,724
460287,509624,722
460287,500783,722
418296,553958,720
438719,388302,718
404330,429539,715
449882,357554,714
612367,612196,714
288013,553423,713
460287,498108,710
460287,300265,709
460287,480642,709
460287,488178,708
460287,500710,706
504202,430244,706
460287,264612,704
460287,379673,704
460287,540412,703
477510,388302,703
460287,500235,703
448920,484256,702
483595,483595,702
460287,199325,702
324808,317072,701
460287,397488,700
460287,288204,696
422233,422334,693
460287,403020,691
460287,485585,691
460287,500537,691
506893,430244,690
543570,401049,689
288013,322937,687
512251,259023,686
509823,444323,685
20596,20596,684
324808,234616,684
460287,322662,684
368422,617,683
368422,409573,682
407704,513581,680
200530,412843,678
460659,388302,678
663345,430244,677
460287,500205,677
266782,269694,677
460287,456735,677
379750,401049,675
456735,500590,675
684364,388302,674
501167,430244,673
460287,432952,669
324808,18069,667
460287,381369,664
424006,817598,663
444067,502438,662
460287,435501,659
460287,501067,657
499008,407021,656
460843,612367,653
460287,415305,653
607936,511102,652
481404,471675,652
460287,462351,652
517280,515927,647
460287,377731,646
479497,528182,644
460287,416704,642
460287,284408,642
419991,245579,641
307726,322937,640
657052,407281,638
657052,404871,636
460287,510956,636
545079,531162,634
460287,460229,631
460287,20118,629
489474,531162,629
793906,628100,629
404330,501732,628
460287,214598,628
460287,391497,628
407704,512499,627
460287,501102,627
426221,4567,627
460287,410867,626
460287,500144,626
322937,288013,622
460287,337056,622
545117,531162,621
460287,445796,621
513728,433756,620
460287,196041,620
538087,511102,620
460287,466926,619
612743,553423,619
612196,443909,619
460287,377111,619
545106,531162,619
551069,531162,619
545201,531162,619
545174,531162,618
545132,531162,618
545198,531162,618
545205,531162,617
460287,572717,617
401441,488848,617
445359,409059,617
545099,531162,617
407021,499008,616
545157,531162,612
460287,239748,609
456735,505633,608
545124,531162,606
646093,320215,605
460287,528707,604
492032,418752,603
545169,531162,603
460287,421851,603
12626,516505,603
788563,531162,603
460287,418316,599
388571,9326,599
519032,388302,599
518074,400227,599
460287,416401,595
515305,481404,595
545210,531162,595
514135,461134,594
459311,599457,590
407021,401049,590
484493,485152,589
647182,449539,589
475326,455837,588
460287,510831,588
416781,553423,586
460287,421231,586
407704,437666,585
419991,501701,584
535736,475598,584
460287,498568,583
305843,395346,581
513673,511102,580
489662,473086,580
488848,429539,579
531143,511102,579
341337,427732,578
647182,484336,577
410948,502438,577
535243,514120,576
519822,511102,576
523316,501087,576
418296,462883,575
460287,350698,574
600593,12626,574
519200,388302,574
460287,243818,574
460287,311933,574
542151,444323,572
413592,429539,571
521630,511102,570
460287,483510,570
702530,8151,569
510503,427732,568
509404,388302,568
460287,442770,567
285998,283144,566
418296,437666,566
412843,244479,565
460287,336902,565
739486,427732,564
368422,3115,563
419871,401049,563
460287,21114,563
412843,269694,562
460287,444067,561
460287,215589,561
401049,553423,561
456780,266782,561
440220,3642,561
460287,394023,560
557868,388302,559
381369,406815,558
608261,511102,558
286367,686665,558
488848,500500,557
460287,486435,554
512878,388302,553
460287,512741,553
324808,212516,551
460287,421222,550
460287,360196,548
418752,418881,548
460287,481970,547
657052,528503,547
308410,326040,545
460287,370162,544
475152,481404,543
391444,443863,542
460287,538388,541
401441,503541,541
318864,284439,541
419871,379750,540
460287,3652,540
468247,511102,539
460287,396088,539
513450,511102,539
460287,417418,539
500590,419991,537
401441,429539,537
407021,418881,537
379750,407021,536
460287,431336,535
460287,419829,535
444323,509823,534
460287,491527,533
510503,341337,533
460287,501087,532
460287,391793,532
460287,237884,530
319999,449793,530
487742,475598,530
460287,355110,529
410948,500429,528
612367,378275,527
739486,341337,527
514036,403507,527
460287,508756,526
418881,401049,525
418296,512499,525
449793,319999,524
501701,419991,523
460287,500899,523
418296,513581,522
336594,326040,522
515247,511102,522
395131,477292,521
481404,444323,521
460287,211535,521
379750,419871,521
460287,475326,520
612367,460843,517
340034,349599,517
501701,448613,517
600593,320215,517
460287,351662,516
377731,501701,516
460287,13874,515
460287,449096,515
401049,406815,514
427732,341337,513
460287,409573,512
534280,218753,511
324808,323021,510
460287,484635,510
484493,462999,510
324808,16545,510
786858,281836,509
440220,306610,508
444323,542151,508
460287,353603,508
461865,444323,507
460287,315721,507
512251,507627,507
449882,531162,507
606963,618547,506
460287,350228,504
412843,403619,504
460287,280736,503
460287,423331,502
481404,434487,501
375831,368412,500
482887,553423,500
460287,318447,499
12626,354795,499
460287,400997,498
517425,501087,497
460287,340986,496
460287,430625,496
499008,379750,496
460287,361304,495
276562,253127,494
449539,480738,493
460287,506340,493
460287,198629,493
460843,512079,492
531547,797673,492
503541,429539,492
478830,236812,492
326040,308410,491
460287,17356,491
368345,326040,490
534280,472896,490
460287,490475,490
503541,488848,488
407021,425675,488
492032,506657,488
475598,484493,488
460287,404871,487
324808,215674,487
459198,459311,486
437136,386139,486
460287,383360,485
475598,485152,485
511965,511914,484
428498,537227,484
485152,475598,484
686665,286367,483
684364,684364,483
345484,511914,482
460287,424452,482
407704,513240,482
418881,633981,481
460843,218753,480
460287,291942,479
531547,797649,478
6596,380950,478
500590,379673,478
612196,612367,478
460287,248506,477
460287,507309,477
553423,429539,476
460287,508642,476
288013,482887,475
429539,404330,475
460843,535036,475
460287,368013,475
684296,388302,475
460287,430462,474
480642,503541,474
244479,412843,473
460287,504678,473
460287,455965,473
511759,501087,473
380950,6596,472
460287,435513,472
460287,327374,472
440220,821566,471
460287,398824,471
460287,265743,470
475326,425913,470
419871,425675,470
455932,388302,470
460287,439718,470
379673,500590,469
460287,635814,467
460287,492067,467
553423,482887,466
432361,508575,466
460287,292132,465
426349,472418,464
612196,612743,464
349599,340034,464
461302,502524,463
460287,408285,463
368422,3,463
368422,13893,463
395131,473065,463
288013,429539,462
202097,472418,462
460287,359298,462
460287,507805,461
460287,329190,461
391444,322937,460
636183,553423,459
514032,357554,459
505112,501052,458
288013,406815,457
460287,408777,455
419350,488848,455
230147,396659,455
418296,512856,454
324808,241170,454
460287,366037,454
397488,429539,453
460287,415523,453
460287,333061,453
368422,18570,453
618834,644823,453
634910,516359,453
283144,285998,453
401049,488848,453
418881,407021,452
535036,4567,452
501701,377731,451
460287,483322,451
482887,288013,451
460287,639008,450
390104,501701,450
460287,379809,450
283144,326040,450
684296,684296,449
509229,388302,448
330471,326040,448
406881,323070,448
600593,511241,448
309043,269694,447
779890,593985,446
457771,322453,446
368422,18910,445
341337,510503,445
460287,503238,445
460287,527513,445
326040,283144,445
460287,588078,444
406881,246905,444
460287,500207,444
500429,418681,444
616814,593985,443
460287,421001,443
509388,388302,442
460287,260433,442
473065,395131,441
418296,513240,441
553423,288013,441
253181,382802,440
18407,382802,440
333061,393610,439
460287,406512,439
460287,416707,439
511241,600593,439
485494,488583,439
535036,501087,439
346255,210201,439
786858,214570,438
460843,611291,438
460287,373258,438
460287,266053,438
460287,14369,438
460287,282520,438
502935,211693,438
460287,428687,438
467833,472896,437
425675,407021,437
537227,428498,436
448920,429539,435
460287,279037,435
245579,419991,434
250664,475326,434
511606,428341,434
460287,234796,433
266782,403619,433
503541,480642,433
509124,509124,431
460287,283144,431
407704,512856,431
419350,429539,431
542585,449539,430
460843,645767,429
460287,527771,428
511965,511893,428
320215,646093,427
460287,276506,427
512773,410948,426
355066,511914,426
509823,542151,426
415856,388302,426
390104,291789,426
311387,272116,426
462999,475598,425
702530,8106,425
324808,254830,425
368422,433756,425
446852,484488,425
600714,600714,425
460287,503580,424
460287,404923,424
418752,401049,423
481476,245579,423
460287,269405,422
460287,392597,422
267671,403507,422
440352,210201,422
482887,480642,422
611000,455199,421
514036,501087,420
443863,429539,420
472896,499956,420
488848,401049,420
460287,250772,419
513079,455199,419
430462,449882,419
455097,449658,419
499796,368345,418
515809,388302,418
590111,285462,418
477292,395131,418
460287,274580,418
542585,484336,417
460287,409176,416
671558,501177,416
322937,429539,416
501701,245579,416
815837,493452,415
492358,601045,413
443218,553423,413
460287,406668,413
621342,239748,413
508409,320215,413
403619,403020,413
509403,509382,412
627459,449748,412
286771,419991,411
612196,501087,411
448920,419871,411
460287,2211,411
460287,8942,411
601058,433756,411
528149,308284,411
518694,472896,411
460287,347364,410
401271,448505,410
379750,499008,410
612743,612196,410
460287,360245,409
368422,237884,409
424452,306729,409
379750,425675,409
545189,531162,409
460287,509166,408
481404,322937,408
460287,268455,408
246905,323070,407
460287,401556,406
460287,420958,406
449143,388302,406
534280,563445,406
401049,429539,405
422334,422233,405
404330,381369,405
406815,381369,405
460287,501244,405
509186,459311,405
355066,396129,405
460287,386213,405
7464,269694,403
514036,438822,403
500861,400074,403
460287,502438,402
460287,512482,402
322937,307726,402
460287,406088,402
322937,503541,401
516505,403619,401
481404,401049,400
206967,3642,400
542151,509823,400
460287,419625,399
595979,433756,399
460287,401137,399
346627,443863,399
460287,255345,399
609751,481404,399
305843,269694,398
553423,401049,398
528182,250874,398
739486,510503,398
460287,514535,397
401441,414401,397
368422,11124,397
459311,459198,397
435832,449539,397
460287,548943,397
460287,315112,396
515927,517280,396
459311,447233,396
508096,406815,396
460287,392018,396
460287,412582,395
460287,375831,395
503541,401441,395
7464,263664,395
430462,357554,395
368422,270170,395
324808,190180,395
484256,419871,395
540468,618597,394
511965,511924,394
476246,423518,394
480642,482887,394
357554,430462,394
545091,531162,394
403619,509624,394
460843,612196,394
15268,336594,394
513129,436577,394
460287,202689,394
288204,403020,393
288204,15351,393
618834,501087,393
355110,15268,392
440524,483462,392
612367,512079,392
512741,500500,392
414401,401441,392
483462,440524,391
460287,781098,391
553423,612743,391
406952,600229,391
657052,640054,391
15268,355110,390
516245,425933,390
460287,331026,390
460229,250874,390
460287,198783,390
669707,501087,390
448920,503286,390
500474,416704,389
481404,516027,389
612196,645767,389
460287,318181,389
246905,406881,389
12626,422809,388
322937,553423,387
460287,633693,387
336594,15268,387
499008,411778,387
460287,501246,386
508994,419871,386
462999,484493,386
460287,448920,385
779813,304465,385
324808,8245,385
460287,597938,385
375831,15268,385
460287,211443,385
324808,208239,385
422809,12626,384
487457,17076,384
419991,508994,383
407021,506657,383
460287,214825,383
460287,3827,383
460287,506958,383
460287,276036,383
460287,497116,383
627306,514764,383
368422,9391,382
530594,422233,382
460287,509042,382
645528,308284,382
510050,486435,381
307726,446821,381
471810,521106,381
401987,388302,381
481404,532230,380
758426,3,380
481404,537657,380
473086,820270,380
415523,270228,379
644823,270138,379
460287,328924,379
14537,355110,379
507805,306729,378
509166,306729,378
424711,500474,378
512079,508096,378
449882,430462,378
485152,484493,377
488914,459311,377
460287,13336,377
15268,375831,377
507627,512251,377
481404,511241,376
326487,293002,376
784952,506657,376
244479,430589,376
688946,685171,376
427732,510503,376
460287,499527,375
449539,453444,375
481404,533938,375
473807,473807,375
482887,489600,374
401049,543570,374
355066,394372,374
300986,348611,374
500590,505633,374
401441,500500,374
412843,602,373
508994,419991,373
406334,304465,373
499372,388302,373
460287,359338,373
341337,739486,373
462982,404330,372
460287,501651,372
400227,518074,372
390104,485415,371
274580,403619,370
475598,462999,370
618597,540468,370
612367,446139,370
245579,501701,370
419861,502438,369
511965,466408,369
460287,411286,369
460843,535243,369
307726,504228,369
309043,422910,369
246905,246847,369
514448,527771,369
460287,393610,369
595979,239748,369
460287,496614,369
509427,388302,369
288204,440524,369
307726,284291,369
600229,406952,368
467833,499956,368
515512,459311,367
534280,411778,367
460287,500988,367
460287,382384,367
446852,404923,367
512773,502438,366
460287,394930,366
509404,509404,366
509691,512874,366
511146,403020,366
460287,513149,366
508969,388302,365
419871,492032,365
3854,3,364
460287,505013,364
508890,306729,364
600593,284679,364
472606,311223,364
324808,390479,364
431541,326040,363
374339,756126,363
616814,779890,363
322937,293002,363
15351,288204,363
324808,194335,363
345484,511924,363
460287,343942,363
402040,388302,363
783802,269694,363
481404,553423,362
618050,514764,362
417059,476246,362
612196,448851,362
473086,465748,362
402000,388302,362
621391,239748,362
404330,462982,362
400616,250874,361
291628,475326,361
246905,493739,361
504711,500918,361
685171,688946,361
320215,508409,361
379750,492032,361
460287,375536,360
512079,449793,360
460287,248216,360
503146,498400,360
510503,739486,360
786858,669527,360
345484,501219,360
509654,270228,360
500500,488848,360
612367,218753,360
448502,445359,360
511965,501219,359
324808,259525,359
322937,350698,359
503344,406815,359
770214,294499,359
390104,350698,359
460287,480682,359
355066,394367,359
460287,404561,359
460287,418671,359
324808,249121,359
460287,492693,359
493452,410948,358
460287,365209,358
608466,540468,358
535243,553423,358
507407,481404,358
618834,628100,358
339205,431286,358
460287,401099,357
311387,327374,357
460287,221578,357
460287,348944,357
480642,488848,357
629540,408746,356
481404,532260,356
460287,500474,356
488848,503541,355
488848,486468,355
403020,403619,355
391444,401049,355
443672,388302,355
460287,192631,355
433523,241763,355
601058,239748,354
502333,317980,354
481404,532168,354
460287,378411,353
460287,428669,353
500474,488848,353
531425,478830,352
500590,456735,352
510038,486435,352
427732,739486,352
368422,13089,352
355066,396142,352
460287,373934,352
509369,404804,352
406881,247018,352
612367,612743,351
390104,500590,351
460287,542598,351
492358,516505,351
488914,421765,351
460287,461302,351
480738,484336,350
475326,304465,350
538306,430462,350
598368,537227,350
516045,449488,350
345484,511893,350
612367,443909,349
627802,4567,349
448920,406493,349
406815,404330,349
519032,483595,349
320215,277952,349
317980,502333,349
460287,235512,348
307726,504678,348
246905,247018,348
460287,327165,348
407021,492032,348
419871,407021,348
460287,421163,348
488848,401441,347
399892,403090,347
460843,378275,347
251861,3,347
324808,9856,347
531649,501102,347
445210,326040,347
642075,434358,347
638859,649106,347
444323,483960,347
377426,507376,346
401491,323070,346
460287,414259,346
460287,324790,345
434449,335897,345
482872,462989,345
435513,500500,345
417451,354220,344
488848,498568,344
501052,505112,344
419350,405979,343
460287,422334,343
618597,628100,343
451811,15268,343
481404,510612,343
406921,511914,343
612367,535036,343
514186,449488,343
288204,250874,343
361304,272116,342
324808,5380,342
19266,403507,342
357393,484493,342
483365,403619,342
460287,500614,342
460287,431089,342
354220,445359,342
475326,291628,342
263664,7464,342
499527,429539,342
460287,5406,342
419741,2904,341
460287,609977,341
485415,456735,341
285998,326040,341
527771,395131,341
489662,498134,340
511965,511955,340
445359,448502,340
489662,531162,340
481404,509042,340
456555,456735,340
484256,407021,340
345484,511955,340
429539,488848,340
347793,511914,340
244479,500118,339
460287,525389,339
438719,483595,339
517425,4567,339
481476,408746,339
529465,472896,339
460287,398438,338
306237,559896,338
537227,598368,338
460287,405729,338
418881,492032,337
460287,398388,337
483365,288204,337
489600,429539,336
289777,509691,336
510079,486435,336
447226,509382,336
410948,815837,336
621418,306729,336
355066,396136,336
406881,493739,336
429796,512133,335
368422,354795,335
460287,278406,335
345484,511950,335
521086,511661,335
460287,435085,335
264612,436577,335
412843,8447,334
460287,442331,334
414004,403619,334
348061,275519,334
368422,7692,333
515112,481404,333
393610,333061,333
460287,424711,333
389456,403619,333
460287,416398,333
368422,239748,333
516245,322937,333
511965,511950,333
419991,323144,333
460287,777877,333
685171,685770,333
500474,424711,333
507145,421335,332
307726,463466,332
324808,254589,332
460287,434222,332
535634,291140,332
541312,291140,332
368422,458767,332
460287,462971,332
335852,3642,332
489662,396659,332
409747,500537,332
511965,511945,332
345484,511945,331
512250,618547,331
621471,4567,331
250664,425913,331
545405,461134,330
307726,600229,330
401441,501832,330
460287,345093,330
501794,395131,330
336594,330471,330
512773,438835,330
460287,391114,330
460287,236636,329
355066,396138,329
517425,537657,329
243294,382802,329
460287,543988,329
460287,445335,329
481476,419871,328
734400,269694,328
597938,270138,328
509882,268608,328
272116,311387,328
14537,375831,328
482149,483991,328
291140,429539,328
753612,644823,328
475598,535736,327
460287,351598,327
444797,478830,327
612367,611291,327
416401,489156,327
355066,394381,327
460287,360623,326
435716,379089,326
514198,501087,326
460287,511479,326
345484,466408,326
514136,306729,326
508158,429539,326
262030,15513,326
311223,472606,325
291140,500205,325
504711,528465,325
534280,490852,325
753881,486161,325
512133,430462,325
7464,311933,324
540468,519264,324
685171,535232,324
511241,501087,324
460287,441509,324
20596,20589,324
460287,461943,323
460287,425901,323
19328,13505,323
460287,446852,323
520309,449488,323
460287,419719,323
508158,440766,323
744073,505400,323
460287,7472,323
403619,483365,323
489600,553423,323
460287,501832,323
307726,500710,323
437136,379581,322
460287,488767,322
737532,602,322
307726,512874,322
311223,508096,322
289777,499057,322
553423,636183,322
515806,472896,322
475293,756126,322
460287,511753,322
432563,403507,322
477292,292506,321
405979,419350,321
462982,439396,321
508158,425589,321
10144,269694,321
627459,449539,321
553423,425933,321
460287,474644,321
406921,501219,321
460287,379676,320
371853,392276,320
412843,237884,320
436577,6596,320
475152,266782,320
403142,392276,320
553423,489600,320
289777,512874,320
321969,448502,320
512773,500429,320
657052,226690,319
511965,392276,319
460287,508261,319
460287,301385,319
649106,638859,319
368422,403619,319
251596,403619,319
397392,403619,319
276562,539,319
347793,501219,318
307726,502438,318
593985,779890,318
355066,380606,318
357393,449882,318
482024,323070,318
528149,449539,318
460287,368514,318
517280,525467,318
486468,406815,318
355110,14537,318
355066,501219,318
513728,308284,317
460287,500425,317
276562,436577,317
440524,394930,317
355066,511924,316
513728,239748,316
612196,511661,316
421257,417451,316
403619,2904,316
456735,408746,316
249647,311933,316
460287,508994,316
273708,311933,316
416849,500500,316
344203,436577,316
436195,403507,316
480642,500500,316
517504,449488,316
409059,378422,316
481476,323144,316
467833,459311,315
460287,417554,315
419350,503541,315
530826,534280,315
506958,496726,315
468247,607936,315
324808,245965,315
502333,288013,315
412843,403020,315
511965,511958,314
565025,218753,314
305483,388302,314
431286,339205,314
433780,501148,314
483365,422233,314
10636,211705,314
512079,501087,313
508994,448920,313
486468,488848,313
355066,391379,313
613552,449488,313
247018,323070,312
307726,508096,312
460287,448043,312
248111,190218,312
341560,501148,312
330408,385955,312
502438,444067,312
482149,12626,312
354775,403619,312
12,20596,312
307726,291140,312
192631,505633,312
530826,262301,312
7097,602,312
324808,242090,312
355066,403310,311
534207,512079,311
218142,403619,311
421765,488914,311
405979,501732,311
377111,403619,311
621471,501087,311
600593,501087,311
460287,490427,310
489662,489156,310
339205,335477,310
277952,320215,310
307726,429539,310
317980,288013,310
507503,15141,310
401049,419871,310
307726,419871,310
510044,501087,310
479584,293382,310
445210,481404,310
417059,553423,310
475152,403619,310
399892,3642,309
508096,381369,309
758580,15141,309
500500,435513,309
517425,419386,309
484844,484488,309
481404,533952,309
494766,348569,309
647182,239748,309
653514,638859,308
453298,431336,308
460287,406674,308
403619,412843,308
786858,466926,308
473086,475955,308
449882,426221,308
265969,486435,308
246905,356635,308
316578,475326,308
519264,526510,308
443634,388302,307
375245,788263,307
431541,283144,307
685171,686181,307
460287,502325,307
403142,511965,307
13881,6821,307
307726,470590,307
418752,419871,307
629540,602,306
508158,505013,306
631211,511102,306
519142,505633,306
448920,316454,306
532218,15141,306
460287,279477,306
475152,4482,306
482887,429539,306
368422,289776,306
412843,268455,305
399892,2433,305
460287,481404,305
600138,625198,305
645767,612743,305
407021,484256,305
614273,269694,305
403142,511960,304
448502,321969,304
460287,407704,304
317980,322937,304
307726,486468,304
460287,22761,304
429539,500500,304
460287,463031,304
416401,460287,304
195117,781098,304
553423,443218,304
460287,509654,304
460287,496668,304
382579,429539,303
371853,511965,303
13874,403619,303
324808,18408,303
612743,512731,303
456735,456555,303
354795,781098,303
559896,306237,303
339515,501219,303
355066,390498,303
428361,500184,303
423457,245902,303
525467,517280,302
448920,508994,302
487742,508642,302
509209,388302,302
324808,299163,302
509501,388302,302
416401,396659,302
456735,502524,302
476246,417059,302
7212,403619,302
533957,15141,301
534280,449658,301
514203,306729,301
637069,526510,301
470188,478308,301
750062,239748,301
460287,399908,301
294370,250874,301
460287,354088,301
6596,436577,301
397392,263574,301
403142,356807,300
511965,388886,300
345484,511958,300
371853,356807,300
419871,418752,300
368422,305843,300
403142,388886,300
460287,428361,300
324808,18763,300
390104,284460,300
511965,356807,300
406921,396129,300
406881,246847,300
396659,498134,300
354220,417451,300
462999,485152,300
307726,428666,300
288204,483365,300
377453,420925,299
350698,503541,299
527771,514448,299
324808,236111,299
816071,424006,299
455837,291628,299
307726,433866,299
707087,332469,299
339515,396129,299
460843,608941,299
324808,217689,299
500205,503362,299
512013,388302,299
288013,433866,299
306729,424452,299
371853,388886,299
460287,501667,298
460287,428341,298
597938,269694,298
401049,439396,298
436577,264612,298
523316,523133,298
460287,545107,298
503286,419871,298
368422,5179,298
816071,407704,298
403619,510956,298
460287,509047,297
460287,501177,297
422233,436577,297
419069,408746,297
371853,390498,297
509756,389352,297
463466,553423,297
440524,288204,297
528182,14260,297
511965,390498,297
403142,390498,296
509650,481404,296
397392,250874,296
460287,465823,296
572717,236210,296
422233,403619,296
612367,618575,296
449882,397392,296
368345,431336,296
460287,427905,295
488848,501169,295
15268,417451,295
685132,502254,295
350698,192631,295
786858,276958,295
368422,195117,295
285604,427349,295
214825,214598,295
417451,378422,294
430462,538306,294
406863,511914,294
460287,492181,294
479259,479318,294
307726,505435,294
406921,406890,294
492181,553423,294
420925,472896,294
368422,444652,293
527513,360196,293
484488,446852,293
499783,193826,293
418270,406815,293
782613,15141,293
199347,403619,293
401049,379750,293
412043,408309,293
509124,483595,293
428431,354795,293
250874,400616,293
419640,293382,293
459311,478308,293
502908,416401,293
245902,423457,293
628100,618597,292
528242,14351,292
812204,421722,292
514036,4567,292
478311,499008,292
472896,531162,292
347793,406890,292
462989,482872,292
396644,210657,292
412843,200530,292
503541,350698,292
685993,449539,292
267841,427550,291
489600,482887,291
612367,508096,291
17076,487457,291
488848,419350,291
531649,404561,291
628100,526510,291
508158,449882,291
414004,416401,291
475326,250664,291
460287,403537,291
503541,498568,290
324808,245681,290
516933,434487,290
485152,462999,290
534280,378275,290
288013,505435,290
553423,600229,290
503344,381369,290
424711,402461,290
347793,501216,290
371853,511960,290
502908,284679,289
644583,606589,289
553423,512079,289
486468,429539,289
419350,502333,289
509186,459198,289
597938,436577,289
460287,513839,289
422233,269694,288
368345,330471,288
443863,288013,288
439396,406493,288
628100,793906,288
534280,455199,288
484256,503286,288
288204,510364,288
460287,433599,288
460287,425933,288
518694,430244,288
460287,410409,288
508642,542598,288
424711,503208,288
621354,638859,288
460843,535736,288
503208,501701,287
430462,408309,287
420554,650532,287
535036,438822,287
518889,500861,287
324808,194092,287
519322,17076,287
406921,501216,287
449748,403619,287
396484,516028,287
406815,401049,287
527771,2210,287
510956,435501,286
482635,388302,286
419741,308045,286
480704,480704,286
406921,396142,286
467833,504853,286
471675,438214,286
446139,612367,286
503208,424711,286
418752,492032,286
508900,501087,285
419386,429539,285
516245,611651,285
646581,306729,285
502935,430484,285
410948,493452,285
368422,6596,285
460287,434449,285
460287,343971,285
378422,323070,285
435513,406815,285
523316,501087,285
460287,419155,285
460287,416294,285
702530,414258,284
460287,650888,284
758632,15141,284
513450,607936,284
432563,502254,284
401049,407021,284
475326,347285,284
