date,forecasted_Transaction Count,forecasted_Active Users,forecasted_Unique Users,forecasted_Gas Fees,forecasted_Total Transferred,forecasted_Net Transferred,forecasted_TVL-kelp_dao,forecasted_TVL_opchain-kelp_dao,forecasted_TVL-kelp_rseth_protocol,forecasted_TVL_opchain-kelp_rseth_protocol
2024-09-01 00:00:00,0.10621579971191238,0.05629482709673026,0.0,0.0,0.0,0.0,652110493.4845039,669880391.7959601,587346783.6070694,620256020.0031039
2024-09-02 00:00:00,0.18538607992017786,0.06367407813695589,0.0,0.0,0.0,0.0,634732100.900917,610794902.7635915,623319962.6925534,640317499.1153487
2024-09-03 00:00:00,0.16901544092461032,0.19951737445570997,0.0,0.0,0.0,0.0,632184062.1310443,673916018.4511974,626887659.5366951,682102881.6851441
2024-09-04 00:00:00,0.13531072991366602,-0.032430772898521844,0.0,-8.675291057509781e-07,0.0,0.0,675721399.2958955,648233416.2755684,597351430.4815774,670148777.5258751
2024-09-05 00:00:00,0.21259693987071263,0.23315032312270495,0.0,-8.80108896556833e-07,0.0,0.0,607619509.7477685,671238574.4433464,600061771.7681612,675315416.8942105
2024-09-06 00:00:00,0.15735195145555952,-0.0052802914158712275,0.0,-7.559490877249385e-07,0.0,0.0,585125550.860841,630284049.7453504,629189358.1391008,620842349.9841218
2024-09-07 00:00:00,0.14366053656733022,0.07002236594519182,0.02269109921950991,0.0,0.0,0.0,572969486.4153084,589193319.0282165,611576886.565851,575803654.780564
2024-09-08 00:00:00,0.11423201302450586,0.05521739021109274,0.01980800163567765,0.0,0.0,0.0,582789435.5282304,578183350.098705,605746910.0468547,597887917.1549827
2024-09-09 00:00:00,0.09520882341870127,0.1231402324885284,0.030349801929524252,0.0,0.0,0.0,567343098.0571849,628649477.0746499,670505349.3845173,664407261.5859889
2024-09-10 00:00:00,0.14806233117852116,0.146493003630428,2.855555082146281e-07,0.0,0.0,0.0,548360116.2428871,648888761.5822059,647126616.1593691,646222401.513491
2024-09-11 00:00:00,0.15426140775234595,0.12332676138904884,0.026233670372852617,0.0,0.0,0.0,541976972.8091766,655741089.5260377,650727273.4163095,621089288.4659151
2024-09-12 00:00:00,0.1967868419418833,0.1439766880561208,1.911520256318814e-07,0.0,0.0,0.0,569824454.3498622,554705025.8380828,629799145.068632,580272501.8951213
2024-09-13 00:00:00,0.1487553894107376,0.10525065200076804,0.0,0.0,0.0,0.0,535722295.7903475,651258431.2307774,633427112.6154159,624741766.6439345
2024-09-14 00:00:00,0.2102243123632861,0.11307230923004331,0.0,0.0,0.0,0.0,547521406.8065337,703232539.4394677,586830131.2630649,634721385.8827536
2024-09-15 00:00:00,0.19688788746900227,0.11223949439633175,0.0,0.0,0.0,0.0,487385586.7901071,657439931.6356932,590163016.4193329,642772673.9446645
2024-09-16 00:00:00,0.174351311130655,0.04740870110836755,0.0003020918392099719,0.0,0.0,0.0,453433446.8340604,630436424.5429347,582263047.7056266,667375586.7770228
2024-09-17 00:00:00,0.15811159510621206,0.11559733492437395,0.000389515263666081,0.0,0.0,0.0,494527275.4119498,626253983.422678,577612785.1170503,531669880.71895945
2024-09-18 00:00:00,0.08638778405640282,0.16255823135554814,0.00038917331689546997,0.0,0.0,0.0,500618445.72368807,595069533.5125648,584728923.4253159,646364595.5575508
2024-09-19 00:00:00,0.14828851362991702,0.2889037804186829,0.0,0.0,0.0,0.0,479051940.7222442,627063907.0559922,573004492.4332972,597020471.8235916
2024-09-20 00:00:00,0.18324124156958674,0.19105901535687195,0.0,0.0,0.0,0.0,518135367.92998844,714623652.0122244,593540516.814431,706662718.3810081
2024-09-21 00:00:00,0.17004750634676538,0.2133428673637681,0.0,0.0,0.0,0.0,496401287.787775,676144026.973255,608295503.0434526,716614717.4045793
2024-09-22 00:00:00,0.09028908377613139,0.10740886797624201,0.0,0.0,0.0,0.0,466468755.78198045,777558573.9827201,591028850.241019,659444051.7932111
2024-09-23 00:00:00,0.1236909459618404,0.16130659977332565,0.0,0.0,0.0,0.0,495584359.42035985,698104346.4707831,609544786.0894814,729787874.6493459
2024-09-24 00:00:00,0.10918055303564178,0.10904451205096212,0.0,0.0,0.0,0.0,461745304.2360245,796123457.8025486,581212756.3418545,755293670.1327833
2024-09-25 00:00:00,0.1712905178787865,0.15800622841883183,0.0,0.0,0.0,0.0,439608765.94024575,763845518.5122957,600191337.1014657,769104761.368116
2024-09-26 00:00:00,0.10606802549885738,0.07375980785264327,0.0,0.0,0.0,0.0,413256145.5726675,748757861.5194937,598212097.8894668,826281992.169231
2024-09-27 00:00:00,0.10465911091895017,0.12172502435006703,0.0,0.0,0.0,0.0,462629888.4365494,792003454.1780521,634740240.6487639,766639264.1492301
2024-09-28 00:00:00,0.27922755008078326,0.17898517581996012,0.0006325288564599854,-2.1343492929894435e-06,0.0,0.0,483794303.4771937,828177519.1301167,571274155.1360228,781442463.8450267
2024-09-29 00:00:00,0.15186505167265998,0.14666039703387138,0.0014146452449987732,-2.240709909305352e-06,0.0,0.0,467567117.9807947,737989428.6045688,642954991.5469791,779197544.2861352
2024-09-30 00:00:00,0.15188943286781592,0.14149141830927606,0.0010418755421525937,-1.441141140964119e-06,0.0,0.0,471299998.5156052,773373435.8522347,635300390.1468225,726116690.9055997
2024-10-01 00:00:00,0.11719947700401327,0.06699315245379091,0.0,-1.1683913498224516e-06,0.0,0.0,446357867.55322015,671073384.249826,534935563.6396014,722451996.0887396
