slug,# GitHub Repos,Date First Commit,Total Contributors,Contributors Last 6 Months,# Arb Deployers,# Arb Contracts,Date First Txn,total_onchain_users,total_txns,total_txn_fees_eth
angle-protocol,34,2021-09-16 13:58:08.000000 UTC,12,7,0,8,2022-07-04 00:00:00.000000 UTC,178683,1166180.0,1.03050778817e-06
orange-finance,3,2023-04-25 06:41:06.000000 UTC,4,3,0,23,2023-04-28 00:00:00.000000 UTC,320,7738.0,1.3596396993999993e-08
aloe-ii,11,2021-08-04 07:56:38.000000 UTC,3,2,0,1,2023-03-05 00:00:00.000000 UTC,18,114.0,1.5368053199999993e-10
exodusmovement,253,2015-04-13 15:47:32.000000 UTC,45,16,0,0,,0,,
threshold-network,21,2021-07-27 07:42:19.000000 UTC,29,18,0,1,2023-03-31 00:00:00.000000 UTC,1370,2303.0,1.2370089110000007e-09
stellaxyz,4,2023-06-21 04:29:41.000000 UTC,3,3,0,6,2023-06-15 00:00:00.000000 UTC,729,2162.0,2.798810140000002e-09
primex-finance,7,2023-10-18 12:09:40.000000 UTC,3,3,0,7,2023-11-01 00:00:00.000000 UTC,977,5622.0,1.0935019012999998e-08
open-sea,65,2018-03-13 03:02:03.000000 UTC,47,13,0,4,2022-08-17 00:00:00.000000 UTC,3116,18160.0,2.8403119638e-08
xp-network,107,2021-08-22 17:32:07.000000 UTC,18,8,0,0,,0,,
layer-zero,28,2021-12-18 04:32:59.000000 UTC,18,14,0,10,2022-03-15 00:00:00.000000 UTC,1414941,25671430.0,4.918923166360403e-05
arbirise,0,,0,0,0,1,2021-09-28 00:00:00.000000 UTC,137,706.0,5.6211618199999974e-10
compound-finance,44,2018-05-22 23:01:56.000000 UTC,22,6,0,3,2023-05-04 00:00:00.000000 UTC,3727,47138.0,3.0705216446e-08
steadefi,9,2022-07-25 13:36:37.000000 UTC,6,3,0,0,,0,,
daqnext,69,2020-10-25 00:49:47.000000 UTC,6,4,0,0,,0,,
0xproject,107,2017-04-26 23:36:06.000000 UTC,84,12,0,0,,0,,
numoen,20,2022-04-14 19:25:35.000000 UTC,4,2,0,0,,0,,
zerion,36,2016-05-27 20:39:15.000000 UTC,18,4,0,1,2022-03-09 00:00:00.000000 UTC,66075,313430.0,6.0305935536399985e-07
debridge-finance,32,2021-03-22 17:55:41.000000 UTC,11,6,0,2,2022-12-12 00:00:00.000000 UTC,10423,73156.0,1.2545305555000003e-07
switchboard-xyz,62,2021-05-09 11:33:57.000000 UTC,9,7,0,0,,0,,
shipyard-software,6,2021-06-22 03:40:59.000000 UTC,4,2,0,5,2022-10-19 00:00:00.000000 UTC,8057,51863.0,3.9342267868999971e-08
aragonzkresearch,19,2022-06-17 16:45:09.000000 UTC,12,7,0,0,,0,,
gammaswap,12,2022-05-21 01:20:16.000000 UTC,8,2,0,6,2023-09-19 00:00:00.000000 UTC,252,2618.0,2.06290092e-09
o-3-swap,46,2017-12-05 23:22:02.000000 UTC,15,3,0,0,,0,,
uniwhale-io,5,2022-11-22 08:18:15.000000 UTC,5,0,0,0,,0,,
umaprotocol,56,2018-11-07 17:00:12.000000 UTC,36,13,0,0,,0,,
fuji-finance,7,2021-02-18 04:08:40.000000 UTC,7,4,0,3,2022-08-02 00:00:00.000000 UTC,7570,47240.0,4.026053487200002e-08
alliance-bridge,19,2021-07-22 11:32:47.000000 UTC,6,5,0,0,,0,,
flux-protocol,6,2021-12-07 20:14:03.000000 UTC,5,0,0,1,2021-10-21 00:00:00.000000 UTC,255,602.0,4.0531426300000016e-10
y2k-finance,7,2022-12-17 10:09:10.000000 UTC,9,6,0,4,2022-10-30 00:00:00.000000 UTC,4,4804.0,9.8056594020000012e-09
pancakeswap,36,2020-09-14 10:35:43.000000 UTC,31,11,0,10,2023-05-13 00:00:00.000000 UTC,56870,415820.0,5.392434391879999e-07
traderjoe-xyz,43,2021-06-15 06:11:01.000000 UTC,20,8,0,8,2022-12-21 00:00:00.000000 UTC,400316,3867470.0,6.3412901527559977e-06
orbiter-finance,34,2021-06-01 15:30:01.000000 UTC,10,8,0,1,2022-04-11 00:00:00.000000 UTC,235099,645384.0,5.0608104005599984e-07
ormi-labs,14,2021-12-16 18:14:21.000000 UTC,7,1,0,0,,0,,
omnibtc,34,2022-07-18 03:44:04.000000 UTC,8,5,0,0,,0,,
enviodev,17,2023-08-22 14:24:03.000000 UTC,8,8,0,0,,0,,
requestnetwork,37,2017-09-04 08:30:50.000000 UTC,26,10,0,0,,0,,
gelato,114,2019-10-19 10:53:34.000000 UTC,23,10,0,3,2021-10-23 00:00:00.000000 UTC,33,432764.0,1.5935188677909986e-06
vmex-finance,2,2023-06-19 16:01:29.000000 UTC,7,6,0,2,2023-10-12 00:00:00.000000 UTC,14,115.0,9.7034258999999983e-11
guildxyz,44,2021-05-17 13:00:15.000000 UTC,23,13,0,2,2023-02-07 00:00:00.000000 UTC,28898,103076.0,1.44758299129e-07
hamster-shared,19,2022-01-10 08:49:35.000000 UTC,14,8,0,0,,0,,
d-hedge,35,2020-08-07 02:44:51.000000 UTC,16,6,0,2,2023-03-26 00:00:00.000000 UTC,18,31.0,1.1580386400000001e-10
rainbow,42,2019-03-20 18:40:09.000000 UTC,44,17,0,2,2022-03-04 00:00:00.000000 UTC,15683,47403.0,9.12810726109999e-08
lexdao,106,2019-10-15 18:57:26.000000 UTC,27,6,0,0,,0,,
dfxswiss,14,2021-09-08 06:01:12.000000 UTC,14,8,0,0,,0,,
wormhole,65,2020-12-07 09:47:07.000000 UTC,64,43,0,8,2022-10-24 00:00:00.000000 UTC,56687,598598.0,1.4125315437520016e-06
badger-finance,70,2020-11-19 13:16:43.000000 UTC,22,4,0,0,,0,,
reservoirprotocol,26,2022-01-25 14:55:35.000000 UTC,21,18,0,0,,0,,
pyth-network,29,2021-05-13 15:31:39.000000 UTC,30,15,0,1,2022-09-09 00:00:00.000000 UTC,39,40376.0,2.11490035768e-07
chaingefinance,8,2021-04-14 08:54:22.000000 UTC,5,0,0,0,,0,,
rango-exchange,9,2022-02-12 10:37:38.000000 UTC,9,8,0,1,2022-05-29 00:00:00.000000 UTC,10935,23063.0,3.7310536625999971e-08
ichifarm,16,2020-11-10 19:16:48.000000 UTC,10,3,0,0,,0,,
propy,5,2018-07-19 10:42:06.000000 UTC,4,1,0,0,,0,,
volmex,9,2021-04-19 18:57:04.000000 UTC,9,5,0,0,,0,,
socket,23,2021-07-09 10:10:35.000000 UTC,11,8,0,8,2022-02-08 00:00:00.000000 UTC,888982,2849849.0,2.556968280698e-06
the-standard,20,2021-06-22 16:50:20.000000 UTC,7,3,0,0,,0,,
kei-finance,8,2023-04-07 04:28:23.000000 UTC,3,3,0,0,,0,,
camelotlabs,7,2022-03-10 01:46:06.000000 UTC,2,2,0,21,2022-11-04 00:00:00.000000 UTC,379024,5224320.0,7.2705307637159969e-06
apex-protocol,16,2021-12-28 11:43:29.000000 UTC,16,4,0,1,2022-09-16 00:00:00.000000 UTC,81296,303860.0,4.220174038640002e-07
mapprotocol,49,2019-08-25 14:24:26.000000 UTC,39,9,0,0,,0,,
gemwalletcom,2,2023-08-16 03:32:28.000000 UTC,2,2,0,0,,0,,
dexfinance-com,2,2022-07-25 09:32:49.000000 UTC,2,0,0,550,2023-03-21 00:00:00.000000 UTC,1012,55808.0,1.6638687175000008e-07
mux-world,11,2022-05-06 06:19:03.000000 UTC,3,1,0,8,2022-05-05 00:00:00.000000 UTC,21294,1085456.0,1.1786024327679988e-06
0xeigenlabs,21,2021-05-26 14:51:31.000000 UTC,9,3,0,0,,0,,
opiumprotocol,33,2019-04-15 12:27:42.000000 UTC,8,1,0,0,,0,,
aura,8,2022-04-21 15:51:47.000000 UTC,7,6,0,11,2023-02-10 00:00:00.000000 UTC,4608,31522.0,2.5467401345999983e-08
revest-finance,16,2021-09-15 21:53:04.000000 UTC,7,3,0,0,,0,,
cryptexfinance,19,2020-12-29 03:13:10.000000 UTC,4,3,0,0,,0,,
diadata-org,26,2018-08-14 13:55:13.000000 UTC,12,6,0,0,,0,,
pulsardefi,8,2022-02-14 11:44:11.000000 UTC,4,3,0,0,,0,,
tide-protocol-fiveelementslabs,2,2023-03-15 12:23:31.000000 UTC,4,2,0,0,,0,,
umamidao,12,2021-09-14 23:44:53.000000 UTC,11,1,0,25,2021-11-29 00:00:00.000000 UTC,114370,578866.0,3.4955834483700036e-07
symbiosis-finance,22,2022-03-23 06:29:34.000000 UTC,15,5,0,1,2023-04-18 00:00:00.000000 UTC,1441,4196.0,6.2533159479999968e-09
particle-network,23,2022-05-12 11:30:59.000000 UTC,9,8,0,0,,0,,
mufex-exchange,4,2023-05-04 04:57:38.000000 UTC,6,6,0,0,,0,,
nftearth,93,2023-01-09 06:30:17.000000 UTC,9,4,0,5,2023-02-15 00:00:00.000000 UTC,558,12630.0,7.1118796920000087e-09
dolomite-exchange,24,2018-08-10 09:33:33.000000 UTC,5,2,0,2,2022-10-03 00:00:00.000000 UTC,462,3664.0,5.767913448000001e-09
valioxyz,1,2023-08-21 17:57:06.000000 UTC,1,1,0,1,2023-07-11 00:00:00.000000 UTC,274,391.0,6.2213349000000076e-10
kenshitech,20,2021-11-15 19:41:43.000000 UTC,4,2,0,0,,0,,
bleu-fi,18,2022-11-08 08:26:21.000000 UTC,7,5,0,0,,0,,
nevermined-io,63,2020-04-21 12:06:24.000000 UTC,24,8,0,0,,0,,
vyper-protocol,10,2022-06-20 13:31:18.000000 UTC,4,0,0,0,,0,,
ithil-protocol,16,2022-02-04 08:14:15.000000 UTC,7,4,0,6,2023-08-08 00:00:00.000000 UTC,14,196.0,1.4375374400000004e-10
hats-protocol,34,2022-04-29 17:16:37.000000 UTC,7,6,0,0,,0,,
icatgame,4,2023-05-27 05:30:13.000000 UTC,1,1,0,0,,0,,
bond-protocol,3,2022-09-16 14:59:20.000000 UTC,2,2,0,1,2023-05-01 00:00:00.000000 UTC,391,1024.0,7.3179948800000042e-10
r3vl,3,2022-10-11 17:38:17.000000 UTC,2,0,0,0,,0,,
prepo-io,5,2022-03-18 02:49:49.000000 UTC,3,1,0,0,,0,,
across,18,2021-11-05 15:57:56.000000 UTC,15,9,0,5,2021-11-03 00:00:00.000000 UTC,119825,1174490.0,1.1744178331380004e-06
stakedao,14,2020-02-10 16:05:55.000000 UTC,11,5,0,2,2021-09-29 00:00:00.000000 UTC,399,2346.0,3.1061744660000012e-09
nftperp,4,2022-08-15 07:43:08.000000 UTC,4,4,0,0,,0,,
solady-vectorized,1,2022-07-16 23:39:45.000000 UTC,3,3,0,1,2023-04-05 00:00:00.000000 UTC,2,4.0,2.813699e-12
we-piggy,10,2020-10-28 11:53:20.000000 UTC,1,0,0,0,,0,,
sperax,13,2021-06-10 15:19:56.000000 UTC,12,4,0,13,2021-12-20 00:00:00.000000 UTC,52425,323508.0,1.7879907259400015e-07
paraswap,27,2019-10-08 15:39:41.000000 UTC,22,9,0,4,2022-07-07 00:00:00.000000 UTC,229472,1996426.0,4.3206834377970046e-06
radomnetwork,1,2023-04-21 03:25:31.000000 UTC,3,0,0,0,,0,,
biconomy,47,2019-11-21 17:21:18.000000 UTC,27,16,0,4,2022-06-30 00:00:00.000000 UTC,17159,762552.0,7.4116657308199943e-07
suberra,5,2021-06-09 16:34:21.000000 UTC,4,0,0,0,,0,,
0x-splits,19,2022-02-09 06:26:34.000000 UTC,5,5,0,1,2022-10-09 00:00:00.000000 UTC,127,2904.0,1.6479111799999994e-09
pwnfinance,10,2021-11-30 18:32:36.000000 UTC,7,5,0,2,2023-10-13 00:00:00.000000 UTC,6,32.0,3.9820666e-11
outerbridgeio,5,2022-06-12 12:35:53.000000 UTC,2,0,0,0,,0,,
rehold-io,2,2023-01-24 02:52:23.000000 UTC,1,1,0,0,,0,,
gammastrategies,10,2021-05-13 14:52:56.000000 UTC,6,3,0,4,2022-08-07 00:00:00.000000 UTC,1284,4784.0,5.2480021460000043e-09
open-defi-notification-protocol,3,2021-08-30 11:49:36.000000 UTC,6,1,0,0,,0,,
nifty-kit,4,2021-11-12 05:13:20.000000 UTC,4,2,0,4,2022-12-01 00:00:00.000000 UTC,1176,6044.0,4.1282563529999984e-09
notional-finance,18,2020-11-11 14:26:03.000000 UTC,7,2,0,3,2023-05-02 00:00:00.000000 UTC,2283,19328.0,2.6544358684000004e-08
privy-io,15,2022-12-10 19:31:21.000000 UTC,13,12,0,0,,0,,
altitudedefi,2,2023-05-19 18:33:31.000000 UTC,1,0,0,0,,0,,
pear-protocol,1,2023-04-14 04:14:13.000000 UTC,1,0,0,2,2023-11-26 00:00:00.000000 UTC,1,6.0,4.457353e-12
hmxorg,9,2022-11-11 04:39:28.000000 UTC,5,5,0,0,,0,,
aori-io,11,2023-09-28 10:29:27.000000 UTC,4,4,0,0,,0,,
omnisea,0,,0,0,0,2,2022-06-29 00:00:00.000000 UTC,1915,5602.0,3.708014855999999e-09
beefy-finance,33,2020-09-14 17:13:13.000000 UTC,20,9,0,4,2021-09-21 00:00:00.000000 UTC,1339,5844.0,9.86065233200001e-09
qodafi,4,2022-05-03 15:19:37.000000 UTC,3,2,0,0,,0,,
gopluslabs,9,2021-07-19 15:03:56.000000 UTC,4,0,0,0,,0,,
hyperliquid-dex,8,2023-04-13 03:22:25.000000 UTC,6,5,0,0,,0,,
gravita-protocol,6,2023-04-05 20:29:59.000000 UTC,4,3,0,13,2023-06-29 00:00:00.000000 UTC,4661,46932.0,4.8413711319999978e-08
swapsicledex,5,2022-11-15 16:28:11.000000 UTC,3,2,0,0,,0,,
popcorn-limited,19,2021-04-25 11:39:15.000000 UTC,9,4,0,0,,0,,
sushi,83,2020-08-24 06:27:57.000000 UTC,28,7,0,10,2021-08-31 00:00:00.000000 UTC,1101747,17782786.0,1.9861082688453986e-05
bitkeep,4,2019-06-21 11:33:23.000000 UTC,5,2,0,2,2022-11-28 00:00:00.000000 UTC,6,188.0,2.4573768999999995e-09
neondapp,1,2023-05-07 20:58:22.000000 UTC,1,0,0,6,2021-09-15 00:00:00.000000 UTC,482,3810.0,1.7134056579999994e-09
granary,3,2022-08-02 20:44:22.000000 UTC,1,0,0,2,2022-12-09 00:00:00.000000 UTC,2123,6515.0,7.3353389409999934e-09
ragetrade,19,2021-08-20 07:52:54.000000 UTC,5,2,0,5,2022-07-07 00:00:00.000000 UTC,87880,896737.0,1.2686391435290005e-06
hegic,18,2020-02-18 13:16:30.000000 UTC,2,1,0,0,,0,,
aelin,9,2021-10-29 22:39:39.000000 UTC,8,2,0,0,,0,,
aperture-finance,20,2022-03-03 22:49:37.000000 UTC,7,5,0,2,2022-06-10 00:00:00.000000 UTC,727,17360.0,4.3017439740999932e-08
provable-things,62,2015-12-14 17:05:31.000000 UTC,17,2,0,0,,0,,
metalineinfinity,2,2023-02-05 14:11:20.000000 UTC,3,1,0,0,,0,,
umbrella-network,13,2020-10-08 16:32:01.000000 UTC,17,3,0,0,,0,,
node-real,33,2021-09-25 20:04:55.000000 UTC,27,9,0,0,,0,,
umbra,1,2020-05-20 14:49:38.000000 UTC,6,4,0,2,2022-03-18 00:00:00.000000 UTC,39834,117530.0,7.6532197315999988e-08
decent,22,2022-02-02 21:14:58.000000 UTC,6,4,0,0,,0,,
interlock-network,13,2021-07-16 08:22:49.000000 UTC,10,6,0,0,,0,,
handle-fi,3,2021-04-22 00:49:34.000000 UTC,5,1,0,0,,0,,
glitter-finance,6,2022-02-20 16:01:27.000000 UTC,6,3,0,0,,0,,
flashstake,1,2022-09-05 18:01:14.000000 UTC,1,0,0,4,2023-03-02 00:00:00.000000 UTC,255,931.0,1.7028411000000019e-09
mayan-finance,6,2022-11-24 20:18:40.000000 UTC,4,3,0,0,,0,,
pulsarswap,7,2022-04-22 08:08:50.000000 UTC,2,1,0,0,,0,,
vesper,16,2020-12-21 18:51:12.000000 UTC,10,1,0,0,,0,,
safeyields,5,2022-12-02 05:48:40.000000 UTC,4,3,0,0,,0,,
kassandrafinance,6,2022-02-25 12:42:07.000000 UTC,6,3,0,0,,0,,
x-token,12,2021-01-04 17:38:10.000000 UTC,8,0,0,0,,0,,
qidao-mai-finance,5,2021-04-16 22:46:52.000000 UTC,3,1,0,8,2021-11-22 00:00:00.000000 UTC,6815,26514.0,1.4432883055999993e-08
ren,68,2018-06-26 05:55:32.000000 UTC,15,0,0,2,2021-11-26 00:00:00.000000 UTC,1,144.0,1.080582182e-09
moralisweb3,52,2021-03-11 16:37:27.000000 UTC,38,8,0,0,,0,,
injectivelabs,86,2019-04-06 22:02:41.000000 UTC,40,19,0,0,,0,,
0xsquid,23,2022-07-09 11:43:41.000000 UTC,11,7,0,0,,0,,
dggtech,2,2023-03-14 07:20:59.000000 UTC,2,0,0,0,,0,,
xy-finance,6,2022-07-07 06:52:55.000000 UTC,5,3,0,1,2022-09-02 00:00:00.000000 UTC,59860,317036.0,4.70304303542e-07
extracredit-team,1,2021-02-07 19:55:06.000000 UTC,2,0,0,0,,0,,
cora-protocol,3,2022-06-06 11:34:35.000000 UTC,2,2,0,0,,0,,
arbitrumexchange,0,,0,0,0,13,2023-03-14 00:00:00.000000 UTC,5142,126868.0,1.0181787630900002e-07
revoke-cash,7,2019-10-12 14:36:44.000000 UTC,2,1,0,0,,0,,
holograph,10,2022-02-27 02:59:01.000000 UTC,5,5,0,5,2022-12-16 00:00:00.000000 UTC,169276,413919.0,7.6963461940699977e-07
momentum-xyz,24,2021-09-22 11:10:56.000000 UTC,22,5,0,0,,0,,
vendorfinance,2,2022-12-28 03:16:21.000000 UTC,2,0,0,7,2022-08-15 00:00:00.000000 UTC,288,935.0,1.6432942159999994e-09
synapse,19,2021-05-15 20:47:11.000000 UTC,18,12,0,12,2021-09-12 00:00:00.000000 UTC,79224,867874.0,9.5237774179999987e-07
orderlynetwork,8,2022-11-09 08:44:18.000000 UTC,7,6,0,0,,0,,
uxuycom,6,2023-04-19 10:41:01.000000 UTC,6,4,0,4,2023-03-20 00:00:00.000000 UTC,4704,10395.0,4.655482786e-09
impermax-finance,10,2020-11-23 18:46:40.000000 UTC,3,1,0,0,,0,,
stacktical,15,2018-10-25 16:56:47.000000 UTC,5,0,0,3,2022-10-27 00:00:00.000000 UTC,5,40.0,5.4244598000000009e-11
vovofinance,1,2021-12-01 08:59:17.000000 UTC,1,0,0,0,,0,,
yieldprotocol,38,2020-10-22 04:34:14.000000 UTC,22,10,0,3,2022-02-09 00:00:00.000000 UTC,80815,598266.0,7.1072952850200063e-07
mint-tea-ethonline,1,2022-09-02 16:35:49.000000 UTC,1,0,0,0,,0,,
rysk-finance,11,2021-10-01 20:38:08.000000 UTC,9,6,0,9,2022-09-12 00:00:00.000000 UTC,3960,34608.0,6.0128095182000071e-08
synthe-x,12,2022-09-30 16:24:36.000000 UTC,3,1,0,0,,0,,
tarot-finance,3,2021-06-07 20:52:46.000000 UTC,1,0,0,1,2023-07-25 00:00:00.000000 UTC,657,1294.0,1.0838084720000005e-09
catapulta-sh,4,2023-05-23 13:32:47.000000 UTC,1,1,0,0,,0,,
