slug,# GitHub Repos,Date First Commit,Total Contributors,Contributors Last 6 Months,# Arb Deployers,# Arb Contracts,Date First Txn,total_onchain_users,total_txns,total_txn_fees_eth
lavanet,31,2022-03-23 11:22:43.000000 UTC,21,15,0,0,,0,,
kyber-swap,116,2017-05-19 17:55:47.000000 UTC,71,34,0,13,2022-02-24 00:00:00.000000 UTC,99519,1450032.0,3.5258623311999966e-06
beamer-bridge,9,2022-03-25 10:01:51.000000 UTC,12,6,0,9,2022-12-14 00:00:00.000000 UTC,7760,44137.0,3.0534387618000024e-08
axelar,67,2021-03-16 20:56:44.000000 UTC,37,25,0,5,2022-10-16 00:00:00.000000 UTC,61830,712730.0,5.2299018845379982e-06
hicommonwealth,58,2018-06-08 01:58:15.000000 UTC,30,17,0,0,,0,,
tablelandnetwork,51,2022-02-11 02:50:36.000000 UTC,13,8,0,0,,0,,
dinngo,32,2017-04-18 23:09:23.000000 UTC,14,7,0,1,2022-10-28 00:00:00.000000 UTC,1418,7434.0,1.8962808328000007e-08
lido,168,2020-11-11 09:57:02.000000 UTC,86,50,0,2,2022-08-04 00:00:00.000000 UTC,81059,182356.0,8.7190290750999933e-08
abracadabra,21,2021-06-16 19:41:44.000000 UTC,12,7,0,5,2021-09-15 00:00:00.000000 UTC,88538,413524.0,4.3129417113200017e-07
anyswap,42,2020-06-24 06:26:35.000000 UTC,12,0,0,2,2021-12-15 00:00:00.000000 UTC,69,222.0,1.3695826600000006e-10
insuredao,12,2022-02-07 06:02:12.000000 UTC,3,1,0,3,2022-11-14 00:00:00.000000 UTC,39,127.0,1.0543701799999998e-10
crustio,96,2020-06-02 08:14:20.000000 UTC,21,15,0,0,,0,,
immunefi-team,15,2021-02-03 17:44:21.000000 UTC,11,4,0,0,,0,,
gainsnetwork,3,2022-03-09 10:56:58.000000 UTC,1,0,0,29,2022-12-27 00:00:00.000000 UTC,53545,3581475.0,4.1658154783640018e-06
plutusdao,1,,0,0,0,38,2022-04-28 00:00:00.000000 UTC,95621,785708.0,3.7252628735599968e-07
gmx-io,9,2021-09-22 02:01:19.000000 UTC,8,6,0,38,2021-08-06 00:00:00.000000 UTC,366384,4679412.0,4.570713558717998e-06
radiant-capital,10,2022-03-29 18:50:39.000000 UTC,7,3,0,32,2022-07-24 00:00:00.000000 UTC,432699,4813884.0,6.9882777750459922e-06
dopex-io,14,2021-07-01 01:30:04.000000 UTC,9,6,0,62,2021-10-08 00:00:00.000000 UTC,146722,918388.0,7.300386118380008e-07
1-inch,116,2018-09-17 14:02:35.000000 UTC,43,18,0,5,2021-09-14 00:00:00.000000 UTC,537628,5011138.0,8.6846436721280052e-06
lifinance,25,2021-07-05 14:02:11.000000 UTC,26,15,0,5,2022-01-11 00:00:00.000000 UTC,252698,1490966.0,2.8429577037000009e-06
chronosex,2,2023-03-14 22:07:28.000000 UTC,1,1,0,21,2023-03-23 00:00:00.000000 UTC,12156,358135.0,4.0341796463500045e-07
fraxfinance,34,2019-10-03 02:27:16.000000 UTC,9,4,0,11,2021-09-28 00:00:00.000000 UTC,50130,293862.0,1.8827530912799967e-07
omni-swap,1,2022-07-22 05:03:32.000000 UTC,4,3,0,1,2022-07-11 00:00:00.000000 UTC,107500,183243.0,3.9099058554299993e-07
lodestarfinance,4,2022-09-06 02:23:35.000000 UTC,3,0,0,42,2022-11-20 00:00:00.000000 UTC,14082,124602.0,9.2962362743999977e-08
uniswap,57,2018-03-07 21:59:23.000000 UTC,75,41,0,6,2021-08-27 00:00:00.000000 UTC,1309113,27803498.0,3.597877368589e-05
woonetwork,14,2021-09-15 06:30:31.000000 UTC,10,6,0,31,2022-11-03 00:00:00.000000 UTC,227612,2302730.0,1.9730514554200013e-06
equilibria-xyz,19,2021-08-13 20:17:39.000000 UTC,4,4,0,12,2023-01-13 00:00:00.000000 UTC,18484,192148.0,4.4022259769799983e-07
goodentry-io,3,2023-04-26 07:07:35.000000 UTC,2,2,0,6,2023-06-19 00:00:00.000000 UTC,3791,7732.0,7.3896437269999991e-09
voltz-protocol,16,2022-02-23 12:43:06.000000 UTC,12,6,0,12,2023-02-13 00:00:00.000000 UTC,9017,151236.0,2.1282375967400002e-07
cowri,21,2019-05-28 06:25:50.000000 UTC,9,3,0,9,2022-04-01 00:00:00.000000 UTC,71937,490337.0,4.9253927436700053e-07
x-dao,2,2021-07-28 13:15:12.000000 UTC,2,2,0,7,2022-09-07 00:00:00.000000 UTC,4549,12324.0,3.2453254722999988e-08
silo-finance,10,2021-09-23 22:19:22.000000 UTC,8,4,0,14,2023-01-09 00:00:00.000000 UTC,26121,399850.0,6.0368780215400091e-07
hashflow,7,2021-12-07 03:37:16.000000 UTC,8,4,0,4,2022-04-07 00:00:00.000000 UTC,12501,34958.0,2.8634771184000015e-08
bunniapp,5,2022-10-13 22:03:05.000000 UTC,2,2,0,2,2022-10-16 00:00:00.000000 UTC,312,1394.0,1.6298236459999992e-09
third-web,61,2021-04-23 17:09:39.000000 UTC,47,34,0,17,2022-06-23 00:00:00.000000 UTC,6133,15276.0,3.0102563369000008e-08
slingshot,7,2021-05-18 22:00:46.000000 UTC,4,0,0,1,2021-10-08 00:00:00.000000 UTC,70206,536556.0,5.8309236135200011e-07
velaexchange,2,2023-01-17 20:30:20.000000 UTC,2,1,0,22,2022-12-24 00:00:00.000000 UTC,107189,2047561.0,1.9198149209449997e-06
thales,17,2021-05-28 23:05:14.000000 UTC,15,13,0,30,2022-08-25 00:00:00.000000 UTC,4560,333752.0,8.9501842969599982e-07
backstop-protocol,36,2020-06-21 11:14:08.000000 UTC,4,2,0,0,,0,,
liquality,51,2018-08-30 12:29:34.000000 UTC,20,3,0,0,,0,,
mindgames-io,6,2022-07-01 14:30:25.000000 UTC,6,0,0,20,2022-12-08 00:00:00.000000 UTC,2962,61541.0,5.5038283857999986e-08
olive-finance,0,,0,0,0,1,2023-01-16 00:00:00.000000 UTC,8617,14808.0,3.268707299e-08
de-bank,23,2018-07-09 16:03:41.000000 UTC,15,3,0,1,2023-05-29 00:00:00.000000 UTC,47193,49284.0,3.9005884696999961e-08
premiafinance,15,2021-02-15 01:39:14.000000 UTC,8,4,0,27,2021-11-24 00:00:00.000000 UTC,14836,66062.0,1.1828764993399997e-07
timeswap-labs,6,2022-04-01 04:17:47.000000 UTC,7,5,0,18,2023-03-18 00:00:00.000000 UTC,2987,18286.0,2.8575731652000015e-08
fortressfinance,4,2022-11-17 00:34:23.000000 UTC,7,1,0,8,2023-03-29 00:00:00.000000 UTC,32,609.0,8.8883671700000056e-10
wanchain,67,2017-07-10 03:04:08.000000 UTC,42,2,0,0,,0,,
arken-lab,3,2022-02-01 10:38:50.000000 UTC,4,0,0,0,,0,,
balancer,50,2020-02-20 20:41:37.000000 UTC,37,21,0,10,2022-09-07 00:00:00.000000 UTC,497,2070.0,5.2493092899999982e-09
automata-network,66,2021-01-13 11:38:07.000000 UTC,19,7,0,0,,0,,
tigris-trade,4,2022-10-29 10:54:49.000000 UTC,2,2,0,27,2022-10-17 00:00:00.000000 UTC,7360,119600.0,1.2215250741199993e-07
caskprotocol,8,2022-02-12 22:40:59.000000 UTC,3,1,0,5,2022-10-01 00:00:00.000000 UTC,3994,27788.0,3.3107368708e-08
chainlink,1,2019-06-10 14:59:38.000000 UTC,130,80,0,4,2022-03-10 00:00:00.000000 UTC,9,735.0,7.64803214e-10
vertex-protocol,5,2023-05-16 02:19:22.000000 UTC,5,4,0,8,2023-03-05 00:00:00.000000 UTC,21387,893436.0,1.2535672008268e-05
powerpool-finance,21,2020-08-06 23:28:42.000000 UTC,10,5,0,2,2023-12-06 00:00:00.000000 UTC,22,1009.0,7.63819692e-10
inverse-finance,31,2020-12-04 13:48:20.000000 UTC,10,3,0,0,,0,,
celer,75,2018-06-25 23:12:11.000000 UTC,23,6,0,5,2021-11-17 00:00:00.000000 UTC,41841,634612.0,2.1331910523399989e-06
maker-dao,289,2015-09-03 14:22:04.000000 UTC,160,31,0,4,2021-09-20 00:00:00.000000 UTC,280369,1724172.0,8.30017823808e-07
takafuldao,2,2023-05-09 19:24:31.000000 UTC,4,0,0,4,2023-03-12 00:00:00.000000 UTC,61,841.0,2.1494711859999975e-09
sablier,33,2018-11-16 19:02:11.000000 UTC,5,5,0,1,2022-03-08 00:00:00.000000 UTC,2681,17778.0,1.0454264898000002e-08
pendle-finance,19,2021-06-11 05:07:30.000000 UTC,9,4,0,7,2023-02-21 00:00:00.000000 UTC,3574,17578.0,1.1754751898000003e-08
eywa-protocol,2,2022-04-15 11:25:57.000000 UTC,2,0,0,3,2023-04-29 00:00:00.000000 UTC,708,6048.0,2.3185871029999983e-08
insta-dapp,48,2018-10-24 17:12:18.000000 UTC,21,6,0,0,,0,,
