project_id,project_name,first_commit_date,last_commit_date,repos,stars,forks,contributors,contributors_6_months,new_contributors_6_months,avg_fulltime_devs_6_months,avg_active_devs_6_months,commits_6_months,issues_opened_6_months,issues_closed_6_months,pull_requests_opened_6_months,pull_requests_merged_6_months,project_id_1,num_contracts,first_txn_date,total_txns,total_l2_gas,total_users,txns_6_months,l2_gas_6_months,users_6_months,new_user_count,active_users,high_frequency_users,more_active_users,less_active_users,multi_project_users
nXFDRKcnODmR1ZC4-gevd_-BndrB0SBpwFeLGU0_W9c=,Takaturn,2023-05-09 19:24:31.000000 UTC,2024-02-12 16:33:21.000000 UTC,2.0,3.0,3.0,5.0,3.0,1.0,0.0,0.5,4.0,,,9.0,4.0,nXFDRKcnODmR1ZC4-gevd_-BndrB0SBpwFeLGU0_W9c=,17.0,2023-03-01,1253.0,2557934610.0,76.0,1116.0,1992673121.0,75.0,36.0,71.0,0.0,14.0,57.0,10.0
tAOz8O7X_w-2n0PWCNtzSQu8U58IG1VnlKycdA8Q55g=,Savvy DeFi,2023-03-14 11:47:47.000000 UTC,2024-02-13 04:34:18.000000 UTC,2.0,0.0,0.0,5.0,4.0,1.0,0.0,1.0,95.0,3.0,2.0,11.0,5.0,tAOz8O7X_w-2n0PWCNtzSQu8U58IG1VnlKycdA8Q55g=,43.0,2023-06-01,39512.0,32332070096.0,8202.0,35207.0,29293470379.0,7910.0,6443.0,6828.0,0.0,129.0,6699.0,4782.0
iYae8ZAeKmSnQr7mPlJwW9Z8dLVlR82X_4sOWcTn-HY=,Wombat Exchange,2023-03-17 07:23:27.000000 UTC,2024-02-13 03:19:26.000000 UTC,2.0,18.0,7.0,9.0,5.0,2.0,0.1666666666666666,1.8333333333333333,241.0,,,15.0,13.0,iYae8ZAeKmSnQr7mPlJwW9Z8dLVlR82X_4sOWcTn-HY=,39.0,2023-03-01,41448.0,50317341504.0,3853.0,14205.0,18391833673.0,1986.0,612.0,1061.0,1.0,119.0,941.0,987.0
XSuqwZnmEL-nrKULSPaByBfTnt8w2wL5L7e7sQcx8BU=,Gravita Protocol,2023-04-05 20:29:59.000000 UTC,2024-02-16 17:27:04.000000 UTC,2.0,43.0,26.0,10.0,7.0,3.0,0.0,2.0,117.0,,,14.0,12.0,XSuqwZnmEL-nrKULSPaByBfTnt8w2wL5L7e7sQcx8BU=,54.0,2023-06-01,79844.0,84631051126.0,5058.0,62973.0,71421167196.0,4075.0,1530.0,2585.0,0.0,907.0,1678.0,2384.0
v4TIN_r5Z7CXrAD33cwvV-5EfY4iBxm6tsXJpDC8XpM=,Radom Network,2023-04-21 03:25:31.000000 UTC,2023-05-08 10:55:32.000000 UTC,3.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,v4TIN_r5Z7CXrAD33cwvV-5EfY4iBxm6tsXJpDC8XpM=,3.0,,,,,,,,,,,,,
mqnQpp0s1VPqAA0fCxHCscM4oV4Kd_EXeiJ-Ka2nuFw=,Aboard Exchange,2021-12-12 06:51:39.000000 UTC,2023-01-10 10:59:09.000000 UTC,3.0,10.0,3.0,3.0,0.0,0.0,0.0,0.0,,,,,,mqnQpp0s1VPqAA0fCxHCscM4oV4Kd_EXeiJ-Ka2nuFw=,3.0,,,,,,,,,,,,,
cpKzZqymnTf-gDoFapF5IvSgH8KAwtUB1Jd5k2rPgSk=,Arken Finance,2022-02-01 10:38:50.000000 UTC,2023-05-12 08:25:31.000000 UTC,3.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,,,,,,cpKzZqymnTf-gDoFapF5IvSgH8KAwtUB1Jd5k2rPgSk=,5.0,,,,,,,,,,,,,
IBSH7dQG0hSQE6oJo9G_xrHxhW4wUt8iiYGn2Ob65c8=,Granary,2022-08-02 20:44:22.000000 UTC,2022-10-25 17:14:44.000000 UTC,3.0,11.0,15.0,1.0,0.0,0.0,0.0,0.0,,1.0,,,,IBSH7dQG0hSQE6oJo9G_xrHxhW4wUt8iiYGn2Ob65c8=,113.0,2022-12-01,19264.0,21157485728.0,2799.0,2041.0,1972233966.0,759.0,180.0,392.0,0.0,12.0,380.0,332.0
XUROVU5qqINifsNkNWt-fTkLxfz5wfInPNs5rkf1_II=,WINR Protocol,2023-04-25 10:59:29.000000 UTC,2023-05-22 19:26:41.000000 UTC,3.0,13.0,13.0,2.0,0.0,0.0,0.0,0.0,,,,,,XUROVU5qqINifsNkNWt-fTkLxfz5wfInPNs5rkf1_II=,48.0,2023-03-01,215016.0,497203495934.0,21712.0,141932.0,451943242593.0,13850.0,5969.0,9383.0,3.0,764.0,8616.0,6701.0
8j2Fi3T0rylaxxPISk74Pt1sieNo_Pd2uGSa4dhKXLE=,UniWhale,2022-11-22 08:18:15.000000 UTC,2023-07-24 10:31:52.000000 UTC,3.0,3.0,1.0,5.0,0.0,0.0,0.0,0.0,,,,,,8j2Fi3T0rylaxxPISk74Pt1sieNo_Pd2uGSa4dhKXLE=,5.0,,,,,,,,,,,,,
eQW7pJ5HL6kuAhaxZTTYmfpTjHuTwUp2vLo12SuKVZA=,Open Defi Notification Protocol,2021-08-30 11:49:36.000000 UTC,2024-02-12 16:55:31.000000 UTC,3.0,24.0,21.0,13.0,1.0,0.0,0.0,0.3333333333333333,2.0,,,,,eQW7pJ5HL6kuAhaxZTTYmfpTjHuTwUp2vLo12SuKVZA=,3.0,,,,,,,,,,,,,
kPS6HxCCdCoIZ3OVCt0-ZvRhZ24zuM2VKahNYkvrGwY=,FortressFinance,2022-11-17 00:34:23.000000 UTC,2023-09-16 22:12:13.000000 UTC,3.0,3.0,2.0,7.0,1.0,0.0,0.0,0.1666666666666666,4.0,,,4.0,4.0,kPS6HxCCdCoIZ3OVCt0-ZvRhZ24zuM2VKahNYkvrGwY=,17.0,2023-03-01,612.0,897109347.0,32.0,96.0,169603086.0,9.0,,7.0,0.0,0.0,7.0,3.0
9uUkCzYhzkjCVhwMmQzAGZKSCoGDY0fHo8mksrypvZk=,Mai Finance (Qi Dao Protocol),2021-04-16 22:46:52.000000 UTC,2024-01-18 00:53:06.000000 UTC,3.0,68.0,37.0,6.0,2.0,1.0,0.1666666666666666,0.5,30.0,,,1.0,1.0,9uUkCzYhzkjCVhwMmQzAGZKSCoGDY0fHo8mksrypvZk=,215.0,2021-11-01,43459.0,23296425658.0,6864.0,6874.0,3281828793.0,1745.0,127.0,393.0,0.0,17.0,376.0,348.0
