slug,month,maus
thales,2023-05-01 00:00:00.000000 UTC,630
treasureproject,2021-12-01 00:00:00.000000 UTC,5609
livepeer,2022-07-01 00:00:00.000000 UTC,374
livepeer,2023-07-01 00:00:00.000000 UTC,726
thales,2023-10-01 00:00:00.000000 UTC,549
arbitrumexchange,2023-04-01 00:00:00.000000 UTC,2255
ragetrade,2022-12-01 00:00:00.000000 UTC,13103
tornadocash,2023-06-01 00:00:00.000000 UTC,4276
sperax,2023-02-01 00:00:00.000000 UTC,6602
voltz-protocol,2023-03-01 00:00:00.000000 UTC,1207
hop-protocol,2023-12-01 00:00:00.000000 UTC,1423
treasureproject,2022-08-01 00:00:00.000000 UTC,7792
overnight,2023-07-01 00:00:00.000000 UTC,681
aave,2023-05-01 00:00:00.000000 UTC,5199
curve,2022-12-01 00:00:00.000000 UTC,16827
biconomy,2023-01-01 00:00:00.000000 UTC,1834
lodestarfinance,2023-08-01 00:00:00.000000 UTC,1874
lodestarfinance,2023-09-01 00:00:00.000000 UTC,1058
fraxfinance,2023-08-01 00:00:00.000000 UTC,3546
gmx-io,2023-08-01 00:00:00.000000 UTC,16189
traderjoe-xyz,2023-12-01 00:00:00.000000 UTC,42039
across,2022-10-01 00:00:00.000000 UTC,7874
beethoven-x,2022-07-01 00:00:00.000000 UTC,5541
beethoven-x,2023-08-01 00:00:00.000000 UTC,15547
beethoven-x,2023-12-01 00:00:00.000000 UTC,6649
vertex-protocol,2023-12-01 00:00:00.000000 UTC,7196
saddle-finance,2021-11-01 00:00:00.000000 UTC,280
uniswap,2021-10-01 00:00:00.000000 UTC,4806
connext,2022-04-01 00:00:00.000000 UTC,1458
arbitrumexchange,2023-03-01 00:00:00.000000 UTC,3404
zerion,2022-06-01 00:00:00.000000 UTC,5439
lodestarfinance,2023-04-01 00:00:00.000000 UTC,2585
maker-dao,2023-04-01 00:00:00.000000 UTC,31612
paraswap,2023-02-01 00:00:00.000000 UTC,11643
umbra,2023-09-01 00:00:00.000000 UTC,4371
rainbow,2023-01-01 00:00:00.000000 UTC,288
jones-dao,2023-09-01 00:00:00.000000 UTC,595
fraxfinance,2023-03-01 00:00:00.000000 UTC,3083
fraxfinance,2023-09-01 00:00:00.000000 UTC,1913
ragetrade,2023-08-01 00:00:00.000000 UTC,6739
dopex-io,2023-06-01 00:00:00.000000 UTC,1957
omni-swap,2023-06-01 00:00:00.000000 UTC,20055
umamidao,2022-03-01 00:00:00.000000 UTC,983
livepeer,2023-11-01 00:00:00.000000 UTC,1046
sperax,2022-12-01 00:00:00.000000 UTC,9692
gainsnetwork,2023-11-01 00:00:00.000000 UTC,6484
aave,2022-04-01 00:00:00.000000 UTC,6120
curve,2022-11-01 00:00:00.000000 UTC,14614
dodoex,2022-01-01 00:00:00.000000 UTC,1318
gravita-protocol,2023-12-01 00:00:00.000000 UTC,1322
curve,2022-04-01 00:00:00.000000 UTC,1618
silo-finance,2023-08-01 00:00:00.000000 UTC,1077
compound-finance,2023-08-01 00:00:00.000000 UTC,605
beethoven-x,2021-09-01 00:00:00.000000 UTC,4234
beethoven-x,2024-01-01 00:00:00.000000 UTC,6787
cowri,2022-12-01 00:00:00.000000 UTC,9399
camelotlabs,2022-12-01 00:00:00.000000 UTC,5627
axelar,2023-09-01 00:00:00.000000 UTC,6782
zerion,2022-09-01 00:00:00.000000 UTC,4304
paraswap,2022-12-01 00:00:00.000000 UTC,3353
1-inch,2021-10-01 00:00:00.000000 UTC,3107
celer,2023-03-01 00:00:00.000000 UTC,5105
fraxfinance,2023-10-01 00:00:00.000000 UTC,1914
thales,2024-01-01 00:00:00.000000 UTC,2060
tracer-protocol,2022-11-01 00:00:00.000000 UTC,1843
tornadocash,2023-05-01 00:00:00.000000 UTC,2275
de-bank,2023-12-01 00:00:00.000000 UTC,2341
woonetwork,2023-09-01 00:00:00.000000 UTC,13510
mummy-finance,2023-10-01 00:00:00.000000 UTC,1049
ramsesexchange,2023-11-01 00:00:00.000000 UTC,1861
maker-dao,2022-07-01 00:00:00.000000 UTC,9467
stakedao,2022-02-01 00:00:00.000000 UTC,354
equilibria-xyz,2023-04-01 00:00:00.000000 UTC,4942
shipyard-software,2023-02-01 00:00:00.000000 UTC,1837
slingshot,2022-09-01 00:00:00.000000 UTC,5857
lodestarfinance,2022-12-01 00:00:00.000000 UTC,741
umbra,2023-03-01 00:00:00.000000 UTC,4085
rango-exchange,2023-05-01 00:00:00.000000 UTC,758
hop-protocol,2022-05-01 00:00:00.000000 UTC,6523
yieldprotocol,2022-11-01 00:00:00.000000 UTC,6207
caskprotocol,2023-01-01 00:00:00.000000 UTC,3894
lifinance,2022-09-01 00:00:00.000000 UTC,6869
synapse,2022-08-01 00:00:00.000000 UTC,2610
equilibria-xyz,2024-01-01 00:00:00.000000 UTC,1113
voltz-protocol,2023-06-01 00:00:00.000000 UTC,4613
kyber-swap,2023-11-01 00:00:00.000000 UTC,12562
de-bank,2023-09-01 00:00:00.000000 UTC,3676
granary,2023-05-01 00:00:00.000000 UTC,618
across,2023-04-01 00:00:00.000000 UTC,8025
magpiexyz,2023-08-01 00:00:00.000000 UTC,735
tracer-protocol,2022-09-01 00:00:00.000000 UTC,1030
timeswap-labs,2023-09-01 00:00:00.000000 UTC,351
rainbow,2023-05-01 00:00:00.000000 UTC,433
hundred-finance,2023-07-01 00:00:00.000000 UTC,37
omni-swap,2023-03-01 00:00:00.000000 UTC,3785
curve,2024-01-01 00:00:00.000000 UTC,1204
umbra,2022-07-01 00:00:00.000000 UTC,1675
xy-finance,2023-01-01 00:00:00.000000 UTC,166
tornadocash,2023-10-01 00:00:00.000000 UTC,293
connext,2023-10-01 00:00:00.000000 UTC,2351
sablier,2022-11-01 00:00:00.000000 UTC,420
rysk-finance,2023-07-01 00:00:00.000000 UTC,702
cowri,2023-10-01 00:00:00.000000 UTC,1821
zerion,2023-12-01 00:00:00.000000 UTC,7683
across,2022-05-01 00:00:00.000000 UTC,2100
stellaxyz,2023-12-01 00:00:00.000000 UTC,193
unsheth,2023-08-01 00:00:00.000000 UTC,1778
umamidao,2023-04-01 00:00:00.000000 UTC,3407
fraxfinance,2022-06-01 00:00:00.000000 UTC,544
thales,2023-03-01 00:00:00.000000 UTC,962
lodestarfinance,2023-05-01 00:00:00.000000 UTC,1228
synapse,2022-12-01 00:00:00.000000 UTC,4051
vesta-protocol,2023-03-01 00:00:00.000000 UTC,9938
woonetwork,2023-03-01 00:00:00.000000 UTC,1688
warden-swap,2022-08-01 00:00:00.000000 UTC,2375
warden-swap,2022-05-01 00:00:00.000000 UTC,436
thales,2023-11-01 00:00:00.000000 UTC,531
eqbtech,2023-07-01 00:00:00.000000 UTC,365
safe-global,2023-03-01 00:00:00.000000 UTC,7434
safe-global,2023-01-01 00:00:00.000000 UTC,5299
safe-global,2022-05-01 00:00:00.000000 UTC,989
cowri,2023-02-01 00:00:00.000000 UTC,6998
orbiter-finance,2024-01-01 00:00:00.000000 UTC,4526
across,2023-06-01 00:00:00.000000 UTC,4396
synapse,2023-09-01 00:00:00.000000 UTC,864
hundred-finance,2022-10-01 00:00:00.000000 UTC,87
celer,2022-07-01 00:00:00.000000 UTC,2772
ragetrade,2023-09-01 00:00:00.000000 UTC,1804
synapse,2023-06-01 00:00:00.000000 UTC,8636
tracer-protocol,2022-12-01 00:00:00.000000 UTC,902
silo-finance,2023-06-01 00:00:00.000000 UTC,1299
angle-protocol,2022-11-01 00:00:00.000000 UTC,1339
curve,2022-02-01 00:00:00.000000 UTC,1786
dolomite-exchange,2024-01-01 00:00:00.000000 UTC,311
olive-finance,2023-02-01 00:00:00.000000 UTC,7571
gravita-protocol,2023-10-01 00:00:00.000000 UTC,1098
safe-global,2023-10-01 00:00:00.000000 UTC,949
saddle-finance,2022-01-01 00:00:00.000000 UTC,137
connext,2022-05-01 00:00:00.000000 UTC,2404
winrprotocol,2023-05-01 00:00:00.000000 UTC,3151
maker-dao,2022-02-01 00:00:00.000000 UTC,2051
shipyard-software,2023-04-01 00:00:00.000000 UTC,1207
jones-dao,2023-12-01 00:00:00.000000 UTC,1239
omnisea,2023-04-01 00:00:00.000000 UTC,195
dopex-io,2022-04-01 00:00:00.000000 UTC,1824
revert-finance,2022-11-01 00:00:00.000000 UTC,166
hop-protocol,2024-01-01 00:00:00.000000 UTC,1507
vesta-protocol,2022-08-01 00:00:00.000000 UTC,1040
fuji-finance,2023-07-01 00:00:00.000000 UTC,191
eqbtech,2023-10-01 00:00:00.000000 UTC,325
beethoven-x,2021-12-01 00:00:00.000000 UTC,1600
umbra,2023-05-01 00:00:00.000000 UTC,3985
dopex-io,2021-11-01 00:00:00.000000 UTC,1282
olive-finance,2023-03-01 00:00:00.000000 UTC,1123
pendle-finance,2023-03-01 00:00:00.000000 UTC,414
transit-finance,2022-12-01 00:00:00.000000 UTC,241
fraxfinance,2023-04-01 00:00:00.000000 UTC,5678
sperax,2022-06-01 00:00:00.000000 UTC,425
dodoex,2023-05-01 00:00:00.000000 UTC,185
arbswap-official,2023-01-01 00:00:00.000000 UTC,1514
chronosex,2023-10-01 00:00:00.000000 UTC,1728
overnight,2024-01-01 00:00:00.000000 UTC,301
arbswap-official,2023-08-01 00:00:00.000000 UTC,908
granary,2023-09-01 00:00:00.000000 UTC,137
rysk-finance,2023-03-01 00:00:00.000000 UTC,16
arbitrumexchange,2023-05-01 00:00:00.000000 UTC,1211
guildxyz,2023-02-01 00:00:00.000000 UTC,6385
arb-id,2022-12-01 00:00:00.000000 UTC,5471
aura,2023-08-01 00:00:00.000000 UTC,1660
premiafinance,2023-04-01 00:00:00.000000 UTC,171
vesta-protocol,2022-04-01 00:00:00.000000 UTC,689
wombat-exchange,2023-12-01 00:00:00.000000 UTC,457
biconomy,2022-11-01 00:00:00.000000 UTC,3195
synapse,2022-01-01 00:00:00.000000 UTC,1845
revert-finance,2023-04-01 00:00:00.000000 UTC,554
abracadabra,2022-10-01 00:00:00.000000 UTC,74
zerion,2022-10-01 00:00:00.000000 UTC,4597
guildxyz,2023-03-01 00:00:00.000000 UTC,4508
equilibria-xyz,2023-07-01 00:00:00.000000 UTC,1794
umamidao,2022-06-01 00:00:00.000000 UTC,913
apex-protocol,2023-04-01 00:00:00.000000 UTC,590
pendle-finance,2023-12-01 00:00:00.000000 UTC,433
across,2022-01-01 00:00:00.000000 UTC,682
slingshot,2022-01-01 00:00:00.000000 UTC,1444
biconomy,2023-04-01 00:00:00.000000 UTC,1611
hats-finance,2023-11-01 00:00:00.000000 UTC,22
jones-dao,2022-03-01 00:00:00.000000 UTC,743
dexfinance-com,2023-10-01 00:00:00.000000 UTC,161
livepeer,2022-05-01 00:00:00.000000 UTC,469
tornadocash,2023-12-01 00:00:00.000000 UTC,311
sperax,2022-02-01 00:00:00.000000 UTC,278
vesta-protocol,2024-01-01 00:00:00.000000 UTC,1069
zigzagexchange,2023-04-01 00:00:00.000000 UTC,985
xy-finance,2024-01-01 00:00:00.000000 UTC,2550
orbiter-finance,2022-10-01 00:00:00.000000 UTC,3040
tarot-finance,2023-09-01 00:00:00.000000 UTC,139
connext,2022-10-01 00:00:00.000000 UTC,1626
plutusdao,2023-10-01 00:00:00.000000 UTC,3504
mummy-finance,2023-08-01 00:00:00.000000 UTC,1849
sablier,2022-05-01 00:00:00.000000 UTC,422
saddle-finance,2022-02-01 00:00:00.000000 UTC,154
rysk-finance,2023-11-01 00:00:00.000000 UTC,942
hop-protocol,2023-10-01 00:00:00.000000 UTC,1943
celer,2023-07-01 00:00:00.000000 UTC,1820
pendle-finance,2024-01-01 00:00:00.000000 UTC,565
xy-finance,2023-04-01 00:00:00.000000 UTC,362
wido,2023-08-01 00:00:00.000000 UTC,191
hundred-finance,2022-03-01 00:00:00.000000 UTC,110
apex-protocol,2023-11-01 00:00:00.000000 UTC,963
1-inch,2022-02-01 00:00:00.000000 UTC,87
connext,2022-12-01 00:00:00.000000 UTC,1413
shipyard-software,2023-03-01 00:00:00.000000 UTC,1340
router-protocol,2023-02-01 00:00:00.000000 UTC,97
synapse,2021-10-01 00:00:00.000000 UTC,462
olive-finance,2023-06-01 00:00:00.000000 UTC,274
connext,2021-11-01 00:00:00.000000 UTC,1240
tracer-protocol,2023-02-01 00:00:00.000000 UTC,550
hundred-finance,2022-01-01 00:00:00.000000 UTC,752
