slug,month,maus
axelar,2022-10-01 00:00:00.000000 UTC,52
synfutures,2022-08-01 00:00:00.000000 UTC,7
vendorfinance,2023-06-01 00:00:00.000000 UTC,9
third-web,2022-12-01 00:00:00.000000 UTC,29
fuji-finance,2024-01-01 00:00:00.000000 UTC,11
synfutures,2022-06-01 00:00:00.000000 UTC,3
synfutures,2021-10-01 00:00:00.000000 UTC,12
synfutures,2022-11-01 00:00:00.000000 UTC,5
insuredao,2022-12-01 00:00:00.000000 UTC,6
defiedge,2023-04-01 00:00:00.000000 UTC,9
openocean-finance,2023-11-01 00:00:00.000000 UTC,10
gelato,2023-04-01 00:00:00.000000 UTC,9
saddle-finance,2024-01-01 00:00:00.000000 UTC,3
arbirise,2022-05-01 00:00:00.000000 UTC,3
mindgames-io,2023-10-01 00:00:00.000000 UTC,9
mindgames-io,2024-01-01 00:00:00.000000 UTC,16
fuji-finance,2023-11-01 00:00:00.000000 UTC,14
hedgey-finance,2023-10-01 00:00:00.000000 UTC,7
defiedge,2023-02-01 00:00:00.000000 UTC,18
vendorfinance,2023-10-01 00:00:00.000000 UTC,4
gelato,2022-09-01 00:00:00.000000 UTC,2
dinngo,2023-06-01 00:00:00.000000 UTC,30
open-sea,2022-08-01 00:00:00.000000 UTC,1
aloe-ii,2023-04-01 00:00:00.000000 UTC,10
tornadocash,2021-09-01 00:00:00.000000 UTC,4
arbirise,2022-06-01 00:00:00.000000 UTC,4
vendorfinance,2023-12-01 00:00:00.000000 UTC,2
valioxyz,2023-12-01 00:00:00.000000 UTC,16
arrakis-finance,2023-09-01 00:00:00.000000 UTC,4
aura,2023-04-01 00:00:00.000000 UTC,3
symbiosis-finance,2024-01-01 00:00:00.000000 UTC,8
stakedao,2021-12-01 00:00:00.000000 UTC,7
synfutures,2021-08-01 00:00:00.000000 UTC,2
synfutures,2022-02-01 00:00:00.000000 UTC,6
fortressfinance,2023-03-01 00:00:00.000000 UTC,3
y2k-finance,2022-10-01 00:00:00.000000 UTC,1
gelato,2021-11-01 00:00:00.000000 UTC,2
tracer-protocol,2023-10-01 00:00:00.000000 UTC,8
timeswap-labs,2023-12-01 00:00:00.000000 UTC,8
0x-splits,2023-02-01 00:00:00.000000 UTC,8
flux-protocol,2022-02-01 00:00:00.000000 UTC,8
fortressfinance,2023-09-01 00:00:00.000000 UTC,3
hashflow,2023-12-01 00:00:00.000000 UTC,4
timeswap-labs,2024-01-01 00:00:00.000000 UTC,3
balancer,2023-12-01 00:00:00.000000 UTC,31
rubicon,2023-06-01 00:00:00.000000 UTC,4
defiedge,2023-09-01 00:00:00.000000 UTC,10
hashflow,2023-11-01 00:00:00.000000 UTC,5
qidao-mai-finance,2022-01-01 00:00:00.000000 UTC,4
pyth-network,2023-04-01 00:00:00.000000 UTC,2
notional-finance,2023-08-01 00:00:00.000000 UTC,7
flux-protocol,2022-07-01 00:00:00.000000 UTC,2
valioxyz,2024-01-01 00:00:00.000000 UTC,7
anyswap,2022-08-01 00:00:00.000000 UTC,1
openocean-finance,2023-06-01 00:00:00.000000 UTC,1
gelato,2022-01-01 00:00:00.000000 UTC,2
hashflow,2023-10-01 00:00:00.000000 UTC,3
pyth-network,2024-01-01 00:00:00.000000 UTC,13
slingshot,2021-10-01 00:00:00.000000 UTC,8
debridge-finance,2022-12-01 00:00:00.000000 UTC,5
niftyswap,2022-06-01 00:00:00.000000 UTC,1
d-hedge,2024-01-01 00:00:00.000000 UTC,10
synfutures,2022-12-01 00:00:00.000000 UTC,6
rabbithole,2023-08-01 00:00:00.000000 UTC,2
chainlink,2022-06-01 00:00:00.000000 UTC,3
plutusdao,2022-04-01 00:00:00.000000 UTC,1
gelato,2023-03-01 00:00:00.000000 UTC,4
defi-llama,2023-08-01 00:00:00.000000 UTC,5
pyth-network,2023-09-01 00:00:00.000000 UTC,4
pyth-network,2022-09-01 00:00:00.000000 UTC,1
gammastrategies,2023-12-01 00:00:00.000000 UTC,2
flux-protocol,2023-02-01 00:00:00.000000 UTC,3
aperture-finance,2022-07-01 00:00:00.000000 UTC,1
aloe-ii,2023-08-01 00:00:00.000000 UTC,1
range-protocol,2023-10-01 00:00:00.000000 UTC,1
ren,2022-07-01 00:00:00.000000 UTC,1
arbirise,2023-06-01 00:00:00.000000 UTC,2
fortressfinance,2023-11-01 00:00:00.000000 UTC,2
rainbow,2022-05-01 00:00:00.000000 UTC,2
rabbithole,2023-09-01 00:00:00.000000 UTC,1
flux-protocol,2022-10-01 00:00:00.000000 UTC,5
range-protocol,2023-05-01 00:00:00.000000 UTC,1
slingshot,2023-06-01 00:00:00.000000 UTC,1
defi-llama,2022-09-01 00:00:00.000000 UTC,1
niftyswap,2023-12-01 00:00:00.000000 UTC,1
takafuldao,2023-05-01 00:00:00.000000 UTC,1
aloe-ii,2023-12-01 00:00:00.000000 UTC,2
fortressfinance,2023-10-01 00:00:00.000000 UTC,1
arrakis-finance,2023-06-01 00:00:00.000000 UTC,1
solady-vectorized,2023-04-01 00:00:00.000000 UTC,2
neondapp,2023-11-01 00:00:00.000000 UTC,1
rainbow,2022-06-01 00:00:00.000000 UTC,2
synfutures,2021-11-01 00:00:00.000000 UTC,2
arbirise,2022-09-01 00:00:00.000000 UTC,3
rainbow,2022-03-01 00:00:00.000000 UTC,1
tornadocash,2022-06-01 00:00:00.000000 UTC,1
tornadocash,2021-12-01 00:00:00.000000 UTC,1
chainlink,2023-06-01 00:00:00.000000 UTC,1
niftyswap,2023-06-01 00:00:00.000000 UTC,1
uxuycom,2023-03-01 00:00:00.000000 UTC,1
premiafinance,2024-01-01 00:00:00.000000 UTC,628
synapse,2023-12-01 00:00:00.000000 UTC,1380
velaexchange,2023-05-01 00:00:00.000000 UTC,4612
velaexchange,2023-03-01 00:00:00.000000 UTC,51703
treasureproject,2023-01-01 00:00:00.000000 UTC,15742
treasureproject,2023-10-01 00:00:00.000000 UTC,7527
treasureproject,2022-04-01 00:00:00.000000 UTC,19680
sushi,2023-11-01 00:00:00.000000 UTC,115578
gmx-io,2022-08-01 00:00:00.000000 UTC,19433
gmx-io,2023-04-01 00:00:00.000000 UTC,33222
layer-zero,2023-12-01 00:00:00.000000 UTC,50331
layer-zero,2023-05-01 00:00:00.000000 UTC,406453
thales,2023-07-01 00:00:00.000000 UTC,461
hop-protocol,2021-09-01 00:00:00.000000 UTC,1877
1-inch,2023-11-01 00:00:00.000000 UTC,79534
lifinance,2023-03-01 00:00:00.000000 UTC,18174
lifinance,2024-01-01 00:00:00.000000 UTC,47146
lifinance,2023-11-01 00:00:00.000000 UTC,27380
lifinance,2023-10-01 00:00:00.000000 UTC,20963
celer,2023-02-01 00:00:00.000000 UTC,2872
angle-protocol,2023-07-01 00:00:00.000000 UTC,47039
yieldprotocol,2022-05-01 00:00:00.000000 UTC,9359
yieldprotocol,2022-10-01 00:00:00.000000 UTC,5154
sushi,2021-12-01 00:00:00.000000 UTC,16755
sushi,2023-02-01 00:00:00.000000 UTC,134106
sushi,2023-03-01 00:00:00.000000 UTC,117937
sushi,2022-05-01 00:00:00.000000 UTC,31962
plutusdao,2023-01-01 00:00:00.000000 UTC,17416
gainsnetwork,2024-01-01 00:00:00.000000 UTC,8860
gainsnetwork,2023-12-01 00:00:00.000000 UTC,4827
sperax,2023-04-01 00:00:00.000000 UTC,6503
radiant-capital,2024-01-01 00:00:00.000000 UTC,21604
radiant-capital,2023-11-01 00:00:00.000000 UTC,29001
radiant-capital,2023-05-01 00:00:00.000000 UTC,50879
livepeer,2023-12-01 00:00:00.000000 UTC,803
socket,2023-12-01 00:00:00.000000 UTC,79904
socket,2024-01-01 00:00:00.000000 UTC,53173
socket,2023-07-01 00:00:00.000000 UTC,230741
socket,2023-04-01 00:00:00.000000 UTC,106814
tigris-trade,2023-09-01 00:00:00.000000 UTC,1026
gmx-io,2023-09-01 00:00:00.000000 UTC,34706
camelotlabs,2024-01-01 00:00:00.000000 UTC,35185
camelotlabs,2023-10-01 00:00:00.000000 UTC,9610
uniswap,2023-07-01 00:00:00.000000 UTC,139621
uniswap,2023-08-01 00:00:00.000000 UTC,122115
uniswap,2023-09-01 00:00:00.000000 UTC,96138
ragetrade,2023-03-01 00:00:00.000000 UTC,18303
uniswap,2023-02-01 00:00:00.000000 UTC,150512
stargate-finance,2023-07-01 00:00:00.000000 UTC,615197
stargate-finance,2022-12-01 00:00:00.000000 UTC,135204
stargate-finance,2023-01-01 00:00:00.000000 UTC,106258
stargate-finance,2023-03-01 00:00:00.000000 UTC,125967
lido,2023-08-01 00:00:00.000000 UTC,6884
lido,2023-07-01 00:00:00.000000 UTC,7231
velaexchange,2024-01-01 00:00:00.000000 UTC,9937
velaexchange,2023-08-01 00:00:00.000000 UTC,6097
kyber-swap,2023-10-01 00:00:00.000000 UTC,10177
kyber-swap,2023-03-01 00:00:00.000000 UTC,22970
kyber-swap,2023-09-01 00:00:00.000000 UTC,8518
kyber-swap,2023-12-01 00:00:00.000000 UTC,11833
cowri,2022-11-01 00:00:00.000000 UTC,16374
hop-protocol,2021-12-01 00:00:00.000000 UTC,2671
stargate-finance,2022-07-01 00:00:00.000000 UTC,5452
uniswap,2022-11-01 00:00:00.000000 UTC,147304
uniswap,2022-10-01 00:00:00.000000 UTC,122330
uniswap,2022-12-01 00:00:00.000000 UTC,132649
camelotlabs,2023-09-01 00:00:00.000000 UTC,9516
overnight,2023-03-01 00:00:00.000000 UTC,1054
thales,2023-08-01 00:00:00.000000 UTC,523
mindgames-io,2023-04-01 00:00:00.000000 UTC,605
aave,2023-02-01 00:00:00.000000 UTC,20655
aave,2022-11-01 00:00:00.000000 UTC,45212
apex-protocol,2023-03-01 00:00:00.000000 UTC,1172
curve,2022-08-01 00:00:00.000000 UTC,9949
arb-id,2023-10-01 00:00:00.000000 UTC,2906
woonetwork,2024-01-01 00:00:00.000000 UTC,68376
radiant-capital,2023-12-01 00:00:00.000000 UTC,22421
lodestarfinance,2024-01-01 00:00:00.000000 UTC,1182
lodestarfinance,2023-11-01 00:00:00.000000 UTC,2803
socket,2023-02-01 00:00:00.000000 UTC,14263
aura,2023-07-01 00:00:00.000000 UTC,666
silo-finance,2024-01-01 00:00:00.000000 UTC,1778
woonetwork,2023-11-01 00:00:00.000000 UTC,32157
metamask,2024-01-01 00:00:00.000000 UTC,38030
socket,2023-03-01 00:00:00.000000 UTC,29216
ramsesexchange,2023-03-01 00:00:00.000000 UTC,6821
gmx-io,2022-01-01 00:00:00.000000 UTC,4047
traderjoe-xyz,2023-09-01 00:00:00.000000 UTC,26967
transit-finance,2023-05-01 00:00:00.000000 UTC,18016
transit-finance,2024-01-01 00:00:00.000000 UTC,1981
across,2022-11-01 00:00:00.000000 UTC,21075
across,2023-01-01 00:00:00.000000 UTC,4607
beethoven-x,2022-12-01 00:00:00.000000 UTC,50795
beethoven-x,2023-05-01 00:00:00.000000 UTC,18394
beethoven-x,2023-04-01 00:00:00.000000 UTC,29508
magpiexyz,2023-06-01 00:00:00.000000 UTC,566
treasureproject,2022-02-01 00:00:00.000000 UTC,20091
uniswap,2023-12-01 00:00:00.000000 UTC,116118
velaexchange,2023-07-01 00:00:00.000000 UTC,12421
velaexchange,2023-11-01 00:00:00.000000 UTC,5640
hop-protocol,2023-04-01 00:00:00.000000 UTC,6997
chronosex,2023-06-01 00:00:00.000000 UTC,4628
fraxfinance,2023-12-01 00:00:00.000000 UTC,2807
chronosex,2023-09-01 00:00:00.000000 UTC,2075
zerion,2023-02-01 00:00:00.000000 UTC,5001
orbiter-finance,2023-11-01 00:00:00.000000 UTC,22710
orbiter-finance,2023-02-01 00:00:00.000000 UTC,4419
orbiter-finance,2023-08-01 00:00:00.000000 UTC,40969
maker-dao,2022-05-01 00:00:00.000000 UTC,15772
maker-dao,2022-04-01 00:00:00.000000 UTC,5868
paraswap,2023-12-01 00:00:00.000000 UTC,44114
paraswap,2023-05-01 00:00:00.000000 UTC,9775
paraswap,2023-04-01 00:00:00.000000 UTC,20709
zeroex,2023-03-01 00:00:00.000000 UTC,25016
zeroex,2023-05-01 00:00:00.000000 UTC,20001
zeroex,2024-01-01 00:00:00.000000 UTC,22863
zeroex,2023-02-01 00:00:00.000000 UTC,17958
connext,2023-05-01 00:00:00.000000 UTC,9796
elk-finance,2022-10-01 00:00:00.000000 UTC,11327
angle-protocol,2023-05-01 00:00:00.000000 UTC,8216
synapse,2022-09-01 00:00:00.000000 UTC,8091
velaexchange,2023-01-01 00:00:00.000000 UTC,1922
jones-dao,2023-06-01 00:00:00.000000 UTC,790
1-inch,2022-01-01 00:00:00.000000 UTC,379
umamidao,2022-08-01 00:00:00.000000 UTC,2400
pancakeswap,2023-11-01 00:00:00.000000 UTC,11216
treasureproject,2022-11-01 00:00:00.000000 UTC,18702
livepeer,2022-11-01 00:00:00.000000 UTC,5902
pancakeswap,2023-09-01 00:00:00.000000 UTC,12918
pancakeswap,2024-01-01 00:00:00.000000 UTC,11453
chronosex,2023-08-01 00:00:00.000000 UTC,2968
voltz-protocol,2023-04-01 00:00:00.000000 UTC,2488
lido,2023-03-01 00:00:00.000000 UTC,13105
lido,2023-02-01 00:00:00.000000 UTC,16613
cowri,2022-04-01 00:00:00.000000 UTC,34953
vesta-protocol,2023-04-01 00:00:00.000000 UTC,8092
hop-protocol,2023-06-01 00:00:00.000000 UTC,3045
curve,2023-01-01 00:00:00.000000 UTC,12350
vesta-protocol,2023-02-01 00:00:00.000000 UTC,7906
socket,2022-11-01 00:00:00.000000 UTC,16013
gmx-io,2022-04-01 00:00:00.000000 UTC,6261
aave,2023-08-01 00:00:00.000000 UTC,8782
across,2022-07-01 00:00:00.000000 UTC,14062
beethoven-x,2022-01-01 00:00:00.000000 UTC,1466
magpiexyz,2024-01-01 00:00:00.000000 UTC,937
vertex-protocol,2024-01-01 00:00:00.000000 UTC,4240
arbswap-official,2023-03-01 00:00:00.000000 UTC,14546
holograph,2023-07-01 00:00:00.000000 UTC,51048
maker-dao,2022-11-01 00:00:00.000000 UTC,44128
kyber-swap,2023-08-01 00:00:00.000000 UTC,7366
connext,2023-04-01 00:00:00.000000 UTC,4067
umbra,2023-10-01 00:00:00.000000 UTC,4306
fraxfinance,2022-09-01 00:00:00.000000 UTC,4918
omni-swap,2023-07-01 00:00:00.000000 UTC,18468
tigris-trade,2023-07-01 00:00:00.000000 UTC,2128
dodoex,2022-05-01 00:00:00.000000 UTC,8568
plutusdao,2022-09-01 00:00:00.000000 UTC,2467
hop-protocol,2022-02-01 00:00:00.000000 UTC,1217
biconomy,2023-09-01 00:00:00.000000 UTC,145
abracadabra,2023-08-01 00:00:00.000000 UTC,18217
magpiexyz,2023-07-01 00:00:00.000000 UTC,1065
connext,2022-08-01 00:00:00.000000 UTC,1682
zerion,2022-05-01 00:00:00.000000 UTC,5820
across,2021-12-01 00:00:00.000000 UTC,1990
orbiter-finance,2022-11-01 00:00:00.000000 UTC,4402
orbiter-finance,2022-12-01 00:00:00.000000 UTC,5710
across,2023-11-01 00:00:00.000000 UTC,2151
slingshot,2022-05-01 00:00:00.000000 UTC,21169
elk-finance,2022-11-01 00:00:00.000000 UTC,1003
umbra,2023-01-01 00:00:00.000000 UTC,2236
umbra,2022-10-01 00:00:00.000000 UTC,3659
gmx-io,2023-05-01 00:00:00.000000 UTC,17896
kyber-swap,2022-05-01 00:00:00.000000 UTC,207
velaexchange,2023-12-01 00:00:00.000000 UTC,4530
jones-dao,2022-08-01 00:00:00.000000 UTC,1735
celer,2023-04-01 00:00:00.000000 UTC,5990
yieldprotocol,2023-04-01 00:00:00.000000 UTC,2118
synapse,2022-02-01 00:00:00.000000 UTC,4212
tracer-protocol,2022-10-01 00:00:00.000000 UTC,1305
vesta-protocol,2023-10-01 00:00:00.000000 UTC,1673
lido,2023-10-01 00:00:00.000000 UTC,5898
dodoex,2022-02-01 00:00:00.000000 UTC,621
chronosex,2023-07-01 00:00:00.000000 UTC,3448
fraxfinance,2023-11-01 00:00:00.000000 UTC,1830
mux-world,2023-12-01 00:00:00.000000 UTC,3146
mux-world,2023-07-01 00:00:00.000000 UTC,1987
ramsesexchange,2023-12-01 00:00:00.000000 UTC,1891
gmx-io,2022-02-01 00:00:00.000000 UTC,2602
abracadabra,2021-11-01 00:00:00.000000 UTC,903
axelar,2023-08-01 00:00:00.000000 UTC,7669
sperax,2022-03-01 00:00:00.000000 UTC,263
zerion,2023-06-01 00:00:00.000000 UTC,8467
winrprotocol,2023-11-01 00:00:00.000000 UTC,4428
kyber-swap,2023-05-01 00:00:00.000000 UTC,6505
elk-finance,2022-09-01 00:00:00.000000 UTC,4550
rainbow,2024-01-01 00:00:00.000000 UTC,6230
arb-id,2023-01-01 00:00:00.000000 UTC,11498
jones-dao,2024-01-01 00:00:00.000000 UTC,1703
jones-dao,2022-02-01 00:00:00.000000 UTC,2750
hop-protocol,2021-11-01 00:00:00.000000 UTC,3426
lifinance,2022-10-01 00:00:00.000000 UTC,6776
synapse,2022-06-01 00:00:00.000000 UTC,2555
vesta-protocol,2022-09-01 00:00:00.000000 UTC,11968
eqbtech,2024-01-01 00:00:00.000000 UTC,624
transit-finance,2023-04-01 00:00:00.000000 UTC,5883
across,2023-02-01 00:00:00.000000 UTC,4960
elk-finance,2023-01-01 00:00:00.000000 UTC,474
hop-protocol,2023-11-01 00:00:00.000000 UTC,1712
umamidao,2023-03-01 00:00:00.000000 UTC,5101
yieldprotocol,2023-05-01 00:00:00.000000 UTC,664
abracadabra,2023-11-01 00:00:00.000000 UTC,2627
voltz-protocol,2023-07-01 00:00:00.000000 UTC,2360
kyber-swap,2023-02-01 00:00:00.000000 UTC,8399
hop-protocol,2022-07-01 00:00:00.000000 UTC,1478
dodoex,2022-09-01 00:00:00.000000 UTC,3873
mux-world,2023-08-01 00:00:00.000000 UTC,1410
compound-finance,2023-12-01 00:00:00.000000 UTC,1056
safe-global,2023-07-01 00:00:00.000000 UTC,2238
ramsesexchange,2023-08-01 00:00:00.000000 UTC,1396
gmx-io,2021-11-01 00:00:00.000000 UTC,3278
gmx-io,2021-10-01 00:00:00.000000 UTC,3180
axelar,2023-10-01 00:00:00.000000 UTC,6190
zerion,2022-07-01 00:00:00.000000 UTC,4653
plutusdao,2022-08-01 00:00:00.000000 UTC,2102
curve,2023-07-01 00:00:00.000000 UTC,2289
mean-finance,2023-01-01 00:00:00.000000 UTC,6520
across,2022-06-01 00:00:00.000000 UTC,11775
lodestarfinance,2023-03-01 00:00:00.000000 UTC,1213
arbswap-official,2023-11-01 00:00:00.000000 UTC,893
rango-exchange,2023-06-01 00:00:00.000000 UTC,558
livepeer,2022-04-01 00:00:00.000000 UTC,540
synapse,2022-03-01 00:00:00.000000 UTC,3342
saddle-finance,2023-01-01 00:00:00.000000 UTC,296
silo-finance,2023-07-01 00:00:00.000000 UTC,1184
biconomy,2023-03-01 00:00:00.000000 UTC,1132
plutusdao,2023-06-01 00:00:00.000000 UTC,4034
sperax,2023-10-01 00:00:00.000000 UTC,990
rainbow,2023-10-01 00:00:00.000000 UTC,477
wormhole,2023-01-01 00:00:00.000000 UTC,75
kyber-swap,2022-10-01 00:00:00.000000 UTC,2689
dexfinance-com,2023-08-01 00:00:00.000000 UTC,239
third-web,2023-12-01 00:00:00.000000 UTC,1661
warden-swap,2022-11-01 00:00:00.000000 UTC,2090
de-bank,2023-11-01 00:00:00.000000 UTC,2546
curve,2023-10-01 00:00:00.000000 UTC,1134
third-web,2023-04-01 00:00:00.000000 UTC,761
sperax,2023-12-01 00:00:00.000000 UTC,1132
zerion,2022-03-01 00:00:00.000000 UTC,678
revert-finance,2024-01-01 00:00:00.000000 UTC,287
maker-dao,2021-09-01 00:00:00.000000 UTC,615
overnight,2023-10-01 00:00:00.000000 UTC,924
saddle-finance,2023-03-01 00:00:00.000000 UTC,167
savvy-finance,2023-11-01 00:00:00.000000 UTC,627
mummy-finance,2023-07-01 00:00:00.000000 UTC,5244
curve,2023-04-01 00:00:00.000000 UTC,4275
abracadabra,2022-01-01 00:00:00.000000 UTC,1061
umamidao,2022-07-01 00:00:00.000000 UTC,899
solv-finance,2023-12-01 00:00:00.000000 UTC,740
sperax,2024-01-01 00:00:00.000000 UTC,950
sperax,2022-09-01 00:00:00.000000 UTC,2815
savvy-finance,2023-07-01 00:00:00.000000 UTC,83
solv-finance,2023-11-01 00:00:00.000000 UTC,1425
apex-protocol,2023-12-01 00:00:00.000000 UTC,408
mummy-finance,2023-09-01 00:00:00.000000 UTC,1131
arbswap-official,2023-10-01 00:00:00.000000 UTC,4236
third-web,2022-10-01 00:00:00.000000 UTC,168
celer,2022-12-01 00:00:00.000000 UTC,1988
lido,2023-05-01 00:00:00.000000 UTC,4882
wormhole,2023-09-01 00:00:00.000000 UTC,1143
bunniapp,2023-12-01 00:00:00.000000 UTC,73
arbswap-official,2023-07-01 00:00:00.000000 UTC,1293
gelato,2023-06-01 00:00:00.000000 UTC,9
abracadabra,2023-05-01 00:00:00.000000 UTC,150
guildxyz,2023-04-01 00:00:00.000000 UTC,801
debridge-finance,2024-01-01 00:00:00.000000 UTC,3843
synapse,2023-05-01 00:00:00.000000 UTC,6500
arb-id,2023-09-01 00:00:00.000000 UTC,707
safe-global,2023-04-01 00:00:00.000000 UTC,1622
celer,2022-06-01 00:00:00.000000 UTC,3874
fraxfinance,2022-05-01 00:00:00.000000 UTC,667
third-web,2023-11-01 00:00:00.000000 UTC,394
umamidao,2023-09-01 00:00:00.000000 UTC,777
elk-finance,2022-12-01 00:00:00.000000 UTC,741
rainbow,2023-11-01 00:00:00.000000 UTC,364
open-sea,2023-10-01 00:00:00.000000 UTC,157
rango-exchange,2023-03-01 00:00:00.000000 UTC,1600
tornadocash,2023-11-01 00:00:00.000000 UTC,924
warden-swap,2023-09-01 00:00:00.000000 UTC,41
rubicon,2023-07-01 00:00:00.000000 UTC,143
safe-global,2022-02-01 00:00:00.000000 UTC,116
debridge-finance,2023-10-01 00:00:00.000000 UTC,375
lodestarfinance,2022-11-01 00:00:00.000000 UTC,1063
wido,2023-10-01 00:00:00.000000 UTC,369
granary,2023-06-01 00:00:00.000000 UTC,436
gammastrategies,2023-06-01 00:00:00.000000 UTC,294
aura,2023-12-01 00:00:00.000000 UTC,570
warden-swap,2023-03-01 00:00:00.000000 UTC,428
abracadabra,2021-10-01 00:00:00.000000 UTC,1483
nifty-kit,2023-05-01 00:00:00.000000 UTC,102
x-dao,2023-11-01 00:00:00.000000 UTC,584
silo-finance,2023-09-01 00:00:00.000000 UTC,833
celer,2022-09-01 00:00:00.000000 UTC,977
voltz-protocol,2023-12-01 00:00:00.000000 UTC,69
dexfinance-com,2024-01-01 00:00:00.000000 UTC,96
curve,2021-11-01 00:00:00.000000 UTC,2073
debridge-finance,2023-11-01 00:00:00.000000 UTC,1333
jones-dao,2022-01-01 00:00:00.000000 UTC,2031
dodoex,2023-04-01 00:00:00.000000 UTC,1105
unsheth,2023-06-01 00:00:00.000000 UTC,820
sablier,2023-08-01 00:00:00.000000 UTC,85
across,2024-01-01 00:00:00.000000 UTC,1612
1-inch,2022-04-01 00:00:00.000000 UTC,94
notional-finance,2023-12-01 00:00:00.000000 UTC,1148
dopex-io,2023-10-01 00:00:00.000000 UTC,1458
cowri,2022-05-01 00:00:00.000000 UTC,3202
vesta-protocol,2022-03-01 00:00:00.000000 UTC,800
rango-exchange,2022-11-01 00:00:00.000000 UTC,1783
premiafinance,2023-12-01 00:00:00.000000 UTC,1518
fraxfinance,2023-01-01 00:00:00.000000 UTC,1460
third-web,2022-11-01 00:00:00.000000 UTC,111
takafuldao,2024-01-01 00:00:00.000000 UTC,38
warden-swap,2023-02-01 00:00:00.000000 UTC,410
umbra,2022-04-01 00:00:00.000000 UTC,637
mean-finance,2023-11-01 00:00:00.000000 UTC,267
arbitrumexchange,2023-10-01 00:00:00.000000 UTC,190
kyber-swap,2022-04-01 00:00:00.000000 UTC,160
voltz-protocol,2023-08-01 00:00:00.000000 UTC,585
voltz-protocol,2024-01-01 00:00:00.000000 UTC,45
threshold-network,2023-10-01 00:00:00.000000 UTC,69
debridge-finance,2023-07-01 00:00:00.000000 UTC,1117
vesta-protocol,2022-07-01 00:00:00.000000 UTC,446
saddle-finance,2022-09-01 00:00:00.000000 UTC,227
beefy-finance,2023-03-01 00:00:00.000000 UTC,198
connext,2022-09-01 00:00:00.000000 UTC,1365
yieldprotocol,2023-06-01 00:00:00.000000 UTC,555
plutusdao,2022-06-01 00:00:00.000000 UTC,524
cowri,2023-09-01 00:00:00.000000 UTC,1581
sablier,2022-12-01 00:00:00.000000 UTC,393
magpiexyz,2023-10-01 00:00:00.000000 UTC,324
sablier,2023-02-01 00:00:00.000000 UTC,267
1-inch,2022-05-01 00:00:00.000000 UTC,107
sperax,2023-07-01 00:00:00.000000 UTC,1095
unsheth,2023-11-01 00:00:00.000000 UTC,519
tarot-finance,2023-08-01 00:00:00.000000 UTC,246
savvy-finance,2023-06-01 00:00:00.000000 UTC,118
elk-finance,2022-05-01 00:00:00.000000 UTC,149
fraxfinance,2022-07-01 00:00:00.000000 UTC,472
across,2022-04-01 00:00:00.000000 UTC,820
elk-finance,2023-09-01 00:00:00.000000 UTC,159
olive-finance,2023-07-01 00:00:00.000000 UTC,215
kromatika-finance,2023-04-01 00:00:00.000000 UTC,160
threshold-network,2023-12-01 00:00:00.000000 UTC,276
granary,2023-04-01 00:00:00.000000 UTC,710
pwnfinance,2023-10-01 00:00:00.000000 UTC,5
eywa-protocol,2023-12-01 00:00:00.000000 UTC,519
fuji-finance,2022-12-01 00:00:00.000000 UTC,826
dexfinance-com,2023-04-01 00:00:00.000000 UTC,268
beamer-bridge,2023-10-01 00:00:00.000000 UTC,16
saddle-finance,2023-08-01 00:00:00.000000 UTC,48
rodeofi,2023-10-01 00:00:00.000000 UTC,332
mux-world,2022-11-01 00:00:00.000000 UTC,638
kromatika-finance,2023-07-01 00:00:00.000000 UTC,56
angle-protocol,2023-01-01 00:00:00.000000 UTC,575
magpiexyz,2023-11-01 00:00:00.000000 UTC,552
openleveragedev,2023-10-01 00:00:00.000000 UTC,58
voltz-protocol,2023-02-01 00:00:00.000000 UTC,735
hundred-finance,2022-12-01 00:00:00.000000 UTC,54
dodoex,2023-06-01 00:00:00.000000 UTC,251
compound-finance,2023-05-01 00:00:00.000000 UTC,337
gammastrategies,2023-07-01 00:00:00.000000 UTC,37
abracadabra,2022-07-01 00:00:00.000000 UTC,76
guildxyz,2023-11-01 00:00:00.000000 UTC,396
pendle-finance,2023-06-01 00:00:00.000000 UTC,572
premiafinance,2023-01-01 00:00:00.000000 UTC,389
revert-finance,2023-08-01 00:00:00.000000 UTC,232
transit-finance,2023-01-01 00:00:00.000000 UTC,174
dinngo,2023-09-01 00:00:00.000000 UTC,116
arbitrumexchange,2023-12-01 00:00:00.000000 UTC,115
apex-protocol,2023-05-01 00:00:00.000000 UTC,523
rysk-finance,2022-09-01 00:00:00.000000 UTC,88
bunniapp,2022-11-01 00:00:00.000000 UTC,18
bond-protocol,2023-09-01 00:00:00.000000 UTC,56
valioxyz,2023-07-01 00:00:00.000000 UTC,51
kromatika-finance,2024-01-01 00:00:00.000000 UTC,58
sablier,2023-09-01 00:00:00.000000 UTC,30
unsheth,2023-12-01 00:00:00.000000 UTC,276
omnisea,2024-01-01 00:00:00.000000 UTC,84
hundred-finance,2023-02-01 00:00:00.000000 UTC,67
voltz-protocol,2023-11-01 00:00:00.000000 UTC,217
eqbtech,2023-05-01 00:00:00.000000 UTC,208
beefy-finance,2021-09-01 00:00:00.000000 UTC,32
safe-global,2021-12-01 00:00:00.000000 UTC,84
warden-swap,2023-11-01 00:00:00.000000 UTC,55
pendle-finance,2023-09-01 00:00:00.000000 UTC,399
arbswap-official,2022-11-01 00:00:00.000000 UTC,478
