date,forecasted_Transaction Count,forecasted_Active Users,forecasted_Unique Users,forecasted_Gas Fees,forecasted_Total Transferred,forecasted_Net Transferred,forecasted_TVL-dforce,forecasted_TVL_opchain-dforce
2024-09-01 00:00:00,0.08479198099810376,0.11529477215732369,0.0470171816530283,1.7685257324727628e-05,0.0,0.0,1022279.8957033982,914277.1599969656
2024-09-02 00:00:00,0.13039085339863316,0.09647142986073266,0.08040825528562752,2.8803337221429368e-05,0.0,0.0,928151.1140989836,979665.6314311717
2024-09-03 00:00:00,0.19223567040577125,0.05092140297721248,0.06732850903152367,1.3291377925433917e-05,0.0,0.0,982233.4959594157,898861.3959845811
2024-09-04 00:00:00,0.2065269636663047,0.1141655963981391,0.06987058557014499,0.0,0.0,0.0,1065508.722049853,977153.6374356784
2024-09-05 00:00:00,0.26978063395802104,0.14281556309143548,0.09423398794735831,0.0,0.0,0.0,954549.1190294623,971322.1666768416
2024-09-06 00:00:00,0.14816370354009953,0.04718967384532029,0.06664305260499448,0.0,0.0,0.0,954188.9591782374,1017551.8475806235
2024-09-07 00:00:00,0.06059021183247295,0.0943998149778818,0.03910605922019678,6.141077930571125e-06,0.0,0.0,989482.1011075482,1007204.7819594481
2024-09-08 00:00:00,0.05242100955562918,0.1051775904860496,0.023873657904709165,5.2483606881929365e-06,0.0,0.0,1023307.1483242271,1016257.6996561111
2024-09-09 00:00:00,0.06983851779025423,0.11434821389429554,0.023480728619769856,5.660448770369359e-06,0.0,0.0,943395.8541816021,994279.5437391294
2024-09-10 00:00:00,0.19656578564020355,0.1295031901357609,0.03355970701872283,0.0,0.0,0.0,988255.1433742624,940066.8030825531
2024-09-11 00:00:00,0.19052017586860215,0.10226967259413267,0.02299236106592733,0.0,0.0,0.0,1005538.5063113199,993964.2826764554
2024-09-12 00:00:00,0.1867806491896816,0.12263707994566445,0.026924563011486546,0.0,0.0,0.0,897922.0885344835,998723.9572206277
2024-09-13 00:00:00,0.08720132981587515,0.12346379005662188,0.07158122523696953,0.0,0.0,0.0,997151.5677840799,923300.3196463553
2024-09-14 00:00:00,0.09519048118175401,0.058032437939815,0.04867089287031091,0.0,0.0,0.0,902735.5963945317,924436.5079349836
2024-09-15 00:00:00,0.13254671328841272,0.06795327954430236,0.05050192028412231,0.0,0.0,0.0,995447.1859357976,986506.0724706287
2024-09-16 00:00:00,0.12103718287003476,0.08843613628498204,0.01890103930968163,0.0,0.0,0.0,924515.6875483874,877509.2845947805
