date,forecasted_Transaction Count,forecasted_Active Users,forecasted_Unique Users,forecasted_Total Transferred,forecasted_Net Transferred,forecasted_TVL
2024-12-17 00:00:00,16.0052935563666,11.534160617349132,4.16001766799842,0.0,0.0,73374802.40097523
2024-12-18 00:00:00,9.182679975402891,16.477090362140093,3.799416487985687,0.0,0.0,73909840.6964854
2024-12-19 00:00:00,25.29297811496382,11.638295240580566,2.874914222072545,0.0,0.0,76802492.44401282
2024-12-20 00:00:00,20.158542911057037,12.545217343505625,3.111831936817768,0.0,0.0,77520057.62299351
2024-12-21 00:00:00,14.339591525914633,13.742100485750314,2.354323000596023,0.0,0.0,85211261.25369307
2024-12-22 00:00:00,15.195242514770005,13.209856354763597,3.3181653808382223,0.0,0.0,75514583.45851076
2024-12-23 00:00:00,15.830978838247981,7.114136898422151,2.2409474718210736,0.0,0.0,81473822.95306258
2024-12-24 00:00:00,19.561076373800926,6.885703518767428,2.529718190859962,0.0,0.0,81669675.4836851
2024-12-25 00:00:00,22.754358445654717,13.032993553887863,2.1985755318791247,0.0,0.0,83434749.72739734
2024-12-25 20:51:59,15.356714913734276,12.796309743108905,2.8728241532832217,0.0,0.0,89400907.91485295
2024-12-26 00:00:00,18.550567611739332,10.770662654320022,2.268601571912998,0.0,0.0,78999316.9859942
2024-12-27 00:00:00,16.063837957090353,12.08493104737038,3.9370199109564963,0.0,0.0,81197674.14022677
2024-12-28 00:00:00,15.270663434167037,11.773676166303078,3.105640198178539,0.0,0.0,82051671.58410105
2024-12-29 00:00:00,17.757459862929824,16.260378036047037,2.539259661776911,0.0,0.0,76832074.5290495
