transaction_date,address,transaction_cnt,active_users,total_transferred,unique_users,total_transferred_in_tokens,cum_transferred
2024-11-09,0x343910697c03477e5cc0d386ffa5133d1a827ad7,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-10,0x343910697c03477e5cc0d386ffa5133d1a827ad7,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-11,0x343910697c03477e5cc0d386ffa5133d1a827ad7,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-12,0x343910697c03477e5cc0d386ffa5133d1a827ad7,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-13,0x343910697c03477e5cc0d386ffa5133d1a827ad7,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-14,0x343910697c03477e5cc0d386ffa5133d1a827ad7,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-15,0x343910697c03477e5cc0d386ffa5133d1a827ad7,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-16,0x343910697c03477e5cc0d386ffa5133d1a827ad7,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-17,0x343910697c03477e5cc0d386ffa5133d1a827ad7,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-18,0x343910697c03477e5cc0d386ffa5133d1a827ad7,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-19,0x343910697c03477e5cc0d386ffa5133d1a827ad7,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-20,0x343910697c03477e5cc0d386ffa5133d1a827ad7,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-21,0x343910697c03477e5cc0d386ffa5133d1a827ad7,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-22,0x343910697c03477e5cc0d386ffa5133d1a827ad7,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-23,0x343910697c03477e5cc0d386ffa5133d1a827ad7,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-24,0x343910697c03477e5cc0d386ffa5133d1a827ad7,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-25,0x343910697c03477e5cc0d386ffa5133d1a827ad7,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-26,0x343910697c03477e5cc0d386ffa5133d1a827ad7,0.0,0.0,0.0,0.0,0.0,0.0
