date,forecasted_Transaction Count,forecasted_Active Users,forecasted_Unique Users,forecasted_Gas Fees,forecasted_Total Transferred,forecasted_Net Transferred,forecasted_TVL-velodrome,forecasted_TVL_opchain-velodrome,forecasted_TVL-velodrome_v1_protocol,forecasted_TVL_opchain-velodrome_v1_protocol,forecasted_TVL-velodrome_v2_protocol,forecasted_TVL_opchain-velodrome_v2_protocol,forecasted_TVL-velodrome_v3_protocol,forecasted_TVL_opchain-velodrome_v3_protocol
2024-09-01 00:00:00,0.8964764282117429,0.5797092575193793,0.035233785519033625,0.0,0.0,0.0,80343970.2410674,81937276.36278796,1160899.0243972288,1146267.0979182175,81577554.99635725,77984042.73073126,3318584.3713035327,278334.56089516194
2024-09-02 00:00:00,0.9494488814810977,0.3294262944922811,0.020013469739957008,0.0,0.0,0.0,91560555.18831529,76649755.72255653,1220521.9951442725,1051336.3814669594,97406318.65300202,84423673.73861155,3096075.0236530276,-977572.8379109378
2024-09-03 00:00:00,0.47285730751560906,0.39962363079157853,0.04269512184976176,0.0,0.0,0.0,89186489.61213909,83637313.47207431,1172222.265604059,1219322.0099063118,88646478.73130657,89447914.80529833,3276904.5282022846,559998.0941860398
2024-09-04 00:00:00,0.473860761342451,0.42212421073767,0.03343748142304623,0.0006407917811615124,0.0,0.0,92343579.71331461,79080155.19411416,1260595.9476281034,1256264.1447570182,93130076.09477653,83657471.33760998,3321900.210906661,-675874.225253969
2024-09-05 00:00:00,0.4242901634047548,0.5612340599051324,0.02402997662073373,0.0007702354032134304,0.0,0.0,87524535.27743948,78648765.83928233,1085202.3667794748,1153477.2061713727,96020577.07629952,81958834.97671305,3357180.6701962366,-505440.66216794815
2024-09-06 00:00:00,0.4887949241448,0.273915677168856,0.05223680436121941,0.0005070566509083117,0.0,0.0,87839507.09791261,79460344.00961205,1259853.3423161593,1175812.4836871182,88182820.09306964,78418486.86690451,3550520.055540349,-1196347.1793030393
2024-09-07 00:00:00,0.4354774063333134,0.35686579989169315,0.03882956193588899,0.00030912323003719927,0.0,0.0,84268198.12116893,71278562.14904837,1000283.1544765508,1122516.7629868689,86463868.02520482,66066047.17203684,3803808.772387321,-3278996.1103388467
2024-09-08 00:00:00,0.46426669080858207,0.3426949768644627,0.023647598469897044,0.0004530049316160565,0.0,0.0,90615009.5177987,71959584.88026606,1252711.923475944,1209608.24025314,93593898.382129,72580924.84444284,3808643.9309706874,-2408540.0943400296
2024-09-09 00:00:00,0.27764027771464006,0.36608049590149544,0.039427270212745356,0.0007335366053843964,0.0,0.0,83587609.0289827,70727251.84442283,1143628.7900129566,997672.7600207739,83879852.5310264,74500382.61905757,3858566.365104819,-1934053.9858139558
2024-09-10 00:00:00,0.3577729737522525,0.3075776095249728,0.026171594920252884,0.000503481634341323,0.0,0.0,85975699.33150463,74363057.41013372,1288298.2757433082,1200779.476996694,83838488.93336917,76607058.30847438,4164314.860186577,-734203.8909212439
