date,forecasted_Transaction Count,forecasted_Active Users,forecasted_Unique Users,forecasted_Total Transferred,forecasted_TVL-ionic_protocol_protocol,forecasted_TVL_opchain-ionic_protocol_protocol
2024-10-15 00:00:00,0.0,0.0,0.0,0.0,148435553.80047846,149078270.7704078
2024-10-16 00:00:00,0.0,0.0,0.0,0.0,142098687.84129617,142687586.0505188
2024-10-17 00:00:00,0.0,0.0,0.0,0.0,148199449.5979099,147984144.34204885
2024-10-18 00:00:00,0.0,0.0,0.0,0.0,146383564.8179934,147540166.5240063
2024-10-19 00:00:00,0.0,0.0,0.0,0.0,145866541.45302236,163345666.9794923
2024-10-20 00:00:00,0.0,0.0,0.0,0.0,140531034.39339018,150921847.50337532
2024-10-21 00:00:00,0.0,0.0,0.0,0.0,154683083.0318077,144262494.31031445
2024-10-22 00:00:00,0.0,0.0,0.0,0.0,155283245.41629174,159743694.3998683
2024-10-23 00:00:00,0.0,0.0,0.0,0.0,144014529.67977822,147015847.96750727
2024-10-24 00:00:00,0.0,0.0,0.0,0.0,155313636.1230335,146022269.27783045
2024-10-25 00:00:00,0.0,0.0,0.0,0.0,163442179.34893006,147485243.59740445
2024-10-26 00:00:00,0.0,0.0,0.0,0.0,159326835.97176903,132374014.70297953
2024-10-27 00:00:00,0.0,0.0,0.0,0.0,162288199.8266549,147087257.22922996
2024-10-28 00:00:00,0.0,0.0,0.0,0.0,160484174.3472356,143421590.96676555
2024-10-29 00:00:00,0.0,0.0,0.0,0.0,152896492.65716168,145050588.984119
2024-10-30 00:00:00,0.0,0.0,0.0,0.0,161007107.79847687,150787262.43575427
2024-10-31 00:00:00,0.0,0.0,0.0,0.0,164762113.3101544,141573432.87433434
2024-11-01 00:00:00,0.0,0.0,0.0,0.0,154504484.4182761,131302721.55129252
2024-11-02 00:00:00,0.0,0.0,0.0,0.0,157424387.94849986,134654292.02904075
2024-11-03 00:00:00,0.0,0.0,0.0,0.0,153465326.16807702,135796309.9212777
2024-11-04 00:00:00,0.0,0.0,0.0,0.0,140897200.7126327,128267616.29819123
2024-11-05 00:00:00,0.0,0.0,0.0,0.0,166418146.1058356,122205497.1661963
2024-11-06 00:00:00,0.0,0.0,0.0,0.0,164101765.87527618,130129730.30108996
2024-11-07 00:00:00,0.0,0.0,0.0,0.0,166940791.3219403,144217823.37622094
2024-11-08 00:00:00,0.0,0.0,0.0,0.0,165670212.40461597,155072522.95167768
2024-11-09 00:00:00,0.0,0.0,0.0,0.0,158016760.6985428,147841330.81850433
2024-11-10 00:00:00,0.0,0.0,0.0,0.0,169897124.77268675,147199009.5287997
2024-11-11 00:00:00,0.0,0.0,0.0,0.0,162602965.52912688,150236771.62192073
2024-11-12 00:00:00,0.0,0.0,0.0,0.0,160061127.30907166,157430397.52804762
2024-11-13 00:00:00,0.0,0.0,0.0,0.0,163557201.07323116,157955049.4410341
2024-11-14 00:00:00,0.0,0.0,0.0,0.0,163896169.20092425,144837863.2616403
2024-11-15 00:00:00,0.0,0.0,0.0,0.0,170241787.06295213,159024481.19089085
2024-11-16 00:00:00,0.0,0.0,0.0,0.0,167048884.40149865,159156125.71147183
2024-11-17 00:00:00,0.0,0.0,0.0,0.0,166551899.8057544,160645927.90291986
2024-11-18 00:00:00,0.0,0.0,0.0,0.0,170850058.74588758,156859591.5018849
2024-11-19 00:00:00,0.0,0.0,0.0,0.0,166600442.78824112,182283478.05814
2024-11-20 00:00:00,0.0,0.0,0.0,0.0,162441279.19724613,142997413.5657537
2024-11-21 00:00:00,0.0,0.0,0.0,0.0,163541126.47720066,157578029.18310782
2024-11-22 00:00:00,0.0,0.0,0.0,0.0,165046888.28485465,161727445.2740355
2024-11-23 00:00:00,0.0,0.0,0.0,0.0,167865599.0986804,171208968.465777
2024-11-24 00:00:00,0.0,0.0,0.0,0.0,174184667.50255004,175076829.34094477
2024-11-25 00:00:00,0.0,0.0,0.0,0.0,156081454.64299244,175279390.51557755
2024-11-26 00:00:00,0.0,0.0,0.0,0.0,170216854.17990425,162555336.12657148
2024-11-27 00:00:00,0.0,0.0,0.0,0.0,167055285.86528188,162054746.93913683
2024-11-28 00:00:00,0.0,0.0,0.0,0.0,168752669.63573992,176911296.6998174
2024-11-29 00:00:00,0.0,0.0,0.0,0.0,176007874.7259162,186361565.59870696
2024-11-30 00:00:00,0.0,0.0,0.0,0.0,165267808.55395606,168183082.26079157
2024-12-01 00:00:00,0.0,0.0,0.0,0.0,169456577.97477192,183689798.8351041
2024-12-02 00:00:00,0.0,0.0,0.0,0.0,166124613.58408824,188469175.0875845
2024-12-03 00:00:00,0.0,0.0,0.0,0.0,166018527.39601544,192888491.55062446
2024-12-04 00:00:00,0.0,0.0,0.0,0.0,170468892.83050272,174581280.3888305
2024-12-05 00:00:00,0.0,0.0,0.0,0.0,167582435.422539,171505594.97336066
2024-12-06 00:00:00,0.0,0.0,0.0,0.0,184475269.46624365,192279452.5251321
2024-12-07 00:00:00,0.0,0.0,0.0,0.0,171164548.10223317,180354773.45271805
2024-12-08 00:00:00,0.0,0.0,0.0,0.0,164077780.56702137,188975437.49339887
2024-12-09 00:00:00,0.0,0.0,0.0,0.0,155135411.65075895,194715260.61410362
2024-12-10 00:00:00,0.0,0.0,0.0,0.0,169911988.5417847,174290607.001537
2024-12-11 00:00:00,0.0,0.0,0.0,0.0,161750922.0586526,183301674.20144442
2024-12-12 00:00:00,0.0,0.0,0.0,0.0,162111460.29730844,187786092.23081276
2024-12-13 00:00:00,0.0,0.0,0.0,0.0,159846797.6540135,177098153.80352464
2024-12-14 00:00:00,0.0,0.0,0.0,0.0,163972200.53741717,191333202.3488666
2024-12-15 00:00:00,0.0,0.0,0.0,0.0,160340180.15761974,165298347.95411804
2024-12-16 00:00:00,0.0,0.0,0.0,0.0,154627664.46537554,160114782.4789119
2024-12-17 00:00:00,0.0,0.0,0.0,0.0,161093273.29399735,183367410.22293666
2024-12-18 00:00:00,0.0,0.0,0.0,0.0,163978427.6336153,167852921.27954093
2024-12-19 00:00:00,0.0,0.0,0.0,0.0,159112909.45840803,163197980.390581
2024-12-20 00:00:00,0.0,0.0,0.0,0.0,166962961.87257487,157930586.01089242
2024-12-21 00:00:00,0.0,0.0,0.0,0.0,161577591.2909556,170303769.45120877
2024-12-22 00:00:00,0.0,0.0,0.0,0.0,183826978.67763042,154446642.34935415
2024-12-23 00:00:00,0.0,0.0,0.0,0.0,149260847.88844872,159927141.84780988
2024-12-24 00:00:00,0.0,0.0,0.0,0.0,162505407.0375769,158091447.3939723
2024-12-25 00:00:00,0.0,0.0,0.0,0.0,145717935.473222,164785964.11395037
2024-12-26 00:00:00,0.0,0.0,0.0,0.0,172678160.63802963,
2024-12-27 00:00:00,0.0,0.0,0.0,0.0,152613974.99074432,
2024-12-28 00:00:00,0.0,0.0,0.0,0.0,158562811.31390676,
2024-12-29 00:00:00,0.0,0.0,0.0,0.0,172868927.51435524,
2024-12-30 00:00:00,0.0,0.0,0.0,0.0,156225344.2901624,
2024-12-31 00:00:00,0.0,0.0,0.0,0.0,162850145.2979555,
2025-01-01 00:00:00,0.0,0.0,0.0,0.0,173332380.50815603,
2025-01-02 00:00:00,0.0,0.0,0.0,0.0,179476587.36732522,
2025-01-03 00:00:00,0.0,0.0,0.0,0.0,181644578.53194597,
2025-01-04 00:00:00,0.0,0.0,0.0,0.0,170948616.87491506,
2025-01-05 00:00:00,0.0,0.0,0.0,0.0,174644856.85298157,
2025-01-06 00:00:00,0.0,0.0,0.0,0.0,172009045.2726699,
2025-01-07 00:00:00,0.0,0.0,0.0,0.0,170501660.91663253,
2025-01-08 00:00:00,0.0,0.0,0.0,0.0,161891911.58715057,
2025-01-09 00:00:00,0.0,0.0,0.0,0.0,168674105.08519766,
2025-01-10 00:00:00,0.0,0.0,0.0,0.0,189577821.51897058,
2025-01-11 00:00:00,0.0,0.0,0.0,0.0,189229333.88855788,
2025-01-12 00:00:00,0.0,0.0,0.0,0.0,188540364.36548284,
2025-01-13 00:00:00,0.0,0.0,0.0,0.0,186038107.38785768,
2025-01-14 00:00:00,0.0,0.0,0.0,0.0,182899068.91472548,
2025-01-15 00:00:00,0.0,0.0,0.0,0.0,187130370.09728876,
2025-01-16 00:00:00,0.0,0.0,0.0,0.0,196453974.1830716,
2025-01-17 00:00:00,0.0,0.0,0.0,0.0,200125819.6856509,
2025-01-18 00:00:00,0.0,0.0,0.0,0.0,211082332.45363563,
2025-01-19 00:00:00,0.0,0.0,0.0,0.0,197594191.91335672,
2025-01-20 00:00:00,0.0,0.0,0.0,0.0,202660222.46646488,
2025-01-21 00:00:00,0.0,0.0,0.0,0.0,212879845.49754512,
2025-01-22 00:00:00,0.0,0.0,0.0,0.0,198936374.70201415,
2025-01-23 00:00:00,0.0,0.0,0.0,0.0,200780268.29317293,
2025-01-24 00:00:00,0.0,0.0,0.0,0.0,189756454.16915092,
2025-01-25 00:00:00,0.0,0.0,0.0,0.0,189672059.30619,
2025-01-26 00:00:00,0.0,0.0,0.0,0.0,180751595.7110983,
2025-01-26 03:00:35,0.0,0.0,0.0,0.0,172698508.41135564,
