date,forecasted_Transaction Count,forecasted_Active Users,forecasted_Unique Users,forecasted_Total Transferred,forecasted_TVL-ionic_protocol_protocol,forecasted_TVL_opchain-ionic_protocol_protocol
2024-09-01 00:00:00,0.0,0.0,0.0,0.0,163165687.4577329,143317677.53994143
2024-09-02 00:00:00,0.0,0.0,0.0,0.0,167683560.61787346,138338217.12489894
2024-09-03 00:00:00,0.0,0.0,0.0,0.0,164490582.9404886,138040801.20458055
2024-09-04 00:00:00,0.0,0.0,0.0,0.0,159142285.19011533,137171466.33810773
2024-09-05 00:00:00,0.0,0.0,0.0,0.0,186940579.66180053,130872631.54116686
2024-09-06 00:00:00,0.0,0.0,0.0,0.0,157179364.3923328,133901517.54608051
2024-09-07 00:00:00,0.0,0.0,0.0,0.0,161494548.94537422,127336370.29368882
2024-09-08 00:00:00,0.0,0.0,0.0,0.0,160060275.99167377,128975421.69599839
2024-09-09 00:00:00,0.0,0.0,0.0,0.0,147872790.33481094,136904208.9673666
2024-09-10 00:00:00,0.0,0.0,0.0,0.0,158036087.78859612,141779763.6847521
2024-09-11 00:00:00,0.0,0.0,0.0,0.0,151645167.44568303,142044540.32593575
2024-09-12 00:00:00,0.0,0.0,0.0,0.0,164073974.47848794,135567993.99726227
2024-09-13 00:00:00,0.0,0.0,0.0,0.0,156287023.73183867,140365997.4847673
2024-09-14 00:00:00,0.0,0.0,0.0,0.0,162467019.1338003,154107322.23390913
2024-09-15 00:00:00,0.0,0.0,0.0,0.0,167576988.2948118,154382490.06348342
2024-09-16 00:00:00,0.0,0.0,0.0,0.0,160957898.66036472,144886079.68520507
2024-09-17 00:00:00,0.0,0.0,0.0,0.0,162368469.86674368,152294120.55608287
2024-09-18 00:00:00,0.0,0.0,0.0,0.0,158519008.60395578,150252149.08963293
2024-09-19 00:00:00,0.0,0.0,0.0,0.0,152948610.2783556,146503795.49074003
2024-09-20 00:00:00,0.0,0.0,0.0,0.0,146726866.91301566,138348945.9516938
2024-09-21 00:00:00,0.0,0.0,0.0,0.0,155167683.99621743,145546408.23545805
2024-09-22 00:00:00,0.0,0.0,0.0,0.0,154883629.13034806,168027763.57006
2024-09-23 00:00:00,0.0,0.0,0.0,0.0,154526385.63989684,153648409.1070879
2024-09-24 00:00:00,0.0,0.0,0.0,0.0,161282377.4231661,163823435.44372505
2024-09-25 00:00:00,0.0,0.0,0.0,0.0,168061792.01560274,173625292.16358966
2024-09-26 00:00:00,0.0,0.0,0.0,0.0,165842729.2855292,148130422.8253815
2024-09-27 00:00:00,0.0,0.0,0.0,0.0,164219179.98118538,168505122.12294796
2024-09-28 00:00:00,0.0,0.0,0.0,0.0,159878276.11343107,164711049.58975893
2024-09-29 00:00:00,0.0,0.0,0.0,0.0,160136912.54858822,158598505.5758591
2024-09-30 00:00:00,0.0,0.0,0.0,0.0,172485259.68947,160659551.52121466
2024-10-01 00:00:00,0.0,0.0,0.0,0.0,178297746.07254398,151676980.96701923
2024-10-02 00:00:00,0.0,0.0,0.0,0.0,173447238.34645823,146259833.5888078
2024-10-03 00:00:00,0.0,0.0,0.0,0.0,158544068.19175163,139295989.83393636
2024-10-04 00:00:00,0.0,0.0,0.0,0.0,147315346.1360595,163332321.45574892
2024-10-05 00:00:00,0.0,0.0,0.0,0.0,154718614.61056185,137202034.1798078
2024-10-06 00:00:00,0.0,0.0,0.0,0.0,150223355.73900542,149904864.79712766
2024-10-07 00:00:00,0.0,0.0,0.0,0.0,161593171.90723848,156994664.63724947
2024-10-08 00:00:00,0.0,0.0,0.0,0.0,147270138.3193165,161168600.96943346
2024-10-09 00:00:00,0.0,0.0,0.0,0.0,162177869.30932784,142112704.7631167
2024-10-10 00:00:00,0.0,0.0,0.0,0.0,173538996.77357876,148324273.31118548
2024-10-11 00:00:00,0.0,0.0,0.0,0.0,159939424.20735908,138944687.6023705
2024-10-12 00:00:00,0.0,0.0,0.0,0.0,148931204.41715932,145155432.13081455
2024-10-13 00:00:00,0.0,0.0,0.0,0.0,158632489.41961828,143894958.6137366
2024-10-14 00:00:00,0.0,0.0,0.0,0.0,152244884.13192376,152644272.516609
