application_id,project_name,url,has_contracts,artifact_namespace,artifact_name,is_fork,fork_count,star_count,first_commit_time,last_commit_time,days_with_commits_count,commit_count,language,license_spdx_id,license_check,repo_older_than_1_month,repo_activity_check,project_id
0xae8be180a7410a885d8c9c96844a6fc22474c1e922e8ff4fc9ab817ba6c892d5,Poker Girl,https://github.com/nurabura/poker-girl,true,,,,,,,,,,,,,,,
0xdd197ad6aa36b5d3753c1710960b40f1e23e941b6967444afe36860c3f2e288c,RetroList,https://github.com/retrolist/retrolist-contracts,true,,,,,,,,,,,,,,,
0xca0a77290d883bc0beb2d820c941fb77e35379e528e3bf27214084974e90a29f,Team Super Onchain ,https://github.com/apikritch/react-graphql-apollo-mongodb,false,,,,,,,,,,,,,,,
0xbd46b44579ded1217c7fdb8639ff047b1c560ec3fe115cbccb54b621c08a381b,OpenCover,https://github.com/opencoverdefi/opencover-contracts-v1,true,,,,,,,,,,,,,,,
0xfba68f8769f7e16775ba1f2258a7e1f49e974d4faa450f22f9f3eb6ec29db58f,AirDeployer,https://github.com/0xyittle/airdeployergit,true,,,,,,,,,,,,,,,
0xc4d3e8b19fa06cbbbcea741586fc55653643fc4abb3d0f7e37b2ae6ed88da225,GovernX,https://github.com/governx/governx-solidity-contracts-op-retro,false,,,,,,,,,,,,,,,
0x74587f2bcfd6d6fd977adce44f2dd160c582a7d265b7a8f6f865b50390c1108b,IconicImagery,https://github.com/najmashish/iconicimagery,true,,,,,,,,,,,,,,,
0xbc52b7caa8c61680f3cd1a19d3bcee0f7c06a78e174d50299e7cd1bf22128174,Vrbs,https://github.com/collectivexyz/revolution-protocol,true,,,,,,,,,,,,,,,
0xec239b18734f350fcf57ee15e9049b9ba8d3c179ba39fc98b2ce3f6161d1b2ef,Pixel Quest,https://github.com/shupeng2002/pixel-quest,true,,,,,,,,,,,,,,,
0x1ea2000d8210700b6fcc092f6720aa2d2d58900b9a0577931bc123d136db47f1,Joker's Moment,https://github.com/shupeng2002/joker-s-moment,true,,,,,,,,,,,,,,,
0xded97b2c0761c369292a0a5a6a5e90287feb52b8941190ee066b3823674f99d7,Nectar,https://github.com/wasd3rplay/aadex-contract,true,,,,,,,,,,,,,,,
0x5b8b5d1c04d84bda0e4a7e55bd0ee7fa8d0fd7990dd2f693d320012a6d94dfe2,Streamz,https://github.com/lnrz-xyz/streamz-frontend,false,,,,,,,,,,,,,,,
0xa3b25237dee0f0309a3cacc8f3f91d17abd8f0a2865f54c916d2ff07abbb2a76,Kiwi Labs Batch 1 NFT,https://github.com/bswags/web3keystore,false,,,,,,,,,,,,,,,
0x77bf465f415cfa87795c51f8fa4a3615bfd72da9a495105e1a5f45ef8158f439,Native,https://github.com/native-org/native-widget-demo,true,,,,,,,,,,,,,,,
