application_id,project_name,url,license_check,license_spdx_id,Custom license check,Overall,Bagholder Comment,Check Repo,Check Contract Submission,Link to Retrolist.app ,Bix Comment,Contract with issue,Issue With OS Tag,
0xd61084147c0e08c9a304348584c6bd0e9974a4073bff55f6b1728730b6ce07f7,Zerion,https://github.com/zeriontech/defi-sdk,Permissive,LGPL-3.0,,Approved,,X,X,https://optimistic.etherscan.io/address/0xd7F1Dd5D49206349CaE8b585fcB0Ce3D96f1696F#code,Contracts submit were LGPL-3.0-only. Github does not have a license.md or a license.txt but it has license files,https://github.com/zeriontech/defi-sdk,X,LGPL-3.0 is an open source license https://opensource.org/license/lgpl-3-0
0x935315db8c17993464cfb28337442ad60c6cd434305130a1d5d898e92d6d8123,Trash NFTs,https://github.com/trashnfts/dumpster-divers,Permissive,MIT,,Approved,,X,X,https://retrolist.app/project/0x935315db8c17993464cfb28337442ad60c6cd434305130a1d5d898e92d6d8123,Both contracts that were submit to the round were unverified. Github license is MIT contract codes are mix of UNLICENSED and MIT,https://basescan.org/address/0xe3D61290740B8a0F0D56985311B3dCcAD402f569#code https://basescan.org/address/0xfC0d8e8B077DA481F5309825a88604188C2FBD7F#code,X,Repo license is applied
0x526522707f6c225a9bc7ea54e572f995eb3c794f34756f514d976c61729e8a8d,Tarot,https://github.com/tarot-finance/tarot-contract-reference,Permissive,MIT,,Approved,"New repo which combines content from lots of repos created, original repos meet age requirement",X,X,https://retrolist.app/project/0x526522707f6c225a9bc7ea54e572f995eb3c794f34756f514d976c61729e8a8d,Contracts submit are a mix of MIT and NO LICENSE. Github license is MIT contrace code is MIT,https://optimistic.etherscan.io/address/0x9761d46Ef36E07131E8c56af06e35CaC23b9A91E#code https://basescan.org/address/0xD7cABeF2c1fD77a31c5ba97C724B82d3e25fC83C#code https://optimistic.etherscan.io/address/0x80942A0066F72eFfF5900CF80C235dd32549b75d#code https://basescan.org/address/0x750765780c049c0ADe75832Cf008916c0fFCaB48#code https://basescan.org/address/0xfB5D7540FAF21A3A0DB0Da41fD2fE923F93c74eA#code,X,Github MIT
0x41b2ae8a2ead458ff7c85549a9a11380353e1ae4b234666312d495326636f77a,Sushiswap,https://github.com/sushiswap/v3-periphery,Permissive,GPL-2.0,,Approved,,X,X,https://retrolist.app/project/0x41b2ae8a2ead458ff7c85549a9a11380353e1ae4b234666312d495326636f77a,Contracts submit were GPL-3.0 and BUSL-1.1. Github license is Business Source License 1.1,https://basescan.org/address/0xc35DADB65012eC5796536bD9864eD8773aBc74C4#code https://github.com/sushiswap/v3-core/blob/master/LICENSE ,X,"Change date has passed of the BSL to MIT, its a uniswap v3 fork"
0xf9a4e3b240bf6d40ee533e5ed63a8288b1a739ee382b1f23ccc5229b7bc8a498,Summer.fi,https://github.com/oasisdex/oasis-earn-sc,Permissive,AGPL-3.0,,Approved,,X,X,https://retrolist.app/project/0xf9a4e3b240bf6d40ee533e5ed63a8288b1a739ee382b1f23ccc5229b7bc8a498,Contracts submit are AGPL-3.0-or-later or UNLICENSED. Github license is GNU AFFERO GENERAL PUBLIC LICENSE contract code is MIT and BUSL-1.1. MIT license does not override BUSL-1.1,https://optimistic.etherscan.io/address/0xaaf64927BaFe68E389DE3627AA6b52D81bdA2323#code https://optimistic.etherscan.io/address/0xFDFf46fF5752CE2A4CAbAAf5a2cFF3744E1D09de#code https://github.com/OasisDEX/oasis-earn-sc/blob/dev/packages/ajna-contracts/contracts/ajna/base/FlashloanablePool.sol  https://github.com/OasisDEX/oasis-earn-sc/blob/dev/packages/ajna-contracts/contracts/ajna/base/PermitERC721.sol https://github.com/OasisDEX/oasis-earn-sc/blob/dev/packages/ajna-contracts/contracts/ajna/base/Pool.sol https://github.com/OasisDEX/oasis-earn-sc/blob/dev/packages/ajna-contracts/contracts/ajna/base/PoolDeployer.sol https://github.com/OasisDEX/oasis-earn-sc/tree/dev/packages/ajna-contracts/contracts/ajna/libraries/external https://github.com/OasisDEX/oasis-earn-sc/tree/dev/packages/ajna-contracts/contracts/ajna/libraries/helpers https://github.com/OasisDEX/oasis-earn-sc/tree/dev/packages/ajna-contracts/contracts/ajna/libraries/internal https://github.com/OasisDEX/oasis-earn-sc/tree/dev/packages/ajna-contracts/contracts/ajna/libs,X,Github is counted
0x848488156d9bfc5356583da57253193a258acebcdbc3ba2a10dc8ef81bd815fe,Streameth,https://github.com/streamethorg/streameth-platform,Permissive,GPL-3.0,,Approved,,X,X,https://retrolist.app/project/0x848488156d9bfc5356583da57253193a258acebcdbc3ba2a10dc8ef81bd815fe,Contract submit is unverified. Github license is GNU GENERAL PUBLIC LICENSE and contract code is MIT,https://basescan.org/address/0xD0aFE09956edC99AF239df7211D17598DC3e1eeD#code,X,Unverified
0xf1d424db61a36ef7e1bef62f6c62f00b2e5ff74ce12c9ca3d11d3dc39e7f14ea,Speedtracer,https://github.com/sbauch/speedtracer-contracts,Permissive,Unlicense,,Approved,,X,X,https://retrolist.app/project/0xf1d424db61a36ef7e1bef62f6c62f00b2e5ff74ce12c9ca3d11d3dc39e7f14ea,"Contract submit are MIT and UNLICENSED. Github license is The Unlicense and contract code is MIT, AGPL-3.0 and UNLICENSED. Please note The Unlicense is a proper license, UNLICENSED is not, they are different. The UNLICENSED contracts submit are not in the repo",https://basescan.org/address/0x6A89b05f2c0Ce1332d3B013CB69634D55033aC0f#code https://basescan.org/address/0x4baFF51E279c79878B692D2a7718Aa77B7eaF746#code,X,Github is counted
0x79fa54d6c030c7803827e96933fc93b092f638079c738d13a27a08b3905b95ec,Smol,https://github.com/smoldapp/corecontracts,Permissive,MIT,,Approved,,X,X,https://retrolist.app/project/0x79fa54d6c030c7803827e96933fc93b092f638079c738d13a27a08b3905b95ec,"Contracts submit does not have a license. Github license is MIT, contract code is MIT and one that is a clone of the unlicensed submission",https://github.com/SmolDapp/coreContracts/blob/main/contracts/1.disperse.sol https://optimistic.etherscan.io/address/0xD152f549545093347A162Dce210e7293f1452150#code,X,Github is counted
0x7539f43dc91f9c406c83a06339708e4033cdbf630916c6dfb9de2b5ef811affd,Seamless Protocol,https://github.com/seamless-protocol/governance,Permissive,MIT,,Approved,,X,X,https://retrolist.app/project/0x7539f43dc91f9c406c83a06339708e4033cdbf630916c6dfb9de2b5ef811affd,"Contract submit were BUSL-1.1, AGPL-3.0, MIT, and GPL-3.0-only. Github license is MIT, contract code is MIT and UNLICENSED",https://basescan.org/address/0x36291d2D51a0122B9faCbE3c3F989cc6b1f859B3#code https://basescan.org/address/0x003c2aa63FEC8118297535350a66e7A53BE3d0B5 https://basescan.org/address/0x90C5055530C0465AbB077FA016a3699A3F53Ef99#code https://basescan.org/address/0xb4D5e163738682A955404737f88FDCF15C1391bF#code,X,Github is counted
0xffffeb1d3576c1e847701c225975ee1a10259e05366b477e98fea7a47c5e5896,Rainbow (Rainbow Router),https://github.com/rainbow-me/swaps,Permissive,GPL-3.0,,Approved,,X,X,https://retrolist.app/project/0xffffeb1d3576c1e847701c225975ee1a10259e05366b477e98fea7a47c5e5896,Contracts submit are GPL-3.0 and unverified. Github license is GNU GENERAL PUBLIC LICENSE and contract code is GPL-3.0,https://explorer.zora.energy/address/0xA61550E9ddD2797E16489db09343162BE98d9483?tab=contract,X,Github is counted
