Note: For the actual contract source codes use the api endpoints at https://docs.optimism.etherscan.io//api-endpoints/contracts
"Txhash","ContractAddress","ContractName"
"0x9750649a46db2d60f828d2f2da68e992977add2b4fda0109b93cf55774c65ffa","0x9f9972f7d5381a3a907ce5a0e709cef53f11fc96","OfficialInstantSwap"
"0xa64340b9ddd59a7f27ddb45a3dca31975d9ef14303a7cfacf97027aae457454d","0xfb047fF2c376e22522d2a7809ad1eD38459ad2B8","SwellOFT"
"0x29096b16d6d0aaa2db7832d570b6ad9930b2c142f4464657b90d8514a06ac029","0x000000000000feb893bb5d63ba33323edcc237ce","Dagon"
"0xa1ede01ab6ef192c0eaf790f28f494e0a7c37b5659ef5f323741f4a71dde3c38","0xE91CE8792279829854F5229CA4a35ce4CbD9d035","Velodrome Finance LP Sugar v3"
"0x15759feb4921467001c9d679238cdbd3f1b51ce9b408dbd18ab2bcd021f0d2d5","0xd93d77789129c584a02B9Fd3BfBA560B2511Ff8A","FunctionsCoordinator"
"0x5b8f417ed430b272257185a03d9dc836f419e2eda85f3e7677fc0a2911bcc830","0xc7BA0f1DE31627Ad655684Cd347260eb7a815e78","PerpsV2DynamicFeesModule"
"0x83dcc4d62c9d26838e1032e949c42cfd59293bcfbfacc2191fb5dba584d1f81f","0xC0B000003148E9c3E0D314f3dB327Ef03ADF8Ba7","CoboFactory"
"0xef28e4305d95473bb49983845db66fcc806f39a2370f98a0d493112afb5f40fc","0x7e4CE6f92100a494D5c5C77cF55698B0dCD55580","HopWrapper"
"0xde4344926369270f9a0f3a26cef0a148698bb63be9f1348763fe0652549dd1fc","0x5075c6a7251485CC3FcbB4Ba59d6E6EF26a69d45","AaveV3View"
"0x5ccde6cb39ba077568e5df15fe014933cb36d11a747a8f931b5678fc3ce17bd5","0x4459FF9D7FE90FD550c0b9d39E00b4f18b13A0Ab","CDP Market Views"
"0x4d8606bf55fb03ffdc575cb6fc0b17e8ce358b82dd2833253319ed86e0cf0a11","0x4973b53b300d64ab72147EFF8C9d962f6b1dA02e","Curve Factory"
"0xcfe5db3d93e1233e886c72c96246e4b07bb09b2a4aa1a54ff6743f6b6532c84d","0x0B26d0483B297a61C09a6442E5Af4f694EaEE1E5","Vyper_contract"
"0xcc51ac62ba9e3b8a13537f565bdf92a0f62d0f6d498bb7a3e59489f5750cbfb9","0x6FD134881c6842600962B778ce56E2E3C4698295","Curve LP Token V5"
"0xf52e5b0e1c9bba8131b44a9e48151ec2f14df32df834b0e613feccafa3af5058","0x617578Ff8D58BB72aF5cD3b2A7373A3B65BD5677","AMMFlashArber"
"0x715a8cdb446d07646a5872790ab13b93cb6ea9d248e3e30eb27add721c53d553","0x01B44AD4A609150eB8A0ef42E4EF009BB298e8ab","Quest"
"0x9ab4a11f08c42311e6466f5518a8c7bfda6193e5aed3e060b926745c8745b4af","0xab33dce0e9020ba91a6a3bddace5a475ff006b5b","NFT"
"0xf31cf000dbd8a8d9fc4a13b26f97e7222a37f7d17b36e9fdcf83bdf01239c968","0xEaC66B136F9Af354aEC9872d48DF4B717f3EB28f","StaticBulkRenewal"
