date,forecasted_Transaction Count,forecasted_Active Users,forecasted_Unique Users,forecasted_Gas Fees,forecasted_Total Transferred,forecasted_Net Transferred
2024-09-01,0.025047497822597797,0.0,0.0,-4.77764609673534e-06,0.0,0.0
2024-09-02,0.03378015843731027,0.0,0.0,-3.1477587529758315e-06,0.0,0.0
2024-09-03,0.03490393764523886,0.0,0.0,-3.192174839466073e-06,0.0,0.0
2024-09-04,0.027203614994854203,7.559514379595745e-10,0.0,1.1216858110656182e-21,0.0,0.0
2024-09-05,0.02285410853092475,2.5693154662533413e-10,0.0,-2.003101859697753e-21,0.0,0.0
2024-09-06,0.02171108764690395,2.8485112718287277e-10,0.0,2.3641333321163814e-21,0.0,0.0
2024-09-07,0.025356208758897193,0.0,-4.809662611987515e-06,-4.221946634904112e-06,0.0,0.0
2024-09-08,0.03884733648618079,0.0,-9.537813926121734e-06,-5.362844358706508e-06,0.0,0.0
2024-09-09,0.02953323771858058,0.0,-1.4462505136331555e-05,-3.990648562376271e-06,0.0,0.0
2024-09-10,0.0,1.027851304171102e-09,0.0,-4.127964983266869e-06,0.0,0.0
2024-09-11,0.0,1.1737685641075996e-09,0.0,-5.580555332332092e-06,0.0,0.0
2024-09-12,0.0,1.2220352435668987e-09,0.0,-2.5139067847965424e-06,0.0,0.0
2024-09-13,0.027299113437831913,0.0,0.012004280996786397,-3.5218069070131752e-06,0.0,0.0
2024-09-14,0.022708963272426944,0.0,0.019775233565950828,-4.583991687571334e-06,0.0,0.0
2024-09-15,0.037401399619955485,0.0,0.01626732865941089,-3.8467972757461205e-06,0.0,0.0
2024-09-16,0.0,0.0,0.006420527745748562,1.149811112548338e-09,0.0,0.0
2024-09-17,0.0,0.0,0.006948300354133285,8.574717684441668e-10,0.0,0.0
2024-09-18,0.0,0.0,0.004801375160199718,7.963103074440453e-10,0.0,0.0
2024-09-19,0.00841481011579826,0.0,0.0,-5.025012821779712e-06,0.0,0.0
2024-09-20,0.010729873850425549,0.0,0.0,-6.130608809156419e-06,0.0,0.0
2024-09-21,0.012084527168153827,0.0,0.0,-3.893991842163208e-06,0.0,0.0
2024-09-22,0.0,0.0,0.0,1.0673440999061797e-09,0.0,0.0
2024-09-23,0.0,0.0,0.0,9.091340505247757e-10,0.0,0.0
2024-09-24,0.0,0.0,0.0,9.725888197562143e-10,0.0,0.0
2024-09-25,0.0,0.0,0.010814939081231264,0.0,0.0,0.0
2024-09-26,0.0,0.0,0.015898587699852744,0.0,0.0,0.0
2024-09-27,0.0,0.0,0.013092001546030439,0.0,0.0,0.0
2024-09-28,0.0029215985810783596,0.0,0.0004540550933411928,4.093357693696592e-10,0.0,0.0
2024-09-29,0.005286158088832133,0.0,0.0,3.0259105371399154e-10,0.0,0.0
2024-09-30,0.004234343041611011,0.0,0.0,2.3044849472028767e-10,0.0,0.0
