project_name,repo_url,created_date,hackathon_name,bounty_title,org,gitcoin/buidlbox
Mooni,https://github.com/pakokrew/mooni,2019-12-16 21:16:31.075252+00,Global Communities,20 ETH - Infrastructure & Dev Tooling Products,consensys,gitcoin
Melke,https://github.com/xVETTEx/Melke-protocol,2019-12-12 15:55:13.031776+00,Global Communities,20 ETH - Infrastructure & Dev Tooling Products,consensys,gitcoin
Defi Insure,https://github.com/KadenZipfel/defi-insure,2019-12-18 04:02:52.744065+00,Global Communities,15 DAI Per Entry - UX + Open Finance Experimentation,consensys,gitcoin
Gitcoin + 3box integration,https://github.com/gitcoinco/web/pull/5651,2019-12-18 05:55:40.524552+00,Global Communities,[1000 DAI] Integrate 3Box and Gitcoin: Backup Gitcoin Profiles to 3Box,3box,gitcoin
Front end for donations #211,https://github.com/wearekickback/app/pull/211,2019-12-18 16:59:35.33748+00,Global Communities,Donation feature [Frontend only],wearekickback,gitcoin
GOOD PROJECT,https://github.com/linggar155,2020-02-03 02:33:58.698832+00,Open Climate Collabathon,Open Climate Collabathon - Awards ,yaleopenlab,gitcoin
Mycheckin,https://github.com/snaketh4x0r/mycheckin,2020-01-23 16:48:05.018338+00,Take Back the Web,Auto check-in,wearekickback,gitcoin
Autocheckin,https://github.com/crisgarner/autocheckin,2020-01-23 21:48:42.252775+00,Take Back the Web,Auto check-in,wearekickback,gitcoin
status,https://github.com/users/dhaileytaha/projects/1,2020-03-18 17:06:59.185069+00,Take Back the Web,User can double purchase a sticker pack while Tx is pending,status-im,gitcoin
Status.im,https://github.com/Bild96/status.im.git,2020-04-20 17:57:07.869726+00,Take Back the Web,User can double purchase a sticker pack while Tx is pending,status-im,gitcoin
Biconomy,https://github.com/bcnmy/metatx-standard,2020-01-25 06:06:21.514428+00,Take Back the Web,Generalized MetaTransaction Contest,metamask,gitcoin
Biconomy,https://github.com/bcnmy/metatx-standard,2020-01-25 05:56:54.817129+00,Take Back the Web,Generalized MetaTransaction Contest,metamask,gitcoin
A clean solution toward generalized metatransaction,https://github.com/ThomasHCHsueh/meta_tx,2020-01-24 04:04:44.590643+00,Take Back the Web,Generalized MetaTransaction Contest,metamask,gitcoin
SignalDAO,https://github.com/MetaMask/Hackathons/pull/3,2020-01-25 01:59:30.183697+00,Take Back the Web,Generalized MetaTransaction Contest,metamask,gitcoin
Signal DAO,https://github.com/MetaMask/Hackathons/pull/3,2020-01-25 02:06:32.578832+00,Take Back the Web,Generalized MetaTransaction Contest,metamask,gitcoin
Biconomy,https://github.com/bcnmy/metatx-standard,2020-01-23 22:18:26.617085+00,Take Back the Web,Generalized MetaTransaction Contest,metamask,gitcoin
MetaMask-friendly GSN,https://github.com/openeth-dev/MetaMask-friendly-GSN,2020-01-24 02:23:49.226504+00,Take Back the Web,Generalized MetaTransaction Contest,metamask,gitcoin
Broken link,https://github.com/openeth-dev/MetaMask-friendly-GSN,2020-01-23 22:50:46.762838+00,Take Back the Web,Generalized MetaTransaction Contest,metamask,gitcoin
OpenETH,https://github.com/openeth-dev/,2020-01-23 21:58:51.616275+00,Take Back the Web,Generalized MetaTransaction Contest,metamask,gitcoin
any.sender replay protection,https://github.com/PISAresearch/metamask-comp,2020-01-23 21:18:07.933066+00,Take Back the Web,Generalized MetaTransaction Contest,metamask,gitcoin
GMTX,https://github.com/Amxx/GMTX,2020-01-22 14:46:20.388088+00,Take Back the Web,Generalized MetaTransaction Contest,metamask,gitcoin
Contract-Based MetaTransaction Standard,https://github.com/mudgen/EIPs/blob/master/EIPS/contract-based-meta-transaction-standard.md,2020-01-21 18:42:33.819634+00,Take Back the Web,Generalized MetaTransaction Contest,metamask,gitcoin
Lava Protocol,https://github.com/admazzola/lavawallet-web,2020-01-19 02:53:12.62195+00,Take Back the Web,Generalized MetaTransaction Contest,metamask,gitcoin
Burnable contract walelts,https://github.com/dmihal/burnable-contract-wallets,2020-01-09 15:50:35.599858+00,Take Back the Web,Generalized MetaTransaction Contest,metamask,gitcoin
Biconomy,https://github.com/bcnmy/metatx-standard,2020-01-09 18:03:46.113916+00,Take Back the Web,Generalized MetaTransaction Contest,metamask,gitcoin
MetaMsg,https://github.com/ImLixp/MetaMsg,2020-01-12 10:59:50.823782+00,Take Back the Web,Generalized MetaTransaction Contest,metamask,gitcoin
Lava Meta Tx Protocol,https://github.com/lavawallet/lavatoken,2020-01-09 23:00:29.564303+00,Take Back the Web,Generalized MetaTransaction Contest,metamask,gitcoin
GnosisSafe with Generalized Meta Transactions,http://github.com/status-im/safe-contracts,2020-01-10 05:29:00.128521+00,Take Back the Web,Generalized MetaTransaction Contest,metamask,gitcoin
GMTX,https://github.com/Amxx/GMTX,2020-01-10 13:23:10.733898+00,Take Back the Web,Generalized MetaTransaction Contest,metamask,gitcoin
Generalized Meta Transactions,https://github.com/groundhognetwork/gen-meta,2020-01-10 19:16:02.256784+00,Take Back the Web,Generalized MetaTransaction Contest,metamask,gitcoin
SampleERC77MetaTxToken,https://github.com/pash7ka/erc777mtx,2020-01-15 23:17:56.183507+00,Take Back the Web,Generalized MetaTransaction Contest,metamask,gitcoin
Generalised Meta Txs PoC,https://github.com/realkinando/generalMetaTxs,2020-01-17 12:27:35.225377+00,Take Back the Web,Generalized MetaTransaction Contest,metamask,gitcoin
EIP-1776 Singleton Meta Transaction Processor,https://github.com/wighawag/singleton-1776-meta-transaction,2020-01-10 11:35:26.273107+00,Take Back the Web,Generalized MetaTransaction Contest,metamask,gitcoin
Project 2,https://github.com/gitcoinco/web,2020-03-04 21:25:11.117013+00,Take Back the Web,2020 Embark Developer Survey Zoom Interview Bounty,grahammcbain,gitcoin
Test Project,https://github.com/gitcoinco/web,2020-03-04 21:22:48.483225+00,Take Back the Web,2020 Embark Developer Survey Zoom Interview Bounty,grahammcbain,gitcoin
Carbon Footprint Marketplace Grant（Grant with interest income）,https://github.com/masaun/carbon-footprint-marketplace-grant,2020-04-10 08:02:01.263261+00,Decentralized Impact Incubator,"[$10,000] - Carbon Footprint",blockchainforsocialimpact,gitcoin
Leafy Planet,https://github.com/DerryAce/Leafy-Planet.git,2020-04-01 14:11:14.529594+00,Decentralized Impact Incubator,"[$10,000] - Carbon Footprint",blockchainforsocialimpact,gitcoin
CO2ken,https://github.com/CO2ken,2020-03-09 20:42:16.838818+00,Decentralized Impact Incubator,"[$10,000] - Carbon Footprint",blockchainforsocialimpact,gitcoin
cGAS - Carbon Global Accountability System,https://github.com/cleancoindev/CarbonBounty,2020-02-20 21:16:27.222929+00,Decentralized Impact Incubator,"[$10,000] - Carbon Footprint",blockchainforsocialimpact,gitcoin
True profit calculator,https://github.com/orbanz/trueprofit,2020-02-23 18:38:19.073248+00,Decentralized Impact Incubator,"[$10,000] - Carbon Footprint",blockchainforsocialimpact,gitcoin
clean atmosphere,https://github.com/gustavo2261/Limpeza-carb,2020-03-06 19:21:04.798191+00,Decentralized Impact Incubator,"[$10,000] - Carbon Footprint",blockchainforsocialimpact,gitcoin
Treejer,https://github.com/treejer/DII-BSIC-Carbon-Footprint,2020-02-28 16:17:20.440205+00,Decentralized Impact Incubator,"[$10,000] - Carbon Footprint",blockchainforsocialimpact,gitcoin
Urbanic,https://github.com/urbanic-mx/urbanic,2020-03-05 07:03:45.529908+00,Decentralized Impact Incubator,"[$10,000] - Carbon Footprint",blockchainforsocialimpact,gitcoin
Limpeza carb,https://github.com/gustavo2261/Limpeza-carb,2020-03-05 18:46:02.449838+00,Decentralized Impact Incubator,"[$10,000] - Carbon Footprint",blockchainforsocialimpact,gitcoin
Crypto Reward Courts,https://github.com/vporton/courts,2020-02-18 19:07:21.813089+00,Decentralized Impact Incubator,"[$10,000] - Carbon Footprint",blockchainforsocialimpact,gitcoin
SolidarityCard,https://github.com/mvteclat/SolidarityCard,2020-03-11 12:55:38.616048+00,Decentralized Impact Incubator,"[$10,000] - Sustainable Cities",blockchainforsocialimpact,gitcoin
Lease At Block,https://github.com/Redoudou/Leaseatblock,2020-02-21 21:08:49.162323+00,Decentralized Impact Incubator,"[$10,000] - Sustainable Cities",blockchainforsocialimpact,gitcoin
Abundance,https://github.com/abundance-stack/donationapp,2020-02-20 13:11:57.85276+00,Decentralized Impact Incubator,"[$10,000] - Sustainable Cities",blockchainforsocialimpact,gitcoin
IBEXCM,https://github.com/ibexcm/crypto-mercado,2020-02-20 21:02:30.642395+00,Decentralized Impact Incubator,"[$10,000] - Sustainable Cities",blockchainforsocialimpact,gitcoin
CityShield and Immutable Pollution Tracking,https://github.com/cleancoindev/CityShieldBounty,2020-02-20 21:27:09.660306+00,Decentralized Impact Incubator,"[$10,000] - Sustainable Cities",blockchainforsocialimpact,gitcoin
Tree Reward,https://github.com/oussema/TreeReward,2020-02-22 16:29:21.66712+00,Decentralized Impact Incubator,"[$10,000] - Sustainable Cities",blockchainforsocialimpact,gitcoin
True profit calculator,https://github.com/orbanz/trueprofit,2020-02-23 18:35:36.062116+00,Decentralized Impact Incubator,"[$10,000] - Sustainable Cities",blockchainforsocialimpact,gitcoin
commūnitās,https://github.com/jpaulet/comunitas,2020-02-24 20:24:09.515293+00,Decentralized Impact Incubator,"[$10,000] - Sustainable Cities",blockchainforsocialimpact,gitcoin
Democratize Opportunity Zones,https://github.com/moisesja/democratize-opp-zones,2020-02-24 21:57:05.545771+00,Decentralized Impact Incubator,"[$10,000] - Sustainable Cities",blockchainforsocialimpact,gitcoin
BlokSolve,https://github.com/bobeu/BlokSolve,2020-02-24 22:33:01.191987+00,Decentralized Impact Incubator,"[$10,000] - Sustainable Cities",blockchainforsocialimpact,gitcoin
Blueen,https://github.com/marcomu/Blueen,2020-02-28 02:22:31.448531+00,Decentralized Impact Incubator,"[$10,000] - Sustainable Cities",blockchainforsocialimpact,gitcoin
Wolf Pack,https://github.com/wfsterling/wp-beta,2020-02-28 15:33:54.445251+00,Decentralized Impact Incubator,"[$10,000] - Sustainable Cities",blockchainforsocialimpact,gitcoin
Blue Green,https://github.com/DerryAce/Blue-Green-Cashback.git,2020-04-01 14:00:16.795458+00,Decentralized Impact Incubator,"[$10,000] - Sustainable Cities",blockchainforsocialimpact,gitcoin
Yallah Clean,https://github.com/Yallah-Clean/yallah-clean-app,2020-04-08 09:58:01.559427+00,Decentralized Impact Incubator,"[$10,000] - Sustainable Cities",blockchainforsocialimpact,gitcoin
PlastHub,https://github.com/owans/PlastHub,2020-02-24 20:39:03.381145+00,Decentralized Impact Incubator,"[$10,000] - Plastics & Pollution",blockchainforsocialimpact,gitcoin
Vea Flux,http://github.com/carlosescom/BSIC2020_VeaFlux,2020-02-25 00:10:30.932348+00,Decentralized Impact Incubator,"[$10,000] - Plastics & Pollution",blockchainforsocialimpact,gitcoin
Zero Pollution,https://github.com/RenanMeirelles/zero-pollution-bsic,2020-02-28 15:26:06.170705+00,Decentralized Impact Incubator,"[$10,000] - Plastics & Pollution",blockchainforsocialimpact,gitcoin
Roadycyc,https://github.com/Sirlupinwatson1/Roadycyc/blob/master/README.md,2020-03-30 18:24:52.826803+00,Decentralized Impact Incubator,"[$10,000] - Plastics & Pollution",blockchainforsocialimpact,gitcoin
Gen10 Estate,https://github.com/DerryAce/gen10estate.git,2020-04-01 14:21:31.40268+00,Decentralized Impact Incubator,"[$10,000] - Plastics & Pollution",blockchainforsocialimpact,gitcoin
Pick 'n' Chop,https://github.com/Owillz01/500nigeriadevs4eth-team-b/tree/master,2020-04-09 01:41:07.508844+00,Decentralized Impact Incubator,"[$10,000] - Plastics & Pollution",blockchainforsocialimpact,gitcoin
Clean Symphony,https://github.com/DerryAce/CleanSymphony.git,2020-04-01 13:49:40.378028+00,Decentralized Impact Incubator,"[$10,000] - Celo Peace & Prosperity Challenge",blockchainforsocialimpact,gitcoin
Bienvenir,https://github.com/nestorbonilla/bienvenir,2020-04-09 04:33:11.303917+00,Decentralized Impact Incubator,"[$10,000] - Celo Peace & Prosperity Challenge",blockchainforsocialimpact,gitcoin
Test Project,http://github.com/gitcoinco,2020-03-31 20:19:12.135129+00,Decentralized Impact Incubator,"[$10,000] - Celo Peace & Prosperity Challenge",blockchainforsocialimpact,gitcoin
FutureBank PWA,https://github.com/futurebankxyz/pwa,2020-02-27 00:14:09.904198+00,Decentralized Impact Incubator,"[$10,000] - Celo Peace & Prosperity Challenge",blockchainforsocialimpact,gitcoin
Abundance,https://github.com/abundance-stack/donationsapp,2020-03-02 12:27:14.561331+00,Decentralized Impact Incubator,"[$10,000] - Celo Peace & Prosperity Challenge",blockchainforsocialimpact,gitcoin
kiezDAO,https://github.com/deora-earth/kiezDAO,2020-02-27 13:50:53.957905+00,Decentralized Impact Incubator,"[$10,000] - Celo Peace & Prosperity Challenge",blockchainforsocialimpact,gitcoin
Katana,https://github.com/pRoy24/Katana,2020-02-24 08:15:05.799926+00,Sustain Web3,Challenge 1 — Blockchain Trade & Liquidity Widget,bancorprotocol,gitcoin
Bancor Trade &amp; Liquidity Widget,https://github.com/mounibec/bancor-widget,2020-01-29 19:08:52.216826+00,Sustain Web3,Challenge 1 — Blockchain Trade & Liquidity Widget,bancorprotocol,gitcoin
React DeFi Widget,https://github.com/pisuthd/react-defi-widget,2020-02-01 05:09:08.765792+00,Sustain Web3,Challenge 1 — Blockchain Trade & Liquidity Widget,bancorprotocol,gitcoin
Bancor Liquidly Pool with Compound,https://github.com/masaun/bancor-liquidly-pool-with-compound,2020-02-11 18:13:03.644467+00,Sustain Web3,Challenge 2 — New Liquidity Pool Designs,bancorprotocol,gitcoin
AmandasProject,https://github.com/esantra,2020-02-01 03:23:52.167111+00,Sustain Web3,Challenge 2 — New Liquidity Pool Designs,bancorprotocol,gitcoin
SimpleAsWater,https://github.com/simpleaswater,2020-01-31 20:40:17.411848+00,Sustain Web3,From 0-to-1: Growth Hacking Your Viral dApp Idea,consensys,gitcoin
Inverse.space,https://github.com/InverseSpace/inversespace.github.io,2020-02-01 15:31:19.799737+00,Sustain Web3,From 0-to-1: Growth Hacking Your Viral dApp Idea,consensys,gitcoin
Charged Particles - DeFi NFTs,https://github.com/robsecord/ChargedParticlesEth,2020-02-02 18:16:17.135491+00,Sustain Web3,From 0-to-1: Growth Hacking Your Viral dApp Idea,consensys,gitcoin
Zeggo,https://github.com/OpenZeggo,2020-02-11 17:09:42+00,Sustain Web3,From 0-to-1: Growth Hacking Your Viral dApp Idea,consensys,gitcoin
Ethereum-txn-status,https://github.com/KashmereLabs/ethereum-txn-status,2020-02-12 22:40:50.931591+00,Sustain Web3,$350 USDT - Most Innovative Integration of dfuse Lifecycle ,dfuse-io,gitcoin
flash-arbitrage-watcher,https://github.com/n0name-sw3/flash-arbitrage-watcher/,2020-02-10 13:22:08.873417+00,Sustain Web3,$350 USDT - Most Innovative Integration of dfuse Lifecycle ,dfuse-io,gitcoin
Charged Particles - DeFi NFTs,https://github.com/robsecord/ChargedParticlesWeb,2020-02-02 18:31:11.151133+00,Sustain Web3,$350 USDT - Most Innovative Integration of dfuse Lifecycle ,dfuse-io,gitcoin
Omni,https://github.com/manolingam/omni,2020-01-29 15:01:41.018169+00,Sustain Web3,From 1-to-100: Growth Hacking For Established Projects,consensys,gitcoin
