application_id,project_name,oso_project_filename,contract_address,network,count_appearances
0xb6266f3d955040aa7583f2f346db87abe0649f545389af3cc8fe302aacfc850b,Splits,0x-splits,0xa244bbe019cf1ba177ee5a532250be2663fb55ca,OPTIMISM,108
0xb6266f3d955040aa7583f2f346db87abe0649f545389af3cc8fe302aacfc850b,Splits,0x-splits,0x1f3f5c7342ae19e2b35b657864106f227201ef8a,BASE,102
0xb6266f3d955040aa7583f2f346db87abe0649f545389af3cc8fe302aacfc850b,Splits,0x-splits,0x0a2841630f198745a55c4dab3fe98f77271949e5,BASE,6
0xb6266f3d955040aa7583f2f346db87abe0649f545389af3cc8fe302aacfc850b,Splits,0x-splits,0x074827e8bd77b0a66c6008a51af9bd1f33105caf,BASE,6
0xb6266f3d955040aa7583f2f346db87abe0649f545389af3cc8fe302aacfc850b,Splits,0x-splits,0x0a2841630f198745a55c4dab3fe98f77271949e5,ZORA,6
0xb6266f3d955040aa7583f2f346db87abe0649f545389af3cc8fe302aacfc850b,Splits,0x-splits,0x1f3f5c7342ae19e2b35b657864106f227201ef8a,OPTIMISM,48
0xb6266f3d955040aa7583f2f346db87abe0649f545389af3cc8fe302aacfc850b,Splits,0x-splits,0x4df01754ebd055498c8087b1e9a5c7a9ad19b0f6,ZORA,12
0xb6266f3d955040aa7583f2f346db87abe0649f545389af3cc8fe302aacfc850b,Splits,0x-splits,0x2ed6c4b5da6378c7897ac67ba9e43102feb694ee,BASE,8814
0xb6266f3d955040aa7583f2f346db87abe0649f545389af3cc8fe302aacfc850b,Splits,0x-splits,0xa244bbe019cf1ba177ee5a532250be2663fb55ca,BASE,198
0xb6266f3d955040aa7583f2f346db87abe0649f545389af3cc8fe302aacfc850b,Splits,0x-splits,0x4df01754ebd055498c8087b1e9a5c7a9ad19b0f6,OPTIMISM,12
0xb6266f3d955040aa7583f2f346db87abe0649f545389af3cc8fe302aacfc850b,Splits,0x-splits,0xdecd8b99b7f763e16141450daa5ea414b7994831,ZORA,48
0xb6266f3d955040aa7583f2f346db87abe0649f545389af3cc8fe302aacfc850b,Splits,0x-splits,0x52d6838957ec268cc5b50f17f9b490cbab0a9e40,OPTIMISM,0
0xb6266f3d955040aa7583f2f346db87abe0649f545389af3cc8fe302aacfc850b,Splits,0x-splits,0xd28182c2e11519ad081e7fa9da711274b7096098,BASE,6
0xb6266f3d955040aa7583f2f346db87abe0649f545389af3cc8fe302aacfc850b,Splits,0x-splits,0x2ed6c4b5da6378c7897ac67ba9e43102feb694ee,ZORA,43830
0xb6266f3d955040aa7583f2f346db87abe0649f545389af3cc8fe302aacfc850b,Splits,0x-splits,0x2ed6c4b5da6378c7897ac67ba9e43102feb694ee,OPTIMISM,2256
0xb6266f3d955040aa7583f2f346db87abe0649f545389af3cc8fe302aacfc850b,Splits,0x-splits,0x0a2841630f198745a55c4dab3fe98f77271949e5,OPTIMISM,6
0xb6266f3d955040aa7583f2f346db87abe0649f545389af3cc8fe302aacfc850b,Splits,0x-splits,0x73b3b74865ee1dc996ac8ebd31c45cfb4f38e39f,OPTIMISM,6
0xb6266f3d955040aa7583f2f346db87abe0649f545389af3cc8fe302aacfc850b,Splits,0x-splits,0x52d6838957ec268cc5b50f17f9b490cbab0a9e40,BASE,0
0xb6266f3d955040aa7583f2f346db87abe0649f545389af3cc8fe302aacfc850b,Splits,0x-splits,0xdecd8b99b7f763e16141450daa5ea414b7994831,BASE,90
0xb6266f3d955040aa7583f2f346db87abe0649f545389af3cc8fe302aacfc850b,Splits,0x-splits,0xdecd8b99b7f763e16141450daa5ea414b7994831,OPTIMISM,12
0xb6266f3d955040aa7583f2f346db87abe0649f545389af3cc8fe302aacfc850b,Splits,0x-splits,0x4df01754ebd055498c8087b1e9a5c7a9ad19b0f6,BASE,84
0xb6266f3d955040aa7583f2f346db87abe0649f545389af3cc8fe302aacfc850b,Splits,0x-splits,0xd28182c2e11519ad081e7fa9da711274b7096098,OPTIMISM,6
0xe2cffffc3c00303412781c879691480a5e6e91f936ca073321babb01c6969080,Ham,0xdeployer-ham,0xad896fda5e5008151045c4a1d89f6de3b008df54,BASE,8658
0xe2cffffc3c00303412781c879691480a5e6e91f936ca073321babb01c6969080,Ham,0xdeployer-ham,0x8ce608ce2b5004397faef1556bfe33bdfbe4696d,BASE,5580
0xe2cffffc3c00303412781c879691480a5e6e91f936ca073321babb01c6969080,Ham,0xdeployer-ham,0x56b10bf5e47c8262569f3119dfb4be457795c8a2,BASE,11190
0xe2cffffc3c00303412781c879691480a5e6e91f936ca073321babb01c6969080,Ham,0xdeployer-ham,0x5b5dee44552546ecea05edea01dcd7be7aa6144a,BASE,101292
0x46ca6c364e7a7bc7dd79db1f22a66b305a77f8c912636b00a4b9a6b28c423e8f,Circle.tech,0xkawz-circle-tech,0xf4ad189f436e736ca6ba5aa2972e524e9beff570,BASE,22344
0x5614d129eba060ce7d224e8e8f9f29aeddfdb572b0dd45edc81f18f5307bc01a,/send,0xsend,0x614f5273fdb63c1e1972fe1457ce77df1ca440a6,BASE,2838
0x5614d129eba060ce7d224e8e8f9f29aeddfdb572b0dd45edc81f18f5307bc01a,/send,0xsend,0x3f14920c99beb920afa163031c4e47a3e03b3e4a,BASE,12840
0x62408999652f3bfa1be746d256bf5a4eb4719b993d40f07d2d60aaebee015018,Sequence,0xsequence,0x1063cbee6b3cd69b49f1b922a0d402f484b39855,OPTIMISM,0
0x62408999652f3bfa1be746d256bf5a4eb4719b993d40f07d2d60aaebee015018,Sequence,0xsequence,0xd01f11855bccb95f88d7a48492f66410d4637313,BASE,0
0x62408999652f3bfa1be746d256bf5a4eb4719b993d40f07d2d60aaebee015018,Sequence,0xsequence,0x29bcf1043ca4b2c95ab28082143587896d39d22d,OPTIMISM,0
0x62408999652f3bfa1be746d256bf5a4eb4719b993d40f07d2d60aaebee015018,Sequence,0xsequence,0xbdc76d15ea28beb6af2cc69b4efbb4aa4fb77689,BASE,6
0x62408999652f3bfa1be746d256bf5a4eb4719b993d40f07d2d60aaebee015018,Sequence,0xsequence,0xfbf8f1a5e00034762d928f46d438b947f5d4065d,BASE,0
0x62408999652f3bfa1be746d256bf5a4eb4719b993d40f07d2d60aaebee015018,Sequence,0xsequence,0xdbbfa3cb3b087b64f4ef5e3d20dda2488aa244e6,BASE,0
0x62408999652f3bfa1be746d256bf5a4eb4719b993d40f07d2d60aaebee015018,Sequence,0xsequence,0xfbf8f1a5e00034762d928f46d438b947f5d4065d,OPTIMISM,0
0x62408999652f3bfa1be746d256bf5a4eb4719b993d40f07d2d60aaebee015018,Sequence,0xsequence,0x29bcf1043ca4b2c95ab28082143587896d39d22d,BASE,0
0x62408999652f3bfa1be746d256bf5a4eb4719b993d40f07d2d60aaebee015018,Sequence,0xsequence,0x4483faa9deedd6d6facfee9c686f1e394a1280f9,BASE,0
0x62408999652f3bfa1be746d256bf5a4eb4719b993d40f07d2d60aaebee015018,Sequence,0xsequence,0xfea230ee243f88bc698dd8f1ae93f8301b6cdfae,OPTIMISM,792
0x62408999652f3bfa1be746d256bf5a4eb4719b993d40f07d2d60aaebee015018,Sequence,0xsequence,0x1063cbee6b3cd69b49f1b922a0d402f484b39855,BASE,0
0x62408999652f3bfa1be746d256bf5a4eb4719b993d40f07d2d60aaebee015018,Sequence,0xsequence,0x7efe6ce415956c5f80c6530cc6cc81b4808f6118,BASE,0
0x62408999652f3bfa1be746d256bf5a4eb4719b993d40f07d2d60aaebee015018,Sequence,0xsequence,0xfaa5c0b14d1bed5c888ca655b9a8a5911f78ef4a,OPTIMISM,6
0x62408999652f3bfa1be746d256bf5a4eb4719b993d40f07d2d60aaebee015018,Sequence,0xsequence,0xfea230ee243f88bc698dd8f1ae93f8301b6cdfae,BASE,240
0x62408999652f3bfa1be746d256bf5a4eb4719b993d40f07d2d60aaebee015018,Sequence,0xsequence,0x7364fdefe24385b2b3869504383c94cf083acbd6,OPTIMISM,0
0x62408999652f3bfa1be746d256bf5a4eb4719b993d40f07d2d60aaebee015018,Sequence,0xsequence,0x02390f3e6e5fd1c6786cb78fd3027c117a9955a7,BASE,0
0x62408999652f3bfa1be746d256bf5a4eb4719b993d40f07d2d60aaebee015018,Sequence,0xsequence,0x7364fdefe24385b2b3869504383c94cf083acbd6,BASE,0
0x62408999652f3bfa1be746d256bf5a4eb4719b993d40f07d2d60aaebee015018,Sequence,0xsequence,0xfaa5c0b14d1bed5c888ca655b9a8a5911f78ef4a,BASE,6
0x62408999652f3bfa1be746d256bf5a4eb4719b993d40f07d2d60aaebee015018,Sequence,0xsequence,0xf9d09d634fb818b05149329c1dccfaea53639d96,BASE,12
0x62408999652f3bfa1be746d256bf5a4eb4719b993d40f07d2d60aaebee015018,Sequence,0xsequence,0x4222dca3974e39a8b41c411fedde9b09ae14b911,BASE,0
0x08d4923c8047ec8856f54a1d6e0763d41eaced38e621b2f15284437918defe1f,3DNS,3dns-xyz,0xf97aac6c8dbaebcb54ff166d79706e3af7a813c8,OPTIMISM,11538
0x08d4923c8047ec8856f54a1d6e0763d41eaced38e621b2f15284437918defe1f,3DNS,3dns-xyz,0xbb7b805b257d7c76ca9435b3ffe780355e4c4b17,OPTIMISM,81660
0x72723e07fe409557489a6643b43d9493a94c10ba68230b0527f01834cb6a550f,Across Protocol,across,0x09aea4b2242abc8bb4bb78d537a67a245a7bec64,BASE,64668
0x72723e07fe409557489a6643b43d9493a94c10ba68230b0527f01834cb6a550f,Across Protocol,across,0x3bad7ad0728f9917d1bf08af5782dcbd516cdd96,MODE,540
0x72723e07fe409557489a6643b43d9493a94c10ba68230b0527f01834cb6a550f,Across Protocol,across,0x6f26bf09b1c792e3228e5467807a900a503c0281,OPTIMISM,230934
0x4288aacdda65af69c03b2c9b9d057e2b93ed1b7671e481b03c6a7b33349d2365,Aerodrome Finance,aerodrome-finance,0x7390ee1f0677c96d06e21c3f1ceb69443d589e03,BASE,0
0x4bf2ac1013cbae40d5fd671442d4bf276e389de415b4b070c5038b3e9851667d,Alien Base,alienbase-xyz,0xdc53487e2a6ef468260bc938f645f84caaccac6f,BASE,96
0x4bf2ac1013cbae40d5fd671442d4bf276e389de415b4b070c5038b3e9851667d,Alien Base,alienbase-xyz,0x3e84d913803b02a4a7f027165e8ca42c14c0fde7,BASE,6
0x4bf2ac1013cbae40d5fd671442d4bf276e389de415b4b070c5038b3e9851667d,Alien Base,alienbase-xyz,0x8c1a3cf8f83074169fe5d7ad50b978e1cd6b37c7,BASE,642570
0x4bf2ac1013cbae40d5fd671442d4bf276e389de415b4b070c5038b3e9851667d,Alien Base,alienbase-xyz,0x52eaecac2402633d98b95213d0b473e069d86590,BASE,145410
0x4bf2ac1013cbae40d5fd671442d4bf276e389de415b4b070c5038b3e9851667d,Alien Base,alienbase-xyz,0x365c6d588e8611125de3bea5b9280c304fa54113,BASE,22854
0x4bf2ac1013cbae40d5fd671442d4bf276e389de415b4b070c5038b3e9851667d,Alien Base,alienbase-xyz,0x0fd83557b2be93617c9c1c1b6fd549401c74558c,BASE,30
0xb908ea18fd164cf089649ba95887c221f5e8b93a08235dff43e33bd6617239dc,Ambire,ambiretech,0xddd85fb0716bbd1af8b769fcab9191bfc10d2b8e,OPTIMISM,0
0xb908ea18fd164cf089649ba95887c221f5e8b93a08235dff43e33bd6617239dc,Ambire,ambiretech,0xddd85fb0716bbd1af8b769fcab9191bfc10d2b8e,BASE,0
0xa08c7ab7824d147d6cb87ffb4e86cec454a030d48b8c395bad6d64456be3d911,Aragon ,aragon,0x1b6632d1357d26055d6452e3b3bebd1c1d982e86,BASE,7014
0xdd35cc4641c3c35bee5782fc0442b2a1b88a058ec0a7b90ba32c70347e4e9194,Arcadia Finance ,arcadia-finance,0x9f42361b7602df1a8ae28bf63e6cb1883cd44c27,BASE,6
0xdd35cc4641c3c35bee5782fc0442b2a1b88a058ec0a7b90ba32c70347e4e9194,Arcadia Finance ,arcadia-finance,0x20f7903290bf98716b62dc1c9da634291b8cfed4,BASE,12
