date,forecasted_Transaction Count,forecasted_Active Users,forecasted_Unique Users,forecasted_Total Transferred,forecasted_Net Transferred
2024-09-01,0.0683291286425493,0.0,0.0,0.0,0.0
2024-09-02,0.0280837062056653,0.0,0.0,0.0,0.0
2024-09-03,0.0640562774404307,0.0,0.0,0.0,0.0
2024-09-04,0.0183132784642576,0.0187986946367275,0.0,0.0,0.0
2024-09-05,0.030817489429996,0.0188702825689439,0.0,0.0,0.0
2024-09-06,0.0224919523592521,0.0149858470504685,0.0,0.0,0.0
2024-09-07,-0.0594563977145529,0.0173299451797663,0.0,0.0,0.0
2024-09-08,-0.0459148699020881,0.0189187279715849,0.0,0.0,0.0
2024-09-09,-0.0452557452949768,0.0140998780240885,0.0,0.0,0.0
2024-09-10,0.0336744313679914,0.0236594357715517,0.0088430177885898,0.0,0.0
2024-09-11,0.0359019094469966,0.0148469356296907,0.0183324439110823,0.0,0.0
2024-09-12,0.0217097205613098,0.0239631474865237,0.0158165744999868,0.0,0.0
2024-09-13,0.0,0.0068520518341912,2.79448068231715e-07,0.0,0.0
2024-09-14,0.0,0.009085183835558,0.0099034518878693,0.0,0.0
2024-09-15,0.0,0.0079686461132942,2.820723829461931e-07,0.0,0.0
2024-09-16,0.0285949638817321,0.0232777918994137,0.0,0.0,0.0
2024-09-17,0.0364151883641687,0.024532876850393,0.0,0.0,0.0
2024-09-18,0.0228631120081139,0.0198673937488495,0.0,0.0,0.0
2024-09-19,0.015859132683947,0.0,0.0,0.0,0.0
2024-09-20,0.015227032098437,0.0,0.0,0.0,0.0
2024-09-21,0.0177511315242598,0.0,0.0,0.0,0.0
2024-09-22,0.0208802849955898,0.0188471293286957,0.0,0.0,0.0
2024-09-23,0.0082480700066546,0.0268506494276485,0.0,0.0,0.0
2024-09-24,0.0128588788437491,0.0175255325618673,0.0,0.0,0.0
2024-09-25,0.0349425618453195,0.0171413532687706,0.0,0.0,0.0
2024-09-26,0.040981611675521,0.0136248088005461,0.0,0.0,0.0
2024-09-27,0.0229339220420528,0.022212423510108,0.0,0.0,0.0
2024-09-28,0.0317489676039221,0.0,1.9334263286493892e-26,0.0,0.0
