transaction_date,address,transaction_cnt,active_users,total_transferred,unique_users,total_transferred_in_tokens,cum_transferred
2024-07-04,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,3980.0,14.0,3.6370485660822733e+18,2.0,3637.0485660822733,1.2062167157419775e+20
2024-07-05,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,3246.0,14.0,3.11794353739319e+18,3.0,3117.9435373931897,1.2373961511159094e+20
2024-07-06,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,2337.0,11.0,2.3411441769794063e+18,0.0,2341.1441769794064,1.2608075928857035e+20
2024-07-07,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,1964.0,11.0,1.9371864670416806e+18,0.0,1937.1864670416805,1.2801794575561202e+20
2024-07-08,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,3807.0,13.0,3.82244479412998e+18,1.0,3822.44479412998,1.31840390549742e+20
2024-07-09,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,3445.0,12.0,3.443069930130686e+18,0.0,3443.069930130686,1.3528346047987268e+20
2024-07-10,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,3202.0,13.0,3.1322132644963185e+18,0.0,3132.2132644963185,1.38415673744369e+20
2024-07-11,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,3187.0,17.0,3.082380054379501e+18,5.0,3082.380054379501,1.4149805379874849e+20
2024-07-12,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,2394.0,20.0,2.2914561610706765e+18,6.0,2291.4561610706764,1.4378950995981917e+20
2024-07-13,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,1349.0,15.0,1.287334174786527e+18,2.0,1287.334174786527,1.4507684413460568e+20
2024-07-14,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,1423.0,24.0,1.3489146514932052e+18,11.0,1348.9146514932052,1.4642575878609889e+20
2024-07-15,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,1734.0,13.0,1.6090451710957875e+18,1.0,1609.0451710957875,1.480348039571947e+20
2024-07-16,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,2182.0,16.0,1.9240236023653893e+18,3.0,1924.0236023653893,1.499588275595601e+20
2024-07-17,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,1452.0,17.0,1.2599357504758932e+18,3.0,1259.9357504758932,1.51218763310036e+20
2024-07-18,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,2152.0,12.0,1.890650867707307e+18,0.0,1890.650867707307,1.531094141777433e+20
2024-07-19,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,1466.0,12.0,1.2846202000685868e+18,0.0,1284.6202000685867,1.543940343778119e+20
2024-07-20,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,1956.0,13.0,1.6606905792468626e+18,0.0,1660.6905792468626,1.5605472495705876e+20
2024-07-21,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,1320.0,11.0,1.1247029012326979e+18,0.0,1124.702901232698,1.5717942785829146e+20
2024-07-22,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,1363.0,13.0,1.1773345821363325e+18,1.0,1177.3345821363325,1.583567624404278e+20
2024-07-23,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,1902.0,11.0,1.638019914532721e+18,0.0,1638.0199145327208,1.599947823549605e+20
2024-07-24,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,1384.0,14.0,1.1931624754426322e+18,0.0,1193.1624754426323,1.6118794483040315e+20
2024-07-25,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,1135.0,14.0,1.0145417347661632e+18,0.0,1014.5417347661632,1.622024865651693e+20
2024-07-26,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,1115.0,12.0,1.0618886989730333e+18,0.0,1061.8886989730333,1.6326437526414233e+20
2024-07-27,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,650.0,12.0,5.970664063748169e+17,0.0,597.0664063748169,1.6386144167051713e+20
2024-07-28,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,576.0,12.0,5.310798950222663e+17,0.0,531.0798950222663,1.643925215655394e+20
2024-07-29,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,837.0,14.0,7.662366935322455e+17,2.0,766.2366935322455,1.6515875825907165e+20
