transaction_date,address,cnt,total_transferred,total_transferred_in_tokens,net_transferred,net_transferred_in_tokens
2024-06-11,0xd4c00fe7657791c2a43025de483f05e49a5f76a6,1,0.0,0.0,0.0,0.0
2024-06-12,0xd4c00fe7657791c2a43025de483f05e49a5f76a6,2,0.0,0.0,0.0,0.0
2024-06-14,0xd4c00fe7657791c2a43025de483f05e49a5f76a6,2,0.0,0.0,0.0,0.0
2024-06-17,0xd4c00fe7657791c2a43025de483f05e49a5f76a6,1,0.0,0.0,0.0,0.0
2024-06-20,0xd4c00fe7657791c2a43025de483f05e49a5f76a6,2,0.0,0.0,0.0,0.0
2024-07-01,0xd4c00fe7657791c2a43025de483f05e49a5f76a6,3,0.0,0.0,0.0,0.0
2024-07-05,0xd4c00fe7657791c2a43025de483f05e49a5f76a6,1,0.0,0.0,0.0,0.0
2024-07-12,0xd4c00fe7657791c2a43025de483f05e49a5f76a6,1,0.0,0.0,0.0,0.0
2024-08-01,0xd4c00fe7657791c2a43025de483f05e49a5f76a6,3,0.0,0.0,0.0,0.0
2024-08-02,0xd4c00fe7657791c2a43025de483f05e49a5f76a6,1,0.0,0.0,0.0,0.0
2024-08-06,0xd4c00fe7657791c2a43025de483f05e49a5f76a6,1,0.0,0.0,0.0,0.0
2024-08-09,0xd4c00fe7657791c2a43025de483f05e49a5f76a6,1,0.0,0.0,0.0,0.0
2024-08-14,0xd4c00fe7657791c2a43025de483f05e49a5f76a6,1,0.0,0.0,0.0,0.0
2024-08-21,0xd4c00fe7657791c2a43025de483f05e49a5f76a6,1,0.0,0.0,0.0,0.0
2024-09-09,0xd4c00fe7657791c2a43025de483f05e49a5f76a6,1,0.0,0.0,0.0,0.0
2024-09-26,0xd4c00fe7657791c2a43025de483f05e49a5f76a6,2,0.0,0.0,0.0,0.0
2024-09-27,0xd4c00fe7657791c2a43025de483f05e49a5f76a6,1,0.0,0.0,0.0,0.0
2024-09-29,0xd4c00fe7657791c2a43025de483f05e49a5f76a6,2,0.0,0.0,0.0,0.0
2024-10-01,0xd4c00fe7657791c2a43025de483f05e49a5f76a6,4,0.0,0.0,0.0,0.0
2024-10-04,0xd4c00fe7657791c2a43025de483f05e49a5f76a6,1,0.0,0.0,0.0,0.0
2024-10-08,0xd4c00fe7657791c2a43025de483f05e49a5f76a6,3,0.0,0.0,0.0,0.0
2024-10-11,0xd4c00fe7657791c2a43025de483f05e49a5f76a6,2,0.0,0.0,0.0,0.0
2024-10-12,0xd4c00fe7657791c2a43025de483f05e49a5f76a6,1,0.0,0.0,0.0,0.0
2024-10-17,0xd4c00fe7657791c2a43025de483f05e49a5f76a6,3,0.0,0.0,0.0,0.0
2024-10-22,0xd4c00fe7657791c2a43025de483f05e49a5f76a6,2,0.0,0.0,0.0,0.0
2024-10-25,0xd4c00fe7657791c2a43025de483f05e49a5f76a6,2,0.0,0.0,0.0,0.0
2024-11-01,0xd4c00fe7657791c2a43025de483f05e49a5f76a6,1,0.0,0.0,0.0,0.0
2024-11-08,0xd4c00fe7657791c2a43025de483f05e49a5f76a6,1,0.0,0.0,0.0,0.0
2024-11-14,0xd4c00fe7657791c2a43025de483f05e49a5f76a6,2,0.0,0.0,0.0,0.0
2024-11-17,0xd4c00fe7657791c2a43025de483f05e49a5f76a6,1,0.0,0.0,0.0,0.0
2024-11-21,0xd4c00fe7657791c2a43025de483f05e49a5f76a6,2,0.0,0.0,0.0,0.0
2024-11-29,0xd4c00fe7657791c2a43025de483f05e49a5f76a6,2,0.0,0.0,0.0,0.0
2024-12-02,0xd4c00fe7657791c2a43025de483f05e49a5f76a6,1,0.0,0.0,0.0,0.0
2024-12-05,0xd4c00fe7657791c2a43025de483f05e49a5f76a6,1,0.0,0.0,0.0,0.0
2024-12-15,0xd4c00fe7657791c2a43025de483f05e49a5f76a6,3,0.0,0.0,0.0,0.0
2024-12-17,0xd4c00fe7657791c2a43025de483f05e49a5f76a6,2,0.0,0.0,0.0,0.0
2024-12-20,0xd4c00fe7657791c2a43025de483f05e49a5f76a6,1,0.0,0.0,0.0,0.0
2024-12-29,0xd4c00fe7657791c2a43025de483f05e49a5f76a6,1,0.0,0.0,0.0,0.0
2025-01-07,0xd4c00fe7657791c2a43025de483f05e49a5f76a6,2,0.0,0.0,0.0,0.0
2025-01-14,0xd4c00fe7657791c2a43025de483f05e49a5f76a6,4,0.0,0.0,0.0,0.0
