artifact,star_count,fork_count,fulltime_developer_average_6_months,new_contributor_count_6_months,repo_rank,starred,starred_by_top_devs,forked,forked_by_top_devs,age_of_project_years
revokecash/revoke.cash,657,234,0.5659340659340659,17.0,963.0,778.0,9.0,281.0,2.0,4.833333333333485
hop-protocol/hop-airdrop,173,218,0.0,17.0,969.0,207.0,4.0,222.0,1.0,2.25
smallbraingames/network-states-lite,22,3,0.0,0.0,999.0,27.0,1.0,4.0,0.0,1.25
zemse/hardhat-tracer,341,35,0.0,9.0,1033.0,432.0,16.0,44.0,1.0,3.5
flipsidecrypto/user_metrics,5,0,0.0,0.0,1037.0,24.0,1.0,9.0,1.0,1.9166666666667425
metagov/daostar,49,21,0.0,3.0,1043.0,62.0,1.0,18.0,1.0,2.583333333333485
geo-web-project/op-chain-charts,4,0,0.0,0.0,1052.0,5.0,2.0,0.0,0.0,1.083333333333485
usecannon/cannon,91,19,1.1428571428571428,5.0,1060.0,107.0,3.0,18.0,1.0,2.083333333333485
shapeshift/web,164,179,2.9285714285714284,2.0,1068.0,202.0,1.0,269.0,1.0,2.9166666666667425
upnodedev/opstack-compose,5,1,0.0,0.0,1081.0,6.0,2.0,1.0,1.0,1.0
lyra-finance/leaps,5,31,0.0,0.0,1126.0,7.0,0.0,54.0,0.0,3.0
kalidao/keep,180,18,0.0,0.0,1127.0,247.0,13.0,27.0,2.0,2.4166666666667425
parmanuxyz/solidity-analyzer,55,0,0.0,0.0,1134.0,58.0,8.0,0.0,0.0,1.083333333333485
truefieng/usedapp,1575,368,0.0,6.0,1145.0,1870.0,6.0,498.0,7.0,3.6666666666667425
blocknative/web3-onboard,820,483,0.2032967032967033,44.0,1219.0,993.0,6.0,559.0,2.0,4.833333333333485
soulwallet/soul-wallet-web,3,0,0.21978021978021978,0.0,1232.0,2.0,0.0,0.0,0.0,0.6666666666667425
pokt-foundation/pocket-ui,2,0,0.0,0.0,1302.0,1.0,0.0,0.0,0.0,3.1666666666667425
nodeguardians/ng-questplay,58,37,0.0,1.0,1387.0,71.0,0.0,103.0,0.0,1.75
tenderly/tenderly-cli,510,132,0.0,5.0,1400.0,605.0,7.0,154.0,2.0,5.75
cryptozombieshq/cryptozombie-lessons,1054,542,0.0,4.0,1409.0,1298.0,3.0,742.0,0.0,6.583333333333485
theredguild/devcontainer,24,17,0.0,5.0,1431.0,29.0,1.0,18.0,1.0,0.41666666666674246
gelatodigital/gelato-chi,12,4,0.0,0.0,1466.0,11.0,2.0,6.0,0.0,4.083333333333485
ponder-surveys/farcaster-survey-bot,14,1,0.0,2.0,1506.0,18.0,0.0,0.0,0.0,1.4166666666667425
miguelmota/go-ethereum-hdwallet,487,264,0.0,3.0,1606.0,595.0,4.0,297.0,4.0,6.083333333333485
ethhub-io/ethhub,864,580,0.0,0.0,1614.0,1116.0,8.0,748.0,6.0,5.9166666666667425
radicalxchange/quadratic-voting,45,12,0.0,1.0,1625.0,51.0,1.0,15.0,0.0,3.333333333333485
poppunkllc/gaslite-core,179,31,0.0,1.0,1697.0,220.0,4.0,40.0,0.0,0.75
socketdottech/plugin,39,23,0.0,0.0,1720.0,57.0,0.0,29.0,0.0,2.083333333333485
mirror-xyz/degen,491,81,0.0,2.0,1731.0,593.0,7.0,94.0,0.0,2.75
covalenthq/goldrush-kit,88,43,0.3626373626373626,6.0,1737.0,100.0,0.0,51.0,0.0,0.75
itublockchain/opclave-scaling2023,148,25,0.0,0.0,1810.0,164.0,6.0,31.0,0.0,1.4166666666667425
f-o-a-m/purescript-web3,127,24,0.0,0.0,1933.0,165.0,1.0,26.0,0.0,6.75
