,project,repo,license,Total Stars,Total Forks,Total Contributors,Project ID,Project Name
29,zora,ourzora/auction-houses-twitter-bot,,,2.0,1.0,0x0bcd7e1f59a78a15a8c481244aaba93b7f690aaece04ffc6e4a55e282afa309c,ZORA
30,zora,ourzora/thegrandexchange,,9.0,9.0,7.0,0x0bcd7e1f59a78a15a8c481244aaba93b7f690aaece04ffc6e4a55e282afa309c,ZORA
31,zora,ourzora/rug-house,MIT,6.0,3.0,1.0,0x0bcd7e1f59a78a15a8c481244aaba93b7f690aaece04ffc6e4a55e282afa309c,ZORA
32,zora,ourzora/matthew-ball-minting-contract,,,2.0,1.0,0x0bcd7e1f59a78a15a8c481244aaba93b7f690aaece04ffc6e4a55e282afa309c,ZORA
33,zora,ourzora/zorb,,108.0,30.0,6.0,0x0bcd7e1f59a78a15a8c481244aaba93b7f690aaece04ffc6e4a55e282afa309c,ZORA
34,zora,ourzora/royalty-registry-solidity,,1.0,,2.0,0x0bcd7e1f59a78a15a8c481244aaba93b7f690aaece04ffc6e4a55e282afa309c,ZORA
35,zora,ourzora/degen,MIT,1.0,,0.0,0x0bcd7e1f59a78a15a8c481244aaba93b7f690aaece04ffc6e4a55e282afa309c,ZORA
36,zora,ourzora/mint-page-template,MIT,72.0,34.0,13.0,0x0bcd7e1f59a78a15a8c481244aaba93b7f690aaece04ffc6e4a55e282afa309c,ZORA
37,zora,ourzora/zora-721-contracts,MIT,132.0,70.0,20.0,0x0bcd7e1f59a78a15a8c481244aaba93b7f690aaece04ffc6e4a55e282afa309c,ZORA
38,zora,ourzora/faucets,,57.0,2.0,1.0,0x0bcd7e1f59a78a15a8c481244aaba93b7f690aaece04ffc6e4a55e282afa309c,ZORA
39,zora,ourzora/mad-realities-auction,MIT,3.0,3.0,6.0,0x0bcd7e1f59a78a15a8c481244aaba93b7f690aaece04ffc6e4a55e282afa309c,ZORA
40,zora,ourzora/jimmy-auction-house,MIT,1.0,1.0,1.0,0x0bcd7e1f59a78a15a8c481244aaba93b7f690aaece04ffc6e4a55e282afa309c,ZORA
41,zora,ourzora/nft-cli,,18.0,3.0,2.0,0x0bcd7e1f59a78a15a8c481244aaba93b7f690aaece04ffc6e4a55e282afa309c,ZORA
42,zora,ourzora/zora-drop-frontend,,7.0,1.0,1.0,0x0bcd7e1f59a78a15a8c481244aaba93b7f690aaece04ffc6e4a55e282afa309c,ZORA
43,zora,ourzora/nouns-marketplace,,50.0,13.0,8.0,0x0bcd7e1f59a78a15a8c481244aaba93b7f690aaece04ffc6e4a55e282afa309c,ZORA
44,zora,ourzora/foundry-script-examples,,44.0,3.0,1.0,0x0bcd7e1f59a78a15a8c481244aaba93b7f690aaece04ffc6e4a55e282afa309c,ZORA
45,zora,ourzora/nouns-ar-glasses-ios,CC0-1.0,11.0,,1.0,0x0bcd7e1f59a78a15a8c481244aaba93b7f690aaece04ffc6e4a55e282afa309c,ZORA
46,zora,ourzora/offchain,MIT,91.0,16.0,18.0,0x0bcd7e1f59a78a15a8c481244aaba93b7f690aaece04ffc6e4a55e282afa309c,ZORA
47,zora,ourzora/zora-zine-reader,,1.0,,1.0,0x0bcd7e1f59a78a15a8c481244aaba93b7f690aaece04ffc6e4a55e282afa309c,ZORA
48,zora,ourzora/munchmunchmunch,MIT,,1.0,3.0,0x0bcd7e1f59a78a15a8c481244aaba93b7f690aaece04ffc6e4a55e282afa309c,ZORA
49,zora,ourzora/gunicorn,NOASSERTION,,,303.0,0x0bcd7e1f59a78a15a8c481244aaba93b7f690aaece04ffc6e4a55e282afa309c,ZORA
50,zora,ourzora/uvicorn,BSD-3-Clause,,,144.0,0x0bcd7e1f59a78a15a8c481244aaba93b7f690aaece04ffc6e4a55e282afa309c,ZORA
51,zora,ourzora/recovery-protocol,MIT,15.0,1.0,1.0,0x0bcd7e1f59a78a15a8c481244aaba93b7f690aaece04ffc6e4a55e282afa309c,ZORA
52,zora,ourzora/sad-girl-stack,,,,1.0,0x0bcd7e1f59a78a15a8c481244aaba93b7f690aaece04ffc6e4a55e282afa309c,ZORA
53,zora,ourzora/rent-a-vote,,4.0,,1.0,0x0bcd7e1f59a78a15a8c481244aaba93b7f690aaece04ffc6e4a55e282afa309c,ZORA
54,zora,ourzora/json-extension-registry,,5.0,,3.0,0x0bcd7e1f59a78a15a8c481244aaba93b7f690aaece04ffc6e4a55e282afa309c,ZORA
55,zora,ourzora/zora-drops-extensions,MIT,9.0,1.0,6.0,0x0bcd7e1f59a78a15a8c481244aaba93b7f690aaece04ffc6e4a55e282afa309c,ZORA
56,zora,ourzora/nouns-connect,,9.0,1.0,2.0,0x0bcd7e1f59a78a15a8c481244aaba93b7f690aaece04ffc6e4a55e282afa309c,ZORA
57,zora,ourzora/frontend-exercise-one,,1.0,2.0,1.0,0x0bcd7e1f59a78a15a8c481244aaba93b7f690aaece04ffc6e4a55e282afa309c,ZORA
58,zora,ourzora/openzeppelin-contracts-upgradeable,MIT,,,3.0,0x0bcd7e1f59a78a15a8c481244aaba93b7f690aaece04ffc6e4a55e282afa309c,ZORA
59,zora,ourzora/zora-crypto-list,,6.0,1.0,2.0,0x0bcd7e1f59a78a15a8c481244aaba93b7f690aaece04ffc6e4a55e282afa309c,ZORA
60,zora,ourzora/faust,NOASSERTION,2.0,,87.0,0x0bcd7e1f59a78a15a8c481244aaba93b7f690aaece04ffc6e4a55e282afa309c,ZORA
61,zora,ourzora/wagmi-references,MIT,2.0,,0.0,0x0bcd7e1f59a78a15a8c481244aaba93b7f690aaece04ffc6e4a55e282afa309c,ZORA
62,zora,ourzora/protocol-rewards,MIT,16.0,1.0,3.0,0x0bcd7e1f59a78a15a8c481244aaba93b7f690aaece04ffc6e4a55e282afa309c,ZORA
63,zora,ourzora/chains,MIT,2.0,,26.0,0x0bcd7e1f59a78a15a8c481244aaba93b7f690aaece04ffc6e4a55e282afa309c,ZORA
64,zora,ourzora/smol-safe,,10.0,,2.0,0x0bcd7e1f59a78a15a8c481244aaba93b7f690aaece04ffc6e4a55e282afa309c,ZORA
65,zora,ourzora/optimism,MIT,2.0,,0.0,0x0bcd7e1f59a78a15a8c481244aaba93b7f690aaece04ffc6e4a55e282afa309c,ZORA
66,zora,ourzora/erigon,LGPL-3.0,,,108.0,0x0bcd7e1f59a78a15a8c481244aaba93b7f690aaece04ffc6e4a55e282afa309c,ZORA
67,zora,ourzora/erigon-metrics,MIT,1.0,,6.0,0x0bcd7e1f59a78a15a8c481244aaba93b7f690aaece04ffc6e4a55e282afa309c,ZORA
68,zora,ourzora/first-lol,,4.0,1.0,2.0,0x0bcd7e1f59a78a15a8c481244aaba93b7f690aaece04ffc6e4a55e282afa309c,ZORA
69,zora,ourzora/op-viem,MIT,,,2.0,0x0bcd7e1f59a78a15a8c481244aaba93b7f690aaece04ffc6e4a55e282afa309c,ZORA
70,zora,ourzora/op-erigon,LGPL-3.0,,,17.0,0x0bcd7e1f59a78a15a8c481244aaba93b7f690aaece04ffc6e4a55e282afa309c,ZORA
71,zora,ourzora/chains-cli,,6.0,,2.0,0x0bcd7e1f59a78a15a8c481244aaba93b7f690aaece04ffc6e4a55e282afa309c,ZORA
72,zora,ourzora/zora-protocol,MIT,30.0,12.0,13.0,0x0bcd7e1f59a78a15a8c481244aaba93b7f690aaece04ffc6e4a55e282afa309c,ZORA
73,zora,ourzora/viem,NOASSERTION,,,,0x0bcd7e1f59a78a15a8c481244aaba93b7f690aaece04ffc6e4a55e282afa309c,ZORA
74,zora,ourzora/multicall,MIT,,,,0x0bcd7e1f59a78a15a8c481244aaba93b7f690aaece04ffc6e4a55e282afa309c,ZORA
75,zeroknowledgefm,zeroknowledgefm/zeroknowledgebasics,,22.0,5.0,1.0,0xb046f206a85340c9a5fd8a2580c50a959a5e12ce83472533cf7320481836c242,Zero Knowledge Podcast
76,zeroknowledgefm,zeroknowledgefm/zksnarks,,3.0,1.0,1.0,0xb046f206a85340c9a5fd8a2580c50a959a5e12ce83472533cf7320481836c242,Zero Knowledge Podcast
77,zeroknowledgefm,zeroknowledgefm/starks,,11.0,6.0,4.0,0xb046f206a85340c9a5fd8a2580c50a959a5e12ce83472533cf7320481836c242,Zero Knowledge Podcast
78,zeroknowledgefm,zeroknowledgefm/zkjobs,,16.0,1.0,2.0,0xb046f206a85340c9a5fd8a2580c50a959a5e12ce83472533cf7320481836c242,Zero Knowledge Podcast
79,zeroknowledgefm,zeroknowledgefm/episode-transcripts,,,1.0,1.0,0xb046f206a85340c9a5fd8a2580c50a959a5e12ce83472533cf7320481836c242,Zero Knowledge Podcast
80,zenbit-eth,zenbiteth/zenbit-protocol-prototype,MIT,,,2.0,0xa0e0d386a862f8f1ee625bf5837bfb8ef5a8201d70c459efbe9172602ff3d831,Zengo: Decentralized Budget
81,zenbit-eth,zenbiteth/zenbit-app,,,,1.0,0xa0e0d386a862f8f1ee625bf5837bfb8ef5a8201d70c459efbe9172602ff3d831,Zengo: Decentralized Budget
82,zenbit-eth,zenbiteth/eth_maze_web_app,,,1.0,3.0,0xa0e0d386a862f8f1ee625bf5837bfb8ef5a8201d70c459efbe9172602ff3d831,Zengo: Decentralized Budget
83,zenbit-eth,zenbiteth/aztec-nfts-fractionals,,1.0,2.0,1.0,0xa0e0d386a862f8f1ee625bf5837bfb8ef5a8201d70c459efbe9172602ff3d831,Zengo: Decentralized Budget
84,zenbit-eth,zenbiteth/ciudades-dao,,,1.0,2.0,0xa0e0d386a862f8f1ee625bf5837bfb8ef5a8201d70c459efbe9172602ff3d831,Zengo: Decentralized Budget
85,zenbit-eth,zenbiteth/cities_protocol,,,,2.0,0xa0e0d386a862f8f1ee625bf5837bfb8ef5a8201d70c459efbe9172602ff3d831,Zengo: Decentralized Budget
86,zenbit-eth,zenbiteth/multiflow,,,1.0,4.0,0xa0e0d386a862f8f1ee625bf5837bfb8ef5a8201d70c459efbe9172602ff3d831,Zengo: Decentralized Budget
87,zenbit-eth,zenbiteth/qros,,,1.0,2.0,0xa0e0d386a862f8f1ee625bf5837bfb8ef5a8201d70c459efbe9172602ff3d831,Zengo: Decentralized Budget
88,zenbit-eth,zenbiteth/protodao-docs,,,,1.0,0xa0e0d386a862f8f1ee625bf5837bfb8ef5a8201d70c459efbe9172602ff3d831,Zengo: Decentralized Budget
89,zenbit-eth,zenbiteth/graffiti-mint,MIT,,3.0,2.0,0xa0e0d386a862f8f1ee625bf5837bfb8ef5a8201d70c459efbe9172602ff3d831,Zengo: Decentralized Budget
90,zenbit-eth,zenbiteth/city-passport,MIT,2.0,,3.0,0xa0e0d386a862f8f1ee625bf5837bfb8ef5a8201d70c459efbe9172602ff3d831,Zengo: Decentralized Budget
91,zenbit-eth,zenbiteth/punk-cities,MIT,2.0,4.0,2.0,0xa0e0d386a862f8f1ee625bf5837bfb8ef5a8201d70c459efbe9172602ff3d831,Zengo: Decentralized Budget
92,zenbit-eth,zenbiteth/solarpunk-dao,,,,3.0,0xa0e0d386a862f8f1ee625bf5837bfb8ef5a8201d70c459efbe9172602ff3d831,Zengo: Decentralized Budget
93,zenbit-eth,zenbiteth/solarpunks,MIT,,,4.0,0xa0e0d386a862f8f1ee625bf5837bfb8ef5a8201d70c459efbe9172602ff3d831,Zengo: Decentralized Budget
94,zenbit-eth,zenbiteth/deco,,3.0,3.0,5.0,0xa0e0d386a862f8f1ee625bf5837bfb8ef5a8201d70c459efbe9172602ff3d831,Zengo: Decentralized Budget
95,zenbit-eth,zenbiteth/punk-cities-v.02,MIT,1.0,,1.0,0xa0e0d386a862f8f1ee625bf5837bfb8ef5a8201d70c459efbe9172602ff3d831,Zengo: Decentralized Budget
96,zenbit-eth,zenbiteth/bright-forest,,2.0,2.0,3.0,0xa0e0d386a862f8f1ee625bf5837bfb8ef5a8201d70c459efbe9172602ff3d831,Zengo: Decentralized Budget
97,zenbit-eth,zenbiteth/warp-riders,,,,1.0,0xa0e0d386a862f8f1ee625bf5837bfb8ef5a8201d70c459efbe9172602ff3d831,Zengo: Decentralized Budget
98,zenbit-eth,zenbiteth/voyage,,2.0,3.0,2.0,0xa0e0d386a862f8f1ee625bf5837bfb8ef5a8201d70c459efbe9172602ff3d831,Zengo: Decentralized Budget
99,zenbit-eth,zenbiteth/eneagon,MIT,2.0,2.0,4.0,0xa0e0d386a862f8f1ee625bf5837bfb8ef5a8201d70c459efbe9172602ff3d831,Zengo: Decentralized Budget
100,zenbit-eth,zenbiteth/regens,MIT,1.0,2.0,2.0,0xa0e0d386a862f8f1ee625bf5837bfb8ef5a8201d70c459efbe9172602ff3d831,Zengo: Decentralized Budget
101,zenbit-eth,zenbiteth/sparkz,MIT,,2.0,4.0,0xa0e0d386a862f8f1ee625bf5837bfb8ef5a8201d70c459efbe9172602ff3d831,Zengo: Decentralized Budget
102,zenbit-eth,zenbiteth/cleardao,,,,2.0,0xa0e0d386a862f8f1ee625bf5837bfb8ef5a8201d70c459efbe9172602ff3d831,Zengo: Decentralized Budget
103,zenbit-eth,zenbiteth/spacetimedao,,1.0,,4.0,0xa0e0d386a862f8f1ee625bf5837bfb8ef5a8201d70c459efbe9172602ff3d831,Zengo: Decentralized Budget
104,zenbit-eth,zenbiteth/poapcet,,1.0,1.0,3.0,0xa0e0d386a862f8f1ee625bf5837bfb8ef5a8201d70c459efbe9172602ff3d831,Zengo: Decentralized Budget
105,zenbit-eth,zenbiteth/supercities,MIT,,,3.0,0xa0e0d386a862f8f1ee625bf5837bfb8ef5a8201d70c459efbe9172602ff3d831,Zengo: Decentralized Budget
106,zenbit-eth,zenbiteth/zengo,,2.0,2.0,6.0,0xa0e0d386a862f8f1ee625bf5837bfb8ef5a8201d70c459efbe9172602ff3d831,Zengo: Decentralized Budget
107,zenbit-eth,zenbiteth/croissant,MIT,2.0,2.0,5.0,0xa0e0d386a862f8f1ee625bf5837bfb8ef5a8201d70c459efbe9172602ff3d831,Zengo: Decentralized Budget
108,zenbit-eth,zenbiteth/the-wait,MIT,,,1.0,0xa0e0d386a862f8f1ee625bf5837bfb8ef5a8201d70c459efbe9172602ff3d831,Zengo: Decentralized Budget
109,yearn,yearn/zap,MIT,24.0,38.0,2.0,0x4b73a8f4d2e3bf2f6cff7ae014b13fdf8a85d0b33064127e53b81b2b7d365652,Yearn
110,yearn,yearn/apr-oracle,MIT,25.0,40.0,1.0,0x4b73a8f4d2e3bf2f6cff7ae014b13fdf8a85d0b33064127e53b81b2b7d365652,Yearn
111,yearn,yearn/itoken,MIT,71.0,101.0,2.0,0x4b73a8f4d2e3bf2f6cff7ae014b13fdf8a85d0b33064127e53b81b2b7d365652,Yearn
112,yearn,yearn/yearn-docs,GPL-3.0,98.0,134.0,74.0,0x4b73a8f4d2e3bf2f6cff7ae014b13fdf8a85d0b33064127e53b81b2b7d365652,Yearn
113,yearn,yearn/iearn-finance,MIT,254.0,305.0,74.0,0x4b73a8f4d2e3bf2f6cff7ae014b13fdf8a85d0b33064127e53b81b2b7d365652,Yearn
114,yearn,yearn/uniswap-roi,MIT,23.0,41.0,2.0,0x4b73a8f4d2e3bf2f6cff7ae014b13fdf8a85d0b33064127e53b81b2b7d365652,Yearn
115,yearn,yearn/iliquidate-finance,MIT,4.0,26.0,3.0,0x4b73a8f4d2e3bf2f6cff7ae014b13fdf8a85d0b33064127e53b81b2b7d365652,Yearn
116,yearn,yearn/ileverage-finance,MIT,4.0,27.0,2.0,0x4b73a8f4d2e3bf2f6cff7ae014b13fdf8a85d0b33064127e53b81b2b7d365652,Yearn
117,yearn,yearn/iborrow-finance,,4.0,25.0,1.0,0x4b73a8f4d2e3bf2f6cff7ae014b13fdf8a85d0b33064127e53b81b2b7d365652,Yearn
118,yearn,yearn/yswap-finance,MIT,16.0,29.0,1.0,0x4b73a8f4d2e3bf2f6cff7ae014b13fdf8a85d0b33064127e53b81b2b7d365652,Yearn
119,yearn,yearn/ygov-finance,MIT,52.0,116.0,19.0,0x4b73a8f4d2e3bf2f6cff7ae014b13fdf8a85d0b33064127e53b81b2b7d365652,Yearn
120,yearn,yearn/yips,CC0-1.0,45.0,86.0,23.0,0x4b73a8f4d2e3bf2f6cff7ae014b13fdf8a85d0b33064127e53b81b2b7d365652,Yearn
121,yearn,yearn/audit,,37.0,21.0,4.0,0x4b73a8f4d2e3bf2f6cff7ae014b13fdf8a85d0b33064127e53b81b2b7d365652,Yearn
122,yearn,yearn/vaults,MIT,74.0,53.0,12.0,0x4b73a8f4d2e3bf2f6cff7ae014b13fdf8a85d0b33064127e53b81b2b7d365652,Yearn
123,yearn,yearn/yinsure-finance,MIT,18.0,18.0,5.0,0x4b73a8f4d2e3bf2f6cff7ae014b13fdf8a85d0b33064127e53b81b2b7d365652,Yearn
124,yearn,yearn/yearn-audits,,25.0,13.0,3.0,0x4b73a8f4d2e3bf2f6cff7ae014b13fdf8a85d0b33064127e53b81b2b7d365652,Yearn
125,yearn,yearn/yearn-recycle,MIT,52.0,26.0,5.0,0x4b73a8f4d2e3bf2f6cff7ae014b13fdf8a85d0b33064127e53b81b2b7d365652,Yearn
126,yearn,yearn/yearn-protocol,AGPL-3.0,438.0,218.0,37.0,0x4b73a8f4d2e3bf2f6cff7ae014b13fdf8a85d0b33064127e53b81b2b7d365652,Yearn
127,yearn,yearn/ycredit-finance,MIT,8.0,16.0,2.0,0x4b73a8f4d2e3bf2f6cff7ae014b13fdf8a85d0b33064127e53b81b2b7d365652,Yearn
128,yearn,yearn/budget,MIT,33.0,26.0,43.0,0x4b73a8f4d2e3bf2f6cff7ae014b13fdf8a85d0b33064127e53b81b2b7d365652,Yearn
129,yearn,yearn/yuni.finance,MIT,5.0,10.0,3.0,0x4b73a8f4d2e3bf2f6cff7ae014b13fdf8a85d0b33064127e53b81b2b7d365652,Yearn
130,yearn,yearn/yearn-exporter,MIT,92.0,145.0,75.0,0x4b73a8f4d2e3bf2f6cff7ae014b13fdf8a85d0b33064127e53b81b2b7d365652,Yearn
131,yearn,yearn/api.yuni.finance,,2.0,6.0,1.0,0x4b73a8f4d2e3bf2f6cff7ae014b13fdf8a85d0b33064127e53b81b2b7d365652,Yearn
132,yearn,yearn/yearn-starter-pack,MIT,58.0,36.0,3.0,0x4b73a8f4d2e3bf2f6cff7ae014b13fdf8a85d0b33064127e53b81b2b7d365652,Yearn
133,yearn,yearn/yearn-security,,177.0,57.0,20.0,0x4b73a8f4d2e3bf2f6cff7ae014b13fdf8a85d0b33064127e53b81b2b7d365652,Yearn
134,yearn,yearn/yearn-subgraph,MIT,18.0,20.0,12.0,0x4b73a8f4d2e3bf2f6cff7ae014b13fdf8a85d0b33064127e53b81b2b7d365652,Yearn
135,yearn,yearn/yearn-vaults,AGPL-3.0,507.0,312.0,90.0,0x4b73a8f4d2e3bf2f6cff7ae014b13fdf8a85d0b33064127e53b81b2b7d365652,Yearn
136,yearn,yearn/yearn-keeper,MIT,8.0,10.0,1.0,0x4b73a8f4d2e3bf2f6cff7ae014b13fdf8a85d0b33064127e53b81b2b7d365652,Yearn
137,yearn,yearn/ycredit.finance,,37.0,19.0,3.0,0x4b73a8f4d2e3bf2f6cff7ae014b13fdf8a85d0b33064127e53b81b2b7d365652,Yearn
138,yearn,yearn/yearn-api-archived,,23.0,24.0,18.0,0x4b73a8f4d2e3bf2f6cff7ae014b13fdf8a85d0b33064127e53b81b2b7d365652,Yearn
139,yearn,yearn/yoracle.link,,24.0,20.0,4.0,0x4b73a8f4d2e3bf2f6cff7ae014b13fdf8a85d0b33064127e53b81b2b7d365652,Yearn
140,yearn,yearn/governance,MIT,3.0,9.0,1.0,0x4b73a8f4d2e3bf2f6cff7ae014b13fdf8a85d0b33064127e53b81b2b7d365652,Yearn
141,yearn,yearn/yearn-pm,,73.0,14.0,6.0,0x4b73a8f4d2e3bf2f6cff7ae014b13fdf8a85d0b33064127e53b81b2b7d365652,Yearn
142,yearn,yearn/brownie-strategy-mix,AGPL-3.0,168.0,135.0,32.0,0x4b73a8f4d2e3bf2f6cff7ae014b13fdf8a85d0b33064127e53b81b2b7d365652,Yearn
143,yearn,yearn/crv.ape.tax,MIT,24.0,24.0,9.0,0x4b73a8f4d2e3bf2f6cff7ae014b13fdf8a85d0b33064127e53b81b2b7d365652,Yearn
144,yearn,yearn/yearn-token,AGPL-3.0,3.0,10.0,3.0,0x4b73a8f4d2e3bf2f6cff7ae014b13fdf8a85d0b33064127e53b81b2b7d365652,Yearn
145,yearn,yearn/yearn-assets,MIT,20.0,40.0,21.0,0x4b73a8f4d2e3bf2f6cff7ae014b13fdf8a85d0b33064127e53b81b2b7d365652,Yearn
146,yearn,yearn/snapshot-strategy,,14.0,13.0,2.0,0x4b73a8f4d2e3bf2f6cff7ae014b13fdf8a85d0b33064127e53b81b2b7d365652,Yearn
147,yearn,yearn/yearn-finance,MIT,163.0,113.0,58.0,0x4b73a8f4d2e3bf2f6cff7ae014b13fdf8a85d0b33064127e53b81b2b7d365652,Yearn
148,yearn,yearn/yearn-treasury,,4.0,14.0,2.0,0x4b73a8f4d2e3bf2f6cff7ae014b13fdf8a85d0b33064127e53b81b2b7d365652,Yearn
149,yearn,yearn/ygift,,9.0,15.0,7.0,0x4b73a8f4d2e3bf2f6cff7ae014b13fdf8a85d0b33064127e53b81b2b7d365652,Yearn
150,yearn,yearn/ygift-ui,,8.0,22.0,11.0,0x4b73a8f4d2e3bf2f6cff7ae014b13fdf8a85d0b33064127e53b81b2b7d365652,Yearn
151,yearn,yearn/yearn-ui-components,,,15.0,1.0,0x4b73a8f4d2e3bf2f6cff7ae014b13fdf8a85d0b33064127e53b81b2b7d365652,Yearn
152,yearn,yearn/yearn-sdk,MIT,53.0,57.0,37.0,0x4b73a8f4d2e3bf2f6cff7ae014b13fdf8a85d0b33064127e53b81b2b7d365652,Yearn
153,yearn,yearn/yearn-meta,MIT,26.0,59.0,39.0,0x4b73a8f4d2e3bf2f6cff7ae014b13fdf8a85d0b33064127e53b81b2b7d365652,Yearn
154,yearn,yearn/yearn-data,MIT,4.0,12.0,7.0,0x4b73a8f4d2e3bf2f6cff7ae014b13fdf8a85d0b33064127e53b81b2b7d365652,Yearn
155,yearn,yearn/keep3r-jobs,,9.0,16.0,3.0,0x4b73a8f4d2e3bf2f6cff7ae014b13fdf8a85d0b33064127e53b81b2b7d365652,Yearn
156,yearn,yearn/zaps,AGPL-3.0,5.0,16.0,7.0,0x4b73a8f4d2e3bf2f6cff7ae014b13fdf8a85d0b33064127e53b81b2b7d365652,Yearn
157,yearn,yearn/yearn-mainnet-fork,,2.0,11.0,1.0,0x4b73a8f4d2e3bf2f6cff7ae014b13fdf8a85d0b33064127e53b81b2b7d365652,Yearn
158,yearn,yearn/yearn-watch-legacy,AGPL-3.0,29.0,45.0,32.0,0x4b73a8f4d2e3bf2f6cff7ae014b13fdf8a85d0b33064127e53b81b2b7d365652,Yearn
