,project,repo,license,Total Stars,Total Forks,Total Contributors,Project ID,Project Name
0,zora,ourzora/themis,CC0-1.0,29.0,13.0,4.0,0x0bcd7e1f59a78a15a8c481244aaba93b7f690aaece04ffc6e4a55e282afa309c,ZORA
1,zora,ourzora/zora-token-factory-deprecated-,MIT,21.0,10.0,5.0,0x0bcd7e1f59a78a15a8c481244aaba93b7f690aaece04ffc6e4a55e282afa309c,ZORA
2,zora,ourzora/assets,MIT,,2.0,1.0,0x0bcd7e1f59a78a15a8c481244aaba93b7f690aaece04ffc6e4a55e282afa309c,ZORA
3,zora,ourzora/og-image,MIT,1.0,3.0,7.0,0x0bcd7e1f59a78a15a8c481244aaba93b7f690aaece04ffc6e4a55e282afa309c,ZORA
4,zora,ourzora/excluded-uni-airdrop-users,,,2.0,15.0,0x0bcd7e1f59a78a15a8c481244aaba93b7f690aaece04ffc6e4a55e282afa309c,ZORA
5,zora,ourzora/core,GPL-3.0,161.0,75.0,12.0,0x0bcd7e1f59a78a15a8c481244aaba93b7f690aaece04ffc6e4a55e282afa309c,ZORA
6,zora,ourzora/walletconnectswift,MIT,,1.0,1.0,0x0bcd7e1f59a78a15a8c481244aaba93b7f690aaece04ffc6e4a55e282afa309c,ZORA
7,zora,ourzora/walletlink-mobile-sdk,NOASSERTION,,1.0,7.0,0x0bcd7e1f59a78a15a8c481244aaba93b7f690aaece04ffc6e4a55e282afa309c,ZORA
8,zora,ourzora/zorb-zenerator,,8.0,5.0,2.0,0x0bcd7e1f59a78a15a8c481244aaba93b7f690aaece04ffc6e4a55e282afa309c,ZORA
9,zora,ourzora/zora-v1-subgraph,MIT,27.0,15.0,5.0,0x0bcd7e1f59a78a15a8c481244aaba93b7f690aaece04ffc6e4a55e282afa309c,ZORA
10,zora,ourzora/web3.swift,MIT,,2.0,0.0,0x0bcd7e1f59a78a15a8c481244aaba93b7f690aaece04ffc6e4a55e282afa309c,ZORA
11,zora,ourzora/media-metadata-schemas,,29.0,15.0,13.0,0x0bcd7e1f59a78a15a8c481244aaba93b7f690aaece04ffc6e4a55e282afa309c,ZORA
12,zora,ourzora/zdk,MIT,105.0,41.0,30.0,0x0bcd7e1f59a78a15a8c481244aaba93b7f690aaece04ffc6e4a55e282afa309c,ZORA
13,zora,ourzora/cryptomedia,MIT,6.0,5.0,3.0,0x0bcd7e1f59a78a15a8c481244aaba93b7f690aaece04ffc6e4a55e282afa309c,ZORA
14,zora,ourzora/cli,MIT,5.0,3.0,1.0,0x0bcd7e1f59a78a15a8c481244aaba93b7f690aaece04ffc6e4a55e282afa309c,ZORA
15,zora,ourzora/web3.swift-1,MIT,1.0,3.0,6.0,0x0bcd7e1f59a78a15a8c481244aaba93b7f690aaece04ffc6e4a55e282afa309c,ZORA
16,zora,ourzora/zora.gallery,MIT,9.0,14.0,4.0,0x0bcd7e1f59a78a15a8c481244aaba93b7f690aaece04ffc6e4a55e282afa309c,ZORA
17,zora,ourzora/auction-house,,153.0,74.0,16.0,0x0bcd7e1f59a78a15a8c481244aaba93b7f690aaece04ffc6e4a55e282afa309c,ZORA
18,zora,ourzora/nft-hooks,GPL-3.0,130.0,33.0,14.0,0x0bcd7e1f59a78a15a8c481244aaba93b7f690aaece04ffc6e4a55e282afa309c,ZORA
19,zora,ourzora/nft-components,GPL-3.0,100.0,37.0,14.0,0x0bcd7e1f59a78a15a8c481244aaba93b7f690aaece04ffc6e4a55e282afa309c,ZORA
20,zora,ourzora/doge-nft,,32.0,14.0,5.0,0x0bcd7e1f59a78a15a8c481244aaba93b7f690aaece04ffc6e4a55e282afa309c,ZORA
21,zora,ourzora/create-auction-house,MIT,120.0,44.0,17.0,0x0bcd7e1f59a78a15a8c481244aaba93b7f690aaece04ffc6e4a55e282afa309c,ZORA
22,zora,ourzora/nft-metadata,MIT,61.0,12.0,11.0,0x0bcd7e1f59a78a15a8c481244aaba93b7f690aaece04ffc6e4a55e282afa309c,ZORA
23,zora,ourzora/v3,MIT,364.0,69.0,28.0,0x0bcd7e1f59a78a15a8c481244aaba93b7f690aaece04ffc6e4a55e282afa309c,ZORA
24,zora,ourzora/hollyplus-minting-contract,,4.0,2.0,1.0,0x0bcd7e1f59a78a15a8c481244aaba93b7f690aaece04ffc6e4a55e282afa309c,ZORA
25,zora,ourzora/simple-wallet-provider,MIT,15.0,4.0,4.0,0x0bcd7e1f59a78a15a8c481244aaba93b7f690aaece04ffc6e4a55e282afa309c,ZORA
26,zora,ourzora/manage-auction-hooks,MIT,4.0,7.0,2.0,0x0bcd7e1f59a78a15a8c481244aaba93b7f690aaece04ffc6e4a55e282afa309c,ZORA
27,zora,ourzora/nft-editions,GPL-3.0,162.0,49.0,12.0,0x0bcd7e1f59a78a15a8c481244aaba93b7f690aaece04ffc6e4a55e282afa309c,ZORA
28,zora,ourzora/zora-docs,,95.0,53.0,39.0,0x0bcd7e1f59a78a15a8c481244aaba93b7f690aaece04ffc6e4a55e282afa309c,ZORA
