project_name,Median,Median (exclude 0s),Mean,Quadratic,variance,category
Galxe,85,90,64,69,0.1618607713925534,Median (exclude 0s)
GasHawk,45,43,22,34,0.29133579115837543,Median
Gaslite,49,48,29,45,0.21807978590170754,Median
Gelato,76,73,69,96,0.15304306828823863,Quadratic
Geo Web,32,38,22,26,0.23728813559322035,Median (exclude 0s)
Gitcoin,178,172,188,191,0.04832998723995907,No difference
Gitcoin Passport,99,95,109,106,0.06255856907056394,No difference
GiveStation youbuidl,7,10,12,13,0.25197631533948484,Quadratic (longtail)
Giveth,148,143,134,157,0.06604139887926494,No difference
Giveth Web3 House,49,67,110,50,0.4138267004220687,Mean
GoPlus Security,37,48,28,18,0.3905334359887973,Median (exclude 0s)
Gov,19,18,23,16,0.154943173093471,Mean
Grandine,42,48,38,27,0.22828136790908557,Median (exclude 0s)
Grateful,49,48,35,31,0.2234566606077339,Median
Gravity DAO,27,29,25,40,0.2215533803072518,Quadratic
GreenPill Network,22,33,43,34,0.260676523243716,Mean
Gregs,49,48,41,42,0.09072184232530288,No difference
Guildxyz,99,95,64,99,0.18978839957388086,Median
HER LATAM,21,22,29,44,0.3660157086917392,Quadratic
Hardhat,287,281,251,301,0.07525466966323384,No difference
Hardhat Tracer,66,64,53,44,0.1804913428817557,Median
Hats Protocol,79,76,135,71,0.3325792120729388,Mean
Hedgey,55,53,74,47,0.20388851580661577,Mean
Hitasyurek,5,5,5,10,0.4,Quadratic (longtail)
Holograph,79,76,46,33,0.386415540357515,Median
Holonym,64,62,37,44,0.2575080129808782,Median
Hop DAO,49,60,111,80,0.3628692244791146,Mean
Hypercerts,94,91,63,77,0.17532162611562338,Median
IC3,49,48,188,96,0.6904367308679953,Mean
IDriss,49,48,33,25,0.30269915371893175,Median
IPFS,227,238,200,202,0.08650775339019767,No difference
ITU Blockchain,30,29,34,57,0.35142039823592525,Quadratic
Iggy Social,39,37,20,27,0.28889448176122334,Median
Immunefi,129,191,137,102,0.2669333228979068,Median (exclude 0s)
Impersonator,72,70,50,47,0.2188035165304143,Median
Inbest Program,10,10,8,18,0.3856270926275383,Quadratic (longtail)
Index Supply,57,57,107,40,0.44389361206308714,Mean
Infinity Wallet,25,24,20,20,0.11820025346861047,Median
Interface,39,37,26,36,0.1681825621790262,Median
International,5,5,7,13,0.5047918529600243,Quadratic (longtail)
Inverter Network,25,24,29,24,0.09335200560186732,No difference
Invest in Music,22,24,100,22,0.920908552657796,Mean
Ipsilon,99,95,115,78,0.15706400455694297,Mean
Ivan Molto,19,18,12,12,0.2475355552547787,Median
JEFE TOKEN,12,21,12,10,0.3581402837016765,Median (exclude 0s)
Jessys Hacker House,54,52,73,57,0.161980465387926,Mean
JiffyScan,74,72,66,69,0.0498220640569395,No difference
JobStash,17,19,14,20,0.15118578920369088,Quadratic (longtail)
Josh The,25,24,97,33,0.7835846940792506,Mean
KManuS88,5,5,6,10,0.36622709889963334,Quadratic (longtail)
Kairos Research,17,17,25,29,0.2727272727272727,Quadratic
KaitoCoffeeTimes,5,7,7,10,0.2843521121115628,Quadratic (longtail)
Karma,69,67,46,76,0.20035423229953622,Quadratic
Keccak hashing,82,79,108,88,0.14619594790700155,Mean
Kernel,99,95,153,145,0.24588176091520336,Mean
Keyring,18,24,23,17,0.1713114431358169,Median (exclude 0s)
Kiwi News,29,28,31,34,0.08674594462506854,No difference
Kredeum NFTs Factory,15,14,20,15,0.1692508000965825,Mean
Kromatika Finance,25,33,23,20,0.22020894148663073,Median (exclude 0s)
KryptoSpace,4,5,4,8,0.36056560925716025,Quadratic (longtail)
KudasaiJP,5,5,12,19,0.653852658955548,Quadratic (longtail)
Kwenta,104,138,153,94,0.22770818047495756,Mean
L2BEAT ,198,191,252,278,0.18350988572389307,Quadratic
LATASHÁ,20,19,24,19,0.1161207874559813,No difference
LXDAO,28,29,36,41,0.18320350885096484,Quadratic
LandTorn Lorak,39,37,24,33,0.20006217587443714,Median
Lattice OPCraft MUD,198,191,266,189,0.17473525095797113,Mean
LauNaMu,46,45,35,71,0.31120794806324886,Quadratic
Launchcaster,39,37,20,35,0.2642882885007386,Median
Layer 2 Weekly,10,10,13,14,0.1754513032177728,Quadratic (longtail)
Layer3,49,48,53,65,0.1452076833980539,Quadratic
LearnWeb3,49,48,33,49,0.1753632382419896,Median
