slug,# GitHub Repos,Date First Commit,Total Stars,Total Forks,Total Contributors,Contributors Last 6 Months,Avg Monthly Active Devs Last 6 Months,# OP Contracts,Date First Txn,Total Onchain Users,Onchain Users Last 6 Months,Total Txns,Total Txn Fees (ETH),Txn Fees Last 6 Months (ETH),# NPM Packages,Date First Download,Total Downloads,Downloads Last 6 Months
vyperlang,10,2016-11-11,4679.0,845.0,454,39,1.8333333333333333,0,,0,0,,,,0,,,
waffle-truefieng,1,2018-08-23,952.0,179.0,206,7,0.0,0,,0,0,,,,1,2018-08-03,8914666.0,2222143.0
wagmi-dev,11,2021-11-23,5066.0,723.0,1149,569,2.6666666666666665,0,,0,0,,,,7,2021-11-04,32385019.0,21310226.0
wakeuplabs,9,2021-10-04,2.0,1.0,17,3,0.0,0,,0,0,,,,0,,,
wallet-abstraction-qd-qd,1,2023-09-23,12.0,3.0,3,3,0.3333333333333333,0,,0,0,,,,0,,,
wallet-guard,3,2023-02-16,28.0,5.0,9,7,0.6666666666666666,0,,0,0,,,,0,,,
web3,6,2014-10-22,18067.0,5033.0,1989,147,0.16666666666666666,0,,0,0,,,,1,2015-04-07,88758929.0,15041936.0
weekinethnews,3,2021-06-01,3.0,,1,1,0.0,0,,0,0,,,,0,,,
whatsabi-shazow,1,2022-09-20,883.0,51.0,16,7,0.6666666666666666,0,,0,0,,,,1,2022-09-27,39370.0,32265.0
wighawag,5,2020-03-24,1103.0,248.0,287,36,1.0,0,,0,0,,,,1,2020-10-20,4847929.0,1867035.0
wildcards-protocol,4,2023-05-02,1.0,,2,2,0.6666666666666666,0,,0,0,,,,0,,,
withtally,31,2020-12-30,66.0,11.0,51,7,1.3333333333333333,0,,0,0,,,,0,,,
wtfacademy,37,2022-07-23,2205.0,373.0,260,68,3.3333333333333335,1,2023-07-30,1,1,3.0,2.875826773e-09,2.875826773e-09,0,,,
xkcp,1,2013-06-28,539.0,197.0,98,5,0.0,0,,0,0,,,,0,,,
yearn,126,2018-10-19,507.0,312.0,556,66,7.166666666666667,72,2022-08-06,32103,32077,144571.0,0.5494065944354831,0.54935937162765,0,,,
yokifinance,2,2023-05-09,,1.0,4,3,0.6666666666666666,1,2023-09-04,6,6,6.0,2.5356921699029e-05,2.5356921699029e-05,0,,,
zenbit-eth,29,2020-10-10,3.0,4.0,34,8,1.5,0,,0,0,,,,0,,,
zeroknowledgefm,5,2018-11-07,22.0,6.0,6,0,,0,,0,0,,,,0,,,
zora,73,2009-11-30,364.0,75.0,894,48,5.833333333333333,4,2023-05-10,2904,2904,5053.0,0.10974208856258505,0.10974208856258505,0,,,
