date,forecasted_Transaction Count,forecasted_Active Users,forecasted_Unique Users,forecasted_Total Transferred,forecasted_Net Transferred
2024-09-14,0.0,0.0,0.0,0.0,0.0527580154523677
2024-09-15,0.0,0.0,0.0,0.0,0.1273208654019084
2024-09-16,0.0,0.0,0.0,0.0,0.167947728488108
2024-09-17,-3.4961651635810003e-06,0.0,0.0,0.0,-0.3581899779828909
2024-09-18,-2.621769441726112e-06,0.0,0.0,0.0,-0.6844863339818595
2024-09-19,-7.631259903674097e-06,0.0,0.0,0.0,-0.4741988528000109
2024-09-20,0.0,0.0609242152259921,-7.192291879532461e-06,3.7789152591889446e-10,0.0
2024-09-21,0.0,0.0446815374462528,-1.5739086407361832e-05,2.1854114992449623e-10,0.0
2024-09-22,0.0,0.0632608190485043,-1.0044879853668278e-05,1.6755938221133387e-10,0.0
2024-09-23,0.0,0.0512783251451082,9.55425119482664e-10,8.748626176080883,0.0475369852851568
2024-09-24,0.0,0.0624295452511626,1.0430379178293246e-09,10.788107759029185,0.111358554097533
2024-09-25,0.0,0.0533961297073429,1.318153633902404e-09,13.688807850143617,0.0960287395977368
2024-09-26,0.0,0.0987745293409002,0.0,0.0,0.0
2024-09-27,0.0,0.1049997353415445,0.0,0.0,0.0
2024-09-28,0.0,0.0771741807642215,0.0,0.0,0.0
2024-09-29,0.0,0.0863495477368957,9.476142938607796e-10,0.0,0.0
2024-09-30,0.0,0.1057503590721296,8.484510150645244e-10,0.0,0.0
2024-10-01,0.0,0.0906701176470201,1.1796233719498202e-09,0.0,0.0
2024-10-02,1.0252453814696924e-09,0.0441752661987282,0.0,5.296019636495467e-10,0.0484033004531487
2024-10-03,1.1689591560380382e-09,0.0802902680568722,0.0,1.0118787516061739e-10,0.0752281840738986
2024-10-04,1.1478384700447152e-09,0.0484121274082159,0.0,8.6910697028076e-11,0.0719422036838666
2024-10-05,0.0,0.0367102900293397,0.0,0.0,0.1086119729232517
2024-10-06,0.0,0.049983620883083,0.0,0.0,0.1053948126073011
2024-10-07,0.0,0.0402803306846786,0.0,0.0,0.0901618438880732
2024-10-08,0.0,0.0498435644234319,0.0,0.0,-0.0791414353869376
2024-10-09,0.0,0.0402949051801254,0.0,0.0,0.0
2024-10-10,0.0,0.0448067101221378,0.0,0.0,0.0
2024-10-11,1.2015812662244422e-09,0.1161462217344269,0.0,4.267712789537565,0.0
2024-10-12,1.0580029762549182e-09,0.091165854800458,0.0,5.266197066280731,0.0
2024-10-13,1.0504959648316871e-09,0.0796446820245917,0.0,4.8992950754394835,0.0
2024-10-14,0.0,0.0256667266807234,0.0,8.009738259111715e-10,5.103574443290112e-10
2024-10-15,0.0,0.0290519782518122,0.0,5.155095338650406e-10,5.131350442203609e-10
2024-10-16,0.0,0.0232459634248822,0.0,3.8813201768078397e-10,3.0295940318374515e-10
2024-10-17,0.0,0.036036552582958,0.0,0.1446569443813332,0.0246604891900605
2024-10-18,0.0,0.0536802297233642,0.0,0.1691229831199981,0.0661612534171781
2024-10-19,0.0,0.0534851170010559,0.0,0.172223588486221,0.0462769260891506
2024-10-20,0.0282491762237162,0.0488814181654016,0.0,0.0,0.0379347324202714
2024-10-21,0.0230729647034211,0.0361382707674977,0.0,0.0,0.0354554802270676
2024-10-22,0.0242751867436547,0.0454171473277301,0.0,0.0,0.0388824374194598
2024-10-23,0.0,0.0583400073195468,0.0,4.338867810362538,0.041152981157472
2024-10-24,0.0,0.0560048951797723,0.0,3.3304642956254584,0.024509484844805
2024-10-25,0.0,0.0459039083909523,0.0,3.177693188307952,0.0426862685295379
2024-10-26,0.0367301787642191,0.0234933491553766,0.0,1.07009093950155,0.0335794225537103
2024-10-27,0.0131589641762877,0.0723064798657089,0.0,0.7513041839645564,0.034792868212969
2024-10-28,0.00923435706272,0.0337365537263114,0.0,1.427137758353929,0.0353504038812896
2024-10-29,0.0,0.1034985902437659,0.035739909769236,0.2364760165119702,0.005892412793492
2024-10-30,0.0,0.0697216252102326,0.02080380634283,0.189229981446841,0.0121526803268344
2024-10-31,0.0,0.1071022053808276,0.0198175656393018,0.3195542683363356,0.0199355796603854
2024-11-01,-0.0225145687091636,0.0752840671389708,0.0002869365632461,0.2973477083036372,0.0308816067042092
2024-11-02,-0.0254749278578945,0.1468023155750855,0.0022936437748491,0.4086487894202835,0.0414623032512973
2024-11-03,-0.0138951951732041,0.1255010218316082,0.0014701328350512,0.4231828816851715,0.0438479564692875
2024-11-04,0.0009314900036659,0.0345916116525011,0.0009210298831804,6.563750070507472,0.0146972219628653
2024-11-05,0.0018377115683945,0.056929746411643,0.0020941928735111,5.345200615324309,0.0225966747408226
2024-11-06,0.0028037419619406,0.0476578733282656,0.0016030487768562,6.040011188619287,0.0217107880138912
2024-11-07,0.0018047735416787,0.0509749012145011,0.023186939316101,1.6481527376221103,0.0233003812882537
2024-11-08,0.0026477100707598,0.0787831336161931,0.0207064498233646,1.5109187411582952,0.0331510577232156
2024-11-09,0.0016280932374052,0.0660103816678463,0.043028301217355,0.8442832216471562,0.0275936948273539
2024-11-10,0.0,0.0650712824486752,0.0,0.1284162892876373,0.0151213923186001
2024-11-11,0.0,0.091373429021578,0.0,0.3904881931628935,0.0524662391436873
2024-11-12,0.0,0.0671217399047367,0.0,0.3954078455084632,0.031039116316978
2024-11-13,0.0,0.0673515574104391,0.0099719196045383,1.985967954580352,0.0228525958422433
2024-11-14,0.0,0.0763828642079329,0.0102698631488622,1.656891114934318,0.0067236103220135
2024-11-15,0.0,0.0733961972882296,0.0079336792136084,1.613272970122691,0.0052062610399458
