transaction_name,transaction_name_url,organization_name,organization_name_url,funding_type,money_raised,money_raised_currency,money_raised_usd,announced_date,funding_stage,pre_money_valuation,pre_money_valuation_currency,pre_money_valuation_usd,equity_only_funding,sentiment,total_funding_amount,total_funding_amount_currency,total_funding_amount_usd,number_of_funding_rounds,lead_investors,investor_names,number_of_investors,number_of_partner_investors,organization_website
Seed Round - TransCrypts,https://www.crunchbase.com/funding_round/transcrypts-seed--7466f001,TransCrypts,https://www.crunchbase.com/organization/transcrypts,Seed,15000000,USD,15000000,2025-10-08,Seed,,,,Yes,,20620000,USD,20620000,6,Pantera Capital,"Alpha Edison, Alumni Ventures, Apertu Capital, Asymmetry Ventures, Atland Ventures, California Innovation Fund, Faction, Global Millennial Capital, Informed Ventures, Mark Cuban, Motley Fool Ventures, Pantera Capital, Protocol Labs, Techstars, Tomer London",15,3,https://www.transcrypts.com
Seed Round - Belfort,https://www.crunchbase.com/funding_round/belfort-4c49-seed--4a53fff2,Belfort,https://www.crunchbase.com/organization/belfort-4c49,Seed,6000000,USD,6000000,2025-09-25,Seed,,,,Yes,,6000000,USD,6000000,1,Vsquared Ventures,"Anagram, Benjamin Johnston, Credibly Neutral, David Tse, George Danezis, Gert Lanckriet, Gullaume verdon, Inovia Capital, Jan Rabaey, Jeff Dean, Jim Matheson, Naval Ravikant, Nicolas Pinto, Protocol VC, Prototype Capital, subhasish mitra, Syndicate One, Thibault Sottiaux, Thomas France, Vsquared Ventures, Willem Delbare",21,,https://belfortlabs.com
Series A - Spruce,https://www.crunchbase.com/funding_round/spruce-systems-series-a--f418224b,Spruce,https://www.crunchbase.com/organization/spruce-systems,Series A,34000000,USD,34000000,2022-04-20,Early Stage Venture,,,,Yes,,41645000,USD,41645000,4,Andreessen Horowitz,"A.Capital Ventures, Alex Pruden, Andreessen Horowitz, Anthony Sassano, Benjamin Jack, Dev Ojha, Ejaaz Ahamadeen, Electric Capital, Ethereal Ventures, Gemini Frontier Fund, Jeromy Johnson, Juan Benet, Matias Woloski, Matt Condon, Matt Luongo, Okta Ventures, Orange DAO, Protocol Labs, Robot Ventures, Ryan Li, SCB 10X, Scott Belsky, Sunny Aggarwal, SV Angel, Teck Chia, Third Kind Venture Capital, Viktor Bunin, Will Villanueva, William Allen, Y Combinator",30,1,https://www.spruceid.com
Series C - Precision Neuroscience,https://www.crunchbase.com/funding_round/precision-neuroscience-series-c--858ab8d6,Precision Neuroscience,https://www.crunchbase.com/organization/precision-neuroscience,Series C,102000000,USD,102000000,2024-11-06,Late Stage Venture,398000000,USD,398000000,Yes,,155000000,USD,155000000,3,"Alumni Ventures, General Equity Holdings","Alumni Ventures, B Capital, Duquesne Family Office, Forepont Capital Partners, General Equity Holdings, Korean Investment Partners, Mubadala Capital, Protocol Labs, Riverhorse Investments, SCI Ventures, Soleus Capital, Steadview Capital",12,4,https://precisionneuro.io
Seed Round - Notifi,https://www.crunchbase.com/funding_round/notifi-seed--5c8b2bbe,Notifi,https://www.crunchbase.com/organization/notifi,Seed,10000000,USD,10000000,2022-11-09,Seed,,,,Yes,,12500000,USD,12500000,2,"Hashed, Race Capital","AlphaLab, Alumni Ventures, Artichoke Capital, Bison Fund Management, Caladan, Cherubic Ventures, East Ventures, Goodwater Capital, Hashed, Hudson River Trading, LongHash Ventures, MetaWeb Ventures, NFTBank, Plum Ventures, Pontem Network, Protocol Labs, Quantstamp, Race Capital, Struck Crypto, Superscrypt, Tess Ventures, Wintermute Ventures",22,3,https://notifi.network/
Series B - Zama,https://www.crunchbase.com/funding_round/zama-aa23-series-b--1d09e771,Zama,https://www.crunchbase.com/organization/zama-aa23,Series B,57000000,USD,57000000,2025-06-25,Early Stage Venture,943000000,USD,943000000,Yes,,139272392,USD,139272392,5,"Blockchange Ventures, Pantera Capital","Blockchange Ventures, GSR, Julien Bouteloup, Pantera Capital",4,2,https://zama.ai
Seed Round - Privy,https://www.crunchbase.com/funding_round/privy-4265-seed--95079e2b,Privy,https://www.crunchbase.com/organization/privy-4265,Seed,8300000,USD,8300000,2022-04-20,Seed,,,,Yes,,41300000,USD,41300000,3,"BlueYard Capital, Sequoia Capital","Aaron Harris, Aaron Henshaw, Alexander Lange, Ali Rowghani, Archetype, Barron Jeter, Ben Fisch, BlueYard Capital, BoxGroup, Brad Burnham, Chad Byers, Charlie Songhurst, Chris Waclawek, Colfax Selby, Diogo Mónica, Ela Madej, Electric Capital, Garry Tan, John Zannos, Joseph Lallouz, Juan Benet, Jutta Steiner, Kevin Zhang, Molly Mackinlay, Nicholas Chirls, Pamir Gelenbe, Protocol Labs, Romain Huet, Sabrina Hahn, Sequoia Capital, Sina Habibian, Thomas Bailey",32,,https://www.privy.io
Venture Round - Impossible Cloud Network,https://www.crunchbase.com/funding_round/impossible-cloud-network-series-unknown--d2e085b4,Impossible Cloud Network,https://www.crunchbase.com/organization/impossible-cloud-network,Venture - Series Unknown,34000000,USD,34000000,2025-05-22,,436000000,USD,436000000,Yes,,65000000,USD,65000000,5,NGP Capital,"1kx, HV Capital, NGP Capital, NoLimit Holdings, Protocol Labs",5,5,https://icn.global
Seed Round - FrodoBots Lab,https://www.crunchbase.com/funding_round/frodobots-lab-seed--2715ea57,FrodoBots Lab,https://www.crunchbase.com/organization/frodobots-lab,Seed,6000000,USD,6000000,2025-02-13,Seed,,,,Yes,,6000000,USD,6000000,1,Protocol VC,"Anatoly Yakovenko, Big Brain Holdings, Fabric Ventures, Nim Network, Permanent Ventures, Protocol VC, Raj Gokal, Sfermion, Solana Ventures, Stateless Ventures, Tioga Capital Partners, Virtuals Protocol, Zee Prime Capital",13,1,https://www.frodobots.ai
Pre Seed Round - Polybase,https://www.crunchbase.com/funding_round/polybase-pre-seed--7c0928c8,Polybase,https://www.crunchbase.com/organization/polybase,Pre-Seed,2000000,USD,2000000,2023-02-22,Seed,,,,Yes,,2000000,USD,2000000,1,6th Man Ventures,"6th Man Ventures, Alumni Ventures, CMT Digital, NGC Ventures, Orange DAO, Protocol Labs, Upfront Ventures",7,3,https://polybase.xyz
Venture Round - Privy,https://www.crunchbase.com/funding_round/privy-4265-series-unknown--5a0bce45,Privy,https://www.crunchbase.com/organization/privy-4265,Venture - Series Unknown,15000000,USD,15000000,2025-03-19,,,,,Yes,,41300000,USD,41300000,3,Ribbit Capital,"BlueYard Capital, Coinbase, Paradigm, Ribbit Capital, Sequoia Capital",5,,https://www.privy.io
Seed Round - Syndicate,https://www.crunchbase.com/funding_round/syndicate-a949-seed--4dcf9f7f,Syndicate,https://www.crunchbase.com/organization/syndicate-a949,Seed,800000,USD,800000,2021-06-30,Seed,,,,Yes,,27800000,USD,27800000,4,,"Alana Podrx, Alex Masmej, Alexis Gauba, Aliaksandr Hudzilin, Anastasia Andrianova, Andrew Steinwold, Aya Kantorovich, Baek Kyoum Kim, Balaji Srinivasan, Beryl Li, Blake West, Bo Shao, Bobby Ong, Brian Flynn, Calvin Liu, Carlos Gomes, Christy Choi, Colleen Sullivan, Courtney Chow, Cuy Sheffield, David Kim, Derek Hsue, Do Kwon, Driss Benamour, Erik Syvertsen, Erikan Obotetukudo, Gabby Dizon, George Lambeth, Illia Polosukhin, Jacob Horne, Jake Chervinsky, James Foley, James Young, Jason Choi, Jazear Brooks, Jean COSTA, Jeff Garzik, Jeff Morris Jr., Jeremy Allaire, Jess Sloss, Joon Ian Wong, Joris Delanoue, Joyce Yang, Julia Lipton, Justin Ridgely, Justine Humenansky, Kaito Cunningham, Kazufumi i., Kenneth White, Kevin Chou, Kevin Nielsen, Kieran Warwick, Kinsa Durst, Kristie Huang, Larry Sukernik, Leighton Cusack, Li Jin, Luis Cuende, Mark Roszak, Matthew Roszak, Meltem Demirors, Micah Johnson, Michael Bloch, Michael Sall, Michael Zajko, Mildred Idada, Min Teo, Nathalie McGrath, Nathan McCauley, Nathaniel Whittemore, Nitya Subramanian, Noah Jessop, Patrick Chang, Prabhakar Reddy, Rahul Vohra, Raj Gokal, Ramon Recuero, Regan Bozman, Rene Reinsberg, Robert Bent, Rogue VC, Ryan Selkis, Scott Moore, Sebastian Delgado, Sina Habibi, Sriram Krishnan, Stani Kulechov, Steve Blank, Steve Weinstein, Thibauld Favre, Todd Goldberg, Tom Bedecarre, Tyler Scott Ward, Vanessa Slavich, WSB Mod, Xochitl Cazador",96,,https://syndicate.io/
Venture Round - Hex Trust,https://www.crunchbase.com/funding_round/hex-trust-series-unknown--c9279133,Hex Trust,https://www.crunchbase.com/organization/hex-trust,Venture - Series Unknown,,,,2025-02-02,,,,,Yes,,131000000,USD,131000000,7,Morgan Creek Digital,"Injective, Morgan Creek Digital",2,1,https://www.hextrust.com
Seed Round - Origami,https://www.crunchbase.com/funding_round/origami-ed33-seed--e7bd2849,Origami,https://www.crunchbase.com/organization/origami-ed33,Seed,6200000,USD,6200000,2022-04-26,Seed,,,,Yes,,6200000,USD,6200000,1,Bloomberg Beta,"AppWorks, Balaji Srinivasan, BAM Ventures, Betaworks, Bloomberg Beta, Dermot O'Riordan, Dylan Field, MatterScale Ventures, Mirana, Orange DAO, Portofino Technologies, Protocol Labs, PruVen Capital, Valor Capital Group, VC3 DAO, Wave Digital Assets",16,1,https://joinorigami.com/
Series A - Bluesky,https://www.crunchbase.com/funding_round/bluesky-514d-series-a--8cb09e57,Bluesky,https://www.crunchbase.com/organization/bluesky-514d,Series A,15000000,USD,15000000,2024-10-24,Early Stage Venture,,,,Yes,,36000000,USD,36000000,3,"Alumni Ventures, Blockchain Capital","Alumni Ventures, Amir Shevat, Blockchain Capital, Darkmode Ventures, Eterna Capital, Joseph Beda, SevenX Ventures, True Ventures",8,2,https://bsky.social
Series A - Cryptio,https://www.crunchbase.com/funding_round/cryptio-series-a--b988972b,Cryptio,https://www.crunchbase.com/organization/cryptio,Series A,15000000,USD,15000000,2025-01-29,Early Stage Venture,,,,Yes,,26225000,USD,26225000,5,Alven,"1kx, Alven, BitGo Ventures, BlueYard Capital, Draper Associates, Ledger Cathay Capital, Point Nine",7,,https://cryptio.co
