transaction_name,transaction_name_url,organization_name,organization_name_url,funding_type,money_raised,money_raised_currency,money_raised_usd,announced_date,funding_stage,pre_money_valuation,pre_money_valuation_currency,pre_money_valuation_usd,equity_only_funding,sentiment,total_funding_amount,total_funding_amount_currency,total_funding_amount_usd,number_of_funding_rounds,lead_investors,investor_names,number_of_investors,number_of_partner_investors,organization_website
Seed Round - Huddle01,https://www.crunchbase.com/funding_round/huddle-01-seed--ef29c5c2,Huddle01,https://www.crunchbase.com/organization/huddle-01,Seed,2800000,USD,2800000,2023-04-06,Seed,,,,Yes,,4600000,USD,4600000,2,Hivemind Capital Partners,"Balaji Srinivasan, Dan Romero, East Ventures, Good News Ventures, Hivemind Capital Partners, Juan Benet, LongHash Ventures, M31 Capital, Protocol Labs, Stani Kulechov, Superscrypt",11,1,https://huddle01.com/
Seed Round - Jupe,https://www.crunchbase.com/funding_round/jupe-seed--c4acf001,Jupe,https://www.crunchbase.com/organization/jupe,Seed,1100000,USD,1100000,2025-04-01,Seed,,,,Yes,,15600000,USD,15600000,5,,,,,http://www.jupe.com
Seed Round - Reppo Labs,https://www.crunchbase.com/funding_round/reppo-labs-seed--603bc318,Reppo Labs,https://www.crunchbase.com/organization/reppo-labs,Seed,2200000,USD,2200000,2025-01-17,Seed,,,,Yes,,3000000,USD,3000000,2,,"Charles Songhurst, CMS Holdings, CV VC, Dieter Fishbein, Javid James, Nicolas Pinto, Protocol Labs, Thomas France",8,,https://reppo.xyz/
Seed Round - Cubist,https://www.crunchbase.com/funding_round/cubist-seed--5230410e,Cubist,https://www.crunchbase.com/organization/cubist,Seed,7000000,USD,7000000,2023-03-09,Seed,,,,Yes,,7000000,USD,7000000,2,Polychain,"Amplify Partners, Axelar Network, Bessemer Venture Partners, Blizzard Fund, dao5, Divergence Ventures, Geometry Research, Notation Capital, Polychain, Polygon, Protocol Labs, Robot Ventures, Symbolic Capital, Very Serious Ventures, zkValidator",15,3,https://cubist.dev
Seed Round - Sepana,https://www.crunchbase.com/funding_round/sepana-seed--d95e134b,Sepana,https://www.crunchbase.com/organization/sepana,Seed,10000000,USD,10000000,2022-11-08,Seed,,,,Yes,,10000000,USD,10000000,1,"Hack VC, Pitango VC","8VC, Atka Capital, Balaji Srinivasan, Collab+Currency, Collider, D1 Ventures, Hack VC, Lattice Capital, Pitango VC, Protocol Labs, Tagus Capital, Truffle Ventures, Zee Prime Capital",13,,https://sepana.io
Pre Seed Round - Compute Labs,https://www.crunchbase.com/funding_round/compute-labs-pre-seed--14978ba8,Compute Labs,https://www.crunchbase.com/organization/compute-labs,Pre-Seed,3000000,USD,3000000,2024-07-03,Seed,27000000,USD,27000000,Yes,,3000000,USD,3000000,1,Protocol Labs,"Amber Group, Austin Federa, Blockchain Coinvestorsqq, CMS Holdings, HashKey Capital, Illia Polosukhin, OKX Ventures, Paul Taylor, Polygon Ventures, Protocol Labs, Sandeep Nailwal",11,,https://www.computelabs.ai
Pre Seed Round - Randamu,https://www.crunchbase.com/funding_round/randamu-ag-pre-seed--b3a0f4ee,Randamu,https://www.crunchbase.com/organization/randamu-ag,Pre-Seed,3300000,USD,3300000,2024-11-20,Seed,,,,Yes,,3450000,USD,3450000,2,Protocol Labs,Protocol Labs,1,1,https://randa.mu
Seed Round - Exabits AI,https://www.crunchbase.com/funding_round/exabits-ai-seed--67bc0f86,Exabits AI,https://www.crunchbase.com/organization/exabits-ai,Seed,15000000,USD,15000000,2024-12-10,Seed,135000000,USD,135000000,Yes,,15050000,USD,15050000,2,Hack VC,Hack VC,1,1,https://exabits.ai
Venture Round - Lava Network,https://www.crunchbase.com/funding_round/lava-network-series-unknown--56b04231,Lava Network,https://www.crunchbase.com/organization/lava-network,Venture - Series Unknown,12000000,USD,12000000,2025-01-09,,,,,Yes,,27000000,USD,27000000,4,,"Animoca Brands, CoinGecko, Gate, iAngels, Sandeep Nailwal",5,,https://www.lavanet.xyz
Convertible Note - Impossible Cloud,https://www.crunchbase.com/funding_round/impossible-cloud-convertible-note--b4ce7380,Impossible Cloud,https://www.crunchbase.com/organization/impossible-cloud,Convertible Note,1500000,USD,1500000,2024-12-01,,,,,No,,20043264,USD,20043264,4,,,,,https://www.impossiblecloud.com
Seed Round - web3mine,https://www.crunchbase.com/funding_round/web3mine-seed--18dd17c9,web3mine,https://www.crunchbase.com/organization/web3mine,Seed,6000000,USD,6000000,2023-12-20,Seed,,,,Yes,,6000000,USD,6000000,1,1kx,"1kx, Protocol Labs",2,2,https://web3mine.io
Pre Seed Round - Bagel,https://www.crunchbase.com/funding_round/bagel-network-pre-seed--08b78179,Bagel,https://www.crunchbase.com/organization/bagel-network,Pre-Seed,3100000,USD,3100000,2024-01-23,Seed,,,,Yes,,3100000,USD,3100000,1,CoinFund,"Borderless Capital, Breed VC, CoinFund, Graph Paper Capital, Maven 11 Capital, Protocol Labs",6,1,https://www.bagel.net
Series A - Toku,https://www.crunchbase.com/funding_round/workdao-series-a--e3445ced,Toku,https://www.crunchbase.com/organization/workdao,Series A,,,,2024-05-28,Early Stage Venture,,,,Yes,,20312500,USD,20312500,5,,Kortschak Investments L.P.,1,,https://www.toku.com
Secondary Market - QuickNode,https://www.crunchbase.com/funding_round/quiknode-secondary-market--1d7bd535,QuickNode,https://www.crunchbase.com/organization/quiknode,Secondary Market,,,,2024-01-01,,,,,No,,101900000,USD,101900000,9,,IPOSharks,1,,https://www.quicknode.com
Pre Seed Round - Akave,https://www.crunchbase.com/funding_round/akave-pre-seed--873aa65d,Akave,https://www.crunchbase.com/organization/akave,Pre-Seed,3450000,USD,3450000,2024-11-11,Seed,,,,Yes,,3450000,USD,3450000,1,"Blockchain Builders Fund, Blockchange Ventures, Lightshift Capital, Protocol Labs","Blockchain Builders Fund, Blockchange Ventures, Lightshift Capital, Protocol Labs",4,2,https://www.akave.ai/
Series A - Spexi,https://www.crunchbase.com/funding_round/spexi-geospatial-series-a--23bb0f59,Spexi,https://www.crunchbase.com/organization/spexi-geospatial,Series A,11500000,USD,11500000,2024-12-04,Early Stage Venture,,,,Yes,,17000000,USD,17000000,2,Blockchange Ventures,Blockchange Ventures,1,1,https://spexi.com
Venture Round - Glow Labs,https://www.crunchbase.com/funding_round/glow-labs-4716-series-unknown--a9c1be7f,Glow Labs,https://www.crunchbase.com/organization/glow-labs-4716,Venture - Series Unknown,30000000,USD,30000000,2024-10-31,,,,,Yes,,30000000,USD,30000000,1,"Framework Ventures, Union Square Ventures","Alliance DAO, Framework Ventures, Hack VC, HFO, Lattice Ventures, Protocol Labs, Union Square Ventures",7,1,https://glowlabs.org/
Seed Round - Glif,https://www.crunchbase.com/funding_round/glif-seed--32259495,Glif,https://www.crunchbase.com/organization/glif,Seed,4500000,USD,4500000,2024-02-06,Seed,,,,Yes,,4500000,USD,4500000,1,Multicoin Capital,"Big Brain Holdings, Dialectic, Fenbushi Capital, FinTech Collective, Holon Global Investments, Mana Industries, Multicoin Capital, Protocol Labs, Vinny Lingham, Zee Prime Capital",10,1,https://www.glif.io/en
Series A - Fabric Cryptography,https://www.crunchbase.com/funding_round/fabric-cryptography-series-a--dc5f93eb,Fabric Cryptography,https://www.crunchbase.com/organization/fabric-cryptography,Series A,33000000,USD,33000000,2024-08-19,Early Stage Venture,,,,Yes,,39000000,USD,39000000,2,"1kx, Blockchain Capital","1kx, Alex Vlasov, Ben Fielding, Ben Fisch, Blockchain Capital, Daniel Lubarov, Daniel Shorr, DC builder, Illia Polosukhin, Inflection.xyz, Joseph Andrews, Matter Labs, Offchain Labs, Polygon, Protocol Labs, Sandeep Nailwal, Sandy Peng, Uma Roy",18,2,https://www.fabriccryptography.com/
Pre Seed Round - BentleyRecords.io LLC,https://www.crunchbase.com/funding_round/bentleyrecords-io-llc-pre-seed--0176164f,BentleyRecords.io LLC,https://www.crunchbase.com/organization/bentleyrecords-io-llc,Pre-Seed,250000,USD,250000,2023-08-31,Seed,5000000,USD,5000000,Yes,,250000,USD,250000,1,Brinc,"Animoca Brands, Brinc, Dubai Multi Commodities Centre, Fusang Touzi, Luxo Group International Inc., Maximillian Steinke, Olivex, Prenetics, Protocol Labs, Zilliqa Capital",10,1,https://bentleyrecords.io/
Series A - Chingari,https://www.crunchbase.com/funding_round/chingari-series-a--703fc3c7,Chingari,https://www.crunchbase.com/organization/chingari,Series A,19000000,USD,19000000,2021-10-08,Early Stage Venture,91000000,USD,91000000,Yes,,88423327,USD,88423327,7,"Galaxy Digital, Republic Crypto","100Unicorns, Alameda Research, Cipholio Ventures, Galaxy Digital, Kraken, Metaconomy Capital, NewTribe Capital, Republic Crypto, Shima Capital, Sigurd Venture, Solana Ventures, Valor Equity Partners",12,1,https://chingari.io/
Pre Seed Round - Lumino,https://www.crunchbase.com/funding_round/lumino-dd92-pre-seed--87dce61c,Lumino,https://www.crunchbase.com/organization/lumino-dd92,Pre-Seed,2800000,USD,2800000,2024-03-19,Seed,,,,Yes,,2800000,USD,2800000,2,,"Escape Velocity, Fenbushi Capital, Inception Capital, L2 Iterative Venture, LongHash Ventures, Orange DAO, Protocol Labs, Quaker Capital Investments, LLC, TRGC, Zero Knowledge",10,,https://www.luminolabs.ai
Series B - Celestia,https://www.crunchbase.com/funding_round/lazyledger-series-b--b03f4e13,Celestia,https://www.crunchbase.com/organization/lazyledger,Series B,,,,2022-10-19,Early Stage Venture,,,,Yes,,156500000,USD,156500000,6,Bain Capital Crypto,"300 DAO, Alpha Capital, Alpha Ventures, Bain Capital Crypto, Blockchain Capital, Delphi Ventures, Figment Capital, FTX Ventures, Galaxy Digital, Jump Crypto, Maven 11 Capital, MH Ventures, NFX, Placeholder, Polychain, Protocol Labs, The Spartan Group",17,,https://celestia.org
Seed Round - Blockcast,https://www.crunchbase.com/funding_round/blockcast-seed--a0452a0a,Blockcast,https://www.crunchbase.com/organization/blockcast,Seed,2850000,USD,2850000,2024-10-14,Seed,,,,Yes,,2850000,USD,2850000,1,Lattice Fund,"Alliance DAO, Anatoly Yakovenko, Finality Capital Partners, Glenn Goldstein, Lattice Fund, Protocol Labs, RW3 Ventures, Zee Prime Capital",8,1,https://www.blockcast.net
Pre Seed Round - PiKNiK & Company,https://www.crunchbase.com/funding_round/piknik-company-pre-seed--cf312191,PiKNiK & Company,https://www.crunchbase.com/organization/piknik-company,Pre-Seed,4980000,USD,4980000,2022-12-31,Seed,,,,Yes,,10280000,USD,10280000,3,,"CoinList, Fenbushi Capital, Juan Benet, Keshif Ventures, Morgan Creek Digital, Protocol Labs",6,,https://www.piknik.com
Pre Seed Round - Mosaia,https://www.crunchbase.com/funding_round/mosaia-pre-seed--3fed7afd,Mosaia,https://www.crunchbase.com/organization/mosaia,Pre-Seed,300000,USD,300000,2023-11-01,Seed,,,,Yes,,300000,USD,300000,1,Protocol Labs,Protocol Labs,1,,https://www.mosaia.io/
Series A - Concept Art House,https://www.crunchbase.com/funding_round/concept-art-house-series-a--176963ff,Concept Art House,https://www.crunchbase.com/organization/concept-art-house,Series A,25000000,USD,25000000,2021-10-19,Early Stage Venture,,,,Yes,,25000000,USD,25000000,1,Dapper Labs,"Animoca Brands, Anthos Capital, AppWorks, Blockchain Coinvestorsqq, Dapper Labs, Fabric Ventures, Gabby Dizon, Gala Games, Hashkey Exchange, Jeffrey Zirlin, Kevin Lin, Liberty City Ventures, Mask Network, OneFootball, PKO VC, Polymorphic Capital, Protocol Labs, Redbeard Ventures, Steve Aoki, The Spartan Group, Vinny Lingham",21,4,http://www.conceptarthouse.com
Pre Seed Round - Caviar,https://www.crunchbase.com/funding_round/danu-finance-pre-seed--f1cfb737,Caviar,https://www.crunchbase.com/organization/danu-finance,Pre-Seed,100000,USD,100000,2022-12-05,Seed,,,,Yes,,100000,USD,100000,1,,"Farfetch, HBAR Foundation, Outlier Ventures, Polkadot, Protocol Labs",5,,https://www.caviar.sh
Seed Round - Artizen,https://www.crunchbase.com/funding_round/artizen-d358-seed--0c12d939,Artizen,https://www.crunchbase.com/organization/artizen-d358,Seed,2200000,USD,2200000,2023-05-11,Seed,,,,Yes,,2200000,USD,2200000,2,,"Animoca Brands, ConsenSys Mesh, Dan Hill, Juan Benet, Matt Condon, Protocol Labs",6,,https://www.artizen.fund/
Series A - Tableland,https://www.crunchbase.com/funding_round/tableland-series-a--94e44238,Tableland,https://www.crunchbase.com/organization/tableland,Series A,8000000,USD,8000000,2023-04-20,Early Stage Venture,,,,Yes,,8000000,USD,8000000,1,CoinFund,"A.Capital Ventures, Betaworks, BlueYard Capital, CoinFund, Multicoin Capital, Protocol Labs",6,2,https://tableland.xyz/rigs
Pre Seed Round - Peeranha,https://www.crunchbase.com/funding_round/peeranha-pre-seed--572a9512,Peeranha,https://www.crunchbase.com/organization/peeranha,Pre-Seed,250000,USD,250000,2022-10-01,Seed,,,,Yes,,270000,USD,270000,2,"Mysten Labs, Protocol Labs, Yair Cohen","Mysten Labs, Protocol Labs, Yair Cohen",3,,https://peeranha.io/
Seed Round - Canza Finance,https://www.crunchbase.com/funding_round/canza-seed--00ea3979,Canza Finance,https://www.crunchbase.com/organization/canza,Seed,2300000,USD,2300000,2024-01-16,Seed,,,,Yes,,5780000,USD,5780000,3,Polychain,"280 Capital, 99 Capital, Blizzard Fund, Hyperithm, Polychain, Protocol Labs, Stratified Capital, Swiss Founders Fund, YTWO",9,1,https://canza.io/
Pre Seed Round - Drex,https://www.crunchbase.com/funding_round/drex-pre-seed--c6ed87c6,Drex,https://www.crunchbase.com/organization/drex,Pre-Seed,100000,USD,100000,2022-12-05,Seed,,,,Yes,,100000,USD,100000,1,,"Farfetch, HBAR Foundation, Outlier Ventures, Polkadot, Protocol Labs",5,,http://www.drex.network
Pre Seed Round - P360,https://www.crunchbase.com/funding_round/p360-pre-seed--e8bccf6d,P360,https://www.crunchbase.com/organization/p360,Pre-Seed,100000,USD,100000,2022-11-03,Seed,,,,Yes,,100000,USD,100000,1,,"Farfetch, HBAR Foundation, Outlier Ventures, Polkadot, Protocol Labs",5,,https://p360.hockey
Pre Seed Round - LokkaRoom,https://www.crunchbase.com/funding_round/lokkaroom-pre-seed--8558b6cc,LokkaRoom,https://www.crunchbase.com/organization/lokkaroom,Pre-Seed,100000,USD,100000,2022-11-03,Seed,,,,Yes,,100000,USD,100000,1,,"Farfetch, HBAR Foundation, Outlier Ventures, Polkadot, Protocol Labs",5,,https://lokkaroom.com/
Series A - Degame,https://www.crunchbase.com/funding_round/degame-series-a--cca4153b,Degame,https://www.crunchbase.com/organization/degame,Series A,6500000,USD,6500000,2023-05-30,Early Stage Venture,,,,Yes,,10200000,USD,10200000,2,"A&T Capital, Folius Ventures, Kenetic","A&T Capital, Assembly Partners, Bixin Ventures, Collinstar Capital, FBG Capital, Folius Ventures, Golden Bull, Hack VC, HashKey Capital, Kenetic, Lucid Blue Ventures, NGC Ventures, Rangers Protocol, Y2Z Ventures",14,3,https://degame.com/en/home
Seed Round - Dumme,https://www.crunchbase.com/funding_round/dumme-seed--f1f20de3,Dumme,https://www.crunchbase.com/organization/dumme,Seed,3400000,USD,3400000,2023-06-02,Seed,,,,Yes,,3400000,USD,3400000,2,,"Caffeinated Capital, Chris Puscasiu, Nico Chinot, Protocol Labs, SciFi VC, Suhail Doshi, Y Combinator",7,2,https://dumme.com
Series A - Anytype,https://www.crunchbase.com/funding_round/anytype-series-a--a8b9655d,Anytype,https://www.crunchbase.com/organization/anytype,Series A,12300000,EUR,13364858,2023-08-23,Early Stage Venture,,,,Yes,,14684858,USD,14684858,6,Balderton Capital,"Adam Wiggins, Balderton Capital, Foreword Fund, Inflection.xyz, Jutta Steiner, Libermans Co, Luis Cuende, Markus Ament, New Forge, Peter van Hardenberg, Protocol Labs, Script Capital, SquareOne Venture Capital, Trent McConaghy",14,1,https://anytype.io
Series B - Celestia,https://www.crunchbase.com/funding_round/lazyledger-series-b--b1d675c8,Celestia,https://www.crunchbase.com/organization/lazyledger,Series B,100000000,USD,100000000,2024-09-23,Early Stage Venture,3400000000,USD,3400000000,Yes,,156500000,USD,156500000,6,Bain Capital Crypto,"1kx, Bain Capital Crypto, BlockBase Ventures, Placeholder, Robot Ventures, Syncracy Capital",6,2,https://celestia.org
Seed Round - Syndicate,https://www.crunchbase.com/funding_round/syndicate-a949-seed--7250614a,Syndicate,https://www.crunchbase.com/organization/syndicate-a949,Seed,1000000,USD,1000000,2021-03-17,Seed,,,,Yes,,27800000,USD,27800000,4,IDEO CoLab Ventures,"Adam Jackson, Alexander Pack, Alicia Lau, Alliance DAO, Anil Lulla, Archetype, Ash Egan, Avichal Garg, Brad Holden, Brandon Cook, CoinFund, Crypto Dog, Curtis Spencer, Dan Elitzer, David Nage, DeFi Alliance, DeFi Dad, Delphi Ventures, Don Ho, Electric Capital, Eric Wu, Evan Feng, Gavin McDermott, IDEO CoLab Ventures, Imran Khan, Jake Brukhman, Joe Gerber, Jose Macedo, Justin Mart, Ken Deeter, Kleiner Perkins, Luke Saunders, Maria Xinhe Shen, Monica Desai, Nascent, Niraj Pant, Qiao Wang, Reuben Bramanathan, Robert Leshner, Robot Ventures, Ryan Sean Adams, Scott Lewis, Stani Kulechov, Tara Tan, Tarun Chitra, Tegan Kline, Tom Shaughnessy Jr, Trevor McFedries, Yan Liberman",49,2,https://syndicate.io/
Pre Seed Round - Rodeo,https://www.crunchbase.com/funding_round/rodeo-7684-pre-seed--9a6ed798,Rodeo,https://www.crunchbase.com/organization/rodeo-7684,Pre-Seed,,,,2022-10-01,Seed,,,,Yes,,,,,1,,"Atypical Ventures, Protocol Labs, Ripio, Tachyon by ConSensys Mesh",4,,https://rodeomoney.com
