,Project ID,Project Name,Dev Tool ID,Dev Tool Name,Relationship Type,Num Project Devs Engaging with Dev Tool,Num Smart Contract Devs Engaging with Dev Tool,Project Total Txns,Project Total Gas Fees
0,-ceY1smj0ZhYH-JSMeK3opMBmLgc29Oe-m5cOd-KnjY=,router-protocol,v7O_pwRuoVT9BKG9-9pHzkka3dwinL8fYQstm8MlP4Q=,hardhat-nomicfoundation,Dependency,0,0,277471.0,0.4232860641073099
1,-ceY1smj0ZhYH-JSMeK3opMBmLgc29Oe-m5cOd-KnjY=,router-protocol,KHHcusE_j4--ADJVcKQcBG1M5M6x_DU8H_RW-fmmhCs=,wighawag,Dependency,0,0,277471.0,0.4232860641073099
2,-ceY1smj0ZhYH-JSMeK3opMBmLgc29Oe-m5cOd-KnjY=,router-protocol,D3mUC1uetKFVx1xSk39LA6L7IG93NmwmCIqjArMu8i4=,ethers-io,Dependency,0,0,277471.0,0.4232860641073099
3,-ceY1smj0ZhYH-JSMeK3opMBmLgc29Oe-m5cOd-KnjY=,router-protocol,DIFwzDKrLDsrfbdzXMd0V-K852SAS7sR0loKq0bIlco=,libp2p,Dependency,0,0,277471.0,0.4232860641073099
4,-ceY1smj0ZhYH-JSMeK3opMBmLgc29Oe-m5cOd-KnjY=,router-protocol,gwH5b9-f9zIzeDdketoo-MiyF-XZONwn-rkLJzNnf-U=,nethermindeth,Dependency,0,0,277471.0,0.4232860641073099
5,-ceY1smj0ZhYH-JSMeK3opMBmLgc29Oe-m5cOd-KnjY=,router-protocol,sC8RX02Lj6i-4uNqdy4_KIHBL4-VbljDzcmDJls08Tw=,solhint-protofire,Dependency,0,0,277471.0,0.4232860641073099
6,-ceY1smj0ZhYH-JSMeK3opMBmLgc29Oe-m5cOd-KnjY=,router-protocol,kfCLop4S40EFI3hMpDXMSe2_xEwv7l5hrci8-T5yW_o=,wevm,Dependency,0,0,277471.0,0.4232860641073099
7,-ceY1smj0ZhYH-JSMeK3opMBmLgc29Oe-m5cOd-KnjY=,router-protocol,6oYxQLeuskLSgiRjief2LzEf9sDQdxNjEkGxzLkvJXw=,openzeppelin,Dependency,0,0,277471.0,0.4232860641073099
8,-ceY1smj0ZhYH-JSMeK3opMBmLgc29Oe-m5cOd-KnjY=,router-protocol,gqc1KYoATFx8-JbkTkVblT6DS2K8tVOSdWUkEoiyGDs=,go-ethereum,Dependency,0,0,277471.0,0.4232860641073099
9,-ceY1smj0ZhYH-JSMeK3opMBmLgc29Oe-m5cOd-KnjY=,router-protocol,4ahqteHrXIMftYmNLN8XD6NyoSEqkA8chfvz4uSTAxg=,prettier-solidity,Dependency,0,0,277471.0,0.4232860641073099
10,-lP_Uvqt9rP8pWZQDW4VejaqpQDfLuc7mG5D59wRfbs=,glo-foundation,4ahqteHrXIMftYmNLN8XD6NyoSEqkA8chfvz4uSTAxg=,prettier-solidity,Dependency,0,0,4090.0,0.001086350891029311
11,-lP_Uvqt9rP8pWZQDW4VejaqpQDfLuc7mG5D59wRfbs=,glo-foundation,PCE9LCHH01ZkCYO-GdLEM4DDJdJvBR9xzfW5Ix5N-Sw=,indexsupply,Engagement,1,0,4090.0,0.001086350891029311
12,-lP_Uvqt9rP8pWZQDW4VejaqpQDfLuc7mG5D59wRfbs=,glo-foundation,v7O_pwRuoVT9BKG9-9pHzkka3dwinL8fYQstm8MlP4Q=,hardhat-nomicfoundation,Dependency,0,0,4090.0,0.001086350891029311
13,-lP_Uvqt9rP8pWZQDW4VejaqpQDfLuc7mG5D59wRfbs=,glo-foundation,y9t7a2RCN_Cxpi-g-8Qmb5txYxaC0nARzZwmwSWinuI=,foundry,Engagement,1,0,4090.0,0.001086350891029311
14,-lP_Uvqt9rP8pWZQDW4VejaqpQDfLuc7mG5D59wRfbs=,glo-foundation,Dwx7FnWfcaVm5hKf1lTvTbndelM6HSuxGPfbVXzxft4=,otterscan,Engagement,1,0,4090.0,0.001086350891029311
15,-lP_Uvqt9rP8pWZQDW4VejaqpQDfLuc7mG5D59wRfbs=,glo-foundation,kfCLop4S40EFI3hMpDXMSe2_xEwv7l5hrci8-T5yW_o=,wevm,Dependency,0,0,4090.0,0.001086350891029311
16,-lP_Uvqt9rP8pWZQDW4VejaqpQDfLuc7mG5D59wRfbs=,glo-foundation,TpsYn6RRZN_9nai7dLsf294TRyQDmZYpeQEnaIqugw4=,idriss-crypto,Dependency,0,0,4090.0,0.001086350891029311
17,-lP_Uvqt9rP8pWZQDW4VejaqpQDfLuc7mG5D59wRfbs=,glo-foundation,KxxR7pXLecV5YBqbWpSlDo8E9DmHOqrzHcxKVUonsRU=,cyfrin,Engagement,1,0,4090.0,0.001086350891029311
18,-lP_Uvqt9rP8pWZQDW4VejaqpQDfLuc7mG5D59wRfbs=,glo-foundation,Dc8DKDCOLAOKl0Hv9vWh3krpsqkG-Sk9defPhrWHqPg=,cryo-paradigmxyz,Engagement,1,0,4090.0,0.001086350891029311
19,-lP_Uvqt9rP8pWZQDW4VejaqpQDfLuc7mG5D59wRfbs=,glo-foundation,sC8RX02Lj6i-4uNqdy4_KIHBL4-VbljDzcmDJls08Tw=,solhint-protofire,Dependency,0,0,4090.0,0.001086350891029311
20,-lP_Uvqt9rP8pWZQDW4VejaqpQDfLuc7mG5D59wRfbs=,glo-foundation,imOWe-ffDazpMiTjIJWOp-siTuTAeO6jJ9v-DrUyvXM=,lodestar-chainsafe,Engagement,1,0,4090.0,0.001086350891029311
21,-lP_Uvqt9rP8pWZQDW4VejaqpQDfLuc7mG5D59wRfbs=,glo-foundation,6oYxQLeuskLSgiRjief2LzEf9sDQdxNjEkGxzLkvJXw=,openzeppelin,Dependency,0,0,4090.0,0.001086350891029311
22,-lP_Uvqt9rP8pWZQDW4VejaqpQDfLuc7mG5D59wRfbs=,glo-foundation,D3mUC1uetKFVx1xSk39LA6L7IG93NmwmCIqjArMu8i4=,ethers-io,Dependency,0,0,4090.0,0.001086350891029311
23,-lP_Uvqt9rP8pWZQDW4VejaqpQDfLuc7mG5D59wRfbs=,glo-foundation,gwH5b9-f9zIzeDdketoo-MiyF-XZONwn-rkLJzNnf-U=,nethermindeth,Engagement,1,0,4090.0,0.001086350891029311
24,0vxdfbwEGwn4il9c4oGyjno56OLaf-q61GARCJvMK0U=,kiwi-news-attestate,57ErQ5loSD9BlgJCB1nUOKthiQC6uxZ6ZESdKngaphM=,rainbow,Dependency,0,0,476.0,0.00039932692688374194
25,0vxdfbwEGwn4il9c4oGyjno56OLaf-q61GARCJvMK0U=,kiwi-news-attestate,kfCLop4S40EFI3hMpDXMSe2_xEwv7l5hrci8-T5yW_o=,wevm,Dependency,0,0,476.0,0.00039932692688374194
26,0vxdfbwEGwn4il9c4oGyjno56OLaf-q61GARCJvMK0U=,kiwi-news-attestate,D3mUC1uetKFVx1xSk39LA6L7IG93NmwmCIqjArMu8i4=,ethers-io,Dependency,0,0,476.0,0.00039932692688374194
27,0vxdfbwEGwn4il9c4oGyjno56OLaf-q61GARCJvMK0U=,kiwi-news-attestate,0vxdfbwEGwn4il9c4oGyjno56OLaf-q61GARCJvMK0U=,kiwi-news-attestate,Dependency,0,0,476.0,0.00039932692688374194
28,0vxdfbwEGwn4il9c4oGyjno56OLaf-q61GARCJvMK0U=,kiwi-news-attestate,DIFwzDKrLDsrfbdzXMd0V-K852SAS7sR0loKq0bIlco=,libp2p,Dependency,0,0,476.0,0.00039932692688374194
29,0vxdfbwEGwn4il9c4oGyjno56OLaf-q61GARCJvMK0U=,kiwi-news-attestate,_-S_4OPQhIH4TID_hmmAA5OXTOHKI4iN4pvDgt3elQk=,ipfs,Dependency,0,0,476.0,0.00039932692688374194
30,0zQWvffrdU-rwoDMohydhTOHZUNW7RNVF1cb76XhDRo=,based-bodega,D3mUC1uetKFVx1xSk39LA6L7IG93NmwmCIqjArMu8i4=,ethers-io,Dependency,0,0,146.0,0.00012234920184615698
31,0zQWvffrdU-rwoDMohydhTOHZUNW7RNVF1cb76XhDRo=,based-bodega,v7O_pwRuoVT9BKG9-9pHzkka3dwinL8fYQstm8MlP4Q=,hardhat-nomicfoundation,Dependency,0,0,146.0,0.00012234920184615698
32,11awWpg5oXXnNqdmx79GbUOXhE5puhu9dQYnKb_4aoA=,aura,D3mUC1uetKFVx1xSk39LA6L7IG93NmwmCIqjArMu8i4=,ethers-io,Dependency,0,0,19667.0,0.3759887930886859
33,11awWpg5oXXnNqdmx79GbUOXhE5puhu9dQYnKb_4aoA=,aura,4ahqteHrXIMftYmNLN8XD6NyoSEqkA8chfvz4uSTAxg=,prettier-solidity,Dependency,0,0,19667.0,0.3759887930886859
34,11awWpg5oXXnNqdmx79GbUOXhE5puhu9dQYnKb_4aoA=,aura,6oYxQLeuskLSgiRjief2LzEf9sDQdxNjEkGxzLkvJXw=,openzeppelin,Dependency,0,0,19667.0,0.3759887930886859
35,11awWpg5oXXnNqdmx79GbUOXhE5puhu9dQYnKb_4aoA=,aura,v7O_pwRuoVT9BKG9-9pHzkka3dwinL8fYQstm8MlP4Q=,hardhat-nomicfoundation,Dependency,0,0,19667.0,0.3759887930886859
36,11awWpg5oXXnNqdmx79GbUOXhE5puhu9dQYnKb_4aoA=,aura,DIFwzDKrLDsrfbdzXMd0V-K852SAS7sR0loKq0bIlco=,libp2p,Dependency,0,0,19667.0,0.3759887930886859
37,11awWpg5oXXnNqdmx79GbUOXhE5puhu9dQYnKb_4aoA=,aura,AMRUj6HUvwYnxDOM8OlY2YoA4f33M2X7NODmHamC_XI=,hardhat-tracer-zemse,Dependency,0,0,19667.0,0.3759887930886859
38,11awWpg5oXXnNqdmx79GbUOXhE5puhu9dQYnKb_4aoA=,aura,sC8RX02Lj6i-4uNqdy4_KIHBL4-VbljDzcmDJls08Tw=,solhint-protofire,Dependency,0,0,19667.0,0.3759887930886859
39,11awWpg5oXXnNqdmx79GbUOXhE5puhu9dQYnKb_4aoA=,aura,_-S_4OPQhIH4TID_hmmAA5OXTOHKI4iN4pvDgt3elQk=,ipfs,Dependency,0,0,19667.0,0.3759887930886859
40,11awWpg5oXXnNqdmx79GbUOXhE5puhu9dQYnKb_4aoA=,aura,p0d52ry1DHeogcfqG6LhWQDbBYD473gv6MLSMmsdEdo=,snapshot-labs,Dependency,0,0,19667.0,0.3759887930886859
41,1JY9bwo0seIZ8CIP0iKDnoDyU34CT7YKT7ErEeO9B34=,baseswapfi,DIFwzDKrLDsrfbdzXMd0V-K852SAS7sR0loKq0bIlco=,libp2p,Dependency,0,0,459085.0,1.965944468308965
42,1JY9bwo0seIZ8CIP0iKDnoDyU34CT7YKT7ErEeO9B34=,baseswapfi,D3mUC1uetKFVx1xSk39LA6L7IG93NmwmCIqjArMu8i4=,ethers-io,Dependency,0,0,459085.0,1.965944468308965
