,package_source,package,github_org_count,artifact_namespace,artifact_name,op_project_count,op_onchain_project_count,op_project_share,op_onchain_project_share,ratio,oso_project
84497,NPM,duplexify,1078,duplexify,duplexify,354.0,194.0,0.554858934169279,0.5574712643678161,1.004708097928437,
84068,NPM,@babel/plugin-proposal-optional-catch-binding,907,babel,plugin-proposal-optional-catch-binding,281.0,154.0,0.44043887147335425,0.4425287356321839,1.0047449584816133,
81957,NPM,base64-arraybuffer,303,base64-arraybuffer,base64-arraybuffer,104.0,57.0,0.16300940438871472,0.16379310344827586,1.0048076923076923,
84500,NPM,loader-utils,1081,loader-utils,loader-utils,343.0,188.0,0.5376175548589341,0.5402298850574713,1.0048590864917397,
83554,NPM,client-only,717,client-only,client-only,239.0,131.0,0.37460815047021945,0.3764367816091954,1.0048814504881451,
82323,NPM,last-call-webpack-plugin,363,last-call-webpack-plugin,last-call-webpack-plugin,135.0,74.0,0.2115987460815047,0.21264367816091953,1.0049382716049382,
82157,NPM,@octokit/rest,336,octokit,rest,135.0,74.0,0.2115987460815047,0.21264367816091953,1.0049382716049382,
83709,NPM,ua-parser-js,780,ua-parser-js,ua-parser-js,270.0,148.0,0.4231974921630094,0.42528735632183906,1.0049382716049382,
83826,NPM,q,828,q,q,270.0,148.0,0.4231974921630094,0.42528735632183906,1.0049382716049382,
83988,NPM,ssri,883,ssri,ssri,290.0,159.0,0.45454545454545453,0.45689655172413796,1.0051724137931035,
81018,NPM,lerna,210,lerna,lerna,93.0,51.0,0.14576802507836992,0.14655172413793102,1.0053763440860213,
82604,NPM,cssnano-util-get-match,414,cssnano-util-get-match,cssnano-util-get-match,155.0,85.0,0.24294670846394983,0.2442528735632184,1.0053763440860215,
82601,NPM,cssnano-util-same-parent,414,cssnano-util-same-parent,cssnano-util-same-parent,155.0,85.0,0.24294670846394983,0.2442528735632184,1.0053763440860215,
82603,NPM,cssnano-util-get-arguments,414,cssnano-util-get-arguments,cssnano-util-get-arguments,155.0,85.0,0.24294670846394983,0.2442528735632184,1.0053763440860215,
82605,NPM,cssnano-util-raw-cache,414,cssnano-util-raw-cache,cssnano-util-raw-cache,155.0,85.0,0.24294670846394983,0.2442528735632184,1.0053763440860215,
80774,NPM,stdout-stream,195,stdout-stream,stdout-stream,62.0,34.0,0.09717868338557993,0.09770114942528736,1.0053763440860217,
77965,NPM,fs-exists-cached,82,fs-exists-cached,fs-exists-cached,31.0,17.0,0.048589341692789965,0.04885057471264368,1.0053763440860217,
80711,NPM,@vue/server-renderer,190,vue,server-renderer,62.0,34.0,0.09717868338557993,0.09770114942528736,1.0053763440860217,
77681,NPM,@fastify/error,76,fastify,error,31.0,17.0,0.048589341692789965,0.04885057471264368,1.0053763440860217,
78337,RUST,cloudabi,91,cloudabi,cloudabi,31.0,17.0,0.048589341692789965,0.04885057471264368,1.0053763440860217,
78258,RUBYGEMS,listen,89,0,0,31.0,17.0,0.048589341692789965,0.04885057471264368,1.0053763440860217,
84009,NPM,dequal,887,dequal,dequal,288.0,158.0,0.45141065830721006,0.4540229885057471,1.005787037037037,
81935,NPM,@vue/compiler-core,300,vue,compiler-core,113.0,62.0,0.17711598746081506,0.1781609195402299,1.0058997050147493,
81934,NPM,@vue/compiler-dom,300,vue,compiler-dom,113.0,62.0,0.17711598746081506,0.1781609195402299,1.0058997050147493,
81559,NPM,git-remote-origin-url,257,git-remote-origin-url,git-remote-origin-url,113.0,62.0,0.17711598746081506,0.1781609195402299,1.0058997050147493,
84340,NPM,@babel/plugin-bugfix-safari-id-destructuring-collision-in-function-expression,1012,babel,plugin-bugfix-safari-id-destructuring-collision-in-function-expression,308.0,169.0,0.4827586206896552,0.48563218390804597,1.005952380952381,
84069,NPM,relateurl,907,relateurl,relateurl,277.0,152.0,0.4341692789968652,0.4367816091954023,1.0060168471720818,
82914,NPM,is-yarn-global,511,is-yarn-global,is-yarn-global,184.0,101.0,0.2884012539184953,0.29022988505747127,1.006340579710145,
82930,NPM,has-yarn,517,has-yarn,has-yarn,184.0,101.0,0.2884012539184953,0.29022988505747127,1.006340579710145,
83504,NPM,envinfo,699,envinfo,envinfo,235.0,129.0,0.3683385579937304,0.3706896551724138,1.0063829787234044,
85069,NPM,postcss,1486,postcss,postcss,439.0,241.0,0.6880877742946708,0.6925287356321839,1.0064540622627183,
81695,NPM,@vue/compiler-ssr,271,vue,compiler-ssr,102.0,56.0,0.15987460815047022,0.16091954022988506,1.0065359477124183,
82644,NPM,@next/swc-android-arm64,422,next,swc-android-arm64,153.0,84.0,0.23981191222570533,0.2413793103448276,1.0065359477124183,
83224,NPM,@pmmmwh/react-refresh-webpack-plugin,623,pmmmwh,react-refresh-webpack-plugin,204.0,112.0,0.31974921630094044,0.3218390804597701,1.0065359477124183,
82641,NPM,@next/swc-linux-arm-gnueabihf,422,next,swc-linux-arm-gnueabihf,153.0,84.0,0.23981191222570533,0.2413793103448276,1.0065359477124183,
79940,GO,github.com/spf13/viper,145,0,0,51.0,28.0,0.07993730407523511,0.08045977011494253,1.0065359477124183,
81443,NPM,tinypool,245,tinypool,tinypool,102.0,56.0,0.15987460815047022,0.16091954022988506,1.0065359477124183,
84872,NPM,deepmerge,1311,deepmerge,deepmerge,408.0,224.0,0.6394984326018809,0.6436781609195402,1.0065359477124183,
81300,NPM,@vitest/utils,231,vitest,utils,102.0,56.0,0.15987460815047022,0.16091954022988506,1.0065359477124183,
82337,NPM,deprecation,365,deprecation,deprecation,153.0,84.0,0.23981191222570533,0.2413793103448276,1.0065359477124183,
82382,NPM,@octokit/request-error,371,octokit,request-error,153.0,84.0,0.23981191222570533,0.2413793103448276,1.0065359477124183,
79969,NPM,@radix-ui/react-separator,146,radix-ui,react-separator,51.0,28.0,0.07993730407523511,0.08045977011494253,1.0065359477124183,
79827,RUST,sha-1,142,sha-1,sha-1,51.0,28.0,0.07993730407523511,0.08045977011494253,1.0065359477124183,
82944,NPM,redux,522,redux,redux,173.0,95.0,0.2711598746081505,0.27298850574712646,1.0067437379576107,
83686,NPM,@svgr/babel-plugin-transform-svg-component,773,svgr,babel-plugin-transform-svg-component,244.0,134.0,0.3824451410658307,0.3850574712643678,1.006830601092896,
82248,NPM,nprogress,353,nprogress,nprogress,122.0,67.0,0.19122257053291536,0.1925287356321839,1.006830601092896,
83687,NPM,@svgr/babel-plugin-replace-jsx-attribute-value,773,svgr,babel-plugin-replace-jsx-attribute-value,244.0,134.0,0.3824451410658307,0.3850574712643678,1.006830601092896,
83685,NPM,@svgr/babel-plugin-remove-jsx-empty-expression,773,svgr,babel-plugin-remove-jsx-empty-expression,244.0,134.0,0.3824451410658307,0.3850574712643678,1.006830601092896,
83681,NPM,@svgr/babel-plugin-remove-jsx-attribute,773,svgr,babel-plugin-remove-jsx-attribute,244.0,134.0,0.3824451410658307,0.3850574712643678,1.006830601092896,
83683,NPM,@svgr/babel-preset,773,svgr,babel-preset,244.0,134.0,0.3824451410658307,0.3850574712643678,1.006830601092896,
83682,NPM,@svgr/hast-util-to-babel-ast,773,svgr,hast-util-to-babel-ast,244.0,134.0,0.3824451410658307,0.3850574712643678,1.006830601092896,
83684,NPM,@svgr/babel-plugin-svg-dynamic-title,773,svgr,babel-plugin-svg-dynamic-title,244.0,134.0,0.3824451410658307,0.3850574712643678,1.006830601092896,
83677,NPM,@svgr/babel-plugin-svg-em-dimensions,773,svgr,babel-plugin-svg-em-dimensions,244.0,134.0,0.3824451410658307,0.3850574712643678,1.006830601092896,
83679,NPM,@svgr/babel-plugin-add-jsx-attribute,773,svgr,babel-plugin-add-jsx-attribute,244.0,134.0,0.3824451410658307,0.3850574712643678,1.006830601092896,
83678,NPM,@svgr/babel-plugin-transform-react-native-svg,773,svgr,babel-plugin-transform-react-native-svg,244.0,134.0,0.3824451410658307,0.3850574712643678,1.006830601092896,
80417,NPM,ansi-to-html,167,ansi-to-html,ansi-to-html,71.0,39.0,0.11128526645768025,0.11206896551724138,1.0070422535211268,
80688,ACTIONS,codecov/codecov-action,189,0,0,71.0,39.0,0.11128526645768025,0.11206896551724138,1.0070422535211268,
84382,NPM,@babel/plugin-transform-react-jsx,1029,babel,plugin-transform-react-jsx,324.0,178.0,0.5078369905956113,0.5114942528735632,1.007201646090535,
81330,NPM,pgpass,234,pgpass,pgpass,91.0,50.0,0.1426332288401254,0.14367816091954022,1.0073260073260073,
83643,NPM,socks,760,socks,socks,273.0,150.0,0.4278996865203762,0.43103448275862066,1.0073260073260073,
81735,NPM,@types/jsonwebtoken,274,types,jsonwebtoken,91.0,50.0,0.1426332288401254,0.14367816091954022,1.0073260073260073,
81322,NPM,pg-pool,234,pg-pool,pg-pool,91.0,50.0,0.1426332288401254,0.14367816091954022,1.0073260073260073,
81525,NPM,get-pkg-repo,254,get-pkg-repo,get-pkg-repo,111.0,61.0,0.17398119122257052,0.1752873563218391,1.0075075075075075,
82030,NPM,fast-uri,315,fast-uri,fast-uri,111.0,61.0,0.17398119122257052,0.1752873563218391,1.0075075075075075,
84121,NPM,is-weakmap,936,is-weakmap,is-weakmap,302.0,166.0,0.47335423197492166,0.47701149425287354,1.0077262693156732,
84120,NPM,which-collection,936,which-collection,which-collection,302.0,166.0,0.47335423197492166,0.47701149425287354,1.0077262693156732,
84119,NPM,is-weakset,936,is-weakset,is-weakset,302.0,166.0,0.47335423197492166,0.47701149425287354,1.0077262693156732,
84700,NPM,core-js-compat,1189,core-js-compat,core-js-compat,362.0,199.0,0.567398119122257,0.5718390804597702,1.007826887661142,
83294,NPM,postcss-nesting,644,postcss-nesting,postcss-nesting,211.0,116.0,0.33072100313479624,0.3333333333333333,1.0078988941548181,
81709,NPM,babel-plugin-apply-mdx-type-prop,272,babel-plugin-apply-mdx-type-prop,babel-plugin-apply-mdx-type-prop,100.0,55.0,0.15673981191222572,0.15804597701149425,1.0083333333333333,
81710,NPM,babel-plugin-extract-import-names,272,babel-plugin-extract-import-names,babel-plugin-extract-import-names,100.0,55.0,0.15673981191222572,0.15804597701149425,1.0083333333333333,
84864,NPM,tapable,1304,tapable,tapable,400.0,220.0,0.6269592476489029,0.632183908045977,1.0083333333333333,
80047,NPM,serve,149,serve,serve,60.0,33.0,0.09404388714733543,0.09482758620689655,1.0083333333333333,
83758,NPM,https-browserify,803,https-browserify,https-browserify,280.0,154.0,0.438871473354232,0.4425287356321839,1.0083333333333333,
79513,NPM,xhr2,128,xhr2,xhr2,60.0,33.0,0.09404388714733543,0.09482758620689655,1.0083333333333333,
85096,NPM,node-releases,1509,node-releases,node-releases,460.0,253.0,0.7210031347962382,0.7270114942528736,1.0083333333333333,
84862,NPM,enhanced-resolve,1303,enhanced-resolve,enhanced-resolve,400.0,220.0,0.6269592476489029,0.632183908045977,1.0083333333333333,
83153,NPM,adjust-sourcemap-loader,612,adjust-sourcemap-loader,adjust-sourcemap-loader,200.0,110.0,0.31347962382445144,0.3160919540229885,1.0083333333333333,
80148,PIP,colorama,154,0,0,60.0,33.0,0.09404388714733543,0.09482758620689655,1.0083333333333333,
79946,NPM,@react-spring/web,145,react-spring,web,60.0,33.0,0.09404388714733543,0.09482758620689655,1.0083333333333333,
83151,NPM,regex-parser,611,regex-parser,regex-parser,200.0,110.0,0.31347962382445144,0.3160919540229885,1.0083333333333333,
82560,NPM,stringify-entities,404,stringify-entities,stringify-entities,140.0,77.0,0.219435736677116,0.22126436781609196,1.0083333333333333,
82564,NPM,character-entities-html4,404,character-entities-html4,character-entities-html4,140.0,77.0,0.219435736677116,0.22126436781609196,1.0083333333333333,
75912,NPM,proggy,50,proggy,proggy,20.0,11.0,0.03134796238244514,0.031609195402298854,1.0083333333333335,
76502,NPM,gulp-rename,58,gulp-rename,gulp-rename,20.0,11.0,0.03134796238244514,0.031609195402298854,1.0083333333333335,
74424,NPM,@fastify/merge-json-schemas,37,fastify,merge-json-schemas,20.0,11.0,0.03134796238244514,0.031609195402298854,1.0083333333333335,
81081,PIP,pytest,216,0,0,80.0,44.0,0.12539184952978055,0.12643678160919541,1.0083333333333335,
81082,NPM,stdin-discarder,216,stdin-discarder,stdin-discarder,80.0,44.0,0.12539184952978055,0.12643678160919541,1.0083333333333335,
76496,GO,github.com/fxamacker/cbor/v2,58,0,0,20.0,11.0,0.03134796238244514,0.031609195402298854,1.0083333333333335,
79538,NPM,@firebase/app,129,firebase,app,40.0,22.0,0.06269592476489028,0.06321839080459771,1.0083333333333335,
75148,RUBYGEMS,jekyll-paginate,43,0,0,20.0,11.0,0.03134796238244514,0.031609195402298854,1.0083333333333335,
76701,GO,github.com/x448/float16,60,0,0,20.0,11.0,0.03134796238244514,0.031609195402298854,1.0083333333333335,
76474,NPM,file-url,57,file-url,file-url,20.0,11.0,0.03134796238244514,0.031609195402298854,1.0083333333333335,
75402,NPM,@corex/deepmerge,45,corex,deepmerge,20.0,11.0,0.03134796238244514,0.031609195402298854,1.0083333333333335,
76317,GO,github.com/mitchellh/go-testing-interface,56,0,0,20.0,11.0,0.03134796238244514,0.031609195402298854,1.0083333333333335,
79316,NPM,lodash.isarray,120,lodash.isarray,lodash.isarray,40.0,22.0,0.06269592476489028,0.06321839080459771,1.0083333333333335,
77788,NPM,arweave,78,arweave,arweave,20.0,11.0,0.03134796238244514,0.031609195402298854,1.0083333333333335,
79371,NPM,@radix-ui/react-switch,122,radix-ui,react-switch,40.0,22.0,0.06269592476489028,0.06321839080459771,1.0083333333333335,
76708,NPM,@radix-ui/react-toolbar,60,radix-ui,react-toolbar,20.0,11.0,0.03134796238244514,0.031609195402298854,1.0083333333333335,
76261,NPM,replace-in-file,55,replace-in-file,replace-in-file,20.0,11.0,0.03134796238244514,0.031609195402298854,1.0083333333333335,
76881,NPM,resolve-path,63,resolve-path,resolve-path,20.0,11.0,0.03134796238244514,0.031609195402298854,1.0083333333333335,
75284,NPM,@angular-devkit/build-angular,44,angular-devkit,build-angular,20.0,11.0,0.03134796238244514,0.031609195402298854,1.0083333333333335,
74196,ACTIONS,cypress-io/github-action,35,0,0,20.0,11.0,0.03134796238244514,0.031609195402298854,1.0083333333333335,
84456,NPM,@babel/plugin-syntax-private-property-in-object,1054,babel,plugin-syntax-private-property-in-object,320.0,176.0,0.5015673981191222,0.5057471264367817,1.0083333333333335,
75544,NPM,circular-dependency-plugin,46,circular-dependency-plugin,circular-dependency-plugin,20.0,11.0,0.03134796238244514,0.031609195402298854,1.0083333333333335,
76010,NPM,@use-gesture/react,52,use-gesture,react,20.0,11.0,0.03134796238244514,0.031609195402298854,1.0083333333333335,
76944,NPM,koa-static,64,koa-static,koa-static,20.0,11.0,0.03134796238244514,0.031609195402298854,1.0083333333333335,
75587,NPM,bidi-js,47,bidi-js,bidi-js,20.0,11.0,0.03134796238244514,0.031609195402298854,1.0083333333333335,
76138,RUBYGEMS,coffee-script,53,0,0,20.0,11.0,0.03134796238244514,0.031609195402298854,1.0083333333333335,
75674,PIP,plotly,48,0,0,20.0,11.0,0.03134796238244514,0.031609195402298854,1.0083333333333335,
77593,NPM,arconnect,75,arconnect,arconnect,20.0,11.0,0.03134796238244514,0.031609195402298854,1.0083333333333335,
78993,ACTIONS,peter-evans/create-pull-request,109,0,0,40.0,22.0,0.06269592476489028,0.06321839080459771,1.0083333333333335,
76628,NPM,code-red,59,code-red,code-red,20.0,11.0,0.03134796238244514,0.031609195402298854,1.0083333333333335,
76142,RUBYGEMS,coffee-script-source,53,0,0,20.0,11.0,0.03134796238244514,0.031609195402298854,1.0083333333333335,
83015,NPM,@discoveryjs/json-ext,550,discoveryjs,json-ext,180.0,99.0,0.28213166144200624,0.28448275862068967,1.0083333333333335,
75945,GO,github.com/danieljoos/wincred,51,0,0,20.0,11.0,0.03134796238244514,0.031609195402298854,1.0083333333333335,
76980,NPM,koa-send,64,koa-send,koa-send,20.0,11.0,0.03134796238244514,0.031609195402298854,1.0083333333333335,
78348,NPM,@sheerun/mutationobserver-shim,91,sheerun,mutationobserver-shim,40.0,22.0,0.06269592476489028,0.06321839080459771,1.0083333333333335,
84197,NPM,@types/debug,966,types,debug,329.0,181.0,0.5156739811912225,0.5201149425287356,1.008611955420466,
83544,NPM,color-support,714,color-support,color-support,249.0,137.0,0.390282131661442,0.3936781609195402,1.0087014725568944,
83720,NPM,@babel/plugin-proposal-export-namespace-from,790,babel,plugin-proposal-export-namespace-from,249.0,137.0,0.390282131661442,0.3936781609195402,1.0087014725568944,
83423,NPM,tempy,685,tempy,tempy,229.0,126.0,0.35893416927899685,0.3620689655172414,1.0087336244541485,
83135,NPM,is-nan,603,is-nan,is-nan,209.0,115.0,0.3275862068965517,0.33045977011494254,1.0087719298245614,
83222,NPM,parse-entities,623,parse-entities,parse-entities,209.0,115.0,0.3275862068965517,0.33045977011494254,1.0087719298245614,
83223,NPM,character-reference-invalid,623,character-reference-invalid,character-reference-invalid,209.0,115.0,0.3275862068965517,0.33045977011494254,1.0087719298245614,
83226,NPM,is-hexadecimal,623,is-hexadecimal,is-hexadecimal,209.0,115.0,0.3275862068965517,0.33045977011494254,1.0087719298245614,
83075,NPM,@floating-ui/core,583,floating-ui,core,189.0,104.0,0.2962382445141066,0.2988505747126437,1.0088183421516757,
83074,NPM,@floating-ui/dom,583,floating-ui,dom,189.0,104.0,0.2962382445141066,0.2988505747126437,1.0088183421516757,
82742,NPM,npm-package-arg,455,npm-package-arg,npm-package-arg,169.0,93.0,0.26489028213166144,0.2672413793103448,1.0088757396449703,
84334,NPM,is-set,1006,is-set,is-set,327.0,180.0,0.512539184952978,0.5172413793103449,1.0091743119266057,
84335,NPM,is-map,1006,is-map,is-map,327.0,180.0,0.512539184952978,0.5172413793103449,1.0091743119266057,
84134,NPM,thenify,941,thenify,thenify,307.0,169.0,0.48119122257053293,0.48563218390804597,1.009229098805646,
84130,NPM,thenify-all,939,thenify-all,thenify-all,307.0,169.0,0.48119122257053293,0.48563218390804597,1.009229098805646,
84128,NPM,mz,939,mz,mz,307.0,169.0,0.48119122257053293,0.48563218390804597,1.009229098805646,
83148,NPM,harmony-reflect,609,harmony-reflect,harmony-reflect,198.0,109.0,0.3103448275862069,0.3132183908045977,1.009259259259259,
83962,NPM,w3c-xmlserializer,874,w3c-xmlserializer,w3c-xmlserializer,287.0,158.0,0.4498432601880878,0.4540229885057471,1.0092915214866434,
81622,NPM,xml-js,263,xml-js,xml-js,89.0,49.0,0.13949843260188088,0.14080459770114942,1.0093632958801497,
81155,NPM,js-levenshtein,221,js-levenshtein,js-levenshtein,89.0,49.0,0.13949843260188088,0.14080459770114942,1.0093632958801497,
80524,NPM,webextension-polyfill-ts,174,webextension-polyfill-ts,webextension-polyfill-ts,69.0,38.0,0.10815047021943573,0.10919540229885058,1.0096618357487923,
