,package_source,package,github_org_count,artifact_namespace,artifact_name,op_project_count,op_onchain_project_count,op_project_share,op_onchain_project_share,ratio,oso_project
83280,NPM,strip-comments,639,strip-comments,strip-comments,207.0,113.0,0.32445141065830724,0.32471264367816094,1.000805152979066,
84912,NPM,scheduler,1346,scheduler,scheduler,414.0,226.0,0.6489028213166145,0.6494252873563219,1.000805152979066,
83050,NPM,react-lifecycles-compat,569,react-lifecycles-compat,react-lifecycles-compat,196.0,107.0,0.3072100313479624,0.3074712643678161,1.0008503401360545,
83082,NPM,@babel/eslint-parser,586,babel,eslint-parser,185.0,101.0,0.28996865203761757,0.29022988505747127,1.000900900900901,
82825,NPM,num2fraction,486,num2fraction,num2fraction,174.0,95.0,0.2727272727272727,0.27298850574712646,1.0009578544061304,
82779,NPM,webpack-log,467,webpack-log,webpack-log,174.0,95.0,0.2727272727272727,0.27298850574712646,1.0009578544061304,
82724,NPM,vendors,448,vendors,vendors,163.0,89.0,0.2554858934169279,0.2557471264367816,1.0010224948875255,
82712,NPM,uniqs,447,uniqs,uniqs,163.0,89.0,0.2554858934169279,0.2557471264367816,1.0010224948875255,
84075,NPM,@babel/plugin-proposal-async-generator-functions,911,babel,plugin-proposal-async-generator-functions,282.0,154.0,0.44200626959247646,0.4425287356321839,1.0011820330969268,
83849,NPM,pretty-bytes,836,pretty-bytes,pretty-bytes,271.0,148.0,0.42476489028213166,0.42528735632183906,1.001230012300123,
82292,NPM,pacote,359,pacote,pacote,130.0,71.0,0.20376175548589343,0.20402298850574713,1.0012820512820513,
82166,NPM,eslint-config-airbnb-base,338,eslint-config-airbnb-base,eslint-config-airbnb-base,119.0,65.0,0.1865203761755486,0.1867816091954023,1.0014005602240896,
83287,NPM,url-loader,642,url-loader,url-loader,216.0,118.0,0.3385579937304075,0.3390804597701149,1.001543209876543,
84131,NPM,unique-string,940,unique-string,unique-string,302.0,165.0,0.47335423197492166,0.47413793103448276,1.0016556291390728,
83030,NPM,xmlbuilder,559,xmlbuilder,xmlbuilder,194.0,106.0,0.30407523510971785,0.3045977011494253,1.0017182130584195,
81136,NPM,fast-equals,220,fast-equals,fast-equals,86.0,47.0,0.13479623824451412,0.13505747126436782,1.001937984496124,
82793,NPM,p-queue,472,p-queue,p-queue,172.0,94.0,0.26959247648902823,0.27011494252873564,1.001937984496124,
84466,NPM,@babel/plugin-bugfix-v8-spread-parameters-in-optional-chaining,1059,babel,plugin-bugfix-v8-spread-parameters-in-optional-chaining,322.0,176.0,0.5047021943573667,0.5057471264367817,1.0020703933747415,
84126,NPM,@types/ms,937,types,ms,322.0,176.0,0.5047021943573667,0.5057471264367817,1.0020703933747415,
83473,NPM,css-select-base-adapter,692,css-select-base-adapter,css-select-base-adapter,225.0,123.0,0.35266457680250785,0.35344827586206895,1.0022222222222221,
81104,NPM,isbinaryfile,218,isbinaryfile,isbinaryfile,75.0,41.0,0.11755485893416928,0.11781609195402298,1.0022222222222221,
83936,NPM,@babel/plugin-proposal-unicode-property-regex,867,babel,plugin-proposal-unicode-property-regex,267.0,146.0,0.41849529780564265,0.41954022988505746,1.0024968789013733,
80110,PIP,tomli,152,0,0,64.0,35.0,0.10031347962382445,0.10057471264367816,1.0026041666666667,
80067,PIP,platformdirs,150,0,0,64.0,35.0,0.10031347962382445,0.10057471264367816,1.0026041666666667,
83691,NPM,find-root,775,find-root,find-root,256.0,140.0,0.4012539184952978,0.40229885057471265,1.0026041666666667,
80492,NPM,lodash.castarray,172,lodash.castarray,lodash.castarray,64.0,35.0,0.10031347962382445,0.10057471264367816,1.0026041666666667,
83690,NPM,@svgr/plugin-jsx,774,svgr,plugin-jsx,245.0,134.0,0.384012539184953,0.3850574712643678,1.002721088435374,
83543,NPM,@npmcli/fs,713,npmcli,fs,245.0,134.0,0.384012539184953,0.3850574712643678,1.002721088435374,
84968,NPM,react-dom,1409,react-dom,react-dom,426.0,233.0,0.6677115987460815,0.6695402298850575,1.0027386541471048,
82151,NPM,is-whitespace-character,335,is-whitespace-character,is-whitespace-character,117.0,64.0,0.1833855799373041,0.1839080459770115,1.0028490028490027,
82149,NPM,markdown-escapes,335,markdown-escapes,markdown-escapes,117.0,64.0,0.1833855799373041,0.1839080459770115,1.0028490028490027,
82150,NPM,state-toggle,335,state-toggle,state-toggle,117.0,64.0,0.1833855799373041,0.1839080459770115,1.0028490028490027,
82672,NPM,is-builtin-module,433,is-builtin-module,is-builtin-module,170.0,93.0,0.2664576802507837,0.2672413793103448,1.0029411764705882,
84735,NPM,aria-query,1208,aria-query,aria-query,382.0,209.0,0.5987460815047022,0.6005747126436781,1.0030541012216403,
81800,NPM,@rollup/rollup-linux-arm-musleabihf,283,rollup,rollup-linux-arm-musleabihf,106.0,58.0,0.16614420062695925,0.16666666666666666,1.0031446540880502,
79663,NPM,@sindresorhus/slugify,135,sindresorhus,slugify,53.0,29.0,0.08307210031347963,0.08333333333333333,1.0031446540880502,
79419,NPM,@next/bundle-analyzer,124,next,bundle-analyzer,53.0,29.0,0.08307210031347963,0.08333333333333333,1.0031446540880502,
83797,NPM,@babel/plugin-proposal-json-strings,820,babel,plugin-proposal-json-strings,254.0,139.0,0.3981191222570533,0.3994252873563218,1.003280839895013,
82607,NPM,is-unc-path,415,is-unc-path,is-unc-path,148.0,81.0,0.23197492163009403,0.23275862068965517,1.0033783783783783,
84037,NPM,upath,895,upath,upath,296.0,162.0,0.46394984326018807,0.46551724137931033,1.0033783783783783,
82608,NPM,unc-path-regex,415,unc-path-regex,unc-path-regex,148.0,81.0,0.23197492163009403,0.23275862068965517,1.0033783783783783,
83666,NPM,svg-parser,769,svg-parser,svg-parser,243.0,133.0,0.38087774294670845,0.382183908045977,1.0034293552812072,
81642,NPM,@algolia/autocomplete-core,266,algolia,autocomplete-core,95.0,52.0,0.14890282131661442,0.14942528735632185,1.0035087719298246,
81644,NPM,@algolia/autocomplete-shared,266,algolia,autocomplete-shared,95.0,52.0,0.14890282131661442,0.14942528735632185,1.0035087719298246,
83949,NPM,@hapi/hoek,871,hapi,hoek,285.0,156.0,0.44670846394984326,0.4482758620689655,1.0035087719298246,
82390,NPM,optimize-css-assets-webpack-plugin,372,optimize-css-assets-webpack-plugin,optimize-css-assets-webpack-plugin,137.0,75.0,0.21473354231974923,0.21551724137931033,1.0036496350364963,
84926,NPM,prop-types,1357,prop-types,prop-types,411.0,225.0,0.6442006269592476,0.646551724137931,1.0036496350364965,facebook-oss
84265,ACTIONS,actions/setup-node,984,0,0,358.0,196.0,0.5611285266457681,0.5632183908045977,1.0037243947858472,
84604,NPM,@types/scheduler,1128,types,scheduler,358.0,196.0,0.5611285266457681,0.5632183908045977,1.0037243947858472,
82873,NPM,uniq,502,uniq,uniq,179.0,98.0,0.28056426332288403,0.28160919540229884,1.0037243947858472,
78789,NPM,@parcel/source-map,104,parcel,source-map,42.0,23.0,0.06583072100313479,0.06609195402298851,1.003968253968254,
78555,NPM,@tanstack/table-core,97,tanstack,table-core,42.0,23.0,0.06583072100313479,0.06609195402298851,1.003968253968254,
81067,NPM,help-me,215,help-me,help-me,84.0,46.0,0.13166144200626959,0.13218390804597702,1.003968253968254,
79081,NPM,time-zone,112,time-zone,time-zone,42.0,23.0,0.06583072100313479,0.06609195402298851,1.003968253968254,
84757,NPM,colorette,1222,colorette,colorette,378.0,207.0,0.5924764890282131,0.5948275862068966,1.003968253968254,
78558,NPM,@tanstack/react-table,98,tanstack,react-table,42.0,23.0,0.06583072100313479,0.06609195402298851,1.003968253968254,
78666,NPM,fast-json-stringify,101,fast-json-stringify,fast-json-stringify,42.0,23.0,0.06583072100313479,0.06609195402298851,1.003968253968254,
83768,NPM,@babel/plugin-proposal-dynamic-import,807,babel,plugin-proposal-dynamic-import,252.0,138.0,0.3949843260188088,0.39655172413793105,1.003968253968254,
78995,NPM,@storybook/instrumenter,109,storybook,instrumenter,42.0,23.0,0.06583072100313479,0.06609195402298851,1.003968253968254,
79487,NPM,helmet,126,helmet,helmet,42.0,23.0,0.06583072100313479,0.06609195402298851,1.003968253968254,
84094,NPM,clean-css,924,clean-css,clean-css,283.0,155.0,0.44357366771159873,0.4454022988505747,1.0041224970553593,
83110,NPM,babel-plugin-named-asset-import,595,babel-plugin-named-asset-import,babel-plugin-named-asset-import,199.0,109.0,0.31191222570532917,0.3132183908045977,1.004187604690117,
82727,NPM,mdast-util-to-markdown,450,mdast-util-to-markdown,mdast-util-to-markdown,157.0,86.0,0.24608150470219436,0.2471264367816092,1.0042462845010616,
80681,NPM,c8,189,c8,c8,73.0,40.0,0.11442006269592477,0.11494252873563218,1.004566210045662,
80612,NPM,@types/rimraf,183,types,rimraf,73.0,40.0,0.11442006269592477,0.11494252873563218,1.004566210045662,
84492,NPM,stream-shift,1077,stream-shift,stream-shift,354.0,194.0,0.554858934169279,0.5574712643678161,1.004708097928437,
82942,NPM,mdast-util-from-markdown,522,mdast-util-from-markdown,mdast-util-from-markdown,177.0,97.0,0.2774294670846395,0.27873563218390807,1.004708097928437,
82947,NPM,micromark,524,micromark,micromark,177.0,97.0,0.2774294670846395,0.27873563218390807,1.004708097928437,
