date,totalLiquidityUSD,readable_date,protocol
1725753600,15922398.56771,2024-09-08 00:00:00,resolv
1725840000,15909063.88992,2024-09-09 00:00:00,resolv
1725926400,15924870.99755,2024-09-10 00:00:00,resolv
1726012800,15933852.71083,2024-09-11 00:00:00,resolv
1726099200,15919958.72075,2024-09-12 00:00:00,resolv
1726185600,15921955.28035,2024-09-13 00:00:00,resolv
1726272000,15914021.21809,2024-09-14 00:00:00,resolv
1726358400,15840657.24532,2024-09-15 00:00:00,resolv
1726444800,15929515.10337,2024-09-16 00:00:00,resolv
1726531200,15932848.35274,2024-09-17 00:00:00,resolv
1726617600,15910479.63099,2024-09-18 00:00:00,resolv
1726704000,15936671.904320002,2024-09-19 00:00:00,resolv
1726790400,15940531.8442,2024-09-20 00:00:00,resolv
1726876800,15927965.23832,2024-09-21 00:00:00,resolv
1726963200,15933629.98697,2024-09-22 00:00:00,resolv
1727049600,15881614.16411,2024-09-23 00:00:00,resolv
1727136000,15898271.23519,2024-09-24 00:00:00,resolv
1727222400,15859264.68297,2024-09-25 00:00:00,resolv
1727308800,15858963.53344,2024-09-26 00:00:00,resolv
1727395200,15970275.69204,2024-09-27 00:00:00,resolv
1727481600,15973682.42955,2024-09-28 00:00:00,resolv
1727568000,15894362.03418,2024-09-29 00:00:00,resolv
1727654400,15907486.27556,2024-09-30 00:00:00,resolv
1727740800,15897547.77824,2024-10-01 00:00:00,resolv
1727827200,15910924.90845,2024-10-02 00:00:00,resolv
1727913600,15909259.72478,2024-10-03 00:00:00,resolv
1728000000,15911433.8146,2024-10-04 00:00:00,resolv
1728086400,16011270.17111,2024-10-05 00:00:00,resolv
1728172800,16124581.45398,2024-10-06 00:00:00,resolv
1728259200,16137539.77326,2024-10-07 00:00:00,resolv
1728345600,16170845.18461,2024-10-08 00:00:00,resolv
1728432000,16194141.61841,2024-10-09 00:00:00,resolv
1728518400,16691889.922,2024-10-10 00:00:00,resolv
1728604800,16693709.08583,2024-10-11 00:00:00,resolv
1728691200,16679738.95479,2024-10-12 00:00:00,resolv
1728777600,16689315.083020002,2024-10-13 00:00:00,resolv
1728864000,16694080.77039,2024-10-14 00:00:00,resolv
1728950400,16727591.71045,2024-10-15 00:00:00,resolv
1729036800,16713681.66832,2024-10-16 00:00:00,resolv
1729123200,16729835.97184,2024-10-17 00:00:00,resolv
1729209600,16805333.27976,2024-10-18 00:00:00,resolv
1729296000,16814053.76248,2024-10-19 00:00:00,resolv
1729382400,16962964.90773,2024-10-20 00:00:00,resolv
1729468800,16947268.360940002,2024-10-21 00:00:00,resolv
1729555200,17009372.53222,2024-10-22 00:00:00,resolv
1729641600,17104505.77354,2024-10-23 00:00:00,resolv
1729728000,16392244.548470002,2024-10-24 00:00:00,resolv
1729814400,16343704.73038,2024-10-25 00:00:00,resolv
1729900800,16327379.682205,2024-10-26 00:00:00,resolv
1729987200,16370431.275575,2024-10-27 00:00:00,resolv
1730073600,16369683.675675,2024-10-28 00:00:00,resolv
1730160000,16353156.54392,2024-10-29 00:00:00,resolv
1730246400,16353417.89821,2024-10-30 00:00:00,resolv
1730332800,16363353.91694,2024-10-31 00:00:00,resolv
1730419200,16473728.37755,2024-11-01 00:00:00,resolv
1730505600,16482522.2434,2024-11-02 00:00:00,resolv
1730592000,16477787.79785,2024-11-03 00:00:00,resolv
1730678400,16519265.83839,2024-11-04 00:00:00,resolv
1730764800,16489198.8244,2024-11-05 00:00:00,resolv
1730851200,16574842.34246,2024-11-06 00:00:00,resolv
1730937600,19219346.52975,2024-11-07 00:00:00,resolv
1731024000,19785590.2183,2024-11-08 00:00:00,resolv
1731110400,20097163.726120003,2024-11-09 00:00:00,resolv
1731196800,20088274.03693,2024-11-10 00:00:00,resolv
1731283200,20238631.68532,2024-11-11 00:00:00,resolv
1731369600,20860765.65716,2024-11-12 00:00:00,resolv
