chain,date,token,value,readable_date,protocol
Ethereum,1541203200,USDT,34685.87507,2018-11-03 00:00:00,uniswap_v1_protocol
Ethereum,1541289600,USDT,41264.92313,2018-11-04 00:00:00,uniswap_v1_protocol
Ethereum,1541376000,USDT,41515.9637,2018-11-05 00:00:00,uniswap_v1_protocol
Ethereum,1541462400,USDT,43320.44529,2018-11-06 00:00:00,uniswap_v1_protocol
Ethereum,1541548800,USDT,154720.03255,2018-11-07 00:00:00,uniswap_v1_protocol
Ethereum,1541635200,USDT,180712.88329,2018-11-08 00:00:00,uniswap_v1_protocol
Ethereum,1541721600,USDT,175735.29134,2018-11-09 00:00:00,uniswap_v1_protocol
Ethereum,1541808000,USDT,172608.82787,2018-11-10 00:00:00,uniswap_v1_protocol
Ethereum,1541894400,USDT,188445.86501,2018-11-11 00:00:00,uniswap_v1_protocol
Ethereum,1541980800,USDT,201156.46654,2018-11-12 00:00:00,uniswap_v1_protocol
Ethereum,1542067200,USDT,203911.36423,2018-11-13 00:00:00,uniswap_v1_protocol
Ethereum,1542153600,USDT,200407.04693,2018-11-14 00:00:00,uniswap_v1_protocol
Ethereum,1542240000,USDT,201028.13895,2018-11-15 00:00:00,uniswap_v1_protocol
Ethereum,1542326400,USDT,202068.02868,2018-11-16 00:00:00,uniswap_v1_protocol
Ethereum,1542412800,USDT,205016.90946,2018-11-17 00:00:00,uniswap_v1_protocol
Ethereum,1542499200,USDT,200657.09046,2018-11-18 00:00:00,uniswap_v1_protocol
Ethereum,1542585600,USDT,202090.76439,2018-11-19 00:00:00,uniswap_v1_protocol
Ethereum,1542672000,USDT,202206.90693,2018-11-20 00:00:00,uniswap_v1_protocol
Ethereum,1542758400,USDT,174075.37121,2018-11-21 00:00:00,uniswap_v1_protocol
Ethereum,1542844800,USDT,185240.51897,2018-11-22 00:00:00,uniswap_v1_protocol
Ethereum,1542931200,USDT,187094.18752,2018-11-23 00:00:00,uniswap_v1_protocol
Ethereum,1543017600,USDT,173689.3048,2018-11-24 00:00:00,uniswap_v1_protocol
Ethereum,1543104000,USDT,159399.92183,2018-11-25 00:00:00,uniswap_v1_protocol
Ethereum,1543190400,USDT,159621.01754,2018-11-26 00:00:00,uniswap_v1_protocol
Ethereum,1543276800,USDT,171707.03826,2018-11-27 00:00:00,uniswap_v1_protocol
Ethereum,1543363200,USDT,173523.57913,2018-11-28 00:00:00,uniswap_v1_protocol
Ethereum,1543449600,USDT,202349.553,2018-11-29 00:00:00,uniswap_v1_protocol
Ethereum,1543536000,USDT,199981.9123,2018-11-30 00:00:00,uniswap_v1_protocol
Ethereum,1543622400,USDT,192676.58272,2018-12-01 00:00:00,uniswap_v1_protocol
Ethereum,1543708800,USDT,205447.13819,2018-12-02 00:00:00,uniswap_v1_protocol
Ethereum,1543795200,USDT,206405.6939,2018-12-03 00:00:00,uniswap_v1_protocol
Ethereum,1543881600,USDT,208955.57536,2018-12-04 00:00:00,uniswap_v1_protocol
Ethereum,1543968000,USDT,219654.13586,2018-12-05 00:00:00,uniswap_v1_protocol
Ethereum,1544054400,USDT,204134.29014,2018-12-06 00:00:00,uniswap_v1_protocol
Ethereum,1544140800,USDT,193261.62514,2018-12-07 00:00:00,uniswap_v1_protocol
Ethereum,1544227200,USDT,196385.52259,2018-12-08 00:00:00,uniswap_v1_protocol
Ethereum,1544313600,USDT,261591.36165,2018-12-09 00:00:00,uniswap_v1_protocol
Ethereum,1544400000,USDT,295877.08226,2018-12-10 00:00:00,uniswap_v1_protocol
Ethereum,1544486400,USDT,293996.23065,2018-12-11 00:00:00,uniswap_v1_protocol
Ethereum,1544572800,USDT,286567.52897,2018-12-12 00:00:00,uniswap_v1_protocol
