date,forecasted_Transaction Count,forecasted_Active Users,forecasted_Unique Users,forecasted_Total Transferred,forecasted_Gas Fees,forecasted_Retained Daily Active Users,forecasted_DAA/MAA,forecasted_TVL-wemix_on_kroma_protocol,forecasted_TVL_opchain-wemix_on_kroma_protocol
2024-09-01 00:00:00,109189.42508339256,72145.58532625448,2792.3287349762227,3.9716734965386576e+20,0.637439481142189,0.4550170534642039,0.361415139834302,3628111.1180338576,3466184.098136248
2024-09-02 00:00:00,144807.96477707426,83506.56667230153,2109.562955086341,5.350904073755406e+20,0.6511583486594175,0.2717663770815978,0.6256910783925632,3689378.356010122,3642300.2411686033
2024-09-03 00:00:00,117225.29625259903,78678.67641352802,4402.916993053926,4.622119405770531e+20,0.7177499935204366,0.3845431782036169,0.72039664599962,3753794.8839656045,3621614.160947128
2024-09-04 00:00:00,230251.90211605726,79692.2413285644,2478.8058649091345,3.313036940810024e+20,0.5036565664263032,0.2002857430183911,0.3666832399533666,3644315.744109049,3421112.2386786663
2024-09-05 00:00:00,176209.92431148703,172128.86072420847,3731.322897455105,2.6958605516275453e+20,0.4131153321398334,0.18060974313908512,0.6505250430383397,3313192.1454218645,3851145.0157576706
2024-09-06 00:00:00,112990.88799021834,138124.65890930707,3335.2071118749764,2.8333563822736445e+20,0.4915591362404266,0.3219838101742247,0.6122255565160508,3607824.713503039,3116921.3372861613
2024-09-07 00:00:00,31947.37222403983,75955.44633076433,3077.312844605554,4.10761020457863e+20,0.36101456927028036,0.24729242605938231,0.0765327469990239,3592260.948504346,3025405.1977358363
2024-09-08 00:00:00,51751.319211167654,58136.408778760095,2154.5212271207474,6.41610182147585e+20,0.6393745825722731,0.254971121340027,0.16389160785079987,3599076.070701763,3258955.674428251
2024-09-09 00:00:00,49083.428366150496,67415.23930170752,3834.043666827383,5.710962112444485e+20,0.32751056158375597,0.2827551800880114,0.15049508342237522,3773024.0602279995,3625577.2080258713
2024-09-10 00:00:00,62121.56325124719,288798.3112909312,3714.3397184591454,2.831474172351229e+20,0.6508351496428308,0.22408255288757206,0.12837586276234245,3750422.8727095434,3364602.910530887
2024-09-11 00:00:00,81123.73567332306,298005.0853054588,3098.8970267081017,3.597077715228049e+20,0.535438587438579,0.24361509823763283,0.26564099716355005,3951317.965349022,3529298.918553485
2024-09-12 00:00:00,53221.458164025345,254086.5886098448,5017.874423152526,3.081560742957185e+20,0.6210156662054397,0.20836117382667294,0.29989008694105357,3566197.105802741,3481776.619313206
2024-09-13 00:00:00,35210.54663407776,145598.7664043877,3243.933923498663,5.277731347062132e+20,0.2762822778435984,0.29951518780506725,0.18780326138128126,3700879.1930596195,3750977.3795478796
2024-09-14 00:00:00,45387.6517297735,41868.607106559175,2306.7469696852013,9.417359136202148e+20,0.5613600601831202,0.2250204261981197,0.2214926542445255,3753866.3498766576,3942478.4729965525
2024-09-15 00:00:00,42912.02539972939,85003.29898529776,6116.322227978777,4.7677115336592235e+20,0.7127328222385848,0.1882795909417303,0.21051666157856885,3609578.02268053,3481036.7224505614
2024-09-16 00:00:00,19085.796881300626,202993.51629201375,3171.406879101848,3.407729796405432e+20,0.6610701921895228,0.19805078454369857,0.19126732570840208,3346023.075856335,3461934.832761798
2024-09-17 00:00:00,39220.73809790103,257854.57924842602,4135.541134096396,4.1954138559595105e+20,0.47497004176274205,0.2997931396668825,0.24487618405328604,3719681.8303378574,3377381.179050803
2024-09-18 00:00:00,37456.87820315119,240146.56910162707,2622.287180574835,3.162142239129213e+20,0.8354845614956845,0.11837629116282804,0.16025395337414533,3543502.2397304676,3562559.1376446974
2024-09-19 00:00:00,51750.14211645728,156416.39113292503,2940.0477952600954,5.7515181273378056e+20,0.615721489136323,0.1292057769032619,0.10414684441400732,3663294.4649059856,3237233.8915305194
2024-09-20 00:00:00,69455.63670356375,200918.21081466714,2533.337824685182,7.367216041662975e+20,0.6270220508260984,0.20712998865137813,0.18141619601895212,3708903.008680028,3823387.127315925
2024-09-21 00:00:00,58262.99460904579,170145.7209921481,3741.2447871711893,5.1288525654634136e+20,0.4959265873496452,0.2220523004649137,0.10140181790995248,3588723.901117569,3977024.9804338445
2024-09-22 00:00:00,80115.01158518884,77940.95878723751,2752.1186546200433,5.918838507433051e+20,0.3778271688725071,0.08299263991826268,0.18378180962162471,3499026.6936208326,4070863.2703714552
2024-09-23 00:00:00,28717.262099606985,104996.42582032116,1641.654443170307,5.312480392655005e+20,0.7385346991586083,0.22002262207895942,0.14093271093110019,3371883.551807763,3952241.402354092
2024-09-24 00:00:00,80139.22890297133,86436.94949795774,2153.8938938045526,5.3221580199488415e+20,0.5888865020831654,0.2332435870091988,0.19793943974703537,3615681.55740658,3851140.0507698706
2024-09-25 00:00:00,35671.038254554616,171660.0665218053,5077.402115310957,5.285536706506724e+20,0.48495876563318124,0.10007431835385704,0.1385525405357788,3419212.804225414,4194559.933539886
2024-09-26 00:00:00,27899.128068042563,157549.30218648276,5192.874545458277,3.917094327570766e+20,0.46202795209242686,0.15398094282393418,0.16160411979727715,3347056.8251994583,4221080.358849391
2024-09-27 00:00:00,50500.20751777269,85968.32047349484,5842.997351346154,3.8379012224620836e+20,0.5895358045057916,0.2427136237067051,0.25691966342724654,3384717.564527587,4390216.577455351
2024-09-28 00:00:00,37505.53452351067,99679.70639266605,3075.346699089812,4.1102770907335944e+20,0.35357845146682065,0.19289810309827063,0.19917873196185665,3268342.6956397123,4258014.107647313
