date,forecasted_Transaction Count,forecasted_Active Users,forecasted_Unique Users,forecasted_Total Transferred,forecasted_Gas Fees,forecasted_Retained Daily Active Users,forecasted_DAA/MAA,forecasted_TVL-wemix_on_kroma_protocol,forecasted_TVL_opchain-wemix_on_kroma_protocol
2024-09-01 00:00:00,333019.70903441135,53971.86244776824,1919.909095291087,2.425374469641469e+20,0.3247535056523018,0.4048934613088445,0.20325047225493123,3841355.8971262197,3935725.4902354884
2024-09-02 00:00:00,467333.8142858169,137621.71367375294,2090.7993595790863,4.5855611937645055e+20,0.45566387684725984,0.3831941354610168,0.23609516620119048,3818319.160674394,3770067.7163165193
2024-09-03 00:00:00,663114.073340032,59464.57894937225,3043.7200911006585,3.408513210996998e+20,0.32544107490274526,0.2573194220917564,0.18331268692698605,3690810.735842287,3473922.0025066873
2024-09-04 00:00:00,501115.1137309402,210659.23377524724,3336.5425646737704,3.479660217064911e+20,0.2980838077595931,0.2708074906974297,0.27684195851313054,3503707.1734617585,3732461.5268622865
2024-09-05 00:00:00,198090.62661360519,241688.83936338586,3344.90176693802,4.611135423756445e+20,0.3975917046849757,0.2936230859700302,0.33893526188500095,3438946.0572987413,3809704.929065458
2024-09-06 00:00:00,532796.6567207016,118102.82748439694,2681.7490923128958,5.119430350024838e+20,0.5806992642294487,0.4803227779567726,0.24095906969737843,3883122.3911038744,3448903.3756559324
2024-09-07 00:00:00,380284.7639198759,125061.60226572138,2413.5140409468995,5.2163196793940174e+20,0.4742538809895704,0.40538034560355174,0.2579359800782739,4408361.23531793,3574346.8459348725
2024-09-08 00:00:00,184767.19578317282,135745.79152671449,2509.82524810144,4.751875936299551e+20,0.5576750733601696,0.297564212024741,0.25679121197823385,3736152.8666031067,3464968.5803531283
2024-09-09 00:00:00,441425.0535934834,111455.35690863631,3644.407374263879,2.9568666374127544e+20,0.33984973114169886,0.22161598605643842,0.18629400523131762,3756554.720509483,3708282.515991382
2024-09-10 00:00:00,214328.90637249334,265260.3481606142,4184.595820590811,4.148210363680765e+20,0.3805307936032857,0.27629896247205815,0.13591739304477457,3813517.2159941364,3822883.388757279
2024-09-11 00:00:00,196780.04442149395,284809.93604576436,2113.6458326504917,3.3087987835835515e+20,0.9502960886512739,0.31842400694291956,0.1860477406273322,3505663.7148176846,3430161.994859256
2024-09-12 00:00:00,235532.62162012016,140485.65042414668,3407.2127148575332,4.591346251294395e+20,0.5367638877859046,0.20245783893706507,0.18969521655139301,3725724.3092478802,3322303.7267961465
2024-09-13 00:00:00,175767.36065277265,62971.48391004309,2253.7461264657986,4.715131713680152e+20,0.6339145859602867,0.21931960680086104,0.1160986243261596,4020601.952135019,3720771.632706496
2024-09-14 00:00:00,103628.313521991,102349.85325797855,2437.807125790539,4.8550556603530674e+20,0.5529492528068465,0.1581137446350247,0.17935429357327642,3825502.771051059,4166464.6535453554
2024-09-15 00:00:00,142523.4857746335,139261.21882893646,2655.1236562285835,4.381842829745308e+20,0.6624577548163308,0.2721685654676117,0.17925554055684334,3856285.703008642,4051614.5898184683
2024-09-16 00:00:00,127460.00386011548,113168.52216594618,7335.414818363544,2.485883676730024e+20,0.7576908443114071,0.20051320712681442,0.19904071326728412,4046068.4364962694,4073889.592095027
2024-09-17 00:00:00,117848.80323268252,155402.30947036156,9134.043349243324,1.7152907606613154e+20,0.620196512880544,0.16459253402763518,0.20625186721763597,4010464.246129513,3763578.2205558037
2024-09-18 00:00:00,123607.81366069129,73039.18814819423,5412.946208101693,1.1747012063138041e+20,0.6591132051989698,0.26288205369069917,0.05981241391785989,4024358.1589794187,4051021.5306781903
2024-09-19 00:00:00,266229.64673280047,44526.23302612142,6841.037096581982,1.8755919035983947e+20,0.5115835330264658,0.22456875233830462,0.09225987508409157,3845474.1310196635,4123593.4800699595
2024-09-20 00:00:00,196086.4821469929,77291.30652886118,5665.1765584209925,1.5101145950069893e+20,0.5251207446480655,0.23584951742632707,0.10312158249737781,4038812.7153533036,3988348.679594125
2024-09-21 00:00:00,154329.60533680356,43992.978243131,10096.009696325256,2.5782759929861128e+20,0.5930269611299165,0.2663481744828588,0.07761059656633405,4089706.55957762,4355594.141044502
2024-09-22 00:00:00,64563.79343455474,96801.04680448548,5687.442694597039,4.1805974305555566e+20,0.6878927102053501,0.2846518287538298,0.17299044707402522,4145857.903827293,3944694.729574702
2024-09-23 00:00:00,158121.55343523415,48180.46981098157,4751.625325043504,3.588489773167103e+20,0.5914419775302342,0.25741525055579295,0.12996001632594165,4097997.3394913464,4092146.881539246
2024-09-24 00:00:00,175316.2833926184,68195.56182360869,7368.19513764944,3.9020278954057826e+20,0.6656951888969471,0.28177403472823087,0.2246903293117926,4070397.1291462583,4173211.095035428
2024-09-25 00:00:00,180744.55420219718,109047.46985748013,3581.1613772519954,1.6727975990792867e+20,0.40318297096621725,0.22223112127452618,0.15657001019599068,3790026.94299637,4601713.122086058
2024-09-26 00:00:00,171564.17797423736,88577.02825023336,5668.032194182895,5.674442208004921e+20,0.527213586300439,0.31803323288602425,0.4522643098225803,4233349.667539335,4322874.4489375595
2024-09-27 00:00:00,189872.94337869066,133163.00667308073,4768.589408263447,4.728593392295198e+20,0.6475561626789715,0.2930524421607971,0.14011088131977684,3625266.736536811,4701009.071937227
2024-09-28 00:00:00,84171.70626981091,46468.43375581687,5229.771386597192,2.0250499802779383e+20,0.5345493319623799,0.14913741629436472,0.2261161312375275,3710310.307564443,4528006.461047546
