date,token,value,readable_date,protocol
1638662400,USDC,0.0,2021-12-05 00:00:00,alchemix
1638662400,WETH,412332689.30107,2021-12-05 00:00:00,alchemix
1638662400,DAI,426563781.58456,2021-12-05 00:00:00,alchemix
1638662400,WSTETH,0.0,2021-12-05 00:00:00,alchemix
1638748800,USDT,0.0,2021-12-06 00:00:00,alchemix
1638748800,RETH,0.0,2021-12-06 00:00:00,alchemix
1638748800,USDC,0.0,2021-12-06 00:00:00,alchemix
1638748800,WETH,423690725.50568,2021-12-06 00:00:00,alchemix
1638748800,DAI,427184283.66932,2021-12-06 00:00:00,alchemix
1638748800,WSTETH,0.0,2021-12-06 00:00:00,alchemix
1638835200,USDT,0.0,2021-12-07 00:00:00,alchemix
1638835200,RETH,0.0,2021-12-07 00:00:00,alchemix
1638835200,USDC,0.0,2021-12-07 00:00:00,alchemix
1638835200,WETH,438694721.75881,2021-12-07 00:00:00,alchemix
1638835200,DAI,427507618.22485,2021-12-07 00:00:00,alchemix
1638835200,WSTETH,0.0,2021-12-07 00:00:00,alchemix
1638921600,USDT,0.0,2021-12-08 00:00:00,alchemix
1638921600,RETH,0.0,2021-12-08 00:00:00,alchemix
1638921600,USDC,0.0,2021-12-08 00:00:00,alchemix
1638921600,WETH,435492055.53334,2021-12-08 00:00:00,alchemix
1638921600,DAI,427499523.2664,2021-12-08 00:00:00,alchemix
1638921600,WSTETH,0.0,2021-12-08 00:00:00,alchemix
1639008000,USDT,0.0,2021-12-09 00:00:00,alchemix
1639008000,RETH,0.0,2021-12-09 00:00:00,alchemix
1639008000,USDC,0.0,2021-12-09 00:00:00,alchemix
1639008000,WETH,451488674.00495,2021-12-09 00:00:00,alchemix
1639008000,DAI,431686714.88041,2021-12-09 00:00:00,alchemix
1639008000,WSTETH,0.0,2021-12-09 00:00:00,alchemix
1639094400,USDT,0.0,2021-12-10 00:00:00,alchemix
1639094400,RETH,0.0,2021-12-10 00:00:00,alchemix
1639094400,USDC,0.0,2021-12-10 00:00:00,alchemix
1639094400,WETH,425171767.46108,2021-12-10 00:00:00,alchemix
1639094400,DAI,427038554.96853,2021-12-10 00:00:00,alchemix
1639094400,WSTETH,0.0,2021-12-10 00:00:00,alchemix
1639180800,USDT,0.0,2021-12-11 00:00:00,alchemix
1639180800,RETH,0.0,2021-12-11 00:00:00,alchemix
1639180800,USDC,0.0,2021-12-11 00:00:00,alchemix
1639180800,WETH,401203967.26401,2021-12-11 00:00:00,alchemix
1639180800,DAI,425990664.9539,2021-12-11 00:00:00,alchemix
1639180800,WSTETH,0.0,2021-12-11 00:00:00,alchemix
1639267200,USDT,0.0,2021-12-12 00:00:00,alchemix
1639267200,RETH,0.0,2021-12-12 00:00:00,alchemix
1639267200,USDC,0.0,2021-12-12 00:00:00,alchemix
1639267200,WETH,419675065.47337,2021-12-12 00:00:00,alchemix
1639267200,DAI,427936161.32877,2021-12-12 00:00:00,alchemix
1639267200,WSTETH,0.0,2021-12-12 00:00:00,alchemix
1639353600,USDT,0.0,2021-12-13 00:00:00,alchemix
1639353600,RETH,0.0,2021-12-13 00:00:00,alchemix
1639353600,USDC,0.0,2021-12-13 00:00:00,alchemix
1639353600,WETH,432041687.10473,2021-12-13 00:00:00,alchemix
1639353600,DAI,428214792.53387,2021-12-13 00:00:00,alchemix
1639353600,WSTETH,0.0,2021-12-13 00:00:00,alchemix
1639440000,USDT,0.0,2021-12-14 00:00:00,alchemix
1639440000,RETH,0.0,2021-12-14 00:00:00,alchemix
1639440000,USDC,0.0,2021-12-14 00:00:00,alchemix
1639440000,WETH,396120740.966,2021-12-14 00:00:00,alchemix
1639440000,DAI,427437965.64727,2021-12-14 00:00:00,alchemix
1639440000,WSTETH,0.0,2021-12-14 00:00:00,alchemix
1639526400,USDT,0.0,2021-12-15 00:00:00,alchemix
1639526400,RETH,0.0,2021-12-15 00:00:00,alchemix
1639526400,USDC,0.0,2021-12-15 00:00:00,alchemix
1639526400,WETH,414815893.36407,2021-12-15 00:00:00,alchemix
1639526400,DAI,427888524.90314,2021-12-15 00:00:00,alchemix
1639526400,WSTETH,0.0,2021-12-15 00:00:00,alchemix
1639612800,USDT,0.0,2021-12-16 00:00:00,alchemix
1639612800,RETH,0.0,2021-12-16 00:00:00,alchemix
